product_name,product_price,product_url
"EVLUTIONNUTRITION CLA1000軟膠囊, 1個, 180粒",$424,https://www.tw.coupang.com/products/EVLUTIONNUTRITION-CLA1000%E8%BB%9F%E8%86%A0%E5%9B%8A-21001448182893?itemId=21002494748577&vendorItemId=21070487920205&sourceType=search&rank=&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"EVLUTIONNUTRITION BCAA膠囊 5000mg, 1瓶, 240顆",$412,https://www.tw.coupang.com/products/EVLUTIONNUTRITION-BCAA%E8%86%A0%E5%9B%8A-5000mg-21000205187075?itemId=21000604043040&vendorItemId=21004583172923&sourceType=search&rank=1&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"SOURCE NATURALS Phytosterol Complex with Beta Sitosterol, 240顆, 1罐",$800,https://www.tw.coupang.com/products/SOURCE-NATURALS-Phytosterol-Complex-with-Beta-Sitosterol-21008289187381?itemId=21000000935438&vendorItemId=21003150663502&sourceType=search&rank=2&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"Garden of Life MyKind Organics 女士每日一次, 60顆, 1個",$710,https://www.tw.coupang.com/products/Garden-of-Life-MyKind-Organics-%E5%A5%B3%E5%A3%AB%E6%AF%8F%E6%97%A5%E4%B8%80%E6%AC%A1-21000000424608?itemId=21000001120239&vendorItemId=21003180907966&sourceType=search&rank=3&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"Thorne Research Perfusia-SR膠囊, 120 粒, 1罐",$901,https://www.tw.coupang.com/products/Thorne-Research-Perfusia-SR%E8%86%A0%E5%9B%8A-21000000433147?itemId=21018220733866&vendorItemId=21003191193492&sourceType=search&rank=4&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"CARLYLE B-100 複合膠囊, 1個, 250顆",$500,https://www.tw.coupang.com/products/CARLYLE-B-100-%E8%A4%87%E5%90%88%E8%86%A0%E5%9B%8A-21007951161984?itemId=21021946379453&vendorItemId=21088994210301&sourceType=search&rank=5&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"LIFE EXTENSION 紅景天萃取素食膠囊 250mg, 1組, 60顆",$463,https://www.tw.coupang.com/products/LIFE-EXTENSION-%E7%B4%85%E6%99%AF%E5%A4%A9%E8%90%83%E5%8F%96%E7%B4%A0%E9%A3%9F%E8%86%A0%E5%9B%8A-250mg-21000000966646?itemId=21000004004563&vendorItemId=21003233527566&sourceType=search&rank=6&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"LIFE EXTENSION Hepato Pro軟膠囊, 1瓶, 60顆",$964,https://www.tw.coupang.com/products/LIFE-EXTENSION-Hepato-Pro%E8%BB%9F%E8%86%A0%E5%9B%8A-21000000966579?itemId=21000004004497&vendorItemId=21003231081059&sourceType=search&rank=7&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"PRIMAFORCE Max CLA軟膠囊 2400mg, 180顆, 1罐",$644,https://www.tw.coupang.com/products/PRIMAFORCE-Max-CLA%E8%BB%9F%E8%86%A0%E5%9B%8A-2400mg-21000001806713?itemId=21000007923707&vendorItemId=21003263353012&sourceType=search&rank=8&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"Garden of Life MyKind Organics 女士每日一次, 30顆, 1個",$460,https://www.tw.coupang.com/products/Garden-of-Life-MyKind-Organics-%E5%A5%B3%E5%A3%AB%E6%AF%8F%E6%97%A5%E4%B8%80%E6%AC%A1-21006716134078?itemId=21000001120238&vendorItemId=21003180907923&sourceType=search&rank=9&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"Absolute NUTRITION C Block保健食品膠囊, 1組, 90顆",$600,https://www.tw.coupang.com/products/Absolute-NUTRITION-C-Block%E4%BF%9D%E5%81%A5%E9%A3%9F%E5%93%81%E8%86%A0%E5%9B%8A-21000002147993?itemId=21000009755763&vendorItemId=21003271341572&sourceType=search&rank=10&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"LIFE EXTENSION MSM膠囊 1000mg, 1個, 100粒",$318,https://www.tw.coupang.com/products/LIFE-EXTENSION-MSM%E8%86%A0%E5%9B%8A-1000mg-21000000966604?itemId=21000004004522&vendorItemId=21003226477693&sourceType=search&rank=11&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
"Garden of Life EPA DHA DPA Omega3檸檬軟膠囊 1290mg, 1罐, 180顆","$1,327",https://www.tw.coupang.com/products/Garden-of-Life-EPA-DHA-DPA-Omega3%E6%AA%B8%E6%AA%AC%E8%BB%9F%E8%86%A0%E5%9B%8A-1290mg-21001951527683?itemId=21003315040006&vendorItemId=21071301922873&sourceType=search&rank=12&searchId=a59dbf1b526645b1a07b54ecd2446028&q=%2C000%20word
