product_name,product_price,product_url
"EVERLIGHT 億光 超節能高亮度 LED 燈泡 18W, 黃光 燈泡色, 1個",$158,https://www.tw.coupang.com/products/EVERLIGHT-%E5%84%84%E5%85%89-%E8%B6%85%E7%AF%80%E8%83%BD%E9%AB%98%E4%BA%AE%E5%BA%A6-LED-%E7%87%88%E6%B3%A1-18W-453693602250753?itemId=453693602217985&vendorItemId=453693598040073&sourceType=search&rank=&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 雙管日光燈 18W, 5個, 晝光色",$272,https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-%E9%9B%99%E7%AE%A1%E6%97%A5%E5%85%89%E7%87%88-18W-21007031106710?itemId=21017352229573&vendorItemId=21084522529322&sourceType=search&rank=1&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 LED 燈不閃爍 18W, 晝光色",$614,https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-LED-%E7%87%88%E4%B8%8D%E9%96%83%E7%88%8D-18W-21007757682398?itemId=21017443049348&vendorItemId=21084611689329&sourceType=search&rank=2&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 LED 燈泡 18W, 白光, 4入",$600,https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-LED-%E7%87%88%E6%B3%A1-18W-21004326596010?itemId=21005043408471&vendorItemId=21072353098413&sourceType=search&rank=3&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 燈管 DULUX L LED 857 18W 3入, 日光",$537,https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-%E7%87%88%E7%AE%A1-DULUX-L-LED-857-18W-3%E5%85%A5-21001494774720?itemId=21002567073556&vendorItemId=21070559501110&sourceType=search&rank=4&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 雙管日光燈 18W, 5個, 白色",$272,https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-%E9%9B%99%E7%AE%A1%E6%97%A5%E5%85%89%E7%87%88-18W-21007031106710?itemId=21017352229575&vendorItemId=21084522529341&sourceType=search&rank=5&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"EVERLIGHT 億光 高亮度LED燈泡 18W 95 x 174mm 102g, 白光, 1個",$158,https://www.tw.coupang.com/products/EVERLIGHT-%E5%84%84%E5%85%89-%E9%AB%98%E4%BA%AE%E5%BA%A6LED%E7%87%88%E6%B3%A1-18W-95-x-174mm-102g-453693602250753?itemId=453693602201601&vendorItemId=453693598007304&sourceType=search&rank=6&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"Sobit FPL 熒光燈替換 18W LED 燈, 白光",$193,https://www.tw.coupang.com/products/Sobit-FPL-%E7%86%92%E5%85%89%E7%87%88%E6%9B%BF%E6%8F%9B-18W-LED-%E7%87%88-21006723412911?itemId=21015642807222&vendorItemId=21085340478886&sourceType=search&rank=7&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 LED 燈不閃爍 18W, 白色",$614,https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-LED-%E7%87%88%E4%B8%8D%E9%96%83%E7%88%8D-18W-21007757682398?itemId=21017443049346&vendorItemId=21084611689317&sourceType=search&rank=8&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 LED 燈泡 18W, 白光, 10入","$1,452",https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-LED-%E7%87%88%E6%B3%A1-18W-21004326596010?itemId=21005043408468&vendorItemId=21072353098392&sourceType=search&rank=9&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 LED日光燈 18W DULUX L LED 840 3入, 白光",$537,https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-LED%E6%97%A5%E5%85%89%E7%87%88-18W-DULUX-L-LED-840-3%E5%85%A5-21001494774720?itemId=21002567073327&vendorItemId=21070559500906&sourceType=search&rank=10&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 雙管日光燈 18W, 5個, 黃光色",$272,https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-%E9%9B%99%E7%AE%A1%E6%97%A5%E5%85%89%E7%87%88-18W-21007031106710?itemId=21017352229577&vendorItemId=21084522529360&sourceType=search&rank=11&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"DANCELIGHT 舞光 LED 照樹燈 18W IP66防塵防水 141 x 130 x 90mm, 黃光, 1個","$1,220",https://www.tw.coupang.com/products/DANCELIGHT-%E8%88%9E%E5%85%89-LED-%E7%85%A7%E6%A8%B9%E7%87%88-18W-IP66%E9%98%B2%E5%A1%B5%E9%98%B2%E6%B0%B4-141-x-130-x-90mm-452982147612683?itemId=452982147596299&vendorItemId=452982147629062&sourceType=search&rank=12&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"KUMHO LED燈泡18W白光, 晝光色, 1個",$196,https://www.tw.coupang.com/products/KUMHO-LED%E7%87%88%E6%B3%A118W%E7%99%BD%E5%85%89-21002233603539?itemId=21003811689419&vendorItemId=21071796591814&sourceType=search&rank=13&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"Moit 18W快充+Type C數據線1.2m套裝, 白色, 1組",$132,https://www.tw.coupang.com/products/Moit-18W%E5%BF%AB%E5%85%85%2BType-C%E6%95%B8%E6%93%9A%E7%B7%9A1.2m%E5%A5%97%E8%A3%9D-21007475527524?itemId=21019515327228&vendorItemId=21086624093926&sourceType=search&rank=14&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 LED 燈泡 18W, 黃光, 10入","$1,452",https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-LED-%E7%87%88%E6%B3%A1-18W-21004326596010?itemId=21005043408484&vendorItemId=21072353098591&sourceType=search&rank=15&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OREX 空氣淨化 LED FPL 兼容 18W KJ103-F4-K57-B, 晝光色, 1入",$341,https://www.tw.coupang.com/products/OREX-%E7%A9%BA%E6%B0%A3%E6%B7%A8%E5%8C%96-LED-FPL-%E5%85%BC%E5%AE%B9-18W-KJ103-F4-K57-B-21000307652370?itemId=21000970063514&vendorItemId=21005378938991&sourceType=search&rank=16&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"UIT 符合 FPL 標準的替換護眼 LED 燈 18W, 晝光色, 1個",$284,https://www.tw.coupang.com/products/UIT-%E7%AC%A6%E5%90%88-FPL-%E6%A8%99%E6%BA%96%E7%9A%84%E6%9B%BF%E6%8F%9B%E8%AD%B7%E7%9C%BC-LED-%E7%87%88-18W-21000175007078?itemId=21000500083085&vendorItemId=21004274828792&sourceType=search&rank=17&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"莫特 18W 快速充電器, 白色, 1個",$111,https://www.tw.coupang.com/products/%E8%8E%AB%E7%89%B9-18W-%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%99%A8-21007475527609?itemId=21019515327546&vendorItemId=21086624094487&sourceType=search&rank=18&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"Moit 18W 快速充電器 + 3 合 1 多充電線 1.2m 套裝, 白色, 1組",$191,https://www.tw.coupang.com/products/Moit-18W-%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%99%A8-%2B-3-%E5%90%88-1-%E5%A4%9A%E5%85%85%E9%9B%BB%E7%B7%9A-1.2m-%E5%A5%97%E8%A3%9D-21007475527542?itemId=21019515327288&vendorItemId=21086624094032&sourceType=search&rank=19&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"Sobit 18W 日光 5700K LED 熒光燈 2p, 白色的",$469,https://www.tw.coupang.com/products/Sobit-18W-%E6%97%A5%E5%85%89-5700K-LED-%E7%86%92%E5%85%89%E7%87%88-2p-21006892465226?itemId=21016550964201&vendorItemId=21083737389118&sourceType=search&rank=20&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"Home Planet Qualcomm 官方認證 QC3.0 36 瓦快速充電器（18W + 18W 同時使用）, 白色, 1入",$310,https://www.tw.coupang.com/products/Home-Planet-Qualcomm-%E5%AE%98%E6%96%B9%E8%AA%8D%E8%AD%89-QC3.0-36-%E7%93%A6%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%99%A8%EF%BC%8818W-%2B-18W-%E5%90%8C%E6%99%82%E4%BD%BF%E7%94%A8%EF%BC%89-21002195687832?itemId=21003736102312&vendorItemId=21071721290047&sourceType=search&rank=21&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"YOGER USB PD Type-C快速充電器 18W, 黑色, 1個",$212,https://www.tw.coupang.com/products/YOGER-USB-PD-Type-C%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%99%A8-18W-21006016617316?itemId=21010929291256&vendorItemId=21080761838926&sourceType=search&rank=22&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"Moit 18W 快速充電器 + 3 合 1 多充電線 1.2m 套裝, 黑色, 1組",$172,https://www.tw.coupang.com/products/Moit-18W-%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%99%A8-%2B-3-%E5%90%88-1-%E5%A4%9A%E5%85%85%E9%9B%BB%E7%B7%9A-1.2m-%E5%A5%97%E8%A3%9D-21007475527542?itemId=21019515327287&vendorItemId=21086624094013&sourceType=search&rank=23&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 LED 燈泡 18W, 黃光, 4入",$600,https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-LED-%E7%87%88%E6%B3%A1-18W-21004326596010?itemId=21005043408473&vendorItemId=21072353098453&sourceType=search&rank=24&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"DGG Qualcomm 3.0 18W USB 1 口快速充電器, 白色的, 2個",$260,https://www.tw.coupang.com/products/DGG-Qualcomm-3.0-18W-USB-1-%E5%8F%A3%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%99%A8-21001606007453?itemId=21002869408013&vendorItemId=21070858616745&sourceType=search&rank=25&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"OSRAM 歐司朗 Go Watt 高瓦特燈 18W, 晝光色, 3個",$541,https://www.tw.coupang.com/products/OSRAM-%E6%AD%90%E5%8F%B8%E6%9C%97-Go-Watt-%E9%AB%98%E7%93%A6%E7%89%B9%E7%87%88-18W-21007047314588?itemId=21017443284699&vendorItemId=21084611919365&sourceType=search&rank=26&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"DGG 18W Type C 快充黑色+C轉8芯線200cm套組, 混色, 1套",$408,https://www.tw.coupang.com/products/DGG-18W-Type-C-%E5%BF%AB%E5%85%85%E9%BB%91%E8%89%B2%2BC%E8%BD%898%E8%8A%AF%E7%B7%9A200cm%E5%A5%97%E7%B5%84-21002309394988?itemId=21003982682673&vendorItemId=21071966998143&sourceType=search&rank=27&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"Wonha Beats On A-Bulb LED 燈泡 18W 白色, 晝光色, 5個",$841,https://www.tw.coupang.com/products/Wonha-Beats-On-A-Bulb-LED-%E7%87%88%E6%B3%A1-18W-%E7%99%BD%E8%89%B2-21007684785424?itemId=21020534139787&vendorItemId=21087611024786&sourceType=search&rank=28&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
"Sobit 18W 日光 5700K LED 熒光燈 3p, 白色的",$701,https://www.tw.coupang.com/products/Sobit-18W-%E6%97%A5%E5%85%89-5700K-LED-%E7%86%92%E5%85%89%E7%87%88-3p-21006892465228?itemId=21016550964208&vendorItemId=21083737389116&sourceType=search&rank=29&searchId=f5c4e5a7c4b54170be4bba0a2d111a93&q=18w
