product_name,product_price,product_url
"Prosi 普洛斯 抗菌抗蟎濃縮香水洗衣凝露 藍風鈴, 2L, 1桶",$83,https://www.tw.coupang.com/products/Prosi-%E6%99%AE%E6%B4%9B%E6%96%AF-%E6%8A%97%E8%8F%8C%E6%8A%97%E8%9F%8E%E6%BF%83%E7%B8%AE%E9%A6%99%E6%B0%B4%E6%B4%97%E8%A1%A3%E5%87%9D%E9%9C%B2-%E8%97%8D%E9%A2%A8%E9%88%B4-148649904422924?itemId=148649904422925&vendorItemId=148650260922371&sourceType=search&rank=&searchId=05b863f79c524aa1be5e2d90917f8e4b&q=1900%20o
"ASSAINOL 愛潔諾 有機乳酸廚房清潔劑 檸檬+百里香, 500ml, 1瓶",$152,https://www.tw.coupang.com/products/ASSAINOL-%E6%84%9B%E6%BD%94%E8%AB%BE-%E6%9C%89%E6%A9%9F%E4%B9%B3%E9%85%B8%E5%BB%9A%E6%88%BF%E6%B8%85%E6%BD%94%E5%8A%91-%E6%AA%B8%E6%AA%AC%2B%E7%99%BE%E9%87%8C%E9%A6%99-153689834635266?itemId=153689440337921&vendorItemId=153690216300544&sourceType=search&rank=1&searchId=05b863f79c524aa1be5e2d90917f8e4b&q=1900%20o
"ANESSA 安耐曬 金鑽高效防曬露NA SPF50+ PA++++, 1瓶, 60ml",$660,https://www.tw.coupang.com/products/ANESSA-%E5%AE%89%E8%80%90%E6%9B%AC-%E9%87%91%E9%91%BD%E9%AB%98%E6%95%88%E9%98%B2%E6%9B%AC%E9%9C%B2NA-SPF50%2B-PA%2B%2B%2B%2B-21008287922039?itemId=21023900421278&vendorItemId=21088912908842&sourceType=search&rank=2&searchId=05b863f79c524aa1be5e2d90917f8e4b&q=1900%20o
WOODY PUDDY 番茄,$182,https://www.tw.coupang.com/products/WOODY-PUDDY-%E7%95%AA%E8%8C%84-154026607886340?itemId=154026989551620&vendorItemId=154026989551617&sourceType=search&rank=3&searchId=05b863f79c524aa1be5e2d90917f8e4b&q=1900%20o
"PLUS PERFECT 理想 晶品304不銹鋼過濾榨汁器 SJ-9001110, 170cc, 1組",$189,https://www.tw.coupang.com/products/PLUS-PERFECT-%E7%90%86%E6%83%B3-%E6%99%B6%E5%93%81304%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%81%8E%E6%BF%BE%E6%A6%A8%E6%B1%81%E5%99%A8-SJ-9001110-454122302013440?itemId=454122302029824&vendorItemId=454122302046208&sourceType=search&rank=4&searchId=05b863f79c524aa1be5e2d90917f8e4b&q=1900%20o
"傳輸老闆精裝 croquis 書 105g 雙環黑色, A5, 2個",$307,https://www.tw.coupang.com/products/%E5%82%B3%E8%BC%B8%E8%80%81%E9%97%86%E7%B2%BE%E8%A3%9D-croquis-%E6%9B%B8-105g-%E9%9B%99%E7%92%B0%E9%BB%91%E8%89%B2-21004632920370?itemId=21005754106735&vendorItemId=21073052713507&sourceType=search&rank=5&searchId=05b863f79c524aa1be5e2d90917f8e4b&q=1900%20o
"Transmission boss 精裝 croquis 書 105g 精裝黑色, A5, 2個",$302,https://www.tw.coupang.com/products/Transmission-boss-%E7%B2%BE%E8%A3%9D-croquis-%E6%9B%B8-105g-%E7%B2%BE%E8%A3%9D%E9%BB%91%E8%89%B2-21004632920649?itemId=21005754107318&vendorItemId=21073052713679&sourceType=search&rank=6&searchId=05b863f79c524aa1be5e2d90917f8e4b&q=1900%20o
"傳輸老闆精裝 croquis 書 105g 雙環紅色, A5, 2個",$303,https://www.tw.coupang.com/products/%E5%82%B3%E8%BC%B8%E8%80%81%E9%97%86%E7%B2%BE%E8%A3%9D-croquis-%E6%9B%B8-105g-%E9%9B%99%E7%92%B0%E7%B4%85%E8%89%B2-21004632920478?itemId=21005754106878&vendorItemId=21073052713674&sourceType=search&rank=7&searchId=05b863f79c524aa1be5e2d90917f8e4b&q=1900%20o
"IRIS OHYAMA 愛麗思歐雅瑪 COTOCO 萬用無水調理鍋 MKSN-S24 308 x 255 x 149mm 4L, 308mm, 紅色, 1個","$1,561",https://www.tw.coupang.com/products/IRIS-OHYAMA-%E6%84%9B%E9%BA%97%E6%80%9D%E6%AD%90%E9%9B%85%E7%91%AA-COTOCO-%E8%90%AC%E7%94%A8%E7%84%A1%E6%B0%B4%E8%AA%BF%E7%90%86%E9%8D%8B-MKSN-S24-308-x-255-x-149mm-4L-452658125029380?itemId=452658125045764&vendorItemId=452658125045762&sourceType=search&rank=8&searchId=05b863f79c524aa1be5e2d90917f8e4b&q=1900%20o
"既不證實也不否認：紐西蘭與美國之間的核艦爭端精裝, 普雷格","$1,722",https://www.tw.coupang.com/products/%E6%97%A2%E4%B8%8D%E8%AD%89%E5%AF%A6%E4%B9%9F%E4%B8%8D%E5%90%A6%E8%AA%8D%EF%BC%9A%E7%B4%90%E8%A5%BF%E8%98%AD%E8%88%87%E7%BE%8E%E5%9C%8B%E4%B9%8B%E9%96%93%E7%9A%84%E6%A0%B8%E8%89%A6%E7%88%AD%E7%AB%AF%E7%B2%BE%E8%A3%9D-21000059106088?itemId=21000204338342&vendorItemId=21003484120033&sourceType=search&rank=9&searchId=05b863f79c524aa1be5e2d90917f8e4b&q=1900%20o
