product_name,product_price,product_url
"Mach Link Premium 3 極立體聲 Y 型延伸彎曲電纜 3.5mm, ML-TSYH015",$229,https://www.tw.coupang.com/products/Mach-Link-Premium-3-%E6%A5%B5%E7%AB%8B%E9%AB%94%E8%81%B2-Y-%E5%9E%8B%E5%BB%B6%E4%BC%B8%E5%BD%8E%E6%9B%B2%E9%9B%BB%E7%BA%9C-3.5mm-21005050589424?itemId=21006810254766&vendorItemId=21074102903264&sourceType=search&rank=&searchId=3c9187484da04948bdd72f10028e0090&q=3x7%E9%A0%BB
"VENTION 威迅 3 RCA 到 3 RCA 音頻視頻 AV 電纜 1m, 單品",$165,https://www.tw.coupang.com/products/VENTION-%E5%A8%81%E8%BF%85-3-RCA-%E5%88%B0-3-RCA-%E9%9F%B3%E9%A0%BB%E8%A6%96%E9%A0%BB-AV-%E9%9B%BB%E7%BA%9C-1m-21000143090693?itemId=21000415682514&vendorItemId=21004021228292&sourceType=search&rank=1&searchId=3c9187484da04948bdd72f10028e0090&q=3x7%E9%A0%BB
"IRIVER 耳機 9g, IDP-05i, 黑色的",$332,https://www.tw.coupang.com/products/IRIVER-%E8%80%B3%E6%A9%9F-9g-21000216747279?itemId=21000666569076&vendorItemId=21004722946671&sourceType=search&rank=2&searchId=3c9187484da04948bdd72f10028e0090&q=3x7%E9%A0%BB
"FOR LG LG 耳機 48g, FLM-H100, 銀",$215,https://www.tw.coupang.com/products/FOR-LG-LG-%E8%80%B3%E6%A9%9F-48g-21002305711372?itemId=21003875036075&vendorItemId=21071859711609&sourceType=search&rank=3&searchId=3c9187484da04948bdd72f10028e0090&q=3x7%E9%A0%BB
"Focusrite Scarlett Solo 3, Scarlett Solo 3rd","$3,791",https://www.tw.coupang.com/products/Focusrite-Scarlett-Solo-3-21000298920134?itemId=21000941453885&vendorItemId=21005327865046&sourceType=search&rank=4&searchId=3c9187484da04948bdd72f10028e0090&q=3x7%E9%A0%BB
"Mach Link 高級 RCA TO RF 5C 同軸電纜 3m, CP-1136",$244,https://www.tw.coupang.com/products/Mach-Link-%E9%AB%98%E7%B4%9A-RCA-TO-RF-5C-%E5%90%8C%E8%BB%B8%E9%9B%BB%E7%BA%9C-3m-21001419538557?itemId=21002457329612&vendorItemId=21070450861681&sourceType=search&rank=5&searchId=3c9187484da04948bdd72f10028e0090&q=3x7%E9%A0%BB
"Coms 耳機一體型VR設備Headgear VR BOX BB200, 黑色",$595,https://www.tw.coupang.com/products/Coms-%E8%80%B3%E6%A9%9F%E4%B8%80%E9%AB%94%E5%9E%8BVR%E8%A8%AD%E5%82%99Headgear-VR-BOX-BB200-21005431261896?itemId=21008231130923&vendorItemId=21070373852332&sourceType=search&rank=6&searchId=3c9187484da04948bdd72f10028e0090&q=3x7%E9%A0%BB
"ITSON 松下 Lumix Lumix DMC-LX100 DMC-LX7 DMC-LF1 數碼相機 USB 連接線, 單品",$152,https://www.tw.coupang.com/products/ITSON-%E6%9D%BE%E4%B8%8B-Lumix-Lumix-DMC-LX100-DMC-LX7-DMC-LF1-%E6%95%B8%E7%A2%BC%E7%9B%B8%E6%A9%9F-USB-%E9%80%A3%E6%8E%A5%E7%B7%9A-21004796059319?itemId=21006151546291&vendorItemId=21073447771068&sourceType=search&rank=7&searchId=3c9187484da04948bdd72f10028e0090&q=3x7%E9%A0%BB
"Focusrite Scarlet Solo 3rd Gen + Opus Op.2C耳機耳機耳機性別套件, Scarlett Solo","$3,816",https://www.tw.coupang.com/products/Focusrite-Scarlet-Solo-3rd-Gen-%2B-Opus-Op.2C%E8%80%B3%E6%A9%9F%E8%80%B3%E6%A9%9F%E8%80%B3%E6%A9%9F%E6%80%A7%E5%88%A5%E5%A5%97%E4%BB%B6-21001999933895?itemId=21003403510701&vendorItemId=21071390128751&sourceType=search&rank=8&searchId=3c9187484da04948bdd72f10028e0090&q=3x7%E9%A0%BB
"Focusrite Scarlett 2i2 3rd, 單品","$5,759",https://www.tw.coupang.com/products/Focusrite-Scarlett-2i2-3rd-21000298920168?itemId=21000941453934&vendorItemId=21005327865180&sourceType=search&rank=9&searchId=3c9187484da04948bdd72f10028e0090&q=3x7%E9%A0%BB
