product_name,product_price,product_url
"HERAN 禾聯 智能變頻DC風扇 45.5 x 39 x 83.5~110cm 4.4kg, HDF-16AH510","$1,275",https://www.tw.coupang.com/products/HERAN-%E7%A6%BE%E8%81%AF-%E6%99%BA%E8%83%BD%E8%AE%8A%E9%A0%BBDC%E9%A2%A8%E6%89%87-45.5-x-39-x-83.5~110cm-4.4kg-450911998525444?itemId=450911998509062&vendorItemId=450911998558211&sourceType=search&rank=&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"PAPERMENTS 條紋7分袖圓領連衣裙, 黑色","$1,050",https://www.tw.coupang.com/products/PAPERMENTS-%E6%A2%9D%E7%B4%8B7%E5%88%86%E8%A2%96%E5%9C%93%E9%A0%98%E9%80%A3%E8%A1%A3%E8%A3%99-21006456331137?itemId=21014034919641&vendorItemId=21081283050615&sourceType=search&rank=1&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
男士保養7褲ATD_1017,$380,https://www.tw.coupang.com/products/%E7%94%B7%E5%A3%AB%E4%BF%9D%E9%A4%8A7%E8%A4%B2ATD_1017-21006622089992?itemId=21015059955995&vendorItemId=21082282333430&sourceType=search&rank=2&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
男款7分袖寬版襯衫 FC-2320879,$395,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BE7%E5%88%86%E8%A2%96%E5%AF%AC%E7%89%88%E8%A5%AF%E8%A1%AB-FC-2320879-21007232377325?itemId=21018355299121&vendorItemId=21085499167509&sourceType=search&rank=3&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
PAPERMENTS 女款V領條紋拼接七分袖T恤,$770,https://www.tw.coupang.com/products/PAPERMENTS-%E5%A5%B3%E6%AC%BEV%E9%A0%98%E6%A2%9D%E7%B4%8B%E6%8B%BC%E6%8E%A5%E4%B8%83%E5%88%86%E8%A2%96T%E6%81%A4-21006523396478?itemId=21014462390515&vendorItemId=21081705820743&sourceType=search&rank=4&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
男款中山領7分袖襯衫 FC-2214348,$576,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BE%E4%B8%AD%E5%B1%B1%E9%A0%987%E5%88%86%E8%A2%96%E8%A5%AF%E8%A1%AB-FC-2214348-21007168886892?itemId=21018056212717&vendorItemId=21085210080877&sourceType=search&rank=5&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
GUYSTORY 男款大尺碼7分休閒襯衫,$602,https://www.tw.coupang.com/products/GUYSTORY-%E7%94%B7%E6%AC%BE%E5%A4%A7%E5%B0%BA%E7%A2%BC7%E5%88%86%E4%BC%91%E9%96%92%E8%A5%AF%E8%A1%AB-21006482828464?itemId=21014199067595&vendorItemId=21081444644903&sourceType=search&rank=6&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"Athelic 格紋襯衫領口腰帶休閒大碼連體衣 01920, KAKKI","$1,020",https://www.tw.coupang.com/products/Athelic-%E6%A0%BC%E7%B4%8B%E8%A5%AF%E8%A1%AB%E9%A0%98%E5%8F%A3%E8%85%B0%E5%B8%B6%E4%BC%91%E9%96%92%E5%A4%A7%E7%A2%BC%E9%80%A3%E9%AB%94%E8%A1%A3-01920-21007243584605?itemId=21018410298789&vendorItemId=21085552770564&sourceType=search&rank=7&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
DAKUANG 男款立領條紋七分袖襯衫 C06D14_st2106,$621,https://www.tw.coupang.com/products/DAKUANG-%E7%94%B7%E6%AC%BE%E7%AB%8B%E9%A0%98%E6%A2%9D%E7%B4%8B%E4%B8%83%E5%88%86%E8%A2%96%E8%A5%AF%E8%A1%AB-C06D14_st2106-21005227112645?itemId=21007348392784&vendorItemId=21074639593324&sourceType=search&rank=8&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
男款7分褲 CTD_1009,$464,https://www.tw.coupang.com/products/%E7%94%B7%E6%AC%BE7%E5%88%86%E8%A4%B2-CTD_1009-21006487380222?itemId=21014226983101&vendorItemId=21081472287690&sourceType=search&rank=9&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"URBAN FRANC 7分袖寬鬆連身裙, 卡其色",$965,https://www.tw.coupang.com/products/URBAN-FRANC-7%E5%88%86%E8%A2%96%E5%AF%AC%E9%AC%86%E9%80%A3%E8%BA%AB%E8%A3%99-21006081973363?itemId=21011279572554&vendorItemId=21078556417656&sourceType=search&rank=10&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"NAIN 簡約綁帶針織連身裙 OP-6130, 黑色","$1,444",https://www.tw.coupang.com/products/NAIN-%E7%B0%A1%E7%B4%84%E7%B6%81%E5%B8%B6%E9%87%9D%E7%B9%94%E9%80%A3%E8%BA%AB%E8%A3%99-OP-6130-21007853652228?itemId=21021413376125&vendorItemId=21088469684971&sourceType=search&rank=11&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"櫥櫃氣壓杆 6kg 定位型 265mm GB-265-DP 30入, 混色","$3,312",https://www.tw.coupang.com/products/%E6%AB%A5%E6%AB%83%E6%B0%A3%E5%A3%93%E6%9D%86-6kg-%E5%AE%9A%E4%BD%8D%E5%9E%8B-265mm-GB-265-DP-30%E5%85%A5-21004804340202?itemId=21006171581616&vendorItemId=21073467658635&sourceType=search&rank=12&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
BELISIAN 第 7 部分格子襯衫 BL1216,"$2,152",https://www.tw.coupang.com/products/BELISIAN-%E7%AC%AC-7-%E9%83%A8%E5%88%86%E6%A0%BC%E5%AD%90%E8%A5%AF%E8%A1%AB-BL1216-21006586233337?itemId=21014841860385&vendorItemId=21082081118210&sourceType=search&rank=13&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
Paperments 綠色 X 條紋襯衫春秋季連體衣 03988,"$1,180",https://www.tw.coupang.com/products/Paperments-%E7%B6%A0%E8%89%B2-X-%E6%A2%9D%E7%B4%8B%E8%A5%AF%E8%A1%AB%E6%98%A5%E7%A7%8B%E5%AD%A3%E9%80%A3%E9%AB%94%E8%A1%A3-03988-21007186787177?itemId=21018136478488&vendorItemId=21085287059269&sourceType=search&rank=14&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
iyomumu 女款條紋襯衫 NQ-046,$590,https://www.tw.coupang.com/products/iyomumu-%E5%A5%B3%E6%AC%BE%E6%A2%9D%E7%B4%8B%E8%A5%AF%E8%A1%AB-NQ-046-21006743768427?itemId=21015751148769&vendorItemId=21085927413903&sourceType=search&rank=15&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"NAIN 九卷女人味長連身裙 OP-6175, 淺褐色","$1,977",https://www.tw.coupang.com/products/NAIN-%E4%B9%9D%E5%8D%B7%E5%A5%B3%E4%BA%BA%E5%91%B3%E9%95%B7%E9%80%A3%E8%BA%AB%E8%A3%99-OP-6175-21008025018675?itemId=21022427361567&vendorItemId=21089472043824&sourceType=search&rank=16&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
DAKUANG 男款9分直筒褲 C11J9_pc2407,$580,https://www.tw.coupang.com/products/DAKUANG-%E7%94%B7%E6%AC%BE9%E5%88%86%E7%9B%B4%E7%AD%92%E8%A4%B2-C11J9_pc2407-21004832058915?itemId=21006236763571&vendorItemId=21073532583863&sourceType=search&rank=17&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"ATTERLIC Velvet Vneck Point套筒顏色長 - 襯套Midi連衣裙01360, 黑色","$1,227",https://www.tw.coupang.com/products/ATTERLIC-Velvet-Vneck-Point%E5%A5%97%E7%AD%92%E9%A1%8F%E8%89%B2%E9%95%B7---%E8%A5%AF%E5%A5%97Midi%E9%80%A3%E8%A1%A3%E8%A3%9901360-21006824836290?itemId=21016186803499&vendorItemId=21083382032003&sourceType=search&rank=18&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"ATTERLIC Velvet Vneck Point套筒顏色長 - 襯套Midi連衣裙01360, 黑色","$1,308",https://www.tw.coupang.com/products/ATTERLIC-Velvet-Vneck-Point%E5%A5%97%E7%AD%92%E9%A1%8F%E8%89%B2%E9%95%B7---%E8%A5%AF%E5%A5%97Midi%E9%80%A3%E8%A1%A3%E8%A3%9901360-21006825629642?itemId=21016190733866&vendorItemId=21083385890445&sourceType=search&rank=19&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"櫥櫃氣壓杆 10kg 定位型 265mm GB-265-DP 30入, 混色","$3,312",https://www.tw.coupang.com/products/%E6%AB%A5%E6%AB%83%E6%B0%A3%E5%A3%93%E6%9D%86-10kg-%E5%AE%9A%E4%BD%8D%E5%9E%8B-265mm-GB-265-DP-30%E5%85%A5-21004804348939?itemId=21006171620850&vendorItemId=21073467660992&sourceType=search&rank=20&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"A-Hope金箔隔斷簾一體式+拉桿組, 03型",$989,https://www.tw.coupang.com/products/A-Hope%E9%87%91%E7%AE%94%E9%9A%94%E6%96%B7%E7%B0%BE%E4%B8%80%E9%AB%94%E5%BC%8F%2B%E6%8B%89%E6%A1%BF%E7%B5%84-21004845964991?itemId=21006267358345&vendorItemId=21073562991401&sourceType=search&rank=21&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"NAIN 九分領襯衫一件 OP-6181, 淺藍","$2,344",https://www.tw.coupang.com/products/NAIN-%E4%B9%9D%E5%88%86%E9%A0%98%E8%A5%AF%E8%A1%AB%E4%B8%80%E4%BB%B6-OP-6181-21007978114036?itemId=21022124539624&vendorItemId=21089171394339&sourceType=search&rank=22&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"NAIN 九分領襯衫一件 OP-6181, 白色","$2,736",https://www.tw.coupang.com/products/NAIN-%E4%B9%9D%E5%88%86%E9%A0%98%E8%A5%AF%E8%A1%AB%E4%B8%80%E4%BB%B6-OP-6181-21007986682855?itemId=21022186613284&vendorItemId=21089232884801&sourceType=search&rank=23&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"Biviemo Gerin 拼接線條襯衫式辦公室長連衣裙 02749, 黑色","$1,371",https://www.tw.coupang.com/products/Biviemo-Gerin-%E6%8B%BC%E6%8E%A5%E7%B7%9A%E6%A2%9D%E8%A5%AF%E8%A1%AB%E5%BC%8F%E8%BE%A6%E5%85%AC%E5%AE%A4%E9%95%B7%E9%80%A3%E8%A1%A3%E8%A3%99-02749-21007170225274?itemId=21018062458899&vendorItemId=21085216192403&sourceType=search&rank=24&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
"KNIPEX 櫃檯顯示 38-41-190 5p+28-01-200 5p 套組, 1套","$10,631",https://www.tw.coupang.com/products/KNIPEX-%E6%AB%83%E6%AA%AF%E9%A1%AF%E7%A4%BA-38-41-190-5p%2B28-01-200-5p-%E5%A5%97%E7%B5%84-21005353486967?itemId=21007879753626&vendorItemId=21075169290380&sourceType=search&rank=25&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
DAKUANG 男款素色7分袖襯衫 B04B3_ss1261,$653,https://www.tw.coupang.com/products/DAKUANG-%E7%94%B7%E6%AC%BE%E7%B4%A0%E8%89%B27%E5%88%86%E8%A2%96%E8%A5%AF%E8%A1%AB-B04B3_ss1261-21001598239126?itemId=21002730375602&vendorItemId=21070720516192&sourceType=search&rank=26&searchId=89fc8e537ec342dead1a2597a7c30eef&q=5-7%E5%9D%AA
