product_name,product_price,product_url
"Kinyo 延長用電源線組 3開3插 CG133-6 W65 x H30 x D170mm 335g, 1.8m, 1個",$201,https://www.tw.coupang.com/products/Kinyo-%E5%BB%B6%E9%95%B7%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A%E7%B5%84-3%E9%96%8B3%E6%8F%92-CG133-6-W65-x-H30-x-D170mm-335g-150858264182793?itemId=150857890906127&vendorItemId=153806914404354&sourceType=search&rank=&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"統一 H2O water 純水, 5.8L, 6桶",$260,https://www.tw.coupang.com/products/%E7%B5%B1%E4%B8%80-H2O-water-%E7%B4%94%E6%B0%B4-254014276993026?itemId=255121623564294&vendorItemId=255122588286996&sourceType=search&rank=1&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"KiKimmy 火車軌道拼圖墊13件組 H1159 泡棉跑道墊 58 x 87cm 6個 + 火車頭 + 泡棉人偶 6個, 1組",$406,https://www.tw.coupang.com/products/KiKimmy-%E7%81%AB%E8%BB%8A%E8%BB%8C%E9%81%93%E6%8B%BC%E5%9C%96%E5%A2%8A13%E4%BB%B6%E7%B5%84-H1159-%E6%B3%A1%E6%A3%89%E8%B7%91%E9%81%93%E5%A2%8A-58-x-87cm-6%E5%80%8B-%2B-%E7%81%AB%E8%BB%8A%E9%A0%AD-%2B-%E6%B3%A1%E6%A3%89%E4%BA%BA%E5%81%B6-6%E5%80%8B-455218210734083?itemId=455218210783235&vendorItemId=455218210750465&sourceType=search&rank=2&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"SUNKEY 手錶螺絲起子 6 件組 SPS-6H, 1組",$272,https://www.tw.coupang.com/products/SUNKEY-%E6%89%8B%E9%8C%B6%E8%9E%BA%E7%B5%B2%E8%B5%B7%E5%AD%90-6-%E4%BB%B6%E7%B5%84-SPS-6H-21004507773825?itemId=21005418984376&vendorItemId=21088949782656&sourceType=search&rank=3&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"KiKimmy ULTRAMAN 超人力霸王 削鉛筆機 H1090 8.8 x 4.5 x 9cm 6歲以上, 紅色, 1個",$199,https://www.tw.coupang.com/products/KiKimmy-ULTRAMAN-%E8%B6%85%E4%BA%BA%E5%8A%9B%E9%9C%B8%E7%8E%8B-%E5%89%8A%E9%89%9B%E7%AD%86%E6%A9%9F-H1090-8.8-x-4.5-x-9cm-6%E6%AD%B2%E4%BB%A5%E4%B8%8A-455218206556162?itemId=455218206572545&vendorItemId=455218206556161&sourceType=search&rank=4&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"sangsanggram Winix Zero Plus空氣清淨機兼容基本款濾芯, CAF-H0S6",$604,https://www.tw.coupang.com/products/sangsanggram-Winix-Zero-Plus%E7%A9%BA%E6%B0%A3%E6%B8%85%E6%B7%A8%E6%A9%9F%E5%85%BC%E5%AE%B9%E5%9F%BA%E6%9C%AC%E6%AC%BE%E6%BF%BE%E8%8A%AF-21001499048621?itemId=21002574189199&vendorItemId=21070566505700&sourceType=search&rank=5&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"Kinyo 延長用電源線組 3開3插 CG133-6 W65 x H30 x D170mm 335g, 1.8m, 2個",$403,https://www.tw.coupang.com/products/Kinyo-%E5%BB%B6%E9%95%B7%E7%94%A8%E9%9B%BB%E6%BA%90%E7%B7%9A%E7%B5%84-3%E9%96%8B3%E6%8F%92-CG133-6-W65-x-H30-x-D170mm-335g-150858264182793?itemId=456312311758853&vendorItemId=456312311709697&sourceType=search&rank=6&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"Shallop 刷樂 濃密深潔牙刷 SAA-H004-1 顏色隨機, 1入, 6支",$243,https://www.tw.coupang.com/products/Shallop-%E5%88%B7%E6%A8%82-%E6%BF%83%E5%AF%86%E6%B7%B1%E6%BD%94%E7%89%99%E5%88%B7-SAA-H004-1-%E9%A1%8F%E8%89%B2%E9%9A%A8%E6%A9%9F-269988900356100?itemId=280880979345419&vendorItemId=280880014671881&sourceType=search&rank=7&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"Ramalisa 羅蔓莉莎 24H超防水魔力睫毛膠 白膠 7ml, 6支",$415,https://www.tw.coupang.com/products/Ramalisa-%E7%BE%85%E8%94%93%E8%8E%89%E8%8E%8E-24H%E8%B6%85%E9%98%B2%E6%B0%B4%E9%AD%94%E5%8A%9B%E7%9D%AB%E6%AF%9B%E8%86%A0-%E7%99%BD%E8%86%A0-7ml-277691123056649?itemId=385681692016645&vendorItemId=385681687773195&sourceType=search&rank=8&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"3M Nexcare 人工皮防水透氣繃 H5504 4片裝, 6盒",$319,https://www.tw.coupang.com/products/3M-Nexcare-%E4%BA%BA%E5%B7%A5%E7%9A%AE%E9%98%B2%E6%B0%B4%E9%80%8F%E6%B0%A3%E7%B9%83-H5504-4%E7%89%87%E8%A3%9D-156522558472209?itemId=278362211729426&vendorItemId=278363176402945&sourceType=search&rank=9&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"JMsolution 肌司研 H9玻尿酸溫和卸妝水, 850ml, 6瓶",$613,https://www.tw.coupang.com/products/JMsolution-%E8%82%8C%E5%8F%B8%E7%A0%94-H9%E7%8E%BB%E5%B0%BF%E9%85%B8%E6%BA%AB%E5%92%8C%E5%8D%B8%E5%A6%9D%E6%B0%B4-253313341685777?itemId=385318335250441&vendorItemId=385318335250438&sourceType=search&rank=10&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"Shallop 刷樂 濃密護齦牙刷 SAA-H001-1 顏色隨機, 1入, 6支",$247,https://www.tw.coupang.com/products/Shallop-%E5%88%B7%E6%A8%82-%E6%BF%83%E5%AF%86%E8%AD%B7%E9%BD%A6%E7%89%99%E5%88%B7-SAA-H001-1-%E9%A1%8F%E8%89%B2%E9%9A%A8%E6%A9%9F-280113597874188?itemId=416162588344329&vendorItemId=416162588344324&sourceType=search&rank=11&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"EMPIRE 不銹鋼夾角 3 號 6H09T28, 20個",$119,https://www.tw.coupang.com/products/EMPIRE-%E4%B8%8D%E9%8A%B9%E9%8B%BC%E5%A4%BE%E8%A7%92-3-%E8%99%9F-6H09T28-21002140111387?itemId=21003634572230&vendorItemId=21071620125739&sourceType=search&rank=12&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
"JUST HOME 純白新骨瓷6吋麵碗3件組 H0221-02 15.2 x 6.8cm, 白色, 1組",$245,https://www.tw.coupang.com/products/JUST-HOME-%E7%B4%94%E7%99%BD%E6%96%B0%E9%AA%A8%E7%93%B76%E5%90%8B%E9%BA%B5%E7%A2%973%E4%BB%B6%E7%B5%84-H0221-02-15.2-x-6.8cm-454144846413824?itemId=454144846446592&vendorItemId=454144842252293&sourceType=search&rank=13&searchId=6fd5f3ce18c5471fa9796245db0d46be&q=6h
