product_name,product_price,product_url
"Koken 6角套筒+短套筒扳手 2275 19件組, 1套","$3,133",https://www.tw.coupang.com/products/Koken-6%E8%A7%92%E5%A5%97%E7%AD%92%2B%E7%9F%AD%E5%A5%97%E7%AD%92%E6%89%B3%E6%89%8B-2275-19%E4%BB%B6%E7%B5%84-21007217011385?itemId=21018278923302&vendorItemId=21085424917968&sourceType=search&rank=&searchId=297305ec397e4ae691ef115e793c9081&q=6%E8%A7%92%E5%A5%97%E7%AD%92
"Koken 1/2 SQ 6角套筒扳手組 4251A-6P 18件入, 1套","$3,492",https://www.tw.coupang.com/products/Koken-1%2F2-SQ-6%E8%A7%92%E5%A5%97%E7%AD%92%E6%89%B3%E6%89%8B%E7%B5%84-4251A-6P-18%E4%BB%B6%E5%85%A5-21007217011186?itemId=21018278922661&vendorItemId=21085424917288&sourceType=search&rank=1&searchId=297305ec397e4ae691ef115e793c9081&q=6%E8%A7%92%E5%A5%97%E7%AD%92
"CRESCENT 鍍鉻6角扳手套筒組 CSAS9N 10入, 1個",$378,https://www.tw.coupang.com/products/CRESCENT-%E9%8D%8D%E9%89%BB6%E8%A7%92%E6%89%B3%E6%89%8B%E5%A5%97%E7%AD%92%E7%B5%84-CSAS9N-10%E5%85%A5-21000119584518?itemId=21000356378578&vendorItemId=21003867585922&sourceType=search&rank=2&searchId=297305ec397e4ae691ef115e793c9081&q=6%E8%A7%92%E5%A5%97%E7%AD%92
"CRESCENT 6角氣墊套筒 黑色 2.1cm 0.5吋, 1個",$256,https://www.tw.coupang.com/products/CRESCENT-6%E8%A7%92%E6%B0%A3%E5%A2%8A%E5%A5%97%E7%AD%92-%E9%BB%91%E8%89%B2-2.1cm-0.5%E5%90%8B-21000119583457?itemId=21000356376701&vendorItemId=21003867580887&sourceType=search&rank=3&searchId=297305ec397e4ae691ef115e793c9081&q=6%E8%A7%92%E5%A5%97%E7%AD%92
"Koken 1/4 SQ 6角套筒扳手組 P2258M 31件入, 1套","$5,156",https://www.tw.coupang.com/products/Koken-1%2F4-SQ-6%E8%A7%92%E5%A5%97%E7%AD%92%E6%89%B3%E6%89%8B%E7%B5%84-P2258M-31%E4%BB%B6%E5%85%A5-21007217011679?itemId=21018278924441&vendorItemId=21085424918707&sourceType=search&rank=4&searchId=297305ec397e4ae691ef115e793c9081&q=6%E8%A7%92%E5%A5%97%E7%AD%92
"CRESCENT 6角螺絲轉接頭 CIMS35N 1.3cm 21mm 黑色, 1個",$271,https://www.tw.coupang.com/products/CRESCENT-6%E8%A7%92%E8%9E%BA%E7%B5%B2%E8%BD%89%E6%8E%A5%E9%A0%AD-CIMS35N-1.3cm-21mm-%E9%BB%91%E8%89%B2-21000119584599?itemId=21000356378699&vendorItemId=21003867586323&sourceType=search&rank=5&searchId=297305ec397e4ae691ef115e793c9081&q=6%E8%A7%92%E5%A5%97%E7%AD%92
"CRESCENT 12角氣墊套筒組 CDS63N 1.3cm 3cm, 1個",$220,https://www.tw.coupang.com/products/CRESCENT-12%E8%A7%92%E6%B0%A3%E5%A2%8A%E5%A5%97%E7%AD%92%E7%B5%84-CDS63N-1.3cm-3cm-21000119583613?itemId=21000356376934&vendorItemId=21003867581690&sourceType=search&rank=6&searchId=297305ec397e4ae691ef115e793c9081&q=6%E8%A7%92%E5%A5%97%E7%AD%92
"NS_【良匠工具】4分6角 手動長套筒8顆組合包 (尺寸: 12+14+15+16+17+20+21+23mm), 1入",$225,https://www.tw.coupang.com/products/NS_%E3%80%90%E8%89%AF%E5%8C%A0%E5%B7%A5%E5%85%B7%E3%80%914%E5%88%866%E8%A7%92-%E6%89%8B%E5%8B%95%E9%95%B7%E5%A5%97%E7%AD%928%E9%A1%86%E7%B5%84%E5%90%88%E5%8C%85-(%E5%B0%BA%E5%AF%B8%3A-12%2B14%2B15%2B16%2B17%2B20%2B21%2B23mm)-468901808766980?itemId=468901808799745&vendorItemId=468901808766977&sourceType=search&rank=7&searchId=297305ec397e4ae691ef115e793c9081&q=6%E8%A7%92%E5%A5%97%E7%AD%92
"NS_【良匠工具】4分6角 手動短套筒16顆組合包 (尺寸: 8+10+12~21+23+24+26+28mm), 1入",$338,https://www.tw.coupang.com/products/NS_%E3%80%90%E8%89%AF%E5%8C%A0%E5%B7%A5%E5%85%B7%E3%80%914%E5%88%866%E8%A7%92-%E6%89%8B%E5%8B%95%E7%9F%AD%E5%A5%97%E7%AD%9216%E9%A1%86%E7%B5%84%E5%90%88%E5%8C%85-(%E5%B0%BA%E5%AF%B8%3A-8%2B10%2B12~21%2B23%2B24%2B26%2B28mm)-468901812994049?itemId=468901812961282&vendorItemId=468901812961281&sourceType=search&rank=8&searchId=297305ec397e4ae691ef115e793c9081&q=6%E8%A7%92%E5%A5%97%E7%AD%92
"Koken 1/2 SQ 6角套筒扳手組 4269A-6P 16件入, 1套","$4,421",https://www.tw.coupang.com/products/Koken-1%2F2-SQ-6%E8%A7%92%E5%A5%97%E7%AD%92%E6%89%B3%E6%89%8B%E7%B5%84-4269A-6P-16%E4%BB%B6%E5%85%A5-21007217011812?itemId=21018278924807&vendorItemId=21085424919257&sourceType=search&rank=9&searchId=297305ec397e4ae691ef115e793c9081&q=6%E8%A7%92%E5%A5%97%E7%AD%92
