product_name,product_price,product_url
"Tajima 田島 160m PRM-L160P, 1個",$244,https://www.tw.coupang.com/products/Tajima-%E7%94%B0%E5%B3%B6-160m-PRM-L160P-21007313611266?itemId=21018741642102&vendorItemId=21089154162296&sourceType=search&rank=&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"HANDY MAN 安全信號桿基本型, 1個",$97,https://www.tw.coupang.com/products/HANDY-MAN-%E5%AE%89%E5%85%A8%E4%BF%A1%E8%99%9F%E6%A1%BF%E5%9F%BA%E6%9C%AC%E5%9E%8B-21000065524012?itemId=21000221024921&vendorItemId=21003534998945&sourceType=search&rank=1&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"Reytec 信息安全安全監控片w, 1個, 368 x 230 x 434 毫米",$956,https://www.tw.coupang.com/products/Reytec-%E4%BF%A1%E6%81%AF%E5%AE%89%E5%85%A8%E5%AE%89%E5%85%A8%E7%9B%A3%E6%8E%A7%E7%89%87w-21000344987666?itemId=21001095673104&vendorItemId=21003146837654&sourceType=search&rank=2&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"DIXEN L型訂書針 4000入, 1個",$308,https://www.tw.coupang.com/products/DIXEN-L%E5%9E%8B%E8%A8%82%E6%9B%B8%E9%87%9D-4000%E5%85%A5-21002286645604?itemId=21003930483661&vendorItemId=21071914969868&sourceType=search&rank=3&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"Tajima 田島 卡住自動 PS-COZMIT8, 1個",$663,https://www.tw.coupang.com/products/Tajima-%E7%94%B0%E5%B3%B6-%E5%8D%A1%E4%BD%8F%E8%87%AA%E5%8B%95-PS-COZMIT8-21007183160952?itemId=21018120499680&vendorItemId=21089117876143&sourceType=search&rank=4&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"BUILDONE 視頻電話精加工銀牌, BO-VP600, 1個",$326,https://www.tw.coupang.com/products/BUILDONE-%E8%A6%96%E9%A0%BB%E9%9B%BB%E8%A9%B1%E7%B2%BE%E5%8A%A0%E5%B7%A5%E9%8A%80%E7%89%8C-21000067921402?itemId=21000226872371&vendorItemId=21003552000301&sourceType=search&rank=5&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"Peace 訂書針 F10, 1個",$115,https://www.tw.coupang.com/products/Peace-%E8%A8%82%E6%9B%B8%E9%87%9D-F10-21000073219029?itemId=21000244091730&vendorItemId=21003600680387&sourceType=search&rank=6&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"長安郡 BB Summit Round 1000p 0.2g, 1個",$108,https://www.tw.coupang.com/products/%E9%95%B7%E5%AE%89%E9%83%A1-BB-Summit-Round-1000p-0.2g-21005470459614?itemId=21008403975269&vendorItemId=21075691704496&sourceType=search&rank=7&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"田島安全捲尺 SFL25-75 7.5m, 1個",$557,https://www.tw.coupang.com/products/%E7%94%B0%E5%B3%B6%E5%AE%89%E5%85%A8%E6%8D%B2%E5%B0%BA-SFL25-75-7.5m-21007445083127?itemId=21019369082214&vendorItemId=21076312501639&sourceType=search&rank=8&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"MYTOW 圖安卡 TA-30, 1組",$608,https://www.tw.coupang.com/products/MYTOW-%E5%9C%96%E5%AE%89%E5%8D%A1-TA-30-21001703032833?itemId=21002898205240&vendorItemId=21005282053004&sourceType=search&rank=9&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"Rapid 訂書針 26/8+, 1個",$218,https://www.tw.coupang.com/products/Rapid-%E8%A8%82%E6%9B%B8%E9%87%9D-26%2F8%2B-21000098676077?itemId=21000302467661&vendorItemId=21003745253206&sourceType=search&rank=10&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"K2 安全絕緣 KV-81, 1個","$3,481",https://www.tw.coupang.com/products/K2-%E5%AE%89%E5%85%A8%E7%B5%95%E7%B7%A3-KV-81-21007319938136?itemId=21018772049632&vendorItemId=21085903675300&sourceType=search&rank=11&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"K2 安全 K2-67, 1個","$1,355",https://www.tw.coupang.com/products/K2-%E5%AE%89%E5%85%A8-K2-67-21007259852516?itemId=21018489088584&vendorItemId=21085628716588&sourceType=search&rank=12&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"K2 安全絕緣 KV-80, 1個","$3,253",https://www.tw.coupang.com/products/K2-%E5%AE%89%E5%85%A8%E7%B5%95%E7%B7%A3-KV-80-21007320262045?itemId=21018773467671&vendorItemId=21085905030772&sourceType=search&rank=13&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
"K2 安全林業 K2-69, 1個","$2,496",https://www.tw.coupang.com/products/K2-%E5%AE%89%E5%85%A8%E6%9E%97%E6%A5%AD-K2-69-21007295754480?itemId=21018657253566&vendorItemId=21085791958946&sourceType=search&rank=14&searchId=1f8bfd27d8dd45cbb9667ca1b81ebfbb&q=80000%E6%AF%AB%E5%AE%89
