product_name,product_price,product_url
"加倍潔 制菌消臭 酵素小蘇打洗衣乳, 2.4kg, 1瓶",$86,https://www.tw.coupang.com/products/%E5%8A%A0%E5%80%8D%E6%BD%94-%E5%88%B6%E8%8F%8C%E6%B6%88%E8%87%AD-%E9%85%B5%E7%B4%A0%E5%B0%8F%E8%98%87%E6%89%93%E6%B4%97%E8%A1%A3%E4%B9%B3-260613078990849?itemId=260614077267969&vendorItemId=164584841248768&sourceType=search&rank=&searchId=c1052780a3e1401c99d5a61622615dfd&q=8%E5%80%8D%E6%B6%88%E8%87%AD%E9%85%B5%E7%B4%A0
"Simply 新普利 夜酵素SUPER DX, 30顆, 0.75g, 1盒",$531,https://www.tw.coupang.com/products/Simply-%E6%96%B0%E6%99%AE%E5%88%A9-%E5%A4%9C%E9%85%B5%E7%B4%A0SUPER-DX-316376904351748?itemId=316377860636675&vendorItemId=316376904351747&sourceType=search&rank=1&searchId=c1052780a3e1401c99d5a61622615dfd&q=8%E5%80%8D%E6%B6%88%E8%87%AD%E9%85%B5%E7%B4%A0
"加倍潔 酵素小蘇打洗衣乳 消臭 補充包, 1.6kg, 2包",$81,https://www.tw.coupang.com/products/%E5%8A%A0%E5%80%8D%E6%BD%94-%E9%85%B5%E7%B4%A0%E5%B0%8F%E8%98%87%E6%89%93%E6%B4%97%E8%A1%A3%E4%B9%B3-%E6%B6%88%E8%87%AD-%E8%A3%9C%E5%85%85%E5%8C%85-260613037047808?itemId=390364061974537&vendorItemId=390364061958150&sourceType=search&rank=2&searchId=c1052780a3e1401c99d5a61622615dfd&q=8%E5%80%8D%E6%B6%88%E8%87%AD%E9%85%B5%E7%B4%A0
"febreze 風倍清 織物除菌消臭噴霧 高效除菌, 370ml, 1瓶",$67,https://www.tw.coupang.com/products/febreze-%E9%A2%A8%E5%80%8D%E6%B8%85-%E7%B9%94%E7%89%A9%E9%99%A4%E8%8F%8C%E6%B6%88%E8%87%AD%E5%99%B4%E9%9C%A7-%E9%AB%98%E6%95%88%E9%99%A4%E8%8F%8C-254020526522369?itemId=254021382144005&vendorItemId=254021382144001&sourceType=search&rank=3&searchId=c1052780a3e1401c99d5a61622615dfd&q=8%E5%80%8D%E6%B6%88%E8%87%AD%E9%85%B5%E7%B4%A0
"Simply 新普利 超濃代謝夜酵素錠EX, 0.6g, 30顆, 1盒",$409,https://www.tw.coupang.com/products/Simply-%E6%96%B0%E6%99%AE%E5%88%A9-%E8%B6%85%E6%BF%83%E4%BB%A3%E8%AC%9D%E5%A4%9C%E9%85%B5%E7%B4%A0%E9%8C%A0EX-278033059495939?itemId=278034112299015&vendorItemId=278034112299011&sourceType=search&rank=4&searchId=c1052780a3e1401c99d5a61622615dfd&q=8%E5%80%8D%E6%B6%88%E8%87%AD%E9%85%B5%E7%B4%A0
"Simply 新普利 食事油切酵素錠EX 1.1g, 30顆, 1盒",$415,https://www.tw.coupang.com/products/Simply-%E6%96%B0%E6%99%AE%E5%88%A9-%E9%A3%9F%E4%BA%8B%E6%B2%B9%E5%88%87%E9%85%B5%E7%B4%A0%E9%8C%A0EX-1.1g-166748712026113?itemId=166749181820929&vendorItemId=166748712026112&sourceType=search&rank=5&searchId=c1052780a3e1401c99d5a61622615dfd&q=8%E5%80%8D%E6%B6%88%E8%87%AD%E9%85%B5%E7%B4%A0
"Simply 新普利 夜間代謝酵素錠, 30顆, 2盒",$588,https://www.tw.coupang.com/products/Simply-%E6%96%B0%E6%99%AE%E5%88%A9-%E5%A4%9C%E9%96%93%E4%BB%A3%E8%AC%9D%E9%85%B5%E7%B4%A0%E9%8C%A0-201474244067355?itemId=201473572945946&vendorItemId=201474848030724&sourceType=search&rank=6&searchId=c1052780a3e1401c99d5a61622615dfd&q=8%E5%80%8D%E6%B6%88%E8%87%AD%E9%85%B5%E7%B4%A0
"室翲香 活氧酵素去漬霸 S-045, 650g, 2包",$119,https://www.tw.coupang.com/products/%E5%AE%A4%E7%BF%B2%E9%A6%99-%E6%B4%BB%E6%B0%A7%E9%85%B5%E7%B4%A0%E5%8E%BB%E6%BC%AC%E9%9C%B8-S-045-164627505692680?itemId=390364095528960&vendorItemId=390364091351047&sourceType=search&rank=7&searchId=c1052780a3e1401c99d5a61622615dfd&q=8%E5%80%8D%E6%B6%88%E8%87%AD%E9%85%B5%E7%B4%A0
"大漢酵素 綜合88蔬果醱酵液, 720ml, 1瓶",$900,https://www.tw.coupang.com/products/%E5%A4%A7%E6%BC%A2%E9%85%B5%E7%B4%A0-%E7%B6%9C%E5%90%8888%E8%94%AC%E6%9E%9C%E9%86%B1%E9%85%B5%E6%B6%B2-159151787327503?itemId=159152198352896&vendorItemId=159151787327498&sourceType=search&rank=8&searchId=c1052780a3e1401c99d5a61622615dfd&q=8%E5%80%8D%E6%B6%88%E8%87%AD%E9%85%B5%E7%B4%A0
"加倍潔 除漬酵素小蘇打洗衣乳 補充包, 1.6kg, 2包",$82,https://www.tw.coupang.com/products/%E5%8A%A0%E5%80%8D%E6%BD%94-%E9%99%A4%E6%BC%AC%E9%85%B5%E7%B4%A0%E5%B0%8F%E8%98%87%E6%89%93%E6%B4%97%E8%A1%A3%E4%B9%B3-%E8%A3%9C%E5%85%85%E5%8C%85-260613078990858?itemId=265983579078660&vendorItemId=265984606715905&sourceType=search&rank=9&searchId=c1052780a3e1401c99d5a61622615dfd&q=8%E5%80%8D%E6%B6%88%E8%87%AD%E9%85%B5%E7%B4%A0
