product_name,product_price,product_url
"BRITA MAXTRA Plus cartridge濾水芯3+1, 1組",$461,https://www.tw.coupang.com/products/BRITA-MAXTRA-Plus-cartridge%E6%BF%BE%E6%B0%B4%E8%8A%AF3%2B1-273957416550408?itemId=273958465159175&vendorItemId=273959417249793&sourceType=search&rank=&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
BRITA Marella 馬利拉濾水壺 3.5L 附Maxtra + 全效型濾芯 Marella XL White,$418,https://www.tw.coupang.com/products/BRITA-Marella-%E9%A6%AC%E5%88%A9%E6%8B%89%E6%BF%BE%E6%B0%B4%E5%A3%BA-3.5L-%E9%99%84Maxtra-%2B-%E5%85%A8%E6%95%88%E5%9E%8B%E6%BF%BE%E8%8A%AF-Marella-XL-White-214220847153152?itemId=214219442044928&vendorItemId=214220180275200&sourceType=search&rank=1&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"BRITA 濾芯 純淨全效 150L 106g 4個, MAXTRA PRO, 1盒",$888,https://www.tw.coupang.com/products/BRITA-%E6%BF%BE%E8%8A%AF-%E7%B4%94%E6%B7%A8%E5%85%A8%E6%95%88-150L-106g-4%E5%80%8B-458853586026500?itemId=458853586010117&vendorItemId=458853586010115&sourceType=search&rank=2&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"AirLab Komask Nose Clean 原裝標準 SS 3p + 替換過濾器標準 12p 套裝, 2個",$964,https://www.tw.coupang.com/products/AirLab-Komask-Nose-Clean-%E5%8E%9F%E8%A3%9D%E6%A8%99%E6%BA%96-SS-3p-%2B-%E6%9B%BF%E6%8F%9B%E9%81%8E%E6%BF%BE%E5%99%A8%E6%A8%99%E6%BA%96-12p-%E5%A5%97%E8%A3%9D-21007598426908?itemId=21020106059754&vendorItemId=21087201017249&sourceType=search&rank=3&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"Nusim Dyson清潔劑V10郵政清潔濾器, 單品, 2個",$229,https://www.tw.coupang.com/products/Nusim-Dyson%E6%B8%85%E6%BD%94%E5%8A%91V10%E9%83%B5%E6%94%BF%E6%B8%85%E6%BD%94%E6%BF%BE%E5%99%A8-21006080823731?itemId=21011271574758&vendorItemId=21078548474078&sourceType=search&rank=4&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"飛利浦 Satinel Advanced 身體脫毛器白色, BRE700/00","$1,803",https://www.tw.coupang.com/products/%E9%A3%9B%E5%88%A9%E6%B5%A6-Satinel-Advanced-%E8%BA%AB%E9%AB%94%E8%84%AB%E6%AF%9B%E5%99%A8%E7%99%BD%E8%89%B2-21007124433690?itemId=21017846084891&vendorItemId=21085009593332&sourceType=search&rank=5&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"3M 洗滌清潔淨水系統替換濾芯, HF27, 1個","$1,552",https://www.tw.coupang.com/products/3M-%E6%B4%97%E6%BB%8C%E6%B8%85%E6%BD%94%E6%B7%A8%E6%B0%B4%E7%B3%BB%E7%B5%B1%E6%9B%BF%E6%8F%9B%E6%BF%BE%E8%8A%AF-270392325292033?itemId=270393264799750&vendorItemId=270392325292032&sourceType=search&rank=6&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"Refilter Dr.PL Premium Kitchen Handy Type 兼容過濾器, 9個, 無香",$340,https://www.tw.coupang.com/products/Refilter-Dr.PL-Premium-Kitchen-Handy-Type-%E5%85%BC%E5%AE%B9%E9%81%8E%E6%BF%BE%E5%99%A8-21007062776793?itemId=21017517108930&vendorItemId=21084684306770&sourceType=search&rank=7&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"再過濾器 Doctor Pure 淋浴兼容過濾器, 4個",$201,https://www.tw.coupang.com/products/%E5%86%8D%E9%81%8E%E6%BF%BE%E5%99%A8-Doctor-Pure-%E6%B7%8B%E6%B5%B4%E5%85%BC%E5%AE%B9%E9%81%8E%E6%BF%BE%E5%99%A8-21005531798808?itemId=21008682745262&vendorItemId=21075969851336&sourceType=search&rank=8&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"ENEX 操作系統兼容完美清潔淋浴噴頭補充過濾器 3p, 1個",$188,https://www.tw.coupang.com/products/ENEX-%E6%93%8D%E4%BD%9C%E7%B3%BB%E7%B5%B1%E5%85%BC%E5%AE%B9%E5%AE%8C%E7%BE%8E%E6%B8%85%E6%BD%94%E6%B7%8B%E6%B5%B4%E5%99%B4%E9%A0%AD%E8%A3%9C%E5%85%85%E9%81%8E%E6%BF%BE%E5%99%A8-3p-21001693925165?itemId=21002883881172&vendorItemId=21070872980457&sourceType=search&rank=9&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"Black&Decker蒸氣拖把替換布, 單品, 2個",$256,https://www.tw.coupang.com/products/Black%26Decker%E8%92%B8%E6%B0%A3%E6%8B%96%E6%8A%8A%E6%9B%BF%E6%8F%9B%E5%B8%83-21005335691317?itemId=21007803242529&vendorItemId=21075093238081&sourceType=search&rank=10&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"伊萊克斯 Love Your Day 無繩水壺, EEK3505",$723,https://www.tw.coupang.com/products/%E4%BC%8A%E8%90%8A%E5%85%8B%E6%96%AF-Love-Your-Day-%E7%84%A1%E7%B9%A9%E6%B0%B4%E5%A3%BA-21007310826288?itemId=21018728811716&vendorItemId=21085861420548&sourceType=search&rank=11&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"s.bag 飛利浦Electrolux海綿清潔器電動機過濾器, 單品, 2個",$148,https://www.tw.coupang.com/products/s.bag-%E9%A3%9B%E5%88%A9%E6%B5%A6Electrolux%E6%B5%B7%E7%B6%BF%E6%B8%85%E6%BD%94%E5%99%A8%E9%9B%BB%E5%8B%95%E6%A9%9F%E9%81%8E%E6%BF%BE%E5%99%A8-21004655050587?itemId=21005807925126&vendorItemId=21073106379995&sourceType=search&rank=12&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"HAAN 蒸氣洗地機, HESM-D1300WT, 白色 灰色","$2,758",https://www.tw.coupang.com/products/HAAN-%E8%92%B8%E6%B0%A3%E6%B4%97%E5%9C%B0%E6%A9%9F-21006055419599?itemId=21011113714280&vendorItemId=21078392785987&sourceType=search&rank=13&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"重新過濾 Petielin Pure Dot Shower 兼容過濾器, 12個",$375,https://www.tw.coupang.com/products/%E9%87%8D%E6%96%B0%E9%81%8E%E6%BF%BE-Petielin-Pure-Dot-Shower-%E5%85%BC%E5%AE%B9%E9%81%8E%E6%BF%BE%E5%99%A8-21005531798215?itemId=21008682742443&vendorItemId=21075969847808&sourceType=search&rank=14&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"LAICA 萊卡 濾水壺 Predator + Bi-Flux 濾芯 2入, 紅色的, 2.3L","$2,677",https://www.tw.coupang.com/products/LAICA-%E8%90%8A%E5%8D%A1-%E6%BF%BE%E6%B0%B4%E5%A3%BA-Predator-%2B-Bi-Flux-%E6%BF%BE%E8%8A%AF-2%E5%85%A5-21000025793392?itemId=21000100418404&vendorItemId=21003184811494&sourceType=search&rank=15&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"適用於飛利浦/伊萊克斯真空吸塵器的 HEPA 過濾器, 單品, 1個",$138,https://www.tw.coupang.com/products/%E9%81%A9%E7%94%A8%E6%96%BC%E9%A3%9B%E5%88%A9%E6%B5%A6%2F%E4%BC%8A%E8%90%8A%E5%85%8B%E6%96%AF%E7%9C%9F%E7%A9%BA%E5%90%B8%E5%A1%B5%E5%99%A8%E7%9A%84-HEPA-%E9%81%8E%E6%BF%BE%E5%99%A8-21001515749201?itemId=21002601484188&vendorItemId=21070592661883&sourceType=search&rank=16&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
"再過濾器 HIA WHIA 淋浴兼容過濾器, 4個",$197,https://www.tw.coupang.com/products/%E5%86%8D%E9%81%8E%E6%BF%BE%E5%99%A8-HIA-WHIA-%E6%B7%8B%E6%B5%B4%E5%85%BC%E5%AE%B9%E9%81%8E%E6%BF%BE%E5%99%A8-21005531798857?itemId=21008682745410&vendorItemId=21075969851607&sourceType=search&rank=17&searchId=f3f2fbe4ef9f40ff943c953a46193fa0&q=breu
