product_name,product_price,product_url
"Young SMPS 壁掛式DC變壓器/直流穩壓電源供應器 12V 1A, 1個, 1.5m",$211,https://www.tw.coupang.com/products/Young-SMPS-%E5%A3%81%E6%8E%9B%E5%BC%8FDC%E8%AE%8A%E5%A3%93%E5%99%A8%2F%E7%9B%B4%E6%B5%81%E7%A9%A9%E5%A3%93%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8-12V-1A-21001894722653?itemId=21003218938223&vendorItemId=21071206221094&sourceType=search&rank=&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"HDtop USB 充電器 1 口 DC 5V 1A 適配器 HT-5V01, 單色, 2個",$139,https://www.tw.coupang.com/products/HDtop-USB-%E5%85%85%E9%9B%BB%E5%99%A8-1-%E5%8F%A3-DC-5V-1A-%E9%81%A9%E9%85%8D%E5%99%A8-HT-5V01-21006279867416?itemId=21003251567873&vendorItemId=21071238648015&sourceType=search&rank=1&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"韓國製造監視器攝影機專用DC 12V 5A電源穩壓器 外徑5.5mm/內徑2.1mm, HP1250CC, 1個",$203,https://www.tw.coupang.com/products/%E9%9F%93%E5%9C%8B%E8%A3%BD%E9%80%A0%E7%9B%A3%E8%A6%96%E5%99%A8%E6%94%9D%E5%BD%B1%E6%A9%9F%E5%B0%88%E7%94%A8DC-12V-5A%E9%9B%BB%E6%BA%90%E7%A9%A9%E5%A3%93%E5%99%A8-%E5%A4%96%E5%BE%915.5mm%2F%E5%85%A7%E5%BE%912.1mm-21002093702556?itemId=21003556554531&vendorItemId=21071542428456&sourceType=search&rank=2&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"HDtop 1口DC 5V 2A USB充電適配器HT-5V02, 混色, 1個",$109,https://www.tw.coupang.com/products/HDtop-1%E5%8F%A3DC-5V-2A-USB%E5%85%85%E9%9B%BB%E9%81%A9%E9%85%8D%E5%99%A8HT-5V02-21001241889116?itemId=21002237687502&vendorItemId=21070235186598&sourceType=search&rank=3&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"多用途變壓充電線 DC 12V 2A, HP1220, 1個",$160,https://www.tw.coupang.com/products/%E5%A4%9A%E7%94%A8%E9%80%94%E8%AE%8A%E5%A3%93%E5%85%85%E9%9B%BB%E7%B7%9A-DC-12V-2A-21002093702467?itemId=21003556554424&vendorItemId=21071542428379&sourceType=search&rank=4&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"Young DC變壓器/直流穩壓電源供應器 12V 2A, 單色, 1個",$256,https://www.tw.coupang.com/products/Young-DC%E8%AE%8A%E5%A3%93%E5%99%A8%2F%E7%9B%B4%E6%B5%81%E7%A9%A9%E5%A3%93%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8-12V-2A-21006096025215?itemId=21011392552423&vendorItemId=21078668602565&sourceType=search&rank=5&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"Young DC變壓器/直流穩壓電源供應器 12V 3.5A, 單色, 1個",$372,https://www.tw.coupang.com/products/Young-DC%E8%AE%8A%E5%A3%93%E5%99%A8%2F%E7%9B%B4%E6%B5%81%E7%A9%A9%E5%A3%93%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8-12V-3.5A-21005884173783?itemId=21010328349786&vendorItemId=21077610582826&sourceType=search&rank=6&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"USB DC 5V 2A 變壓器, 1個, SOLTOP-176",$177,https://www.tw.coupang.com/products/USB-DC-5V-2A-%E8%AE%8A%E5%A3%93%E5%99%A8-21006653867271?itemId=21015255208004&vendorItemId=21082475873237&sourceType=search&rank=7&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"DC 變壓器 12V 1.5A, ANY12150A-1",$148,https://www.tw.coupang.com/products/DC-%E8%AE%8A%E5%A3%93%E5%99%A8-12V-1.5A-21004611707606?itemId=21005701408507&vendorItemId=21073000208244&sourceType=search&rank=8&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"NETmate DC 5V 2A SMPS 變壓器 NMX-P5251A 5.5*2.1mm, 混色, 1個",$176,https://www.tw.coupang.com/products/NETmate-DC-5V-2A-SMPS-%E8%AE%8A%E5%A3%93%E5%99%A8-NMX-P5251A-5.5*2.1mm-21002380512804?itemId=21004152598489&vendorItemId=21072136463125&sourceType=search&rank=9&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"DC 變壓器 12V 1A, RS-AB1000",$198,https://www.tw.coupang.com/products/DC-%E8%AE%8A%E5%A3%93%E5%99%A8-12V-1A-21004611707921?itemId=21005701409380&vendorItemId=21073000207998&sourceType=search&rank=10&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"DC 變壓器 3.3V 2A, ANY0320A-1",$217,https://www.tw.coupang.com/products/DC-%E8%AE%8A%E5%A3%93%E5%99%A8-3.3V-2A-21004611707569?itemId=21005701408402&vendorItemId=21073000208195&sourceType=search&rank=11&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"DC 變壓器 5V 2A, GA0520-1",$223,https://www.tw.coupang.com/products/DC-%E8%AE%8A%E5%A3%93%E5%99%A8-5V-2A-21004611707703?itemId=21005701408858&vendorItemId=21073000208385&sourceType=search&rank=12&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"DC 變壓器 24V 2A, ANY2425C-1",$310,https://www.tw.coupang.com/products/DC-%E8%AE%8A%E5%A3%93%E5%99%A8-24V-2A-21004611707514?itemId=21005701408169&vendorItemId=21073000208016&sourceType=search&rank=13&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"DC 變壓器 24V 2A, TY2400200K1mn",$236,https://www.tw.coupang.com/products/DC-%E8%AE%8A%E5%A3%93%E5%99%A8-24V-2A-21004611707735?itemId=21005701408981&vendorItemId=21073000208461&sourceType=search&rank=14&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"DC 變壓器 12V 3.5A, TY1200350K1mn",$211,https://www.tw.coupang.com/products/DC-%E8%AE%8A%E5%A3%93%E5%99%A8-12V-3.5A-21004611707614?itemId=21005701408521&vendorItemId=21073000208272&sourceType=search&rank=15&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"變壓充電線 DC 12V 2000mA 2A 5.5(外徑)*2.1mm(內徑), KP-1220B, 1個",$173,https://www.tw.coupang.com/products/%E8%AE%8A%E5%A3%93%E5%85%85%E9%9B%BB%E7%B7%9A-DC-12V-2000mA-2A-5.5(%E5%A4%96%E5%BE%91)*2.1mm(%E5%85%A7%E5%BE%91)-21002044581655?itemId=21003475999258&vendorItemId=21071462319448&sourceType=search&rank=16&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"Young DC變壓器/直流穩壓電源供應器 12V 5A, 單色, 1個",$541,https://www.tw.coupang.com/products/Young-DC%E8%AE%8A%E5%A3%93%E5%99%A8%2F%E7%9B%B4%E6%B5%81%E7%A9%A9%E5%A3%93%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8-12V-5A-21006096009067?itemId=21011392427745&vendorItemId=21078668482446&sourceType=search&rank=17&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"PRIME 液晶螢幕專用轉接線 12V 5A, 混色, 1入",$192,https://www.tw.coupang.com/products/PRIME-%E6%B6%B2%E6%99%B6%E8%9E%A2%E5%B9%95%E5%B0%88%E7%94%A8%E8%BD%89%E6%8E%A5%E7%B7%9A-12V-5A-21000048692874?itemId=21000172308558&vendorItemId=21070888611009&sourceType=search&rank=18&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"牧田 18V 1 插腳 12Vmax 1 插腳雙充電器 DC18RE 198451-0, 1個","$3,532",https://www.tw.coupang.com/products/%E7%89%A7%E7%94%B0-18V-1-%E6%8F%92%E8%85%B3-12Vmax-1-%E6%8F%92%E8%85%B3%E9%9B%99%E5%85%85%E9%9B%BB%E5%99%A8-DC18RE-198451-0-21007344527159?itemId=21018885498306&vendorItemId=21086013768516&sourceType=search&rank=19&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"韓國製造監視器攝影機專用DC 12V 2A電源穩壓器 外徑5.5mm/內徑2.1mm, APS-1220, 1個",$180,https://www.tw.coupang.com/products/%E9%9F%93%E5%9C%8B%E8%A3%BD%E9%80%A0%E7%9B%A3%E8%A6%96%E5%99%A8%E6%94%9D%E5%BD%B1%E6%A9%9F%E5%B0%88%E7%94%A8DC-12V-2A%E9%9B%BB%E6%BA%90%E7%A9%A9%E5%A3%93%E5%99%A8-%E5%A4%96%E5%BE%915.5mm%2F%E5%85%A7%E5%BE%912.1mm-21002044581664?itemId=21003475999280&vendorItemId=21071462319505&sourceType=search&rank=20&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
"HIKVISION 電源適配器 DC12V 500mA 0.5A 5.5mm*2.1mm, AP-12005A, 1個",$126,https://www.tw.coupang.com/products/HIKVISION-%E9%9B%BB%E6%BA%90%E9%81%A9%E9%85%8D%E5%99%A8-DC12V-500mA-0.5A-5.5mm*2.1mm-21002044581632?itemId=21003475999216&vendorItemId=21071462319528&sourceType=search&rank=21&searchId=86ced7bbb97a4f25a64a62a80fcc3d79&q=dc12v1a
