product_name,product_price,product_url
"女士夾子髮夾DIY製作配件5cm見方, 30入, 銀色(7cm)",$236,https://www.tw.coupang.com/products/%E5%A5%B3%E5%A3%AB%E5%A4%BE%E5%AD%90%E9%AB%AE%E5%A4%BEDIY%E8%A3%BD%E4%BD%9C%E9%85%8D%E4%BB%B65cm%E8%A6%8B%E6%96%B9-21008082702698?itemId=21022798356816&vendorItemId=21090042086655&sourceType=search&rank=&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"ANGONGSA THE BEADS 口罩掛鍊項鍊DIY配件補充材料組合, 金色, 1套",$212,https://www.tw.coupang.com/products/ANGONGSA-THE-BEADS-%E5%8F%A3%E7%BD%A9%E6%8E%9B%E9%8D%8A%E9%A0%85%E9%8D%8ADIY%E9%85%8D%E4%BB%B6%E8%A3%9C%E5%85%85%E6%9D%90%E6%96%99%E7%B5%84%E5%90%88-21005813216939?itemId=21010009604426&vendorItemId=21077292624372&sourceType=search&rank=1&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"Aga Plus 彩色色帶配件 DIY 套組, 混色",$127,https://www.tw.coupang.com/products/Aga-Plus-%E5%BD%A9%E8%89%B2%E8%89%B2%E5%B8%B6%E9%85%8D%E4%BB%B6-DIY-%E5%A5%97%E7%B5%84-21007358480503?itemId=21018952656856&vendorItemId=21086078856465&sourceType=search&rank=2&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"MEiriAN 珠寶十字繡DIY珠子工藝配件 40*30cm, 0014. 威尼斯之夜, 1套",$236,https://www.tw.coupang.com/products/MEiriAN-%E7%8F%A0%E5%AF%B6%E5%8D%81%E5%AD%97%E7%B9%A1DIY%E7%8F%A0%E5%AD%90%E5%B7%A5%E8%97%9D%E9%85%8D%E4%BB%B6-40*30cm-21005794448793?itemId=21009918771464&vendorItemId=21077202082921&sourceType=search&rank=3&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"2Youngdesign DIY人魚公主裝飾材料包, 顏色隨機(人魚公主配件), 1組",$188,https://www.tw.coupang.com/products/2Youngdesign-DIY%E4%BA%BA%E9%AD%9A%E5%85%AC%E4%B8%BB%E8%A3%9D%E9%A3%BE%E6%9D%90%E6%96%99%E5%8C%85-21005872554157?itemId=21010278694010&vendorItemId=21077561062112&sourceType=search&rank=4&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"MEiriAN 珠寶十字繡DIY珠子工藝配件 30*40cm, 0013. 海豚與月亮, 1套",$238,https://www.tw.coupang.com/products/MEiriAN-%E7%8F%A0%E5%AF%B6%E5%8D%81%E5%AD%97%E7%B9%A1DIY%E7%8F%A0%E5%AD%90%E5%B7%A5%E8%97%9D%E9%85%8D%E4%BB%B6-30*40cm-21005794448632?itemId=21009918770788&vendorItemId=21077202082512&sourceType=search&rank=5&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"2Youngdesign DIY人魚公主裝飾材料包, 人魚公主配件 顏色隨機, 1組",$216,https://www.tw.coupang.com/products/2Youngdesign-DIY%E4%BA%BA%E9%AD%9A%E5%85%AC%E4%B8%BB%E8%A3%9D%E9%A3%BE%E6%9D%90%E6%96%99%E5%8C%85-252320273088514?itemId=252321225228292&vendorItemId=252322076655616&sourceType=search&rank=6&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"珍珠粉 10款+亮片 6款+裝飾材料DIY組 14款, 隨機出貨(配件), 1組",$242,https://www.tw.coupang.com/products/%E7%8F%8D%E7%8F%A0%E7%B2%89-10%E6%AC%BE%2B%E4%BA%AE%E7%89%87-6%E6%AC%BE%2B%E8%A3%9D%E9%A3%BE%E6%9D%90%E6%96%99DIY%E7%B5%84-14%E6%AC%BE-21005809096570?itemId=21009987825382&vendorItemId=21077270895939&sourceType=search&rank=7&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"2Youngdesign DIY魔浪花園八音盒裝飾套組, 1套, 混合顏色",$206,https://www.tw.coupang.com/products/2Youngdesign-DIY%E9%AD%94%E6%B5%AA%E8%8A%B1%E5%9C%92%E5%85%AB%E9%9F%B3%E7%9B%92%E8%A3%9D%E9%A3%BE%E5%A5%97%E7%B5%84-21007022693310?itemId=21017302568122&vendorItemId=21084473452139&sourceType=search&rank=8&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"三麗鷗樹脂藝術可愛配件製造商, 混色",$625,https://www.tw.coupang.com/products/%E4%B8%89%E9%BA%97%E9%B7%97%E6%A8%B9%E8%84%82%E8%97%9D%E8%A1%93%E5%8F%AF%E6%84%9B%E9%85%8D%E4%BB%B6%E8%A3%BD%E9%80%A0%E5%95%86-21007240078815?itemId=21018393677449&vendorItemId=21085536681904&sourceType=search&rank=9&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"Alode 透明礫石珠 5~100mm 200p 配件 DIY 套裝, 混合, 1組",$206,https://www.tw.coupang.com/products/Alode-%E9%80%8F%E6%98%8E%E7%A4%AB%E7%9F%B3%E7%8F%A0-5~100mm-200p-%E9%85%8D%E4%BB%B6-DIY-%E5%A5%97%E8%A3%9D-21007589451300?itemId=21020052265644&vendorItemId=21087148462955&sourceType=search&rank=10&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"mingblanc 肉桂棒內飾配件 DIY 套組, 1套",$217,https://www.tw.coupang.com/products/mingblanc-%E8%82%89%E6%A1%82%E6%A3%92%E5%85%A7%E9%A3%BE%E9%85%8D%E4%BB%B6-DIY-%E5%A5%97%E7%B5%84-21006280989006?itemId=21012897539711&vendorItemId=21080162534110&sourceType=search&rank=11&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"彩色珠子配件組, 1型, 1套",$118,https://www.tw.coupang.com/products/%E5%BD%A9%E8%89%B2%E7%8F%A0%E5%AD%90%E9%85%8D%E4%BB%B6%E7%B5%84-21006247344927?itemId=21012643899949&vendorItemId=21079911392421&sourceType=search&rank=12&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
"Sweet Day 串珠玩具DIY組, 隨機出貨, 2組",$116,https://www.tw.coupang.com/products/Sweet-Day-%E4%B8%B2%E7%8F%A0%E7%8E%A9%E5%85%B7DIY%E7%B5%84-21000051820803?itemId=21000183372858&vendorItemId=21003436686314&sourceType=search&rank=13&searchId=2ea9e19bac994578815958535efce999&q=diy%E9%85%8D%E4%BB%B6
