product_name,product_price,product_url
"CLEAR FILE A2文件夾/20頁, 黑色, 1個",$295,https://www.tw.coupang.com/products/CLEAR-FILE-A2%E6%96%87%E4%BB%B6%E5%A4%BE%2F20%E9%A0%81-21001598206486?itemId=21002730327688&vendorItemId=21070720468966&sourceType=search&rank=&searchId=5d2a076757de46e89bbcab880a1f6c55&q=file
Clear File 40頁A4索引文件夾資料夾 黑色 4入,$202,https://www.tw.coupang.com/products/Clear-File-40%E9%A0%81A4%E7%B4%A2%E5%BC%95%E6%96%87%E4%BB%B6%E5%A4%BE%E8%B3%87%E6%96%99%E5%A4%BE-%E9%BB%91%E8%89%B2-4%E5%85%A5-21008084916236?itemId=21022813216146&vendorItemId=21003087425767&sourceType=search&rank=1&searchId=5d2a076757de46e89bbcab880a1f6c55&q=file
"ECO Chungwoon 線圈資料夾 A4 20頁, 透明, 2個",$181,https://www.tw.coupang.com/products/ECO-Chungwoon-%E7%B7%9A%E5%9C%88%E8%B3%87%E6%96%99%E5%A4%BE-A4-20%E9%A0%81-153723795881989?itemId=153724634759169&vendorItemId=153723854602240&sourceType=search&rank=2&searchId=5d2a076757de46e89bbcab880a1f6c55&q=file
"ECO Chungwoon 線圈資料夾 A4 30頁, 透明, 4個",$409,https://www.tw.coupang.com/products/ECO-Chungwoon-%E7%B7%9A%E5%9C%88%E8%B3%87%E6%96%99%E5%A4%BE-A4-30%E9%A0%81-153724211150848?itemId=189251983458304&vendorItemId=167201449410560&sourceType=search&rank=3&searchId=5d2a076757de46e89bbcab880a1f6c55&q=file
"KING JIM 飛彩透明文件 10 張 A4, 淺豆綠, 2個",$193,https://www.tw.coupang.com/products/KING-JIM-%E9%A3%9B%E5%BD%A9%E9%80%8F%E6%98%8E%E6%96%87%E4%BB%B6-10-%E5%BC%B5-A4-21000267002758?itemId=21000836872305&vendorItemId=21005130599753&sourceType=search&rank=4&searchId=5d2a076757de46e89bbcab880a1f6c55&q=file
"A4文件收納夾, 黑色、黃色、粉色、綠色, 6個",$167,https://www.tw.coupang.com/products/A4%E6%96%87%E4%BB%B6%E6%94%B6%E7%B4%8D%E5%A4%BE-21000330342649?itemId=21020406432841&vendorItemId=21005528166499&sourceType=search&rank=5&searchId=5d2a076757de46e89bbcab880a1f6c55&q=file
"MiDAS 透明文件索引 A4 20 張, 淺綠色、深綠色、粉色、深藍色、淺藍色、黑色、黃色, 6個",$226,https://www.tw.coupang.com/products/MiDAS-%E9%80%8F%E6%98%8E%E6%96%87%E4%BB%B6%E7%B4%A2%E5%BC%95-A4-20-%E5%BC%B5-21000330342611?itemId=21001055869078&vendorItemId=21005528166415&sourceType=search&rank=6&searchId=5d2a076757de46e89bbcab880a1f6c55&q=file
"Eco Chungwoon 線圈資料夾, 透明, 2個",$159,https://www.tw.coupang.com/products/Eco-Chungwoon-%E7%B7%9A%E5%9C%88%E8%B3%87%E6%96%99%E5%A4%BE-21000160600360?itemId=21000461478388&vendorItemId=21004146132537&sourceType=search&rank=7&searchId=5d2a076757de46e89bbcab880a1f6c55&q=file
"ECO Chungwoon 直式文件夾板, 綠色, 3本",$330,https://www.tw.coupang.com/products/ECO-Chungwoon-%E7%9B%B4%E5%BC%8F%E6%96%87%E4%BB%B6%E5%A4%BE%E6%9D%BF-168623012282381?itemId=168622076936196&vendorItemId=168622076936193&sourceType=search&rank=8&searchId=5d2a076757de46e89bbcab880a1f6c55&q=file
"b fancy 文件夾 A4 40頁 4入, 黑色、綠色、藍色、粉色, 1組",$346,https://www.tw.coupang.com/products/b-fancy-%E6%96%87%E4%BB%B6%E5%A4%BE-A4-40%E9%A0%81-4%E5%85%A5-21000336465174?itemId=21001073329585&vendorItemId=21005565468221&sourceType=search&rank=9&searchId=5d2a076757de46e89bbcab880a1f6c55&q=file
