product_name,product_price,product_url
"HL SCIENCE 綠蜂膠博士, 3個","$1,184",https://www.tw.coupang.com/products/HL-SCIENCE-%E7%B6%A0%E8%9C%82%E8%86%A0%E5%8D%9A%E5%A3%AB-21007844635519?itemId=21022894537812&vendorItemId=21089929077271&sourceType=search&rank=&searchId=f2d368306ec240938f02fdfa6ba1a18d&q=hl
"HL Science Dr.Superkan Lady, 30顆, 2盒",$704,https://www.tw.coupang.com/products/HL-Science-Dr.Superkan-Lady-21000226278000?itemId=21018818849553&vendorItemId=21085949229565&sourceType=search&rank=1&searchId=f2d368306ec240938f02fdfa6ba1a18d&q=hl
"HL SCIENCE 大麥葉青汁沖泡粉 28條入, 30.8克, 10個","$4,328",https://www.tw.coupang.com/products/HL-SCIENCE-%E5%A4%A7%E9%BA%A5%E8%91%89%E9%9D%92%E6%B1%81%E6%B2%96%E6%B3%A1%E7%B2%89-28%E6%A2%9D%E5%85%A5-21007196923204?itemId=21022893920168&vendorItemId=21089928464364&sourceType=search&rank=2&searchId=f2d368306ec240938f02fdfa6ba1a18d&q=hl
"HL SCIENCE 綠蜂膠博士, 4個","$1,566",https://www.tw.coupang.com/products/HL-SCIENCE-%E7%B6%A0%E8%9C%82%E8%86%A0%E5%8D%9A%E5%A3%AB-21007844635519?itemId=21022894537796&vendorItemId=21089929077240&sourceType=search&rank=3&searchId=f2d368306ec240938f02fdfa6ba1a18d&q=hl
"HL SCIENCE 綠蜂膠博士, 10個","$3,861",https://www.tw.coupang.com/products/HL-SCIENCE-%E7%B6%A0%E8%9C%82%E8%86%A0%E5%8D%9A%E5%A3%AB-21007844635519?itemId=21022894534122&vendorItemId=21089929073697&sourceType=search&rank=4&searchId=f2d368306ec240938f02fdfa6ba1a18d&q=hl
"SAMPO 聲寶 USB二合一捕蚊燈拍 200 x 307 x 60mm, ML-W2101HL",$525,https://www.tw.coupang.com/products/SAMPO-%E8%81%B2%E5%AF%B6-USB%E4%BA%8C%E5%90%88%E4%B8%80%E6%8D%95%E8%9A%8A%E7%87%88%E6%8B%8D-200-x-307-x-60mm-450807115743236?itemId=450807115743237&vendorItemId=450807115759617&sourceType=search&rank=5&searchId=f2d368306ec240938f02fdfa6ba1a18d&q=hl
"HL SCIENCE 綠蜂膠博士, 8個","$3,096",https://www.tw.coupang.com/products/HL-SCIENCE-%E7%B6%A0%E8%9C%82%E8%86%A0%E5%8D%9A%E5%A3%AB-21007844635519?itemId=21022894533922&vendorItemId=21089929073460&sourceType=search&rank=6&searchId=f2d368306ec240938f02fdfa6ba1a18d&q=hl
"HL SCIENCE 大麥葉青汁沖泡粉 28條入, 30.8g, 1盒",$476,https://www.tw.coupang.com/products/HL-SCIENCE-%E5%A4%A7%E9%BA%A5%E8%91%89%E9%9D%92%E6%B1%81%E6%B2%96%E6%B3%A1%E7%B2%89-28%E6%A2%9D%E5%85%A5-21007196923204?itemId=21011262986009&vendorItemId=21079218140467&sourceType=search&rank=7&searchId=f2d368306ec240938f02fdfa6ba1a18d&q=hl
"HL SCIENCE 綠蜂膠博士, 7個","$2,713",https://www.tw.coupang.com/products/HL-SCIENCE-%E7%B6%A0%E8%9C%82%E8%86%A0%E5%8D%9A%E5%A3%AB-21007844635519?itemId=21022894533848&vendorItemId=21089929073382&sourceType=search&rank=8&searchId=f2d368306ec240938f02fdfa6ba1a18d&q=hl
"Snow Bear 小白熊 智效奶瓶消毒烘乾鍋, HL-068II, 1個","$1,567",https://www.tw.coupang.com/products/Snow-Bear-%E5%B0%8F%E7%99%BD%E7%86%8A-%E6%99%BA%E6%95%88%E5%A5%B6%E7%93%B6%E6%B6%88%E6%AF%92%E7%83%98%E4%B9%BE%E9%8D%8B-151184824320002?itemId=151184824320003&vendorItemId=151184824320000&sourceType=search&rank=9&searchId=f2d368306ec240938f02fdfa6ba1a18d&q=hl
