product_name,product_price,product_url
"Tingall 推入式浴室堵漏蓋橙色, 1個",$116,https://www.tw.coupang.com/products/Tingall-%E6%8E%A8%E5%85%A5%E5%BC%8F%E6%B5%B4%E5%AE%A4%E5%A0%B5%E6%BC%8F%E8%93%8B%E6%A9%99%E8%89%B2-21007093183978?itemId=21017682692068&vendorItemId=21084847885899&sourceType=search&rank=&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
"NEXT PPS USB PD 3 端口 65W 旅行多功能插頭 75mm 009TC-PD, 1個","$1,001",https://www.tw.coupang.com/products/NEXT-PPS-USB-PD-3-%E7%AB%AF%E5%8F%A3-65W-%E6%97%85%E8%A1%8C%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%8F%92%E9%A0%AD-75mm-009TC-PD-21006960047768?itemId=21016940340843&vendorItemId=21084117875654&sourceType=search&rank=1&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
"Tingall 推入式浴室堵漏蓋綠色, 1個",$289,https://www.tw.coupang.com/products/Tingall-%E6%8E%A8%E5%85%A5%E5%BC%8F%E6%B5%B4%E5%AE%A4%E5%A0%B5%E6%BC%8F%E8%93%8B%E7%B6%A0%E8%89%B2-21007095340955?itemId=21017693734438&vendorItemId=21084858680945&sourceType=search&rank=2&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
"Home Planet 延長線+安全插座保護蓋 2入, 3m, XWL-GD5(5插座), 2件",$484,https://www.tw.coupang.com/products/Home-Planet-%E5%BB%B6%E9%95%B7%E7%B7%9A%2B%E5%AE%89%E5%85%A8%E6%8F%92%E5%BA%A7%E4%BF%9D%E8%AD%B7%E8%93%8B-2%E5%85%A5-21000196485070?itemId=21000565985397&vendorItemId=21004485622478&sourceType=search&rank=3&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
"Oloom 軟糖 Plug To Biz, 1個, 藍色",$256,https://www.tw.coupang.com/products/Oloom-%E8%BB%9F%E7%B3%96-Plug-To-Biz-21007144344565?itemId=21017947252639&vendorItemId=21085105021354&sourceType=search&rank=4&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
"Oloom 軟糖 Plug One Biz, 1個, 黃色",$261,https://www.tw.coupang.com/products/Oloom-%E8%BB%9F%E7%B3%96-Plug-One-Biz-21007144344806?itemId=21017947252640&vendorItemId=21085105021355&sourceType=search&rank=5&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
"Olloom Anal 軟糖 Anal Plug One Biz, 2個, 黃色",$456,https://www.tw.coupang.com/products/Olloom-Anal-%E8%BB%9F%E7%B3%96-Anal-Plug-One-Biz-21007144344806?itemId=21017947253867&vendorItemId=21085105022193&sourceType=search&rank=6&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
"DAESUNG 3孔延長線 16A 250V, 1.5m, 1個",$133,https://www.tw.coupang.com/products/DAESUNG-3%E5%AD%94%E5%BB%B6%E9%95%B7%E7%B7%9A-16A-250V-21000053732395?itemId=21000188299785&vendorItemId=21003447847289&sourceType=search&rank=7&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
"DAESUNG 歐式一般型3插10A 250V延長線, 2.5m, 1個",$138,https://www.tw.coupang.com/products/DAESUNG-%E6%AD%90%E5%BC%8F%E4%B8%80%E8%88%AC%E5%9E%8B3%E6%8F%9210A-250V%E5%BB%B6%E9%95%B7%E7%B7%9A-21000053732300?itemId=21000188299696&vendorItemId=21003447847284&sourceType=search&rank=8&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
"Homeplug AV 和 IEEE 1901：PLC 設計師和使用手冊精裝本, Wiley-IEEE 出版社","$2,247",https://www.tw.coupang.com/products/Homeplug-AV-%E5%92%8C-IEEE-1901%EF%BC%9APLC-%E8%A8%AD%E8%A8%88%E5%B8%AB%E5%92%8C%E4%BD%BF%E7%94%A8%E6%89%8B%E5%86%8A%E7%B2%BE%E8%A3%9D%E6%9C%AC-21000063714907?itemId=21000216749726&vendorItemId=21003523026589&sourceType=search&rank=9&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
"Tingall 推入式浴室堵漏蓋 薄荷色, 1個",$291,https://www.tw.coupang.com/products/Tingall-%E6%8E%A8%E5%85%A5%E5%BC%8F%E6%B5%B4%E5%AE%A4%E5%A0%B5%E6%BC%8F%E8%93%8B-%E8%96%84%E8%8D%B7%E8%89%B2-21007095340954?itemId=21017693734437&vendorItemId=21084858680943&sourceType=search&rank=10&searchId=ccc272983504483197c3f8b286d20755&q=homeplug
