product_name,product_price,product_url
"Standard Living Footbrush Mint + Gori, 1個",$209,https://www.tw.coupang.com/products/Standard-Living-Footbrush-Mint-%2B-Gori-21006384866406?itemId=21013581636417&vendorItemId=21080834887542&sourceType=search&rank=&searchId=d80349e065c9498abc4906646e998c6c&q=interaction
"Abka 敏感肌膚貼合剃須凝膠, 200ml, 1個",$191,https://www.tw.coupang.com/products/Abka-%E6%95%8F%E6%84%9F%E8%82%8C%E8%86%9A%E8%B2%BC%E5%90%88%E5%89%83%E9%A0%88%E5%87%9D%E8%86%A0-21007235158671?itemId=21018369166712&vendorItemId=21085512725445&sourceType=search&rank=1&searchId=d80349e065c9498abc4906646e998c6c&q=interaction
"FATION Nosca9煩惱爽膚修補霜, 1個, 45ml",$552,https://www.tw.coupang.com/products/FATION-Nosca9%E7%85%A9%E6%83%B1%E7%88%BD%E8%86%9A%E4%BF%AE%E8%A3%9C%E9%9C%9C-21006945039789?itemId=21016854091116&vendorItemId=21084033011313&sourceType=search&rank=2&searchId=d80349e065c9498abc4906646e998c6c&q=interaction
"NARD Bouquet Garni 溫和水溶性身體凝膠, 1個, 120ml",$237,https://www.tw.coupang.com/products/NARD-Bouquet-Garni-%E6%BA%AB%E5%92%8C%E6%B0%B4%E6%BA%B6%E6%80%A7%E8%BA%AB%E9%AB%94%E5%87%9D%E8%86%A0-21008187371953?itemId=21023416320410&vendorItemId=21090443368856&sourceType=search&rank=3&searchId=d80349e065c9498abc4906646e998c6c&q=interaction
"Swagger Hair Stunner Wax 柔滑柔軟, 50g, 2個",$455,https://www.tw.coupang.com/products/Swagger-Hair-Stunner-Wax-%E6%9F%94%E6%BB%91%E6%9F%94%E8%BB%9F-21007804228909?itemId=21018775332033&vendorItemId=21085906855929&sourceType=search&rank=4&searchId=d80349e065c9498abc4906646e998c6c&q=interaction
"Oh Myself Bisajyu 敏感肌膚用硬蠟, 200g, 1個",$264,https://www.tw.coupang.com/products/Oh-Myself-Bisajyu-%E6%95%8F%E6%84%9F%E8%82%8C%E8%86%9A%E7%94%A8%E7%A1%AC%E8%A0%9F-21007240947085?itemId=21018397733933&vendorItemId=21085540633578&sourceType=search&rank=5&searchId=d80349e065c9498abc4906646e998c6c&q=interaction
"COSNORI ALWAYS SLIM FIT 身體凝膠, 150ml, 1條",$270,https://www.tw.coupang.com/products/COSNORI-ALWAYS-SLIM-FIT-%E8%BA%AB%E9%AB%94%E5%87%9D%E8%86%A0-253767207321605?itemId=253767207321606&vendorItemId=253765386977282&sourceType=search&rank=6&searchId=d80349e065c9498abc4906646e998c6c&q=interaction
"BEYOND Pure Moisture 嬰兒柔滑乳液, 1個, 200ml",$303,https://www.tw.coupang.com/products/BEYOND-Pure-Moisture-%E5%AC%B0%E5%85%92%E6%9F%94%E6%BB%91%E4%B9%B3%E6%B6%B2-21007653673877?itemId=21020371766844&vendorItemId=21088353796441&sourceType=search&rank=7&searchId=d80349e065c9498abc4906646e998c6c&q=interaction
"MIZON Collagenic Aqua Volume Lip Essence, 10ml, 1個, 無香",$306,https://www.tw.coupang.com/products/MIZON-Collagenic-Aqua-Volume-Lip-Essence-21007755162642?itemId=21020899817109&vendorItemId=21087966876218&sourceType=search&rank=8&searchId=d80349e065c9498abc4906646e998c6c&q=interaction
"BEYOND Angel Aqua 舒緩凝膠 1 + 1, 1個, 400ml",$256,https://www.tw.coupang.com/products/BEYOND-Angel-Aqua-%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0-1-%2B-1-21008146683077?itemId=21023167258114&vendorItemId=21090385591006&sourceType=search&rank=9&searchId=d80349e065c9498abc4906646e998c6c&q=interaction
