product_name,product_price,product_url
"ANYZEN 有線滑鼠 AZ-M5, 白色的",$108,https://www.tw.coupang.com/products/ANYZEN-%E6%9C%89%E7%B7%9A%E6%BB%91%E9%BC%A0-AZ-M5-21000293867790?itemId=21000927632541&vendorItemId=21005303889132&sourceType=search&rank=&searchId=a0df168f93df497c8c1ce9229a352624&q=m%20az
Handy 修身直筒牛仔褲黑色藍石藍水洗 (DEC CAP5059AZ),$679,https://www.tw.coupang.com/products/Handy-%E4%BF%AE%E8%BA%AB%E7%9B%B4%E7%AD%92%E7%89%9B%E4%BB%94%E8%A4%B2%E9%BB%91%E8%89%B2%E8%97%8D%E7%9F%B3%E8%97%8D%E6%B0%B4%E6%B4%97-(DEC-CAP5059AZ)-21000185968666?itemId=21018212717866&vendorItemId=21085360732959&sourceType=search&rank=1&searchId=a0df168f93df497c8c1ce9229a352624&q=m%20az
FB 女式標準版型 Phoenix AZ 大徽標運動衫 + 慢跑褲套裝,$672,https://www.tw.coupang.com/products/FB-%E5%A5%B3%E5%BC%8F%E6%A8%99%E6%BA%96%E7%89%88%E5%9E%8B-Phoenix-AZ-%E5%A4%A7%E5%BE%BD%E6%A8%99%E9%81%8B%E5%8B%95%E8%A1%AB-%2B-%E6%85%A2%E8%B7%91%E8%A4%B2%E5%A5%97%E8%A3%9D-21007211895428?itemId=21018253498283&vendorItemId=21085400177115&sourceType=search&rank=2&searchId=a0df168f93df497c8c1ce9229a352624&q=m%20az
Andaromi 女裝 Daily Az 開衫,$800,https://www.tw.coupang.com/products/Andaromi-%E5%A5%B3%E8%A3%9D-Daily-Az-%E9%96%8B%E8%A1%AB-21006807221127?itemId=21016092286906&vendorItemId=21083289943253&sourceType=search&rank=3&searchId=a0df168f93df497c8c1ce9229a352624&q=m%20az
Andaromi 女裝 Daily Az 開衫,$761,https://www.tw.coupang.com/products/Andaromi-%E5%A5%B3%E8%A3%9D-Daily-Az-%E9%96%8B%E8%A1%AB-21006807361060?itemId=21016092951217&vendorItemId=21083290592873&sourceType=search&rank=4&searchId=a0df168f93df497c8c1ce9229a352624&q=m%20az
"ALESSI 亞歷山德羅M 葡萄酒開瓶器, 藍色(AAM23 AZ), 1個","$1,188",https://www.tw.coupang.com/products/ALESSI-%E4%BA%9E%E6%AD%B7%E5%B1%B1%E5%BE%B7%E7%BE%85M-%E8%91%A1%E8%90%84%E9%85%92%E9%96%8B%E7%93%B6%E5%99%A8-21006271018878?itemId=21022565683690&vendorItemId=21089607575097&sourceType=search&rank=5&searchId=a0df168f93df497c8c1ce9229a352624&q=m%20az
"AZ Esk Dtbir S GI Elj R Sr L Given AK Rd Sek Edit S NEK M DJ Ra 平裝本, 圖書館生活",$404,https://www.tw.coupang.com/products/AZ-Esk-Dtbir-S-GI-Elj-R-Sr-L-Given-AK-Rd-Sek-Edit-S-NEK-M-DJ-Ra-%E5%B9%B3%E8%A3%9D%E6%9C%AC-21000059996159?itemId=21000206273935&vendorItemId=21003489329718&sourceType=search&rank=6&searchId=a0df168f93df497c8c1ce9229a352624&q=m%20az
"弗洛瑟姆島辛克萊 V-Log Az267/M 平裝本, 梅里塔·金",$232,https://www.tw.coupang.com/products/%E5%BC%97%E6%B4%9B%E7%91%9F%E5%A7%86%E5%B3%B6%E8%BE%9B%E5%85%8B%E8%90%8A-V-Log-Az267%2FM-%E5%B9%B3%E8%A3%9D%E6%9C%AC-21000063852828?itemId=21000217107864&vendorItemId=21003524146427&sourceType=search&rank=7&searchId=a0df168f93df497c8c1ce9229a352624&q=m%20az
"ANTI HERO BASIC EAGLE SS Tshirt 5102080, 木炭+奶油(51020080AZ)","$1,071",https://www.tw.coupang.com/products/ANTI-HERO-BASIC-EAGLE-SS-Tshirt-5102080-21006273239293?itemId=21012841257975&vendorItemId=21080106832965&sourceType=search&rank=8&searchId=a0df168f93df497c8c1ce9229a352624&q=m%20az
adidas 愛迪達 女款球類運動領子T恤 AZ5243 綠色,$714,https://www.tw.coupang.com/products/adidas-%E6%84%9B%E8%BF%AA%E9%81%94-%E5%A5%B3%E6%AC%BE%E7%90%83%E9%A1%9E%E9%81%8B%E5%8B%95%E9%A0%98%E5%AD%90T%E6%81%A4-AZ5243-%E7%B6%A0%E8%89%B2-21000071402405?itemId=21000238245137&vendorItemId=21003582182574&sourceType=search&rank=9&searchId=a0df168f93df497c8c1ce9229a352624&q=m%20az
