product_name,product_price,product_url
"AMAZE 森林擴香 礦石香氛, 51g, 2盒",$85,https://www.tw.coupang.com/products/AMAZE-%E6%A3%AE%E6%9E%97%E6%93%B4%E9%A6%99-%E7%A4%A6%E7%9F%B3%E9%A6%99%E6%B0%9B-286014333468672?itemId=423359049351173&vendorItemId=423359049334785&sourceType=search&rank=&searchId=133d6ed244a9445483d6c9519d11bff6&q=openstud
"BOUQUET GARNI 擴香瓶, Baby Powder, 200ml, 2瓶",$222,https://www.tw.coupang.com/products/BOUQUET-GARNI-%E6%93%B4%E9%A6%99%E7%93%B6-154064872488963?itemId=154064914432015&vendorItemId=154065694588945&sourceType=search&rank=1&searchId=133d6ed244a9445483d6c9519d11bff6&q=openstud
"emo Redolent 擴香瓶, 純淨棉花香, 500ml, 1瓶",$244,https://www.tw.coupang.com/products/emo-Redolent-%E6%93%B4%E9%A6%99%E7%93%B6-263096916492292?itemId=263097822445573&vendorItemId=263097822445569&sourceType=search&rank=2&searchId=133d6ed244a9445483d6c9519d11bff6&q=openstud
"VERDO Niche Arome 擴香瓶, 玫瑰香, 250ml, 1瓶",$274,https://www.tw.coupang.com/products/VERDO-Niche-Arome-%E6%93%B4%E9%A6%99%E7%93%B6-258017299775499?itemId=258017299775500&vendorItemId=258017299775491&sourceType=search&rank=3&searchId=133d6ed244a9445483d6c9519d11bff6&q=openstud
"Moriann 療癒擴香組 Season1 100ml, 棉花香, 1組",$231,https://www.tw.coupang.com/products/Moriann-%E7%99%82%E7%99%92%E6%93%B4%E9%A6%99%E7%B5%84-Season1-100ml-258018180562954?itemId=258016318275593&vendorItemId=258016318275584&sourceType=search&rank=4&searchId=133d6ed244a9445483d6c9519d11bff6&q=openstud
"aser PACIFIC L'esprit 擴香棒, 黑色, 10支, 3包",$94,https://www.tw.coupang.com/products/aser-PACIFIC-L'esprit-%E6%93%B4%E9%A6%99%E6%A3%92-168942869905410?itemId=258398918508549&vendorItemId=258398037721089&sourceType=search&rank=5&searchId=133d6ed244a9445483d6c9519d11bff6&q=openstud
"AROMACO 仙人掌擴香瓶, White Flower, 100ml, 1瓶",$533,https://www.tw.coupang.com/products/AROMACO-%E4%BB%99%E4%BA%BA%E6%8E%8C%E6%93%B4%E9%A6%99%E7%93%B6-258017278803980?itemId=258018155397133&vendorItemId=258017278803970&sourceType=search&rank=6&searchId=133d6ed244a9445483d6c9519d11bff6&q=openstud
"dear for rest 花瓣擴香瓶, Garden Picnic, 90ml, 1瓶",$518,https://www.tw.coupang.com/products/dear-for-rest-%E8%8A%B1%E7%93%A3%E6%93%B4%E9%A6%99%E7%93%B6-259821211205635?itemId=259822100381699&vendorItemId=259821211205633&sourceType=search&rank=7&searchId=133d6ed244a9445483d6c9519d11bff6&q=openstud
"AROMACO 仙人掌擴香瓶, White Flower, 100ml, 1瓶",$462,https://www.tw.coupang.com/products/AROMACO-%E4%BB%99%E4%BA%BA%E6%8E%8C%E6%93%B4%E9%A6%99%E7%93%B6-21001332970546?itemId=21002357810999&vendorItemId=21070354243076&sourceType=search&rank=8&searchId=133d6ed244a9445483d6c9519d11bff6&q=openstud
"THE HERB SHOP 擴香瓶, Lemon Spearmint, 200ml, 1瓶",$237,https://www.tw.coupang.com/products/THE-HERB-SHOP-%E6%93%B4%E9%A6%99%E7%93%B6-21006159393891?itemId=21011944414465&vendorItemId=21078461534095&sourceType=search&rank=9&searchId=133d6ed244a9445483d6c9519d11bff6&q=openstud
