product_name,product_price,product_url
"ZDToys Crew Marvel Mark 85 版人偶, 1個",$726,https://www.tw.coupang.com/products/ZDToys-Crew-Marvel-Mark-85-%E7%89%88%E4%BA%BA%E5%81%B6-21007149040996?itemId=21017969554510&vendorItemId=21085126815294&sourceType=search&rank=&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
"Bandai Banpresto Uma Musume Pretty Derby 名將 Doto 手辦, 1個",$512,https://www.tw.coupang.com/products/Bandai-Banpresto-Uma-Musume-Pretty-Derby-%E5%90%8D%E5%B0%87-Doto-%E6%89%8B%E8%BE%A6-21007553919525?itemId=21019885818492&vendorItemId=21086986205145&sourceType=search&rank=1&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
"SG LYCO RECO LUMINASTA Rico Rico 千里, 1個",$785,https://www.tw.coupang.com/products/SG-LYCO-RECO-LUMINASTA-Rico-Rico-%E5%8D%83%E9%87%8C-21007772416466?itemId=21020986890844&vendorItemId=21088051309771&sourceType=search&rank=2&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
"ASKOREA 學院Javara Tong Memo 10p, 鋼",$726,https://www.tw.coupang.com/products/ASKOREA-%E5%AD%B8%E9%99%A2Javara-Tong-Memo-10p-21005016723634?itemId=21006723428917&vendorItemId=21074016419902&sourceType=search&rank=3&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
"João Objet Ballou 假書, 9",$256,https://www.tw.coupang.com/products/Jo%C3%A3o-Objet-Ballou-%E5%81%87%E6%9B%B8-21007006684196?itemId=21017203333245&vendorItemId=21084375304641&sourceType=search&rank=4&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
"SEGA Sonic Figure The Hedgehog BOOM8 人物 Vol.5 艾米, 1個",$528,https://www.tw.coupang.com/products/SEGA-Sonic-Figure-The-Hedgehog-BOOM8-%E4%BA%BA%E7%89%A9-Vol.5-%E8%89%BE%E7%B1%B3-21006060378198?itemId=21011140966599&vendorItemId=21078419396068&sourceType=search&rank=5&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
"CHEIL ELECTRIC Harness Bronze Complex CATV2 Room + 8P1 Unit (for 1piece), 1個",$292,https://www.tw.coupang.com/products/CHEIL-ELECTRIC-Harness-Bronze-Complex-CATV2-Room-%2B-8P1-Unit-(for-1piece)-21000186502385?itemId=21000533217010&vendorItemId=21004389340958&sourceType=search&rank=6&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
測驗 E0 Rust S. Crop Puff Sleeve Buckle Blouse 00100028222,"$1,053",https://www.tw.coupang.com/products/%E6%B8%AC%E9%A9%97-E0-Rust-S.-Crop-Puff-Sleeve-Buckle-Blouse-00100028222-21006822298253?itemId=21016174082871&vendorItemId=21083369568005&sourceType=search&rank=7&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
"Dapper Sales Distance Improvement Colp Wood 短 T 卹 100p, 單色",$530,https://www.tw.coupang.com/products/Dapper-Sales-Distance-Improvement-Colp-Wood-%E7%9F%AD-T-%E5%8D%B9-100p-21007123721869?itemId=21017843055534&vendorItemId=21085006612195&sourceType=search&rank=8&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
"Good Smile Company 022 你是老闆，我是管家，久遠次新羅手辦, 1個","$3,537",https://www.tw.coupang.com/products/Good-Smile-Company-022-%E4%BD%A0%E6%98%AF%E8%80%81%E9%97%86%EF%BC%8C%E6%88%91%E6%98%AF%E7%AE%A1%E5%AE%B6%EF%BC%8C%E4%B9%85%E9%81%A0%E6%AC%A1%E6%96%B0%E7%BE%85%E6%89%8B%E8%BE%A6-21000184548379?itemId=21000528140084&vendorItemId=21004373695973&sourceType=search&rank=9&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
Agabang 01O551003 Chichi Hello Man to Man,$480,https://www.tw.coupang.com/products/Agabang-01O551003-Chichi-Hello-Man-to-Man-21005895888415?itemId=21010381222347&vendorItemId=21085935427455&sourceType=search&rank=10&searchId=3520fd85384646e3b9a1fe06f14364f1&q=posure
