product_name,product_price,product_url
"Rainbow Light 男性綜合維他命植物膠囊, 1個, 120入",$482,https://www.tw.coupang.com/products/Rainbow-Light-%E7%94%B7%E6%80%A7%E7%B6%9C%E5%90%88%E7%B6%AD%E4%BB%96%E5%91%BD%E6%A4%8D%E7%89%A9%E8%86%A0%E5%9B%8A-21000000011518?itemId=21022167510578&vendorItemId=21003084536749&sourceType=search&rank=&searchId=ff072cce54eb48449c8322304cf85939&q=rainbow
"rainbow 染髮護髮素, 1個, 波斯桃花心木",$304,https://www.tw.coupang.com/products/rainbow-%E6%9F%93%E9%AB%AE%E8%AD%B7%E9%AB%AE%E7%B4%A0-21008208154340?itemId=21000000884389&vendorItemId=21003146737674&sourceType=search&rank=1&searchId=ff072cce54eb48449c8322304cf85939&q=rainbow
rainbow G＆B 孩童花朵印花襪 5件組,$190,https://www.tw.coupang.com/products/rainbow-G%EF%BC%86B-%E5%AD%A9%E7%AB%A5%E8%8A%B1%E6%9C%B5%E5%8D%B0%E8%8A%B1%E8%A5%AA-5%E4%BB%B6%E7%B5%84-21006370918491?itemId=21013493835630&vendorItemId=21080748001125&sourceType=search&rank=2&searchId=ff072cce54eb48449c8322304cf85939&q=rainbow
"rainbow 檸檬酸鹼性 Wang Tok Tok, 1公斤, 1個",$340,https://www.tw.coupang.com/products/rainbow-%E6%AA%B8%E6%AA%AC%E9%85%B8%E9%B9%BC%E6%80%A7-Wang-Tok-Tok-21007291947031?itemId=21000595113282&vendorItemId=21004558351627&sourceType=search&rank=3&searchId=ff072cce54eb48449c8322304cf85939&q=rainbow
RAINBOW KIDS 孩童條紋長袖T恤,$304,https://www.tw.coupang.com/products/RAINBOW-KIDS-%E5%AD%A9%E7%AB%A5%E6%A2%9D%E7%B4%8B%E9%95%B7%E8%A2%96T%E6%81%A4-21001977424531?itemId=21003363708056&vendorItemId=21071350440987&sourceType=search&rank=4&searchId=ff072cce54eb48449c8322304cf85939&q=rainbow
"rainbow 多合1洗髮沐浴乳, Original, 1瓶, 360ml",$256,https://www.tw.coupang.com/products/rainbow-%E5%A4%9A%E5%90%881%E6%B4%97%E9%AB%AE%E6%B2%90%E6%B5%B4%E4%B9%B3-21008291659527?itemId=21000001011385&vendorItemId=21003175517917&sourceType=search&rank=5&searchId=ff072cce54eb48449c8322304cf85939&q=rainbow
"rainbow 染髮護髮素, 1個, 波斯黑",$228,https://www.tw.coupang.com/products/rainbow-%E6%9F%93%E9%AB%AE%E8%AD%B7%E9%AB%AE%E7%B4%A0-21008208154340?itemId=21000002926306&vendorItemId=21003146738364&sourceType=search&rank=6&searchId=ff072cce54eb48449c8322304cf85939&q=rainbow
"rainbow 指甲花維他命草本潤髮乳, 1入, 240ml",$155,https://www.tw.coupang.com/products/rainbow-%E6%8C%87%E7%94%B2%E8%8A%B1%E7%B6%AD%E4%BB%96%E5%91%BD%E8%8D%89%E6%9C%AC%E6%BD%A4%E9%AB%AE%E4%B9%B3-21000000357420?itemId=21000000884550&vendorItemId=21003146598091&sourceType=search&rank=7&searchId=ff072cce54eb48449c8322304cf85939&q=rainbow
"Rainbow Shop Baking Soda Premium Cleanser Wang Tok Tok 是原裝產品, 1kg, 3個",$476,https://www.tw.coupang.com/products/Rainbow-Shop-Baking-Soda-Premium-Cleanser-Wang-Tok-Tok-%E6%98%AF%E5%8E%9F%E8%A3%9D%E7%94%A2%E5%93%81-21007153721005?itemId=21018039725417&vendorItemId=21085194072270&sourceType=search&rank=8&searchId=ff072cce54eb48449c8322304cf85939&q=rainbow
"rainbow 頭髮噴霧, 1瓶, 240ml",$304,https://www.tw.coupang.com/products/rainbow-%E9%A0%AD%E9%AB%AE%E5%99%B4%E9%9C%A7-21000000242532?itemId=21000000552542&vendorItemId=21003123404610&sourceType=search&rank=9&searchId=ff072cce54eb48449c8322304cf85939&q=rainbow
