product_name,product_price,product_url
"Chair Club Ray Chair 寬版姿勢調整椅墊, 灰色",$485,https://www.tw.coupang.com/products/Chair-Club-Ray-Chair-%E5%AF%AC%E7%89%88%E5%A7%BF%E5%8B%A2%E8%AA%BF%E6%95%B4%E6%A4%85%E5%A2%8A-21002284551718?itemId=21003926470343&vendorItemId=21071910990020&sourceType=search&rank=&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"Tamiya Ray Stinger Premium Super II 底盤微型車, 混色, 1個",$383,https://www.tw.coupang.com/products/Tamiya-Ray-Stinger-Premium-Super-II-%E5%BA%95%E7%9B%A4%E5%BE%AE%E5%9E%8B%E8%BB%8A-21000042916999?itemId=21000155447719&vendorItemId=21003364364591&sourceType=search&rank=1&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"Chair Club Ray Chair 寬版姿勢調整椅墊, 黑色 灰色",$656,https://www.tw.coupang.com/products/Chair-Club-Ray-Chair-%E5%AF%AC%E7%89%88%E5%A7%BF%E5%8B%A2%E8%AA%BF%E6%95%B4%E6%A4%85%E5%A2%8A-21002284551718?itemId=21005794683241&vendorItemId=21073093179146&sourceType=search&rank=2&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"Chair Club Ray Chair 寬版姿勢調整椅墊, 白色 粉色",$485,https://www.tw.coupang.com/products/Chair-Club-Ray-Chair-%E5%AF%AC%E7%89%88%E5%A7%BF%E5%8B%A2%E8%AA%BF%E6%95%B4%E6%A4%85%E5%A2%8A-21002284551718?itemId=21003926470341&vendorItemId=21071910989996&sourceType=search&rank=3&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"chosungah tm Ray Beam Up光彩豐盈面霜, 1個, Pink",$288,https://www.tw.coupang.com/products/chosungah-tm-Ray-Beam-Up%E5%85%89%E5%BD%A9%E8%B1%90%E7%9B%88%E9%9D%A2%E9%9C%9C-21006999482516?itemId=21018781736384&vendorItemId=21085913104305&sourceType=search&rank=4&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"Chair Club Ray Chair 寬版坐姿調整椅墊 38 x 29 x 32cm, 灰色, 1個",$602,https://www.tw.coupang.com/products/Chair-Club-Ray-Chair-%E5%AF%AC%E7%89%88%E5%9D%90%E5%A7%BF%E8%AA%BF%E6%95%B4%E6%A4%85%E5%A2%8A-38-x-29-x-32cm-263180664127488?itemId=263182580940802&vendorItemId=259900772925441&sourceType=search&rank=5&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"Modern House Ray’s 防污 防纏結淋浴軟管, 灰色",$350,https://www.tw.coupang.com/products/Modern-House-Ray%E2%80%99s-%E9%98%B2%E6%B1%A1-%E9%98%B2%E7%BA%8F%E7%B5%90%E6%B7%8B%E6%B5%B4%E8%BB%9F%E7%AE%A1-21007944561084?itemId=21021899757537&vendorItemId=21088947793558&sourceType=search&rank=6&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"JUPAZIP 適用於 17 年後車型的 New Ray 手機支架, 1個, 黑色",$426,https://www.tw.coupang.com/products/JUPAZIP-%E9%81%A9%E7%94%A8%E6%96%BC-17-%E5%B9%B4%E5%BE%8C%E8%BB%8A%E5%9E%8B%E7%9A%84-New-Ray-%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21008106279730?itemId=21022947213274&vendorItemId=21089981518018&sourceType=search&rank=7&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"Chair Club Ray Chair 寬版姿勢調整椅墊, 紅色, 1個",$399,https://www.tw.coupang.com/products/Chair-Club-Ray-Chair-%E5%AF%AC%E7%89%88%E5%A7%BF%E5%8B%A2%E8%AA%BF%E6%95%B4%E6%A4%85%E5%A2%8A-263180664127488?itemId=265272858476546&vendorItemId=265271944134656&sourceType=search&rank=8&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"RAIN WINGS 汽車後擋風玻璃雨刷 A311, Ray、Kona、Stonic、New Accent、Sorento R、Soul、All New Pride",$161,https://www.tw.coupang.com/products/RAIN-WINGS-%E6%B1%BD%E8%BB%8A%E5%BE%8C%E6%93%8B%E9%A2%A8%E7%8E%BB%E7%92%83%E9%9B%A8%E5%88%B7-A311-21007851131270?itemId=21021400367324&vendorItemId=21088457001477&sourceType=search&rank=9&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"Modern House Ray 防扭結淋浴軟管, 綠色",$354,https://www.tw.coupang.com/products/Modern-House-Ray-%E9%98%B2%E6%89%AD%E7%B5%90%E6%B7%8B%E6%B5%B4%E8%BB%9F%E7%AE%A1-21007944561084?itemId=21021982682426&vendorItemId=21089030303659&sourceType=search&rank=10&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"Chair Club Ray Chair 寬版姿勢調整椅墊, 藍色, 1個",$399,https://www.tw.coupang.com/products/Chair-Club-Ray-Chair-%E5%AF%AC%E7%89%88%E5%A7%BF%E5%8B%A2%E8%AA%BF%E6%95%B4%E6%A4%85%E5%A2%8A-263180664127488?itemId=265271927357447&vendorItemId=265271927357443&sourceType=search&rank=11&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
MEOR 翻蓋式手機殼,$214,https://www.tw.coupang.com/products/MEOR-%E7%BF%BB%E8%93%8B%E5%BC%8F%E6%89%8B%E6%A9%9F%E6%AE%BC-21001221890802?itemId=21008920489732&vendorItemId=21076207082302&sourceType=search&rank=12&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
BUBBLYDAY Ray Tweed 大容量化妝包套裝,$308,https://www.tw.coupang.com/products/BUBBLYDAY-Ray-Tweed-%E5%A4%A7%E5%AE%B9%E9%87%8F%E5%8C%96%E5%A6%9D%E5%8C%85%E5%A5%97%E8%A3%9D-21007837054141?itemId=21021325086902&vendorItemId=21088384123920&sourceType=search&rank=13&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
"CAMINAR 汽車多功能支架, 1個, 黑色",$312,https://www.tw.coupang.com/products/CAMINAR-%E6%B1%BD%E8%BB%8A%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%94%AF%E6%9E%B6-21006212801808?itemId=21020864776396&vendorItemId=21086646588375&sourceType=search&rank=14&searchId=03009a7b33f941fcbb73be11a46c9e3f&q=ray
