product_name,product_price,product_url
JY books Five Little Men in a Flying Saucer:Paperback & CD Set,$291,https://www.tw.coupang.com/products/JY-books-Five-Little-Men-in-a-Flying-Saucer%3APaperback-%26-CD-Set-197555082182677?itemId=197556319518741&vendorItemId=197555082182662&sourceType=search&rank=&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
KEYSTONE 帆布板,$76,https://www.tw.coupang.com/products/KEYSTONE-%E5%B8%86%E5%B8%83%E6%9D%BF-21000001132481?itemId=21000004867885&vendorItemId=21003005989716&sourceType=search&rank=1&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
repour WINE SAVER QTY4,$447,https://www.tw.coupang.com/products/repour-WINE-SAVER-QTY4-21000221517641?itemId=21000692003442&vendorItemId=21070807391963&sourceType=search&rank=2&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
JY books Animalphabet Hardcover + CD,"$1,024",https://www.tw.coupang.com/products/JY-books-Animalphabet-Hardcover-%2B-CD-197556332101632?itemId=197555094765592&vendorItemId=197556327907339&sourceType=search&rank=3&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
LOKO Shubon-Namulgi No. 5,$104,https://www.tw.coupang.com/products/LOKO-Shubon-Namulgi-No.-5-21000001460884?itemId=21000006375232&vendorItemId=21003008302380&sourceType=search&rank=4&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
repour WINE SAVER QTY10,$788,https://www.tw.coupang.com/products/repour-WINE-SAVER-QTY10-21000221482314?itemId=21000691821462&vendorItemId=21070807391987&sourceType=search&rank=5&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
歌手框架,$204,https://www.tw.coupang.com/products/%E6%AD%8C%E6%89%8B%E6%A1%86%E6%9E%B6-21000001283460?itemId=21000005572999&vendorItemId=21003007044681&sourceType=search&rank=6&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
HTP Tile C1039 藍瓶,$711,https://www.tw.coupang.com/products/HTP-Tile-C1039-%E8%97%8D%E7%93%B6-21005672876384?itemId=21009346499385&vendorItemId=21076631747525&sourceType=search&rank=7&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
Dharmado 1555 算命,"$1,234",https://www.tw.coupang.com/products/Dharmado-1555-%E7%AE%97%E5%91%BD-21001566108534?itemId=21002677945125&vendorItemId=21070668472760&sourceType=search&rank=8&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
Silicone Langue de Chat Cookie Mold Heart,$254,https://www.tw.coupang.com/products/Silicone-Langue-de-Chat-Cookie-Mold-Heart-21001563763532?itemId=21002673689573&vendorItemId=21070693958905&sourceType=search&rank=9&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
Happytool 多清潔,$642,https://www.tw.coupang.com/products/Happytool-%E5%A4%9A%E6%B8%85%E6%BD%94-21000000899946?itemId=21000003627910&vendorItemId=21003004301517&sourceType=search&rank=10&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
TRL-NB1-BL,$318,https://www.tw.coupang.com/products/TRL-NB1-BL-21000000080250?itemId=21000000166504&vendorItemId=21003000091012&sourceType=search&rank=11&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
TRL-NB1-BR,$315,https://www.tw.coupang.com/products/TRL-NB1-BR-21000000080234?itemId=21000000166488&vendorItemId=21003000090996&sourceType=search&rank=12&searchId=b053795effbf4140a18172a5b9b88f5d&q=seine%20geraubte
