product_name,product_price,product_url
"Jenny House Cosmetics Self-Up Real Volume 治療, 240ml, 1個",$300,https://www.tw.coupang.com/products/Jenny-House-Cosmetics-Self-Up-Real-Volume-%E6%B2%BB%E7%99%82-21007240121050?itemId=21016638876150&vendorItemId=21085536891206&sourceType=search&rank=&searchId=f901d672f709467889c056b42a4eb299&q=serts
"tcb 滋養護髮霜, 1個, 425克",$245,https://www.tw.coupang.com/products/tcb-%E6%BB%8B%E9%A4%8A%E8%AD%B7%E9%AB%AE%E9%9C%9C-21000070392208?itemId=21000235308829&vendorItemId=21003576663599&sourceType=search&rank=1&searchId=f901d672f709467889c056b42a4eb299&q=serts
"2合1去屑洗髮精, 1個, 325ml",$381,https://www.tw.coupang.com/products/2%E5%90%881%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E7%B2%BE-21007749156842?itemId=21000235731244&vendorItemId=21003577735487&sourceType=search&rank=2&searchId=f901d672f709467889c056b42a4eb299&q=serts
"NARD Bouquet Garni Damage RX 護理, 1個, 500ml",$477,https://www.tw.coupang.com/products/NARD-Bouquet-Garni-Damage-RX-%E8%AD%B7%E7%90%86-21008131006588?itemId=21023090797204&vendorItemId=21090124229020&sourceType=search&rank=3&searchId=f901d672f709467889c056b42a4eb299&q=serts
"BABOR 501 Cica Baha 潔面泡沫, 1個, 100ml",$236,https://www.tw.coupang.com/products/BABOR-501-Cica-Baha-%E6%BD%94%E9%9D%A2%E6%B3%A1%E6%B2%AB-21007055045529?itemId=21017477247478&vendorItemId=21084644818597&sourceType=search&rank=4&searchId=f901d672f709467889c056b42a4eb299&q=serts
"DERMA FACTORY Cica 53.2%保濕霜, 2個, 30ml",$501,https://www.tw.coupang.com/products/DERMA-FACTORY-Cica-53.2%25%E4%BF%9D%E6%BF%95%E9%9C%9C-21007691844569?itemId=21020623031173&vendorItemId=21087697202732&sourceType=search&rank=5&searchId=f901d672f709467889c056b42a4eb299&q=serts
"VONIN 新品 The Style Momento Moisture Fresh Skin, 1個, 150ml",$532,https://www.tw.coupang.com/products/VONIN-%E6%96%B0%E5%93%81-The-Style-Momento-Moisture-Fresh-Skin-21007416052718?itemId=21019226338133&vendorItemId=21088538888770&sourceType=search&rank=6&searchId=f901d672f709467889c056b42a4eb299&q=serts
"PAPAYA TREE 面霜, 105克, 1個",$468,https://www.tw.coupang.com/products/PAPAYA-TREE-%E9%9D%A2%E9%9C%9C-21000200281321?itemId=21000581391124&vendorItemId=21004523520016&sourceType=search&rank=7&searchId=f901d672f709467889c056b42a4eb299&q=serts
"AS I AM 椰子護髮素, 1個, 454克",$314,https://www.tw.coupang.com/products/AS-I-AM-%E6%A4%B0%E5%AD%90%E8%AD%B7%E9%AB%AE%E7%B4%A0-21000025312745?itemId=21000098440482&vendorItemId=21003179554334&sourceType=search&rank=8&searchId=f901d672f709467889c056b42a4eb299&q=serts
"LOWELL Revital護髮素, 250克, 1個",$668,https://www.tw.coupang.com/products/LOWELL-Revital%E8%AD%B7%E9%AB%AE%E7%B4%A0-21002359927310?itemId=21004096407307&vendorItemId=21072080382127&sourceType=search&rank=9&searchId=f901d672f709467889c056b42a4eb299&q=serts
"AFRiCAN PRIDE 護髮素, 1個, 425克",$285,https://www.tw.coupang.com/products/AFRiCAN-PRIDE-%E8%AD%B7%E9%AB%AE%E7%B4%A0-21000070174484?itemId=21000234665324&vendorItemId=21003574663943&sourceType=search&rank=10&searchId=f901d672f709467889c056b42a4eb299&q=serts
"AFRiCAN PRIDE 橄欖保濕洗髮精, 1瓶, 355ml",$186,https://www.tw.coupang.com/products/AFRiCAN-PRIDE-%E6%A9%84%E6%AC%96%E4%BF%9D%E6%BF%95%E6%B4%97%E9%AB%AE%E7%B2%BE-21000033894394?itemId=21000126407222&vendorItemId=21003259721519&sourceType=search&rank=11&searchId=f901d672f709467889c056b42a4eb299&q=serts
"JOHN FRIEDA 抗毛燥洗髮精, 1個, 250ml",$288,https://www.tw.coupang.com/products/JOHN-FRIEDA-%E6%8A%97%E6%AF%9B%E7%87%A5%E6%B4%97%E9%AB%AE%E7%B2%BE-21006468728185?itemId=21014110145269&vendorItemId=21081357167100&sourceType=search&rank=12&searchId=f901d672f709467889c056b42a4eb299&q=serts
"Me In Dream 頭皮復活護理精華, 2個, 120ml",$687,https://www.tw.coupang.com/products/Me-In-Dream-%E9%A0%AD%E7%9A%AE%E5%BE%A9%E6%B4%BB%E8%AD%B7%E7%90%86%E7%B2%BE%E8%8F%AF-21007388098800?itemId=21019095888200&vendorItemId=21086216671817&sourceType=search&rank=13&searchId=f901d672f709467889c056b42a4eb299&q=serts
"What a skin 保濕霜, 1個, 100ml",$423,https://www.tw.coupang.com/products/What-a-skin-%E4%BF%9D%E6%BF%95%E9%9C%9C-21006126649370?itemId=21011652601590&vendorItemId=21080579206496&sourceType=search&rank=14&searchId=f901d672f709467889c056b42a4eb299&q=serts
"Uriage Eau 熱敏精華, 100ml, 2個","$1,116",https://www.tw.coupang.com/products/Uriage-Eau-%E7%86%B1%E6%95%8F%E7%B2%BE%E8%8F%AF-21008215940356?itemId=21019169725216&vendorItemId=21086287967193&sourceType=search&rank=15&searchId=f901d672f709467889c056b42a4eb299&q=serts
"去屑洗髮乳, 1個, 325ml",$441,https://www.tw.coupang.com/products/%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-21006509421186?itemId=21000235731288&vendorItemId=21003577735637&sourceType=search&rank=16&searchId=f901d672f709467889c056b42a4eb299&q=serts
"REN 再造身體精華乳, 1個, 200ml","$1,140",https://www.tw.coupang.com/products/REN-%E5%86%8D%E9%80%A0%E8%BA%AB%E9%AB%94%E7%B2%BE%E8%8F%AF%E4%B9%B3-21007655027750?itemId=21012536763940&vendorItemId=21079805184305&sourceType=search&rank=17&searchId=f901d672f709467889c056b42a4eb299&q=serts
"La Maison Secret Volumer, 250ml, 1個",$843,https://www.tw.coupang.com/products/La-Maison-Secret-Volumer-21007166186719?itemId=21018044461963&vendorItemId=21085198719318&sourceType=search&rank=18&searchId=f901d672f709467889c056b42a4eb299&q=serts
"FOX RUN Fluffy Mesh Shaker Spice Shaker 85ml, 1個",$321,https://www.tw.coupang.com/products/FOX-RUN-Fluffy-Mesh-Shaker-Spice-Shaker-85ml-21000108189827?itemId=21000327474478&vendorItemId=21003802756800&sourceType=search&rank=19&searchId=f901d672f709467889c056b42a4eb299&q=serts
"CHARM IN CELL Charmzone 松露皇家皮膚, 1個, 110ml","$1,081",https://www.tw.coupang.com/products/CHARM-IN-CELL-Charmzone-%E6%9D%BE%E9%9C%B2%E7%9A%87%E5%AE%B6%E7%9A%AE%E8%86%9A-21007840725103?itemId=21021344122331&vendorItemId=21089766172332&sourceType=search&rank=20&searchId=f901d672f709467889c056b42a4eb299&q=serts
"Mill Creek BOTANICALS 去屑洗髮精, 1個, 473ml",$376,https://www.tw.coupang.com/products/Mill-Creek-BOTANICALS-%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E7%B2%BE-21000003347510?itemId=21000000421962&vendorItemId=21003280206268&sourceType=search&rank=21&searchId=f901d672f709467889c056b42a4eb299&q=serts
"DOO GRO 止癢頭皮油, 1入, 125ml",$311,https://www.tw.coupang.com/products/DOO-GRO-%E6%AD%A2%E7%99%A2%E9%A0%AD%E7%9A%AE%E6%B2%B9-21000030105942?itemId=21000114829167&vendorItemId=21003229453055&sourceType=search&rank=22&searchId=f901d672f709467889c056b42a4eb299&q=serts
"Herbal Face Food 植物性肌膚護理精華, 50ml, 1個","$2,166",https://www.tw.coupang.com/products/Herbal-Face-Food-%E6%A4%8D%E7%89%A9%E6%80%A7%E8%82%8C%E8%86%9A%E8%AD%B7%E7%90%86%E7%B2%BE%E8%8F%AF-21006170409416?itemId=21019885593124&vendorItemId=21086985985309&sourceType=search&rank=23&searchId=f901d672f709467889c056b42a4eb299&q=serts
"BONAJOUR Derma Mdk護理精華, 13克, 1個",$500,https://www.tw.coupang.com/products/BONAJOUR-Derma-Mdk%E8%AD%B7%E7%90%86%E7%B2%BE%E8%8F%AF-21001909021730?itemId=21003241440492&vendorItemId=21071228632529&sourceType=search&rank=24&searchId=f901d672f709467889c056b42a4eb299&q=serts
"JASON 去屑洗髮乳+護髮乳, 3個, 355ml","$1,079",https://www.tw.coupang.com/products/JASON-%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3%2B%E8%AD%B7%E9%AB%AE%E4%B9%B3-21006804323539?itemId=21014225600444&vendorItemId=21082007192266&sourceType=search&rank=25&searchId=f901d672f709467889c056b42a4eb299&q=serts
"PUREOLOGY Perfect 4 Platinum清爽護髮素, 1個, 100ml",$764,https://www.tw.coupang.com/products/PUREOLOGY-Perfect-4-Platinum%E6%B8%85%E7%88%BD%E8%AD%B7%E9%AB%AE%E7%B4%A0-21000095555398?itemId=21000294786147&vendorItemId=21003725297857&sourceType=search&rank=26&searchId=f901d672f709467889c056b42a4eb299&q=serts
"EIDON Ionic Minerals Selenium, 1個, 563毫升",$515,https://www.tw.coupang.com/products/EIDON-Ionic-Minerals-Selenium-21000000016464?itemId=21000000047022&vendorItemId=21003085342053&sourceType=search&rank=27&searchId=f901d672f709467889c056b42a4eb299&q=serts
"DMCK Clean Arc 霜, 1個, 100克",$660,https://www.tw.coupang.com/products/DMCK-Clean-Arc-%E9%9C%9C-21007623035560?itemId=21020533241086&vendorItemId=21073429825263&sourceType=search&rank=28&searchId=f901d672f709467889c056b42a4eb299&q=serts
"Stendhal Recette Merveilleuse日常護理乳霜, 1個, 50ml","$2,546",https://www.tw.coupang.com/products/Stendhal-Recette-Merveilleuse%E6%97%A5%E5%B8%B8%E8%AD%B7%E7%90%86%E4%B9%B3%E9%9C%9C-21000111497335?itemId=21000335774266&vendorItemId=21003823865226&sourceType=search&rank=29&searchId=f901d672f709467889c056b42a4eb299&q=serts
"Intermission Rest-up肌膚平衡保濕精華, 2個, 200ml","$1,176",https://www.tw.coupang.com/products/Intermission-Rest-up%E8%82%8C%E8%86%9A%E5%B9%B3%E8%A1%A1%E4%BF%9D%E6%BF%95%E7%B2%BE%E8%8F%AF-21007217977192?itemId=21019168148780&vendorItemId=21086286446230&sourceType=search&rank=&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"FROM LABS 去屑洗髮精, 1入, 500ml",$524,https://www.tw.coupang.com/products/FROM-LABS-%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E7%B2%BE-21006909033509?itemId=21016643856136&vendorItemId=21083828006842&sourceType=search&rank=1&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"LACVERT Homme Recharge Cica 須後水, 1個, 185ml",$260,https://www.tw.coupang.com/products/LACVERT-Homme-Recharge-Cica-%E9%A0%88%E5%BE%8C%E6%B0%B4-21007757463253?itemId=21020911469563&vendorItemId=21088538373844&sourceType=search&rank=2&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"ANACIS 精華霜, 30ml, 1個",$726,https://www.tw.coupang.com/products/ANACIS-%E7%B2%BE%E8%8F%AF%E9%9C%9C-21007027641425?itemId=21010199369084&vendorItemId=21077481889127&sourceType=search&rank=3&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"FATION Nosca9護膚精華, 30ml, 1個",$404,https://www.tw.coupang.com/products/FATION-Nosca9%E8%AD%B7%E8%86%9A%E7%B2%BE%E8%8F%AF-21006865552810?itemId=21018758456574&vendorItemId=21086215325213&sourceType=search&rank=4&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"Fleur Aroma 28 天頭皮洗髮精, 300ml, 1個",$722,https://www.tw.coupang.com/products/Fleur-Aroma-28-%E5%A4%A9%E9%A0%AD%E7%9A%AE%E6%B4%97%E9%AB%AE%E7%B2%BE-21008103430014?itemId=21021643490350&vendorItemId=21089964681911&sourceType=search&rank=5&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"Dewy Clincia Clarifying Emulsion Lotion, 150ml, 1入",$361,https://www.tw.coupang.com/products/Dewy-Clincia-Clarifying-Emulsion-Lotion-21005723358123?itemId=21009580190202&vendorItemId=21076864774972&sourceType=search&rank=6&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"Graphen Jeju Seawater Volume Up Curl Cream, 1個, 180ml",$254,https://www.tw.coupang.com/products/Graphen-Jeju-Seawater-Volume-Up-Curl-Cream-21007170749563?itemId=21018064763717&vendorItemId=21082747552074&sourceType=search&rank=7&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"NOXZEMA 深層清潔霜, 1個, 340克",$230,https://www.tw.coupang.com/products/NOXZEMA-%E6%B7%B1%E5%B1%A4%E6%B8%85%E6%BD%94%E9%9C%9C-21000002284589?itemId=21000010449126&vendorItemId=21003270927038&sourceType=search&rank=8&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"TOUN28 AHA BHA PHA護理精華液, 30ml, 1組",$843,https://www.tw.coupang.com/products/TOUN28-AHA-BHA-PHA%E8%AD%B7%E7%90%86%E7%B2%BE%E8%8F%AF%E6%B6%B2-21006150107307?itemId=21011864894746&vendorItemId=21079138020828&sourceType=search&rank=9&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"頭皮護理 Laurel 洗髮精, 1個, 100g",$508,https://www.tw.coupang.com/products/%E9%A0%AD%E7%9A%AE%E8%AD%B7%E7%90%86-Laurel-%E6%B4%97%E9%AB%AE%E7%B2%BE-21007954061216?itemId=21021966385581&vendorItemId=21089966722757&sourceType=search&rank=10&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"Daleaf Origin 修護洗髮露, 1個, 500ml",$401,https://www.tw.coupang.com/products/Daleaf-Origin-%E4%BF%AE%E8%AD%B7%E6%B4%97%E9%AB%AE%E9%9C%B2-21008135528596?itemId=21023109422736&vendorItemId=21090395397186&sourceType=search&rank=11&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"Lamazuna 潔淨洗髮皂 油性髮質適用, 70ml, 2盒",$264,https://www.tw.coupang.com/products/Lamazuna-%E6%BD%94%E6%B7%A8%E6%B4%97%E9%AB%AE%E7%9A%82-%E6%B2%B9%E6%80%A7%E9%AB%AE%E8%B3%AA%E9%81%A9%E7%94%A8-420730105692160?itemId=433144343789578&vendorItemId=433144343805958&sourceType=search&rank=12&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"Lamazuna 潔淨洗髮皂 油性髮質適用, 70ml, 4盒",$529,https://www.tw.coupang.com/products/Lamazuna-%E6%BD%94%E6%B7%A8%E6%B4%97%E9%AB%AE%E7%9A%82-%E6%B2%B9%E6%80%A7%E9%AB%AE%E8%B3%AA%E9%81%A9%E7%94%A8-420730105692160?itemId=433144343805963&vendorItemId=433144343789577&sourceType=search&rank=13&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"Lamazuna 潔淨洗髮皂 油性髮質適用, 70ml, 3盒",$396,https://www.tw.coupang.com/products/Lamazuna-%E6%BD%94%E6%B7%A8%E6%B4%97%E9%AB%AE%E7%9A%82-%E6%B2%B9%E6%80%A7%E9%AB%AE%E8%B3%AA%E9%81%A9%E7%94%A8-420730105692160?itemId=433144343756810&vendorItemId=433144343773190&sourceType=search&rank=14&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"Lamazuna 潔淨洗髮皂 油性髮質適用, 70ml, 1盒",$132,https://www.tw.coupang.com/products/Lamazuna-%E6%BD%94%E6%B7%A8%E6%B4%97%E9%AB%AE%E7%9A%82-%E6%B2%B9%E6%80%A7%E9%AB%AE%E8%B3%AA%E9%81%A9%E7%94%A8-420730105692160?itemId=420730105708544&vendorItemId=420730105741312&sourceType=search&rank=15&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
"Macro 天然義大利海鹽研磨罐, 345g, 1罐",$128,https://www.tw.coupang.com/products/Macro-%E5%A4%A9%E7%84%B6%E7%BE%A9%E5%A4%A7%E5%88%A9%E6%B5%B7%E9%B9%BD%E7%A0%94%E7%A3%A8%E7%BD%90-453059905814528?itemId=453059905798144&vendorItemId=453059901603848&sourceType=search&rank=16&searchId=1ac3323aa6c441a79ccc856449d55f26&q=serts
