product_name,product_price,product_url
"nexi DVI轉RGB VGA電纜線 3m, NX479 (NX-DVIRGB030)",$104,https://www.tw.coupang.com/products/nexi-DVI%E8%BD%89RGB-VGA%E9%9B%BB%E7%BA%9C%E7%B7%9A-3m-21001814206656?itemId=21003087677902&vendorItemId=21071075528181&sourceType=search&rank=&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"Coms DisplayPort DP轉HDMI VGA DVI顯示器轉換轉換器, FW599D",$574,https://www.tw.coupang.com/products/Coms-DisplayPort-DP%E8%BD%89HDMI-VGA-DVI%E9%A1%AF%E7%A4%BA%E5%99%A8%E8%BD%89%E6%8F%9B%E8%BD%89%E6%8F%9B%E5%99%A8-21007235425841?itemId=21018370386750&vendorItemId=21085513906959&sourceType=search&rank=1&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"NEXT 24merit 24merit DVC DVI 轉 VGA 轉換器, NEXT-2424DVC",$144,https://www.tw.coupang.com/products/NEXT-24merit-24merit-DVC-DVI-%E8%BD%89-VGA-%E8%BD%89%E6%8F%9B%E5%99%A8-21001288325476?itemId=21002298841122&vendorItemId=21070295799950&sourceType=search&rank=2&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"MBF DP 轉 VGA 線 5m, MBF-DPVC05",$341,https://www.tw.coupang.com/products/MBF-DP-%E8%BD%89-VGA-%E7%B7%9A-5m-21005294228468?itemId=21007622738605&vendorItemId=21074913995711&sourceType=search&rank=3&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"DiOPTEC JustLink DVI D 到 VGA 轉換器, JUSTLINK-DMRFC",$213,https://www.tw.coupang.com/products/DiOPTEC-JustLink-DVI-D-%E5%88%B0-VGA-%E8%BD%89%E6%8F%9B%E5%99%A8-21001867880798?itemId=21003174827620&vendorItemId=21071162330734&sourceType=search&rank=4&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"MAME DVI D 轉 VGA 轉換線 JT5956, 2個",$180,https://www.tw.coupang.com/products/MAME-DVI-D-%E8%BD%89-VGA-%E8%BD%89%E6%8F%9B%E7%B7%9A-JT5956-21004830682917?itemId=21006233384594&vendorItemId=21073529306009&sourceType=search&rank=5&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"網絡內 DVI D 轉 VGA 1920 x 1080 轉換器電纜 IN-DVIDV15, 1個, 25厘米",$104,https://www.tw.coupang.com/products/%E7%B6%B2%E7%B5%A1%E5%85%A7-DVI-D-%E8%BD%89-VGA-1920-x-1080-%E8%BD%89%E6%8F%9B%E5%99%A8%E9%9B%BB%E7%BA%9C-IN-DVIDV15-21002122381941?itemId=21020583702623&vendorItemId=21071587411538&sourceType=search&rank=6&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"MBF DP 轉 VGA 線 2m, MBF-DPVC02",$287,https://www.tw.coupang.com/products/MBF-DP-%E8%BD%89-VGA-%E7%B7%9A-2m-21005294228468?itemId=21007622739077&vendorItemId=21074913996284&sourceType=search&rank=7&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"NEXT LINK 4in1 Mini Displayport 轉換器 MDP 轉 VGA 音頻 HDMI DVI, NEXTLINK-MDP402A",$400,https://www.tw.coupang.com/products/NEXT-LINK-4in1-Mini-Displayport-%E8%BD%89%E6%8F%9B%E5%99%A8-MDP-%E8%BD%89-VGA-%E9%9F%B3%E9%A0%BB-HDMI-DVI-21000179263361?itemId=21000513488613&vendorItemId=21004320912864&sourceType=search&rank=8&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
Machlink DVI-D轉VGA轉換器電纜線 ML-DVC-D 15cm,$133,https://www.tw.coupang.com/products/Machlink-DVI-D%E8%BD%89VGA%E8%BD%89%E6%8F%9B%E5%99%A8%E9%9B%BB%E7%BA%9C%E7%B7%9A-ML-DVC-D-15cm-21000049098995?itemId=21000174038985&vendorItemId=21003416319649&sourceType=search&rank=9&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"Mcdodo 麥多多 HDMI 轉 VGA 線, CA-7770",$578,https://www.tw.coupang.com/products/Mcdodo-%E9%BA%A5%E5%A4%9A%E5%A4%9A-HDMI-%E8%BD%89-VGA-%E7%B7%9A-21001956903843?itemId=21003325244273&vendorItemId=21071312096498&sourceType=search&rank=10&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"MBF DP轉VGA線DPVC03, 單一型號名稱/零件號",$341,https://www.tw.coupang.com/products/MBF-DP%E8%BD%89VGA%E7%B7%9ADPVC03-21005294228468?itemId=21007482300744&vendorItemId=21074773113739&sourceType=search&rank=11&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"nexi DVI-D 轉VGA轉換器, NX-DV05",$156,https://www.tw.coupang.com/products/nexi-DVI-D-%E8%BD%89VGA%E8%BD%89%E6%8F%9B%E5%99%A8-21001830198170?itemId=21003113265484&vendorItemId=21071101006116&sourceType=search&rank=12&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"NEXT 24merit 25VDC VGA 到 DVI 轉換器, NEXT-2425VDC",$144,https://www.tw.coupang.com/products/NEXT-24merit-25VDC-VGA-%E5%88%B0-DVI-%E8%BD%89%E6%8F%9B%E5%99%A8-21001288325710?itemId=21002298841312&vendorItemId=21070295799939&sourceType=search&rank=13&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"VGA 轉接線 2m, SOL-012",$326,https://www.tw.coupang.com/products/VGA-%E8%BD%89%E6%8E%A5%E7%B7%9A-2m-21006475186934?itemId=21014150210497&vendorItemId=21081396744113&sourceType=search&rank=14&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"DiOPTEC 只需將 DVI D 連接到 RGB 電纜 DMRMC018, 1個, 1.8m",$348,https://www.tw.coupang.com/products/DiOPTEC-%E5%8F%AA%E9%9C%80%E5%B0%87-DVI-D-%E9%80%A3%E6%8E%A5%E5%88%B0-RGB-%E9%9B%BB%E7%BA%9C-DMRMC018-21001915469158?itemId=21003252109125&vendorItemId=21071239188034&sourceType=search&rank=15&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
VGA 轉接線 SOLTOP-014,$392,https://www.tw.coupang.com/products/VGA-%E8%BD%89%E6%8E%A5%E7%B7%9A-SOLTOP-014-21006475186934?itemId=21014150665732&vendorItemId=21081397193265&sourceType=search&rank=16&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"NEXT LINK DVI-D 轉 VGA 轉換器, NEXTLINK-2419DVC",$136,https://www.tw.coupang.com/products/NEXT-LINK-DVI-D-%E8%BD%89-VGA-%E8%BD%89%E6%8F%9B%E5%99%A8-21000080283722?itemId=21000256796858&vendorItemId=21003624600097&sourceType=search&rank=17&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"DiOPTEC 只需將 DVI D 連接到 RGB 電纜 DMRMC050, 1個, 5m",$438,https://www.tw.coupang.com/products/DiOPTEC-%E5%8F%AA%E9%9C%80%E5%B0%87-DVI-D-%E9%80%A3%E6%8E%A5%E5%88%B0-RGB-%E9%9B%BB%E7%BA%9C-DMRMC050-21001915469258?itemId=21003252109287&vendorItemId=21071239188178&sourceType=search&rank=18&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"DiOPTEC 只需將 DVI D 連接到 RGB 電纜 DMRMC030, 1個, 3m",$387,https://www.tw.coupang.com/products/DiOPTEC-%E5%8F%AA%E9%9C%80%E5%B0%87-DVI-D-%E9%80%A3%E6%8E%A5%E5%88%B0-RGB-%E9%9B%BB%E7%BA%9C-DMRMC030-21001915469158?itemId=21003252108825&vendorItemId=21071239187685&sourceType=search&rank=19&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"Coms Mini DP轉HDMI+VGA+DVI 轉接器, FW599",$440,https://www.tw.coupang.com/products/Coms-Mini-DP%E8%BD%89HDMI%2BVGA%2BDVI-%E8%BD%89%E6%8E%A5%E5%99%A8-21004355200616?itemId=21005115043384&vendorItemId=21072424555320&sourceType=search&rank=20&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
"NEXT Type-C 轉 VGA DVI HDMI DP 性別 -2218VDHP, NEXT-2218VDHP",$788,https://www.tw.coupang.com/products/NEXT-Type-C-%E8%BD%89-VGA-DVI-HDMI-DP-%E6%80%A7%E5%88%A5--2218VDHP-21001846932361?itemId=21003139635137&vendorItemId=21071086502212&sourceType=search&rank=21&searchId=8c48a25fc14a49bda197883bcf890bc7&q=vga%E8%BD%89dvi
