product_name,product_price,product_url
"奇瑞標準電腦機身支架, 黑色的, 1個",$156,https://www.tw.coupang.com/products/%E5%A5%87%E7%91%9E%E6%A8%99%E6%BA%96%E9%9B%BB%E8%85%A6%E6%A9%9F%E8%BA%AB%E6%94%AF%E6%9E%B6-21000050131499?itemId=21000176674803&vendorItemId=21003422696957&sourceType=search&rank=&searchId=7c1936b6fd6d4e3a9fff9953bc925fc3&q=watch%20%E5%9F%BA%E5%BA%A7
"CAMINAR 汽車多功能支架, 1個, 黑色",$312,https://www.tw.coupang.com/products/CAMINAR-%E6%B1%BD%E8%BB%8A%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%94%AF%E6%9E%B6-21006212801808?itemId=21020864776396&vendorItemId=21086646588375&sourceType=search&rank=1&searchId=7c1936b6fd6d4e3a9fff9953bc925fc3&q=watch%20%E5%9F%BA%E5%BA%A7
"Tikerbell 汽車後座平板電腦支架, 單一顏色, 1個",$128,https://www.tw.coupang.com/products/Tikerbell-%E6%B1%BD%E8%BB%8A%E5%BE%8C%E5%BA%A7%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E6%94%AF%E6%9E%B6-21005641462007?itemId=21009204709369&vendorItemId=21076490440022&sourceType=search&rank=2&searchId=7c1936b6fd6d4e3a9fff9953bc925fc3&q=watch%20%E5%9F%BA%E5%BA%A7
"LDL 安裝監視器臂筆記本電腦支架底座 APL-NB2, 黑色",$350,https://www.tw.coupang.com/products/LDL-%E5%AE%89%E8%A3%9D%E7%9B%A3%E8%A6%96%E5%99%A8%E8%87%82%E7%AD%86%E8%A8%98%E6%9C%AC%E9%9B%BB%E8%85%A6%E6%94%AF%E6%9E%B6%E5%BA%95%E5%BA%A7-APL-NB2-21007290100882?itemId=21018630691247&vendorItemId=21085765990761&sourceType=search&rank=3&searchId=7c1936b6fd6d4e3a9fff9953bc925fc3&q=watch%20%E5%9F%BA%E5%BA%A7
"SEKYUNG Macada後座時尚座椅/黑色緊湊型車, 黑色",$604,https://www.tw.coupang.com/products/SEKYUNG-Macada%E5%BE%8C%E5%BA%A7%E6%99%82%E5%B0%9A%E5%BA%A7%E6%A4%85%2F%E9%BB%91%E8%89%B2%E7%B7%8A%E6%B9%8A%E5%9E%8B%E8%BB%8A-21000000114247?itemId=21000000216604&vendorItemId=21003000150149&sourceType=search&rank=4&searchId=7c1936b6fd6d4e3a9fff9953bc925fc3&q=watch%20%E5%9F%BA%E5%BA%A7
"汽車賽車座椅、汽車手機支架, 1個, 黑色",$290,https://www.tw.coupang.com/products/%E6%B1%BD%E8%BB%8A%E8%B3%BD%E8%BB%8A%E5%BA%A7%E6%A4%85%E3%80%81%E6%B1%BD%E8%BB%8A%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21008082230108?itemId=21022796106892&vendorItemId=21090069116080&sourceType=search&rank=5&searchId=7c1936b6fd6d4e3a9fff9953bc925fc3&q=watch%20%E5%9F%BA%E5%BA%A7
"ARKON 汽車前排座椅平板支架 TABPB088, 黑色, 1個","$1,331",https://www.tw.coupang.com/products/ARKON-%E6%B1%BD%E8%BB%8A%E5%89%8D%E6%8E%92%E5%BA%A7%E6%A4%85%E5%B9%B3%E6%9D%BF%E6%94%AF%E6%9E%B6-TABPB088-21005502681908?itemId=21008553253498&vendorItemId=21075840649458&sourceType=search&rank=6&searchId=7c1936b6fd6d4e3a9fff9953bc925fc3&q=watch%20%E5%9F%BA%E5%BA%A7
"Morancano 汽車後座頭枕墊平板電腦智能手機支架, 1個, 黑色",$288,https://www.tw.coupang.com/products/Morancano-%E6%B1%BD%E8%BB%8A%E5%BE%8C%E5%BA%A7%E9%A0%AD%E6%9E%95%E5%A2%8A%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21007075662763?itemId=21017585615058&vendorItemId=21084752151610&sourceType=search&rank=7&searchId=7c1936b6fd6d4e3a9fff9953bc925fc3&q=watch%20%E5%9F%BA%E5%BA%A7
"黑犀牛後座 NS 智能手機支架, 1個, 紅色",$262,https://www.tw.coupang.com/products/%E9%BB%91%E7%8A%80%E7%89%9B%E5%BE%8C%E5%BA%A7-NS-%E6%99%BA%E8%83%BD%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21000050264255?itemId=21000177090390&vendorItemId=21003423255791&sourceType=search&rank=8&searchId=7c1936b6fd6d4e3a9fff9953bc925fc3&q=watch%20%E5%9F%BA%E5%BA%A7
"汽車後座手機平板電腦支架 CMC7, 黑色, 1個",$367,https://www.tw.coupang.com/products/%E6%B1%BD%E8%BB%8A%E5%BE%8C%E5%BA%A7%E6%89%8B%E6%A9%9F%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E6%94%AF%E6%9E%B6-CMC7-21005726847395?itemId=21009597053815&vendorItemId=21076881619927&sourceType=search&rank=9&searchId=7c1936b6fd6d4e3a9fff9953bc925fc3&q=watch%20%E5%9F%BA%E5%BA%A7
