product_name,product_price,product_url
"PHILIPS 飛利浦 來電顯示無線電話, M4751B","$1,699",https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA%E7%84%A1%E7%B7%9A%E9%9B%BB%E8%A9%B1-456684526845958?itemId=456684526845957&vendorItemId=456684526862341&sourceType=search&rank=&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"COMAX 2 級石英迷你電加熱器, 灰色, CM-101H",$427,https://www.tw.coupang.com/products/COMAX-2-%E7%B4%9A%E7%9F%B3%E8%8B%B1%E8%BF%B7%E4%BD%A0%E9%9B%BB%E5%8A%A0%E7%86%B1%E5%99%A8-21007470329697?itemId=21019491490989&vendorItemId=21004112821363&sourceType=search&rank=1&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"飛利浦 智慧迷你電保溫電鍋 2-3人 白色, HD3064/95","$1,597",https://www.tw.coupang.com/products/%E9%A3%9B%E5%88%A9%E6%B5%A6-%E6%99%BA%E6%85%A7%E8%BF%B7%E4%BD%A0%E9%9B%BB%E4%BF%9D%E6%BA%AB%E9%9B%BB%E9%8D%8B-2-3%E4%BA%BA-%E7%99%BD%E8%89%B2-21007644030682?itemId=21020320038730&vendorItemId=21087405473536&sourceType=search&rank=2&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"GOOSPERY Type-C to Type-C快速充電線 2入, 白色, 2m, 2條",$191,https://www.tw.coupang.com/products/GOOSPERY-Type-C-to-Type-C%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E7%B7%9A-2%E5%85%A5-21002044873930?itemId=21012926480930&vendorItemId=21080190993548&sourceType=search&rank=3&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"GOOSPERY Type-C to Type-C防斷快速充電線 60W 3入組, 2m, 白色的, 1組",$205,https://www.tw.coupang.com/products/GOOSPERY-Type-C-to-Type-C%E9%98%B2%E6%96%B7%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E7%B7%9A-60W-3%E5%85%A5%E7%B5%84-21006299213407?itemId=21016074809888&vendorItemId=21083274746544&sourceType=search&rank=4&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"PHILIPS 飛利浦 來電顯示無線電話, M4752B","$3,280",https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA%E7%84%A1%E7%B7%9A%E9%9B%BB%E8%A9%B1-456684526845958?itemId=456684526862343&vendorItemId=456684526845955&sourceType=search&rank=5&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"Seongyoon 來電顯示直立式固定電話, SY-527",$525,https://www.tw.coupang.com/products/Seongyoon-%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA%E7%9B%B4%E7%AB%8B%E5%BC%8F%E5%9B%BA%E5%AE%9A%E9%9B%BB%E8%A9%B1-21008118612361?itemId=21023020252315&vendorItemId=21090070586049&sourceType=search&rank=6&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"任天堂可拆卸充電器 + DS/DS Lite 數據線套裝, 1組, 2018-CE5V1000A, 黑色",$138,https://www.tw.coupang.com/products/%E4%BB%BB%E5%A4%A9%E5%A0%82%E5%8F%AF%E6%8B%86%E5%8D%B8%E5%85%85%E9%9B%BB%E5%99%A8-%2B-DS%2FDS-Lite-%E6%95%B8%E6%93%9A%E7%B7%9A%E5%A5%97%E8%A3%9D-21008179169935?itemId=21023379969905&vendorItemId=21090410015396&sourceType=search&rank=7&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"IDS來電顯示家用電話, TKT-500, 白色",$394,https://www.tw.coupang.com/products/IDS%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA%E5%AE%B6%E7%94%A8%E9%9B%BB%E8%A9%B1-21007516506171?itemId=21000001999424&vendorItemId=21003016645158&sourceType=search&rank=8&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"PHILIPS 飛利浦 來電顯示無線電話, M4701B","$1,851",https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA%E7%84%A1%E7%B7%9A%E9%9B%BB%E8%A9%B1-456684526845958?itemId=456684526878728&vendorItemId=456684526878726&sourceType=search&rank=9&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"安茂高速C to C充電線, 1m, 1個, 黑色",$142,https://www.tw.coupang.com/products/%E5%AE%89%E8%8C%82%E9%AB%98%E9%80%9FC-to-C%E5%85%85%E9%9B%BB%E7%B7%9A-21007970165971?itemId=21022070920618&vendorItemId=21089118007057&sourceType=search&rank=10&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"Shinil 信一 立式壁掛式 PTC 電加熱器, 單一顏色, SEH-W2000KP","$2,963",https://www.tw.coupang.com/products/Shinil-%E4%BF%A1%E4%B8%80-%E7%AB%8B%E5%BC%8F%E5%A3%81%E6%8E%9B%E5%BC%8F-PTC-%E9%9B%BB%E5%8A%A0%E7%86%B1%E5%99%A8-21006973345358?itemId=21017014764294&vendorItemId=21084190487897&sourceType=search&rank=11&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"PHILIPS 飛利浦 來電顯示無線電話, M4702B","$3,680",https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA%E7%84%A1%E7%B7%9A%E9%9B%BB%E8%A9%B1-456684526845958?itemId=456684526829576&vendorItemId=456684526845956&sourceType=search&rank=12&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"Raina 4段石英管燈定時器電加熱器, 單色, RH-5400R","$1,522",https://www.tw.coupang.com/products/Raina-4%E6%AE%B5%E7%9F%B3%E8%8B%B1%E7%AE%A1%E7%87%88%E5%AE%9A%E6%99%82%E5%99%A8%E9%9B%BB%E5%8A%A0%E7%86%B1%E5%99%A8-21007662455981?itemId=21020417806878&vendorItemId=21087515800034&sourceType=search&rank=13&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"來電顯示電話, DT-3360（白色）",$486,https://www.tw.coupang.com/products/%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA%E9%9B%BB%E8%A9%B1-21000014045582?itemId=21000058116859&vendorItemId=21003091134981&sourceType=search&rank=14&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"maxon 壁掛式來電顯示有線 CID 電話, M30",$432,https://www.tw.coupang.com/products/maxon-%E5%A3%81%E6%8E%9B%E5%BC%8F%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA%E6%9C%89%E7%B7%9A-CID-%E9%9B%BB%E8%A9%B1-21007419647928?itemId=21019244044185&vendorItemId=21086360196495&sourceType=search&rank=15&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"Planlux Dembo 可充電矽膠 LED 氛圍燈, 暖白",$590,https://www.tw.coupang.com/products/Planlux-Dembo-%E5%8F%AF%E5%85%85%E9%9B%BB%E7%9F%BD%E8%86%A0-LED-%E6%B0%9B%E5%9C%8D%E7%87%88-21007401111794?itemId=21019156490751&vendorItemId=21086275293714&sourceType=search&rank=16&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"VENTION 威迅 8K Type C DP 鏡像電纜, 1個, 2m",$573,https://www.tw.coupang.com/products/VENTION-%E5%A8%81%E8%BF%85-8K-Type-C-DP-%E9%8F%A1%E5%83%8F%E9%9B%BB%E7%BA%9C-21006515822251?itemId=21014413443514&vendorItemId=21081657394314&sourceType=search&rank=17&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"LAN Star 筆記型電腦外接光碟機 嵌入式電纜, LS-EXODD",$641,https://www.tw.coupang.com/products/LAN-Star-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E5%A4%96%E6%8E%A5%E5%85%89%E7%A2%9F%E6%A9%9F-%E5%B5%8C%E5%85%A5%E5%BC%8F%E9%9B%BB%E7%BA%9C-21001950743532?itemId=21003313649125&vendorItemId=21071300538657&sourceType=search&rank=18&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"VENTION 威迅 無氧C to C型高速數據充電鏡像USB 3.0數據線1m, 混色, 1個, 1m",$307,https://www.tw.coupang.com/products/VENTION-%E5%A8%81%E8%BF%85-%E7%84%A1%E6%B0%A7C-to-C%E5%9E%8B%E9%AB%98%E9%80%9F%E6%95%B8%E6%93%9A%E5%85%85%E9%9B%BB%E9%8F%A1%E5%83%8FUSB-3.0%E6%95%B8%E6%93%9A%E7%B7%9A1m-21001186039446?itemId=21002166857865&vendorItemId=21070165009890&sourceType=search&rank=19&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"Chorus 壁掛式來電顯示有線電話黑色, DT-150C",$482,https://www.tw.coupang.com/products/Chorus-%E5%A3%81%E6%8E%9B%E5%BC%8F%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA%E6%9C%89%E7%B7%9A%E9%9B%BB%E8%A9%B1%E9%BB%91%E8%89%B2-21007544156758?itemId=21019839060761&vendorItemId=21086940636494&sourceType=search&rank=20&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"KORUS 來電顯示電話, DT-2110（白色）",$448,https://www.tw.coupang.com/products/KORUS-%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA%E9%9B%BB%E8%A9%B1-21000087710196?itemId=21000275026375&vendorItemId=21003666083182&sourceType=search&rank=21&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"808STORE Type-C充電線 SHZ-012 100W 2入, 白色的, 200厘米",$336,https://www.tw.coupang.com/products/808STORE-Type-C%E5%85%85%E9%9B%BB%E7%B7%9A-SHZ-012-100W-2%E5%85%A5-21006978290112?itemId=21017038712690&vendorItemId=21084213608113&sourceType=search&rank=22&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
Jespa 亮燈電熱蒸鍋海軍藍 ZP2211NS,$824,https://www.tw.coupang.com/products/Jespa-%E4%BA%AE%E7%87%88%E9%9B%BB%E7%86%B1%E8%92%B8%E9%8D%8B%E6%B5%B7%E8%BB%8D%E8%97%8D-ZP2211NS-21007404996534?itemId=21019174306161&vendorItemId=21086292399037&sourceType=search&rank=23&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
"Itech 來電顯示 CID 有線電話, IK-320（紅）",$387,https://www.tw.coupang.com/products/Itech-%E4%BE%86%E9%9B%BB%E9%A1%AF%E7%A4%BA-CID-%E6%9C%89%E7%B7%9A%E9%9B%BB%E8%A9%B1-21006602745143?itemId=21014941230830&vendorItemId=21082165768936&sourceType=search&rank=24&searchId=f074b738b3844a94a1f5d3f7107548b8&q=%E4%B8%8D%E5%81%9C%E9%9B%BB
