product_name,product_price,product_url
"ERiC CARLE 艾瑞卡爾 兒童餐具組 湯匙*1+叉子*1+餐具盒*1, 湯匙*1入+叉子*1入+餐具盒*1入, 混色, 1組",$203,https://www.tw.coupang.com/products/ERiC-CARLE-%E8%89%BE%E7%91%9E%E5%8D%A1%E7%88%BE-%E5%85%92%E7%AB%A5%E9%A4%90%E5%85%B7%E7%B5%84-%E6%B9%AF%E5%8C%99*1%2B%E5%8F%89%E5%AD%90*1%2B%E9%A4%90%E5%85%B7%E7%9B%92*1-244596923678731?itemId=244597737357320&vendorItemId=244596013481992&sourceType=search&rank=&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"e.Life 可重複使用湯匙白色LSA, 1包, 10入",$27,https://www.tw.coupang.com/products/e.Life-%E5%8F%AF%E9%87%8D%E8%A4%87%E4%BD%BF%E7%94%A8%E6%B9%AF%E5%8C%99%E7%99%BD%E8%89%B2LSA-21007344814264?itemId=21018886826040&vendorItemId=21090407648683&sourceType=search&rank=1&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"湯匙+筷子, 天藍色+藍色, 筷子 2雙+湯匙 2支",$226,https://www.tw.coupang.com/products/%E6%B9%AF%E5%8C%99%2B%E7%AD%B7%E5%AD%90-21006174889102?itemId=21012079629455&vendorItemId=21079351574694&sourceType=search&rank=2&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"ERiC CARLE 艾瑞卡爾 防滑餐具組, 湯匙*1入+叉子*1入, 綠色, 1組",$155,https://www.tw.coupang.com/products/ERiC-CARLE-%E8%89%BE%E7%91%9E%E5%8D%A1%E7%88%BE-%E9%98%B2%E6%BB%91%E9%A4%90%E5%85%B7%E7%B5%84-21000005038671?itemId=21000022999543&vendorItemId=21003033652922&sourceType=search&rank=3&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"ERiC CARLE 艾瑞卡爾 防滑餐具組, 湯匙*1入+叉子*1入, 混色, 1組",$155,https://www.tw.coupang.com/products/ERiC-CARLE-%E8%89%BE%E7%91%9E%E5%8D%A1%E7%88%BE-%E9%98%B2%E6%BB%91%E9%A4%90%E5%85%B7%E7%B5%84-21000005038673?itemId=21000022999544&vendorItemId=21003033652928&sourceType=search&rank=4&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"餐桌藝術不鏽鋼 304 藝術餐勺, 單色, 湯匙 2入",$176,https://www.tw.coupang.com/products/%E9%A4%90%E6%A1%8C%E8%97%9D%E8%A1%93%E4%B8%8D%E9%8F%BD%E9%8B%BC-304-%E8%97%9D%E8%A1%93%E9%A4%90%E5%8B%BA-21007450261907?itemId=21019393926476&vendorItemId=21086506117403&sourceType=search&rank=5&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"kamome kitchen 兒童餐具組, 奶油黃, 湯匙2入+筷子2雙+叉子2入+盒子2入",$576,https://www.tw.coupang.com/products/kamome-kitchen-%E5%85%92%E7%AB%A5%E9%A4%90%E5%85%B7%E7%B5%84-21007133419633?itemId=21019801333416&vendorItemId=21086903674920&sourceType=search&rank=6&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"LILFANT Disney 唐老鴨餐具組, 混色, 湯匙+筷子+盒子, 1組",$348,https://www.tw.coupang.com/products/LILFANT-Disney-%E5%94%90%E8%80%81%E9%B4%A8%E9%A4%90%E5%85%B7%E7%B5%84-21007119436332?itemId=21017821909190&vendorItemId=21084985800569&sourceType=search&rank=7&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"餐具盒組, 鮭魚粉, 湯匙+筷子+餐具盒, 1組",$213,https://www.tw.coupang.com/products/%E9%A4%90%E5%85%B7%E7%9B%92%E7%B5%84-21005268698383?itemId=21007502971693&vendorItemId=21074793722882&sourceType=search&rank=8&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"Mariposa 餐具湯匙 2 件套, 2p 餐匙 + 2p 筷子, 1組, 玫瑰金",$519,https://www.tw.coupang.com/products/Mariposa-%E9%A4%90%E5%85%B7%E6%B9%AF%E5%8C%99-2-%E4%BB%B6%E5%A5%97-21008156532786?itemId=21023239081105&vendorItemId=21090271525693&sourceType=search&rank=9&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"餐桌藝術動物狗不銹鋼湯匙 2p, 混色, 單品",$116,https://www.tw.coupang.com/products/%E9%A4%90%E6%A1%8C%E8%97%9D%E8%A1%93%E5%8B%95%E7%89%A9%E7%8B%97%E4%B8%8D%E9%8A%B9%E9%8B%BC%E6%B9%AF%E5%8C%99-2p-21007455596937?itemId=21019420580894&vendorItemId=21086532091405&sourceType=search&rank=10&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"餐桌藝術動物朋友勺叉 4 件套, 2 個勺子 + 2 個叉子, 單色",$155,https://www.tw.coupang.com/products/%E9%A4%90%E6%A1%8C%E8%97%9D%E8%A1%93%E5%8B%95%E7%89%A9%E6%9C%8B%E5%8F%8B%E5%8B%BA%E5%8F%89-4-%E4%BB%B6%E5%A5%97-21007434028616?itemId=21019315342822&vendorItemId=21086429569741&sourceType=search&rank=11&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"Edison 兒童卡通麵食用匙叉餐具組 附盒, 貓頭鷹 粉, 1組",$273,https://www.tw.coupang.com/products/Edison-%E5%85%92%E7%AB%A5%E5%8D%A1%E9%80%9A%E9%BA%B5%E9%A3%9F%E7%94%A8%E5%8C%99%E5%8F%89%E9%A4%90%E5%85%B7%E7%B5%84-%E9%99%84%E7%9B%92-283731180879883?itemId=283729155014668&vendorItemId=283729155014662&sourceType=search&rank=12&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"ssueim Mariebel湯匙筷子餐具組, 2便士勺+2便士筷子, 舒適的粉紅色",$439,https://www.tw.coupang.com/products/ssueim-Mariebel%E6%B9%AF%E5%8C%99%E7%AD%B7%E5%AD%90%E9%A4%90%E5%85%B7%E7%B5%84-21007410390523?itemId=21019199184043&vendorItemId=21086316580817&sourceType=search&rank=13&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"餐具套裝, 自然藍, 盒子+湯匙+叉子+刀, 1組",$714,https://www.tw.coupang.com/products/%E9%A4%90%E5%85%B7%E5%A5%97%E8%A3%9D-21007956287738?itemId=21021982695419&vendorItemId=21089030315686&sourceType=search&rank=14&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"Mariposa 餐具湯匙 3 件套, 黑色, 晚餐湯匙3p+筷子3p, 1組",$779,https://www.tw.coupang.com/products/Mariposa-%E9%A4%90%E5%85%B7%E6%B9%AF%E5%8C%99-3-%E4%BB%B6%E5%A5%97-21008156532795?itemId=21023239081140&vendorItemId=21090271525669&sourceType=search&rank=15&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"晚餐餐具3件套, 餐勺+餐叉+餐刀, 復古黑色",$456,https://www.tw.coupang.com/products/%E6%99%9A%E9%A4%90%E9%A4%90%E5%85%B73%E4%BB%B6%E5%A5%97-21007576230661?itemId=21023009125527&vendorItemId=21090042976053&sourceType=search&rank=16&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"RAONNURI 兒童快樂病毒勺子2p + 筷子2p 勺子套組 Gwiyomi, 單一顏色, 2便士勺+2便士筷子",$314,https://www.tw.coupang.com/products/RAONNURI-%E5%85%92%E7%AB%A5%E5%BF%AB%E6%A8%82%E7%97%85%E6%AF%92%E5%8B%BA%E5%AD%902p-%2B-%E7%AD%B7%E5%AD%902p-%E5%8B%BA%E5%AD%90%E5%A5%97%E7%B5%84-Gwiyomi-21006959846024?itemId=21016939317503&vendorItemId=21084116885591&sourceType=search&rank=17&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"餐具湯匙, 象牙, 1個",$193,https://www.tw.coupang.com/products/%E9%A4%90%E5%85%B7%E6%B9%AF%E5%8C%99-21004310116916?itemId=21005000275124&vendorItemId=21072310229336&sourceType=search&rank=18&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"餐桌藝術不銹鋼最佳晚餐勺, 單色, 5個",$351,https://www.tw.coupang.com/products/%E9%A4%90%E6%A1%8C%E8%97%9D%E8%A1%93%E4%B8%8D%E9%8A%B9%E9%8B%BC%E6%9C%80%E4%BD%B3%E6%99%9A%E9%A4%90%E5%8B%BA-21007714069052?itemId=21020685586690&vendorItemId=21087757421075&sourceType=search&rank=19&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"kitchen U PalmPam 不銹鋼湯匙+叉套裝, 勺子+叉子, 混色, 1組",$155,https://www.tw.coupang.com/products/kitchen-U-PalmPam-%E4%B8%8D%E9%8A%B9%E9%8B%BC%E6%B9%AF%E5%8C%99%2B%E5%8F%89%E5%A5%97%E8%A3%9D-21008149409316?itemId=21023184539434&vendorItemId=21090217219462&sourceType=search&rank=20&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
"LIVINGZEN 餐具2件組, 湯匙*2+筷子*2, 粉色+綠色",$566,https://www.tw.coupang.com/products/LIVINGZEN-%E9%A4%90%E5%85%B72%E4%BB%B6%E7%B5%84-21007560831606?itemId=21019918941155&vendorItemId=21087018689594&sourceType=search&rank=21&searchId=59719b8c06a14d5b84959386b1dd8889&q=%E4%B8%AD%E9%A4%90%E5%8C%99
