product_name,product_price,product_url
ShoesN 瑪麗珍中跟高跟鞋 sn345,$376,https://www.tw.coupang.com/products/ShoesN-%E7%91%AA%E9%BA%97%E7%8F%8D%E4%B8%AD%E8%B7%9F%E9%AB%98%E8%B7%9F%E9%9E%8B-sn345-21000344545583?itemId=21001094463758&vendorItemId=21005613043587&sourceType=search&rank=&searchId=a966d6ffedac4f659d056b96ced33acf&q=%E4%B8%AD%E9%AB%98%E8%B7%9F%E9%9E%8B
Chaakan Shoes 女士 Vinci 細高跟中跟高跟鞋 PPLTT1d032,$632,https://www.tw.coupang.com/products/Chaakan-Shoes-%E5%A5%B3%E5%A3%AB-Vinci-%E7%B4%B0%E9%AB%98%E8%B7%9F%E4%B8%AD%E8%B7%9F%E9%AB%98%E8%B7%9F%E9%9E%8B-PPLTT1d032-21005002745830?itemId=21006688847130&vendorItemId=21074239919483&sourceType=search&rank=1&searchId=a966d6ffedac4f659d056b96ced33acf&q=%E4%B8%AD%E9%AB%98%E8%B7%9F%E9%9E%8B
Chaakan Shoes 素色中跟高跟鞋 PPLTS1c001,$608,https://www.tw.coupang.com/products/Chaakan-Shoes-%E7%B4%A0%E8%89%B2%E4%B8%AD%E8%B7%9F%E9%AB%98%E8%B7%9F%E9%9E%8B-PPLTS1c001-21006458334263?itemId=21014046098041&vendorItemId=21081293792019&sourceType=search&rank=2&searchId=a966d6ffedac4f659d056b96ced33acf&q=%E4%B8%AD%E9%AB%98%E8%B7%9F%E9%9E%8B
女款金點方形正裝中跟高跟鞋 TT230600,$552,https://www.tw.coupang.com/products/%E5%A5%B3%E6%AC%BE%E9%87%91%E9%BB%9E%E6%96%B9%E5%BD%A2%E6%AD%A3%E8%A3%9D%E4%B8%AD%E8%B7%9F%E9%AB%98%E8%B7%9F%E9%9E%8B-TT230600-21007589622527?itemId=21020052953976&vendorItemId=21087149140547&sourceType=search&rank=3&searchId=a966d6ffedac4f659d056b96ced33acf&q=%E4%B8%AD%E9%AB%98%E8%B7%9F%E9%9E%8B
SILVERS 女士方形中跟鞋,$699,https://www.tw.coupang.com/products/SILVERS-%E5%A5%B3%E5%A3%AB%E6%96%B9%E5%BD%A2%E4%B8%AD%E8%B7%9F%E9%9E%8B-21007191994382?itemId=21018160684800&vendorItemId=21085310498490&sourceType=search&rank=4&searchId=a966d6ffedac4f659d056b96ced33acf&q=%E4%B8%AD%E9%AB%98%E8%B7%9F%E9%9E%8B
Chaakan Shoes 其他中跟基本款淺口鞋 PPLTR1g829,$780,https://www.tw.coupang.com/products/Chaakan-Shoes-%E5%85%B6%E4%BB%96%E4%B8%AD%E8%B7%9F%E5%9F%BA%E6%9C%AC%E6%AC%BE%E6%B7%BA%E5%8F%A3%E9%9E%8B-PPLTR1g829-21007910312033?itemId=21021703050394&vendorItemId=21088752571577&sourceType=search&rank=5&searchId=a966d6ffedac4f659d056b96ced33acf&q=%E4%B8%AD%E9%AB%98%E8%B7%9F%E9%9E%8B
HOLLYBUNNY 女款高跟鞋 HB5860,$327,https://www.tw.coupang.com/products/HOLLYBUNNY-%E5%A5%B3%E6%AC%BE%E9%AB%98%E8%B7%9F%E9%9E%8B-HB5860-21000295697168?itemId=21000932427345&vendorItemId=21005311532769&sourceType=search&rank=6&searchId=a966d6ffedac4f659d056b96ced33acf&q=%E4%B8%AD%E9%AB%98%E8%B7%9F%E9%9E%8B
JACK&JILL 方形金釦中跟鞋 JA1102,$903,https://www.tw.coupang.com/products/JACK%26JILL-%E6%96%B9%E5%BD%A2%E9%87%91%E9%87%A6%E4%B8%AD%E8%B7%9F%E9%9E%8B-JA1102-21005032661706?itemId=21006760445935&vendorItemId=21074053291454&sourceType=search&rank=7&searchId=a966d6ffedac4f659d056b96ced33acf&q=%E4%B8%AD%E9%AB%98%E8%B7%9F%E9%9E%8B
SILVERS 女士波浪形中跟鞋,$633,https://www.tw.coupang.com/products/SILVERS-%E5%A5%B3%E5%A3%AB%E6%B3%A2%E6%B5%AA%E5%BD%A2%E4%B8%AD%E8%B7%9F%E9%9E%8B-21007191993235?itemId=21018160680677&vendorItemId=21085310494641&sourceType=search&rank=8&searchId=a966d6ffedac4f659d056b96ced33acf&q=%E4%B8%AD%E9%AB%98%E8%B7%9F%E9%9E%8B
Chaakan Shoes 基本版型尖頭中跟鞋 PPLTT3d215 5cm,$547,https://www.tw.coupang.com/products/Chaakan-Shoes-%E5%9F%BA%E6%9C%AC%E7%89%88%E5%9E%8B%E5%B0%96%E9%A0%AD%E4%B8%AD%E8%B7%9F%E9%9E%8B-PPLTT3d215-5cm-21006733870159?itemId=21015698592716&vendorItemId=21082913189559&sourceType=search&rank=9&searchId=a966d6ffedac4f659d056b96ced33acf&q=%E4%B8%AD%E9%AB%98%E8%B7%9F%E9%9E%8B
