product_name,product_price,product_url
"comet 便攜冰桶, 13L, 海軍藍",$296,https://www.tw.coupang.com/products/comet-%E4%BE%BF%E6%94%9C%E5%86%B0%E6%A1%B6-21006557405217?itemId=21014664493501&vendorItemId=21081905619639&sourceType=search&rank=&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
"Laramiz 日常便攜車載冰袋保溫袋 C037, 1個",$72,https://www.tw.coupang.com/products/Laramiz-%E6%97%A5%E5%B8%B8%E4%BE%BF%E6%94%9C%E8%BB%8A%E8%BC%89%E5%86%B0%E8%A2%8B%E4%BF%9D%E6%BA%AB%E8%A2%8B-C037-21007124380241?itemId=21017845881216&vendorItemId=21085009394888&sourceType=search&rank=1&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
"BASE ALPHA ESSENTIALS 保冷袋, 黑色, 25L, 1個",$310,https://www.tw.coupang.com/products/BASE-ALPHA-ESSENTIALS-%E4%BF%9D%E5%86%B7%E8%A2%8B-21001164408651?itemId=21015166745499&vendorItemId=21082388127785&sourceType=search&rank=2&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
"Tamsaa 便攜式保冷袋, 單一顏色",$229,https://www.tw.coupang.com/products/Tamsaa-%E4%BE%BF%E6%94%9C%E5%BC%8F%E4%BF%9D%E5%86%B7%E8%A2%8B-21006453676133?itemId=21014019552472&vendorItemId=21081268075194&sourceType=search&rank=3&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
"Lamoor 可折疊冰箱小號, 混色, 38L",$576,https://www.tw.coupang.com/products/Lamoor-%E5%8F%AF%E6%8A%98%E7%96%8A%E5%86%B0%E7%AE%B1%E5%B0%8F%E8%99%9F-21000218872635?itemId=21000678571526&vendorItemId=21004747091913&sourceType=search&rank=4&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
"SEMOMS 卡通保冷袋, 恐龍款",$363,https://www.tw.coupang.com/products/SEMOMS-%E5%8D%A1%E9%80%9A%E4%BF%9D%E5%86%B7%E8%A2%8B-21006718023063?itemId=21015618047284&vendorItemId=21082835848416&sourceType=search&rank=5&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
"Supermama 超級媽媽 哺乳收納 保冷保溫袋, 1個",$791,https://www.tw.coupang.com/products/Supermama-%E8%B6%85%E7%B4%9A%E5%AA%BD%E5%AA%BD-%E5%93%BA%E4%B9%B3%E6%94%B6%E7%B4%8D-%E4%BF%9D%E5%86%B7%E4%BF%9D%E6%BA%AB%E8%A2%8B-235268195975172?itemId=235266572763139&vendorItemId=235267432628225&sourceType=search&rank=6&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
"Donna&Deco 手提鋁箔保冷袋, 5入",$236,https://www.tw.coupang.com/products/Donna%26Deco-%E6%89%8B%E6%8F%90%E9%8B%81%E7%AE%94%E4%BF%9D%E5%86%B7%E8%A2%8B-21000093564643?itemId=21000289993302&vendorItemId=21003713159404&sourceType=search&rank=7&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
"BASE ALPHA ESSENTIALS 保冷袋, 灰色, 25L, 1個",$312,https://www.tw.coupang.com/products/BASE-ALPHA-ESSENTIALS-%E4%BF%9D%E5%86%B7%E8%A2%8B-21001164408651?itemId=21002141508260&vendorItemId=21070139883480&sourceType=search&rank=8&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
"黑松 葉黃素濃縮精 20ml, 15條, 1盒",$504,https://www.tw.coupang.com/products/%E9%BB%91%E6%9D%BE-%E8%91%89%E9%BB%83%E7%B4%A0%E6%BF%83%E7%B8%AE%E7%B2%BE-20ml-166086301417473?itemId=166085391237122&vendorItemId=166086301417472&sourceType=search&rank=9&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
"ADDEDIT BEBY 保溫包2件組, 黑色, 1組",$288,https://www.tw.coupang.com/products/ADDEDIT-BEBY-%E4%BF%9D%E6%BA%AB%E5%8C%852%E4%BB%B6%E7%B5%84-21007028818531?itemId=21017338973436&vendorItemId=21071475832704&sourceType=search&rank=10&searchId=f6d5b7afafa742559f8be8c9177d4b95&q=%E4%BF%9D%E4%BE%BF%E6%94%9C
