product_name,product_price,product_url
"Heat Lighting 法式圓形 1 光感應燈 E30269, 金色, 1個",$588,https://www.tw.coupang.com/products/Heat-Lighting-%E6%B3%95%E5%BC%8F%E5%9C%93%E5%BD%A2-1-%E5%85%89%E6%84%9F%E6%87%89%E7%87%88-E30269-21007258232911?itemId=21018480484843&vendorItemId=21085620292288&sourceType=search&rank=&searchId=7129a22f6dca4edbbca1c151b8ed0e30&q=%E5%85%89%E6%84%9F%E6%87%89%E7%87%88
"熱燈ELISA 2光感應燈E30438G9, 黃金, 1個","$1,440",https://www.tw.coupang.com/products/%E7%86%B1%E7%87%88ELISA-2%E5%85%89%E6%84%9F%E6%87%89%E7%87%88E30438G9-21007217293832?itemId=21018280097343&vendorItemId=21085426065683&sourceType=search&rank=1&searchId=7129a22f6dca4edbbca1c151b8ed0e30&q=%E5%85%89%E6%84%9F%E6%87%89%E7%87%88
"加熱照明霧燈 1 光感應燈 E30273, 玫瑰金 (E30273RG), 1個","$1,054",https://www.tw.coupang.com/products/%E5%8A%A0%E7%86%B1%E7%85%A7%E6%98%8E%E9%9C%A7%E7%87%88-1-%E5%85%89%E6%84%9F%E6%87%89%E7%87%88-E30273-21007246707309?itemId=21018424356285&vendorItemId=21085566156105&sourceType=search&rank=2&searchId=7129a22f6dca4edbbca1c151b8ed0e30&q=%E5%85%89%E6%84%9F%E6%87%89%E7%87%88
"Heat lighting 法式方形1光感應燈E30263, 黃金, 1個",$798,https://www.tw.coupang.com/products/Heat-lighting-%E6%B3%95%E5%BC%8F%E6%96%B9%E5%BD%A21%E5%85%89%E6%84%9F%E6%87%89%E7%87%88E30263-21007258233372?itemId=21018480486770&vendorItemId=21085620293919&sourceType=search&rank=3&searchId=7129a22f6dca4edbbca1c151b8ed0e30&q=%E5%85%89%E6%84%9F%E6%87%89%E7%87%88
"熱照明托尼 1 光感應燈 E60035, 黃金, 1個",$916,https://www.tw.coupang.com/products/%E7%86%B1%E7%85%A7%E6%98%8E%E6%89%98%E5%B0%BC-1-%E5%85%89%E6%84%9F%E6%87%89%E7%87%88-E60035-21007258185661?itemId=21018480256330&vendorItemId=21085620077946&sourceType=search&rank=4&searchId=7129a22f6dca4edbbca1c151b8ed0e30&q=%E5%85%89%E6%84%9F%E6%87%89%E7%87%88
"加熱泡泡2光感應燈E25803, 1套, 黃金","$2,053",https://www.tw.coupang.com/products/%E5%8A%A0%E7%86%B1%E6%B3%A1%E6%B3%A12%E5%85%89%E6%84%9F%E6%87%89%E7%87%88E25803-21007279364756?itemId=21018581740526&vendorItemId=21085718355917&sourceType=search&rank=5&searchId=7129a22f6dca4edbbca1c151b8ed0e30&q=%E5%85%89%E6%84%9F%E6%87%89%E7%87%88
"TOYAMA 特亞馬 5W 超薄LED雷達微波感應崁燈 9.5cm, 黃光 燈泡色, 1個",$440,https://www.tw.coupang.com/products/TOYAMA-%E7%89%B9%E4%BA%9E%E9%A6%AC-5W-%E8%B6%85%E8%96%84LED%E9%9B%B7%E9%81%94%E5%BE%AE%E6%B3%A2%E6%84%9F%E6%87%89%E5%B4%81%E7%87%88-9.5cm-150803662749716?itemId=150803281035291&vendorItemId=150803662749708&sourceType=search&rank=6&searchId=7129a22f6dca4edbbca1c151b8ed0e30&q=%E5%85%89%E6%84%9F%E6%87%89%E7%87%88
"商業室 LED Pong Pong 睡眠燈 光感應器 3p, 燈泡顏色6000K（黃色）",$426,https://www.tw.coupang.com/products/%E5%95%86%E6%A5%AD%E5%AE%A4-LED-Pong-Pong-%E7%9D%A1%E7%9C%A0%E7%87%88-%E5%85%89%E6%84%9F%E6%87%89%E5%99%A8-3p-21007554270140?itemId=21019887430070&vendorItemId=21086987785268&sourceType=search&rank=7&searchId=7129a22f6dca4edbbca1c151b8ed0e30&q=%E5%85%89%E6%84%9F%E6%87%89%E7%87%88
"EVERLIGHT 億光 星庭LED感應吸頂燈 20W, 黃光",$629,https://www.tw.coupang.com/products/EVERLIGHT-%E5%84%84%E5%85%89-%E6%98%9F%E5%BA%ADLED%E6%84%9F%E6%87%89%E5%90%B8%E9%A0%82%E7%87%88-20W-453693602201612?itemId=453693602217997&vendorItemId=453693602234375&sourceType=search&rank=8&searchId=7129a22f6dca4edbbca1c151b8ed0e30&q=%E5%85%89%E6%84%9F%E6%87%89%E7%87%88
"Taekwang Lighting 太陽能邊緣燈 LED 照明太陽能 4p, 黃光",$358,https://www.tw.coupang.com/products/Taekwang-Lighting-%E5%A4%AA%E9%99%BD%E8%83%BD%E9%82%8A%E7%B7%A3%E7%87%88-LED-%E7%85%A7%E6%98%8E%E5%A4%AA%E9%99%BD%E8%83%BD-4p-21002055838336?itemId=21014180931606&vendorItemId=21085217211118&sourceType=search&rank=9&searchId=7129a22f6dca4edbbca1c151b8ed0e30&q=%E5%85%89%E6%84%9F%E6%87%89%E7%87%88
