product_name,product_price,product_url
"KEYWAY 聯府 金剛摺合椅 39cm, 咖啡色, 1個",$350,https://www.tw.coupang.com/products/KEYWAY-%E8%81%AF%E5%BA%9C-%E9%87%91%E5%89%9B%E6%91%BA%E5%90%88%E6%A4%85-39cm-160989882318849?itemId=160989026664448&vendorItemId=160989882318848&sourceType=search&rank=&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
"Chair Club 黑框折疊式網布和室椅, 黑色",$564,https://www.tw.coupang.com/products/Chair-Club-%E9%BB%91%E6%A1%86%E6%8A%98%E7%96%8A%E5%BC%8F%E7%B6%B2%E5%B8%83%E5%92%8C%E5%AE%A4%E6%A4%85-169680438263808?itemId=169679490334720&vendorItemId=169679976906752&sourceType=search&rank=1&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
"KEYWAY 聯府 金剛摺合椅 23cm, 咖啡, 1個",$236,https://www.tw.coupang.com/products/KEYWAY-%E8%81%AF%E5%BA%9C-%E9%87%91%E5%89%9B%E6%91%BA%E5%90%88%E6%A4%85-23cm-160989953622016?itemId=160989097967616&vendorItemId=160989534208000&sourceType=search&rank=2&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
"KEYWAY 金剛摺合椅 342*275*234mm, 紅色, 1個",$236,https://www.tw.coupang.com/products/KEYWAY-%E9%87%91%E5%89%9B%E6%91%BA%E5%90%88%E6%A4%85-342*275*234mm-160989030858752?itemId=160989886513152&vendorItemId=160989471293440&sourceType=search&rank=3&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
"黑框折疊式網布和室椅, 灰色, 1入",$723,https://www.tw.coupang.com/products/%E9%BB%91%E6%A1%86%E6%8A%98%E7%96%8A%E5%BC%8F%E7%B6%B2%E5%B8%83%E5%92%8C%E5%AE%A4%E6%A4%85-21000156363288?itemId=21000450266639&vendorItemId=21004115309942&sourceType=search&rank=4&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
"Queen's Nest 麵包坐墊工作移動深蹲椅, 黑色",$493,https://www.tw.coupang.com/products/Queen's-Nest-%E9%BA%B5%E5%8C%85%E5%9D%90%E5%A2%8A%E5%B7%A5%E4%BD%9C%E7%A7%BB%E5%8B%95%E6%B7%B1%E8%B9%B2%E6%A4%85-21007194431436?itemId=21018169817076&vendorItemId=21085319240947&sourceType=search&rank=5&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
"LUNAR 柔軟姿勢椅, 黑色, 1個",$861,https://www.tw.coupang.com/products/LUNAR-%E6%9F%94%E8%BB%9F%E5%A7%BF%E5%8B%A2%E6%A4%85-265705500917760?itemId=265707442896904&vendorItemId=265705496723457&sourceType=search&rank=6&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
"多爾家具帶靠背壓花椅子, 象牙",$602,https://www.tw.coupang.com/products/%E5%A4%9A%E7%88%BE%E5%AE%B6%E5%85%B7%E5%B8%B6%E9%9D%A0%E8%83%8C%E5%A3%93%E8%8A%B1%E6%A4%85%E5%AD%90-21002034836684?itemId=21002947300161&vendorItemId=21073912208730&sourceType=search&rank=7&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
美姿調整椅,$844,https://www.tw.coupang.com/products/%E7%BE%8E%E5%A7%BF%E8%AA%BF%E6%95%B4%E6%A4%85-21005000768688?itemId=21006684753844&vendorItemId=21073639573876&sourceType=search&rank=8&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
"KAZT 多功能便攜摺疊椅 M 37*30*33cm, 白色, 2個",$678,https://www.tw.coupang.com/products/KAZT-%E5%A4%9A%E5%8A%9F%E8%83%BD%E4%BE%BF%E6%94%9C%E6%91%BA%E7%96%8A%E6%A4%85-M-37*30*33cm-259844997103617?itemId=259845886279681&vendorItemId=258468401364994&sourceType=search&rank=9&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
"CASAMARU 鋁製折疊椅, 象牙白",$868,https://www.tw.coupang.com/products/CASAMARU-%E9%8B%81%E8%A3%BD%E6%8A%98%E7%96%8A%E6%A4%85-21005233682564?itemId=21007373765659&vendorItemId=21074664918082&sourceType=search&rank=10&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
"21C Trend 007A煤油工作椅勞拉, 黑色, 1個",$895,https://www.tw.coupang.com/products/21C-Trend-007A%E7%85%A4%E6%B2%B9%E5%B7%A5%E4%BD%9C%E6%A4%85%E5%8B%9E%E6%8B%89-21000025908732?itemId=21000100795804&vendorItemId=21003185944062&sourceType=search&rank=11&searchId=9b6ca46929b7436e993403cab23eed98&q=%E5%85%8B%E6%9C%97%E6%A4%85
