product_name,product_price,product_url
"Herbion 常春藤百里香糖漿, 1個, 150毫升",$323,https://www.tw.coupang.com/products/Herbion-%E5%B8%B8%E6%98%A5%E8%97%A4%E7%99%BE%E9%87%8C%E9%A6%99%E7%B3%96%E6%BC%BF-21000068634551?itemId=21000229055555&vendorItemId=21003559480395&sourceType=search&rank=&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
easyoga 全速背心 YWE1801-251-P1,"$2,523",https://www.tw.coupang.com/products/easyoga-%E5%85%A8%E9%80%9F%E8%83%8C%E5%BF%83-YWE1801-251-P1-21000088286566?itemId=21000276388965&vendorItemId=21003670590369&sourceType=search&rank=1&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
"犀牛成功：全速衝向每個機會的秘訣精裝本, 拉姆齊出版社",$307,https://www.tw.coupang.com/products/%E7%8A%80%E7%89%9B%E6%88%90%E5%8A%9F%EF%BC%9A%E5%85%A8%E9%80%9F%E8%A1%9D%E5%90%91%E6%AF%8F%E5%80%8B%E6%A9%9F%E6%9C%83%E7%9A%84%E7%A7%98%E8%A8%A3%E7%B2%BE%E8%A3%9D%E6%9C%AC-21000058989552?itemId=21000204157945&vendorItemId=21003483795660&sourceType=search&rank=2&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
"ARTBOX Ghibli龍貓貓巴士全速拼圖AB1000-259, 1000件, 混色",$993,https://www.tw.coupang.com/products/ARTBOX-Ghibli%E9%BE%8D%E8%B2%93%E8%B2%93%E5%B7%B4%E5%A3%AB%E5%85%A8%E9%80%9F%E6%8B%BC%E5%9C%96AB1000-259-21001269084940?itemId=21002272975731&vendorItemId=21003014643455&sourceType=search&rank=3&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
"全速前進：美國在東歐的飛彈防禦平裝本, 圖書館學者",$802,https://www.tw.coupang.com/products/%E5%85%A8%E9%80%9F%E5%89%8D%E9%80%B2%EF%BC%9A%E7%BE%8E%E5%9C%8B%E5%9C%A8%E6%9D%B1%E6%AD%90%E7%9A%84%E9%A3%9B%E5%BD%88%E9%98%B2%E7%A6%A6%E5%B9%B3%E8%A3%9D%E6%9C%AC-21000059038390?itemId=21000204232423&vendorItemId=21003484092020&sourceType=search&rank=4&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
"全速小虎跌倒：東南亞關於永續公共服務提供的教訓平裝本, 人類科學研究",$909,https://www.tw.coupang.com/products/%E5%85%A8%E9%80%9F%E5%B0%8F%E8%99%8E%E8%B7%8C%E5%80%92%EF%BC%9A%E6%9D%B1%E5%8D%97%E4%BA%9E%E9%97%9C%E6%96%BC%E6%B0%B8%E7%BA%8C%E5%85%AC%E5%85%B1%E6%9C%8D%E5%8B%99%E6%8F%90%E4%BE%9B%E7%9A%84%E6%95%99%E8%A8%93%E5%B9%B3%E8%A3%9D%E6%9C%AC-21000058411736?itemId=21000202747679&vendorItemId=21003480925759&sourceType=search&rank=5&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
"全速前進；精裝, 圖書館生活",$956,https://www.tw.coupang.com/products/%E5%85%A8%E9%80%9F%E5%89%8D%E9%80%B2%EF%BC%9B%E7%B2%BE%E8%A3%9D-21000058701378?itemId=21000203564988&vendorItemId=21003482545816&sourceType=search&rank=6&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
"全速前進：對 1811-2011 年第一艘汽船對俄亥俄河影響的思考，平裝本, 印第安納歷史學會",$436,https://www.tw.coupang.com/products/%E5%85%A8%E9%80%9F%E5%89%8D%E9%80%B2%EF%BC%9A%E5%B0%8D-1811-2011-%E5%B9%B4%E7%AC%AC%E4%B8%80%E8%89%98%E6%B1%BD%E8%88%B9%E5%B0%8D%E4%BF%84%E4%BA%A5%E4%BF%84%E6%B2%B3%E5%BD%B1%E9%9F%BF%E7%9A%84%E6%80%9D%E8%80%83%EF%BC%8C%E5%B9%B3%E8%A3%9D%E6%9C%AC-21000059616871?itemId=21000205441118&vendorItemId=21003487938643&sourceType=search&rank=7&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
"全速前進的生活：海軍上將約翰·特雷徹爵士的回憶錄精裝本, 筆劍書籍",$984,https://www.tw.coupang.com/products/%E5%85%A8%E9%80%9F%E5%89%8D%E9%80%B2%E7%9A%84%E7%94%9F%E6%B4%BB%EF%BC%9A%E6%B5%B7%E8%BB%8D%E4%B8%8A%E5%B0%87%E7%B4%84%E7%BF%B0%C2%B7%E7%89%B9%E9%9B%B7%E5%BE%B9%E7%88%B5%E5%A3%AB%E7%9A%84%E5%9B%9E%E6%86%B6%E9%8C%84%E7%B2%BE%E8%A3%9D%E6%9C%AC-21000059359103?itemId=21000204826995&vendorItemId=21003485714260&sourceType=search&rank=8&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
"全速穿越清晨的黑暗平裝本, 月薩克和永利",$328,https://www.tw.coupang.com/products/%E5%85%A8%E9%80%9F%E7%A9%BF%E8%B6%8A%E6%B8%85%E6%99%A8%E7%9A%84%E9%BB%91%E6%9A%97%E5%B9%B3%E8%A3%9D%E6%9C%AC-21000059787399?itemId=21000205863432&vendorItemId=21003488632335&sourceType=search&rank=9&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
"全速精裝, 倫尼克斯出版物","$1,187",https://www.tw.coupang.com/products/%E5%85%A8%E9%80%9F%E7%B2%BE%E8%A3%9D-21000059316925?itemId=21000204771154&vendorItemId=21003485349815&sourceType=search&rank=10&searchId=bc261a6ef64749ffbf05b6ce2a21762f&q=%E5%85%A8%E9%80%9F
