product_name,product_price,product_url
"Urbancamper 4窗全開快搭帳, 5-6人, 高山白","$2,708",https://www.tw.coupang.com/products/Urbancamper-4%E7%AA%97%E5%85%A8%E9%96%8B%E5%BF%AB%E6%90%AD%E5%B8%B3-21006643725975?itemId=21015196776131&vendorItemId=21082417919326&sourceType=search&rank=&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"ANT OUTDOORS 簡易天幕帳, 巧克力棕色, 1個",$384,https://www.tw.coupang.com/products/ANT-OUTDOORS-%E7%B0%A1%E6%98%93%E5%A4%A9%E5%B9%95%E5%B8%B3-21005245077091?itemId=21007417831733&vendorItemId=21074708785595&sourceType=search&rank=1&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"NOVA 布帳, 單色",$220,https://www.tw.coupang.com/products/NOVA-%E5%B8%83%E5%B8%B3-21001980210399?itemId=21003363821959&vendorItemId=21071350553994&sourceType=search&rank=2&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"MOUNTAIN EQUIPMENT 六角天幕帳, 棕色, 1件","$1,410",https://www.tw.coupang.com/products/MOUNTAIN-EQUIPMENT-%E5%85%AD%E8%A7%92%E5%A4%A9%E5%B9%95%E5%B8%B3-21000028778024?itemId=21000110448362&vendorItemId=21003215495147&sourceType=search&rank=3&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"彈出式秒開登山帳, 白色的, 4-5人","$1,512",https://www.tw.coupang.com/products/%E5%BD%88%E5%87%BA%E5%BC%8F%E7%A7%92%E9%96%8B%E7%99%BB%E5%B1%B1%E5%B8%B3-21005307950017?itemId=21007680524027&vendorItemId=21074970825894&sourceType=search&rank=4&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"雲頂2帳篷, 2人用, 棕色","$2,168",https://www.tw.coupang.com/products/%E9%9B%B2%E9%A0%822%E5%B8%B3%E7%AF%B7-21008117913326?itemId=21023017696623&vendorItemId=21090051497128&sourceType=search&rank=5&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"彈出式秒開露營帳, 混合顏色, 4人","$2,322",https://www.tw.coupang.com/products/%E5%BD%88%E5%87%BA%E5%BC%8F%E7%A7%92%E9%96%8B%E9%9C%B2%E7%87%9F%E5%B8%B3-21006511849800?itemId=21014386837249&vendorItemId=21081631118864&sourceType=search&rank=6&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
ms camping 露營帳棚固定繩,$400,https://www.tw.coupang.com/products/ms-camping-%E9%9C%B2%E7%87%9F%E5%B8%B3%E6%A3%9A%E5%9B%BA%E5%AE%9A%E7%B9%A9-21000327083237?itemId=21001046639282&vendorItemId=21075332978649&sourceType=search&rank=7&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"矩形天幕帳, 炭灰色","$1,068",https://www.tw.coupang.com/products/%E7%9F%A9%E5%BD%A2%E5%A4%A9%E5%B9%95%E5%B8%B3-21001566720646?itemId=21002678918773&vendorItemId=21070669436174&sourceType=search&rank=8&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
ms camping 反光營繩,$332,https://www.tw.coupang.com/products/ms-camping-%E5%8F%8D%E5%85%89%E7%87%9F%E7%B9%A9-21000327088218?itemId=21001046648028&vendorItemId=21075332979210&sourceType=search&rank=9&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
TOOLCON 折疊露營椅,$240,https://www.tw.coupang.com/products/TOOLCON-%E6%8A%98%E7%96%8A%E9%9C%B2%E7%87%9F%E6%A4%85-21000240199334?itemId=21000764004558&vendorItemId=21003012984984&sourceType=search&rank=10&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
護桿 2p,$394,https://www.tw.coupang.com/products/%E8%AD%B7%E6%A1%BF-2p-21004891021779?itemId=21006374558717&vendorItemId=21076149833222&sourceType=search&rank=11&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"BUFFALO 方形天幕帳, 深藍色, 1組","$1,710",https://www.tw.coupang.com/products/BUFFALO-%E6%96%B9%E5%BD%A2%E5%A4%A9%E5%B9%95%E5%B8%B3-21002105181338?itemId=21003576361220&vendorItemId=21071562191100&sourceType=search&rank=12&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
Avade 野鹿綠,$228,https://www.tw.coupang.com/products/Avade-%E9%87%8E%E9%B9%BF%E7%B6%A0-21000001746664?itemId=21000007622919&vendorItemId=21003013376789&sourceType=search&rank=13&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"MIRCA 側壁帳篷布, 黑色的, 1個","$1,530",https://www.tw.coupang.com/products/MIRCA-%E5%81%B4%E5%A3%81%E5%B8%B3%E7%AF%B7%E5%B8%83-21005800835134?itemId=21009948859922&vendorItemId=21077232075491&sourceType=search&rank=14&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"polaris 北極星M1帳篷, 2人用, 黑色","$5,496",https://www.tw.coupang.com/products/polaris-%E5%8C%97%E6%A5%B5%E6%98%9FM1%E5%B8%B3%E7%AF%B7-21008199582033?itemId=21023499046479&vendorItemId=21090525489813&sourceType=search&rank=15&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"VERNE 方形天幕帳, 混色","$3,730",https://www.tw.coupang.com/products/VERNE-%E6%96%B9%E5%BD%A2%E5%A4%A9%E5%B9%95%E5%B8%B3-21005449001606?itemId=21008309736984&vendorItemId=21078449052331&sourceType=search&rank=16&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"MIRCA 客廳遮陽帳, 沙","$3,724",https://www.tw.coupang.com/products/MIRCA-%E5%AE%A2%E5%BB%B3%E9%81%AE%E9%99%BD%E5%B8%B3-21005625777945?itemId=21009134285447&vendorItemId=21076420283409&sourceType=search&rank=17&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"IDOOGEN 圓頂型天幕帳篷, 淺灰","$4,089",https://www.tw.coupang.com/products/IDOOGEN-%E5%9C%93%E9%A0%82%E5%9E%8B%E5%A4%A9%E5%B9%95%E5%B8%B3%E7%AF%B7-21001885613776?itemId=21003204087090&vendorItemId=21074478389370&sourceType=search&rank=18&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"MOUNTAIN EQUIPMENT 六角天幕帳, 橘色","$1,132",https://www.tw.coupang.com/products/MOUNTAIN-EQUIPMENT-%E5%85%AD%E8%A7%92%E5%A4%A9%E5%B9%95%E5%B8%B3-21000116808981?itemId=21000349740251&vendorItemId=21004674426621&sourceType=search&rank=19&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"HILLMAN Early Bird Up2帳蓬, 綠色, 2個人","$4,554",https://www.tw.coupang.com/products/HILLMAN-Early-Bird-Up2%E5%B8%B3%E8%93%AC-21005393646337?itemId=21008050306424&vendorItemId=21075338842661&sourceType=search&rank=20&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"LOGOS 蝶形天幕帳, 米色, 1個","$5,970",https://www.tw.coupang.com/products/LOGOS-%E8%9D%B6%E5%BD%A2%E5%A4%A9%E5%B9%95%E5%B8%B3-21006577079416?itemId=21014786336778&vendorItemId=21082026372098&sourceType=search&rank=21&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"INSTA 隱私庇護所多用途帳篷, 巧克力棕, 1人","$2,118",https://www.tw.coupang.com/products/INSTA-%E9%9A%B1%E7%A7%81%E5%BA%87%E8%AD%B7%E6%89%80%E5%A4%9A%E7%94%A8%E9%80%94%E5%B8%B3%E7%AF%B7-21007196793695?itemId=21021496634889&vendorItemId=21088550449359&sourceType=search&rank=22&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"LOGOS 彈出式遮陽帳篷, 1人, 綠色","$3,751",https://www.tw.coupang.com/products/LOGOS-%E5%BD%88%E5%87%BA%E5%BC%8F%E9%81%AE%E9%99%BD%E5%B8%B3%E7%AF%B7-21006734078729?itemId=21015699545901&vendorItemId=21082914117089&sourceType=search&rank=23&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"HILLMAN Cloud up3帳蓬, 灰色+酒紅色, 2個人","$4,504",https://www.tw.coupang.com/products/HILLMAN-Cloud-up3%E5%B8%B3%E8%93%AC-21005393646300?itemId=21008050306328&vendorItemId=21075338842577&sourceType=search&rank=24&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"POLER 兩人帳篷, 岡布奧, 2到3人","$9,196",https://www.tw.coupang.com/products/POLER-%E5%85%A9%E4%BA%BA%E5%B8%B3%E7%AF%B7-21008017240048?itemId=21022392822209&vendorItemId=21089437763586&sourceType=search&rank=25&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"Redsnow 八角天幕, 白色 灰色","$7,986",https://www.tw.coupang.com/products/Redsnow-%E5%85%AB%E8%A7%92%E5%A4%A9%E5%B9%95-21005547736782?itemId=21008756779946&vendorItemId=21076043716414&sourceType=search&rank=26&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"Kampa Fiesta AIR Pro 420專用天幕, 混色, 1個","$2,455",https://www.tw.coupang.com/products/Kampa-Fiesta-AIR-Pro-420%E5%B0%88%E7%94%A8%E5%A4%A9%E5%B9%95-21005671977587?itemId=21009342476011&vendorItemId=21076627742004&sourceType=search&rank=27&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"Buck703 防風帳篷篷布彈簧 4 件 + 儲物箱 8 件套, 鋼（彈簧）、紅色（Vinner）",$233,https://www.tw.coupang.com/products/Buck703-%E9%98%B2%E9%A2%A8%E5%B8%B3%E7%AF%B7%E7%AF%B7%E5%B8%83%E5%BD%88%E7%B0%A7-4-%E4%BB%B6-%2B-%E5%84%B2%E7%89%A9%E7%AE%B1-8-%E4%BB%B6%E5%A5%97-21007276825498?itemId=21018570360447&vendorItemId=21085707522412&sourceType=search&rank=28&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"MOUNTAIN EQUIPMENT 迷你天幕帳, 淺褐色的, 1個",$740,https://www.tw.coupang.com/products/MOUNTAIN-EQUIPMENT-%E8%BF%B7%E4%BD%A0%E5%A4%A9%E5%B9%95%E5%B8%B3-21000046118817?itemId=21000164132364&vendorItemId=21003388347215&sourceType=search&rank=29&searchId=26029e80b51a427d839fb85f3c7573d8&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"Pollerstuff 兩人帳篷 RASTACLAT 帳篷, 2到3人, 混色","$10,248",https://www.tw.coupang.com/products/Pollerstuff-%E5%85%A9%E4%BA%BA%E5%B8%B3%E7%AF%B7-RASTACLAT-%E5%B8%B3%E7%AF%B7-21007427485053?itemId=21019283128151&vendorItemId=21086398064663&sourceType=search&rank=&searchId=085bd57699aa4118963e6a5c9d2efab3&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"FAST CAMP 防水天幕帳蓬, 灰色的",$965,https://www.tw.coupang.com/products/FAST-CAMP-%E9%98%B2%E6%B0%B4%E5%A4%A9%E5%B9%95%E5%B8%B3%E8%93%AC-21000027809701?itemId=21000107390984&vendorItemId=21003206924406&sourceType=search&rank=1&searchId=085bd57699aa4118963e6a5c9d2efab3&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"MAYTON 彈出式秒開車尾帳, 象牙, 5人","$4,425",https://www.tw.coupang.com/products/MAYTON-%E5%BD%88%E5%87%BA%E5%BC%8F%E7%A7%92%E9%96%8B%E8%BB%8A%E5%B0%BE%E5%B8%B3-21006911826793?itemId=21016660022094&vendorItemId=21083843700479&sourceType=search&rank=2&searchId=085bd57699aa4118963e6a5c9d2efab3&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"彈出式簡易更衣帳篷, 軍綠色, 1個",$466,https://www.tw.coupang.com/products/%E5%BD%88%E5%87%BA%E5%BC%8F%E7%B0%A1%E6%98%93%E6%9B%B4%E8%A1%A3%E5%B8%B3%E7%AF%B7-21001500018318?itemId=21003401338138&vendorItemId=21071387964419&sourceType=search&rank=3&searchId=085bd57699aa4118963e6a5c9d2efab3&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"Coleman 輕量六角形天幕, 橄欖綠","$3,441",https://www.tw.coupang.com/products/Coleman-%E8%BC%95%E9%87%8F%E5%85%AD%E8%A7%92%E5%BD%A2%E5%A4%A9%E5%B9%95-21006801245080?itemId=21016055765560&vendorItemId=21083259204893&sourceType=search&rank=4&searchId=085bd57699aa4118963e6a5c9d2efab3&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"HILLMAN Cloud up智慧帳蓬, 紅色的, 2個人","$2,366",https://www.tw.coupang.com/products/HILLMAN-Cloud-up%E6%99%BA%E6%85%A7%E5%B8%B3%E8%93%AC-21005393646362?itemId=21008050306491&vendorItemId=21075338842686&sourceType=search&rank=5&searchId=085bd57699aa4118963e6a5c9d2efab3&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"HILLMAN Cloud up2帳蓬, 灰色+紅色, 2個人","$3,540",https://www.tw.coupang.com/products/HILLMAN-Cloud-up2%E5%B8%B3%E8%93%AC-21006400224118?itemId=21008050306422&vendorItemId=21075338842655&sourceType=search&rank=6&searchId=085bd57699aa4118963e6a5c9d2efab3&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
"矩形天幕帳, 綠色, 1個",$855,https://www.tw.coupang.com/products/%E7%9F%A9%E5%BD%A2%E5%A4%A9%E5%B9%95%E5%B8%B3-21001566720952?itemId=21002678919217&vendorItemId=21070669436651&sourceType=search&rank=7&searchId=085bd57699aa4118963e6a5c9d2efab3&q=%E5%85%AB%E4%BA%BA%E5%B8%B3
