product_name,product_price,product_url
"cook power 鍋寶 黑武士刀具三件組 WP-3300, 1組",$182,https://www.tw.coupang.com/products/cook-power-%E9%8D%8B%E5%AF%B6-%E9%BB%91%E6%AD%A6%E5%A3%AB%E5%88%80%E5%85%B7%E4%B8%89%E4%BB%B6%E7%B5%84-WP-3300-164629791604741?itemId=164628894007303&vendorItemId=164628894007296&sourceType=search&rank=&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"PERFECT 理想 鈦金主廚刀, 1支",$94,https://www.tw.coupang.com/products/PERFECT-%E7%90%86%E6%83%B3-%E9%88%A6%E9%87%91%E4%B8%BB%E5%BB%9A%E5%88%80-162027922243589?itemId=162028345851912&vendorItemId=162028345851905&sourceType=search&rank=1&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"LocknLock 樂扣樂扣 多功能切刀器組, 1組",$254,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%88%87%E5%88%80%E5%99%A8%E7%B5%84-253040787423233?itemId=253038979661825&vendorItemId=253039935995904&sourceType=search&rank=2&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"德國黑鋼冰點刀具 6入, 1組",$278,https://www.tw.coupang.com/products/%E5%BE%B7%E5%9C%8B%E9%BB%91%E9%8B%BC%E5%86%B0%E9%BB%9E%E5%88%80%E5%85%B7-6%E5%85%A5-161629748559878?itemId=161628888711169&vendorItemId=161629748559877&sourceType=search&rank=3&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"PERFECT 理想 晶品切片刀, 1支",$129,https://www.tw.coupang.com/products/PERFECT-%E7%90%86%E6%83%B3-%E6%99%B6%E5%93%81%E5%88%87%E7%89%87%E5%88%80-162027477614605?itemId=162027922243597&vendorItemId=162027477614600&sourceType=search&rank=4&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"PERFECT 理想 晶品萬用刀, 1支",$94,https://www.tw.coupang.com/products/PERFECT-%E7%90%86%E6%83%B3-%E6%99%B6%E5%93%81%E8%90%AC%E7%94%A8%E5%88%80-162027922243592?itemId=162028345851914&vendorItemId=162027477614595&sourceType=search&rank=5&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"ZWILLING 雙人 風格2件套刀組 HK32443-000, 亞洲廚刀 18cm + 水果刀 9cm, 1組",$647,https://www.tw.coupang.com/products/ZWILLING-%E9%9B%99%E4%BA%BA-%E9%A2%A8%E6%A0%BC2%E4%BB%B6%E5%A5%97%E5%88%80%E7%B5%84-HK32443-000-158465884372998?itemId=158466308030470&vendorItemId=158465884372993&sourceType=search&rank=6&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"cook power 鍋寶 波紋多功能刀具 6件組 WP-6600, 1組",$281,https://www.tw.coupang.com/products/cook-power-%E9%8D%8B%E5%AF%B6-%E6%B3%A2%E7%B4%8B%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%88%80%E5%85%B7-6%E4%BB%B6%E7%B5%84-WP-6600-164629355413505?itemId=164629791604738&vendorItemId=164629787410433&sourceType=search&rank=7&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"Tefal 特福 不鏽鋼系列主廚刀, 混合顏色, 1支",$254,https://www.tw.coupang.com/products/Tefal-%E7%89%B9%E7%A6%8F-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E7%B3%BB%E5%88%97%E4%B8%BB%E5%BB%9A%E5%88%80-288902971621378?itemId=258083519447063&vendorItemId=258083519447053&sourceType=search&rank=8&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"PERFECT 理想 鈦金刀 切片刀, 1支",$113,https://www.tw.coupang.com/products/PERFECT-%E7%90%86%E6%83%B3-%E9%88%A6%E9%87%91%E5%88%80-%E5%88%87%E7%89%87%E5%88%80-162088299233282?itemId=162087430995970&vendorItemId=162087875624960&sourceType=search&rank=9&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"6 件組不銹鋼多功能切片刀, 混色, 1組",$323,https://www.tw.coupang.com/products/6-%E4%BB%B6%E7%B5%84%E4%B8%8D%E9%8A%B9%E9%8B%BC%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%88%87%E7%89%87%E5%88%80-21007921039805?itemId=21021761303791&vendorItemId=21088810265598&sourceType=search&rank=10&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"LocknLock 樂扣樂扣 廚房刀具組, 剪刀 21.3cm*1+磨刀棒 32.2cm*1+水果刀 23.8cm*1+三德刀 21cm*1+歐風主廚刀 33cm*1+中華料理刀 30cm*1+刀具收納座*1, 1組","$1,928",https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%BB%9A%E6%88%BF%E5%88%80%E5%85%B7%E7%B5%84-158465884373005?itemId=158466308030477&vendorItemId=158466714861576&sourceType=search&rank=11&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"DORCO Mychef Pocker系列 刀具組 101S 顏色隨機, 折疊水果刀+廚房剪刀, 1組",$198,https://www.tw.coupang.com/products/DORCO-Mychef-Pocker%E7%B3%BB%E5%88%97-%E5%88%80%E5%85%B7%E7%B5%84-101S-%E9%A1%8F%E8%89%B2%E9%9A%A8%E6%A9%9F-259193562939408?itemId=259194552827923&vendorItemId=259194552827917&sourceType=search&rank=12&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"ANZO home 5種刀具組, 廚房剪刀+主廚刀+三德刀+蔬菜刀+水果刀+刀具座, 1組",$803,https://www.tw.coupang.com/products/ANZO-home-5%E7%A8%AE%E5%88%80%E5%85%B7%E7%B5%84-265692314042378?itemId=265691395506187&vendorItemId=265690367868936&sourceType=search&rank=13&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"六協 廚房刀具 極緻系列 牛刀, 1支",$726,https://www.tw.coupang.com/products/%E5%85%AD%E5%8D%94-%E5%BB%9A%E6%88%BF%E5%88%80%E5%85%B7-%E6%A5%B5%E7%B7%BB%E7%B3%BB%E5%88%97-%E7%89%9B%E5%88%80-458871378214913?itemId=458871378247680&vendorItemId=458871378231296&sourceType=search&rank=14&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
"Tefal 特福 不鏽鋼系列 主廚刀 K2213204, 1個",$406,https://www.tw.coupang.com/products/Tefal-%E7%89%B9%E7%A6%8F-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E7%B3%BB%E5%88%97-%E4%B8%BB%E5%BB%9A%E5%88%80-K2213204-164277335867405?itemId=164277335867407&vendorItemId=164277335867398&sourceType=search&rank=15&searchId=a72f83c8d17f4efc877e4fdc4f844fba&q=%E5%88%80%E5%99%A8
