product_name,product_price,product_url
"NUVO 研磨機清潔圓形刷, 天然木頭色, 1支",$98,https://www.tw.coupang.com/products/NUVO-%E7%A0%94%E7%A3%A8%E6%A9%9F%E6%B8%85%E6%BD%94%E5%9C%93%E5%BD%A2%E5%88%B7-265288008302601?itemId=265287093960715&vendorItemId=265288008302594&sourceType=search&rank=&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"SKY 震動潔面儀, SKY-Mi-SC10, 風信子藍",$314,https://www.tw.coupang.com/products/SKY-%E9%9C%87%E5%8B%95%E6%BD%94%E9%9D%A2%E5%84%80-21005541895886?itemId=21008730663953&vendorItemId=21076017676808&sourceType=search&rank=1&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"ZIOBIZ 電鑽拋光墊套組 9 125mm, 單品",$185,https://www.tw.coupang.com/products/ZIOBIZ-%E9%9B%BB%E9%91%BD%E6%8B%8B%E5%85%89%E5%A2%8A%E5%A5%97%E7%B5%84-9-125mm-21006291325544?itemId=21012964109354&vendorItemId=21080228211401&sourceType=search&rank=2&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"電鑽拋光墊 7 型套組 125mm, 單品",$269,https://www.tw.coupang.com/products/%E9%9B%BB%E9%91%BD%E6%8B%8B%E5%85%89%E5%A2%8A-7-%E5%9E%8B%E5%A5%97%E7%B5%84-125mm-21004670676096?itemId=21005840205158&vendorItemId=21073138513369&sourceType=search&rank=3&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"Home Decor 電鑽六角拋光墊 7 型套組 125mm, 單品",$234,https://www.tw.coupang.com/products/Home-Decor-%E9%9B%BB%E9%91%BD%E5%85%AD%E8%A7%92%E6%8B%8B%E5%85%89%E5%A2%8A-7-%E5%9E%8B%E5%A5%97%E7%B5%84-125mm-21006291535648?itemId=21006138162643&vendorItemId=21073434422591&sourceType=search&rank=4&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"Onbiyu 黑頭擠出機鋼基本型 8 種 + 案例, 1套, 單一顏色",$144,https://www.tw.coupang.com/products/Onbiyu-%E9%BB%91%E9%A0%AD%E6%93%A0%E5%87%BA%E6%A9%9F%E9%8B%BC%E5%9F%BA%E6%9C%AC%E5%9E%8B-8-%E7%A8%AE-%2B-%E6%A1%88%E4%BE%8B-21006974086924?itemId=21017018031826&vendorItemId=21084193697869&sourceType=search&rank=5&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"AyuAyu 光滑玻璃除毛機, 1個",$575,https://www.tw.coupang.com/products/AyuAyu-%E5%85%89%E6%BB%91%E7%8E%BB%E7%92%83%E9%99%A4%E6%AF%9B%E6%A9%9F-21007488555168?itemId=21019577004326&vendorItemId=21086753165363&sourceType=search&rank=6&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"Onbiyu 黑頭擠出機 Premium A 9 種鋼, 1套, 單一顏色",$161,https://www.tw.coupang.com/products/Onbiyu-%E9%BB%91%E9%A0%AD%E6%93%A0%E5%87%BA%E6%A9%9F-Premium-A-9-%E7%A8%AE%E9%8B%BC-21007000214706?itemId=21017164371288&vendorItemId=21084336747206&sourceType=search&rank=7&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"GPSKIN 矽膠震動潔面儀, GP2O-H1902-V0P, 黃色","$1,284",https://www.tw.coupang.com/products/GPSKIN-%E7%9F%BD%E8%86%A0%E9%9C%87%E5%8B%95%E6%BD%94%E9%9D%A2%E5%84%80-21005115365921?itemId=21006986348371&vendorItemId=21074278675530&sourceType=search&rank=8&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"Sein 激光水平儀, 1個",$250,https://www.tw.coupang.com/products/Sein-%E6%BF%80%E5%85%89%E6%B0%B4%E5%B9%B3%E5%84%80-21000002788825?itemId=21000012893218&vendorItemId=21003019700808&sourceType=search&rank=9&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"2Way水平儀, 1個, KPA-02",$963,https://www.tw.coupang.com/products/2Way%E6%B0%B4%E5%B9%B3%E5%84%80-21007592905555?itemId=21020067966487&vendorItemId=21087921735556&sourceType=search&rank=10&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"Home Decor 自動鑽孔拋光墊 125mm 8 種套組, 單品",$316,https://www.tw.coupang.com/products/Home-Decor-%E8%87%AA%E5%8B%95%E9%91%BD%E5%AD%94%E6%8B%8B%E5%85%89%E5%A2%8A-125mm-8-%E7%A8%AE%E5%A5%97%E7%B5%84-21005575419380?itemId=21008894098675&vendorItemId=21076180737769&sourceType=search&rank=11&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"Inparo 紅光直角水平儀LV-42R, 1組","$1,526",https://www.tw.coupang.com/products/Inparo-%E7%B4%85%E5%85%89%E7%9B%B4%E8%A7%92%E6%B0%B4%E5%B9%B3%E5%84%80LV-42R-21001352925086?itemId=21002381504179&vendorItemId=21070377018691&sourceType=search&rank=12&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"Black & Decker Multi Evo 拋光機頭 MTB13-XJ, 1個",$827,https://www.tw.coupang.com/products/Black-%26-Decker-Multi-Evo-%E6%8B%8B%E5%85%89%E6%A9%9F%E9%A0%AD-MTB13-XJ-21007260465948?itemId=21018491912703&vendorItemId=21085631473078&sourceType=search&rank=13&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"TAC 系統雙拋光機墊 DW-125B, 白色, 1個",$476,https://www.tw.coupang.com/products/TAC-%E7%B3%BB%E7%B5%B1%E9%9B%99%E6%8B%8B%E5%85%89%E6%A9%9F%E5%A2%8A-DW-125B-21007075057518?itemId=21017582364080&vendorItemId=21084748946041&sourceType=search&rank=14&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"美容儀替換頭 0.20mm, 混色, 10個",$764,https://www.tw.coupang.com/products/%E7%BE%8E%E5%AE%B9%E5%84%80%E6%9B%BF%E6%8F%9B%E9%A0%AD-0.20mm-21005465834574?itemId=21008378719655&vendorItemId=21075666420777&sourceType=search&rank=15&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"Inparo 綠色激光水平儀 GUM-22, 1個","$1,123",https://www.tw.coupang.com/products/Inparo-%E7%B6%A0%E8%89%B2%E6%BF%80%E5%85%89%E6%B0%B4%E5%B9%B3%E5%84%80-GUM-22-21001230053876?itemId=21002223146134&vendorItemId=21070220812288&sourceType=search&rank=16&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"Sincon 旋轉激光水平儀 RL-100, 1個","$11,652",https://www.tw.coupang.com/products/Sincon-%E6%97%8B%E8%BD%89%E6%BF%80%E5%85%89%E6%B0%B4%E5%B9%B3%E5%84%80-RL-100-21002127788432?itemId=21003611533379&vendorItemId=21071597182453&sourceType=search&rank=17&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
"AcuAngle 激光水平儀 A-01G, 1個","$1,108",https://www.tw.coupang.com/products/AcuAngle-%E6%BF%80%E5%85%89%E6%B0%B4%E5%B9%B3%E5%84%80-A-01G-21001805638875?itemId=21003072286382&vendorItemId=21071060197332&sourceType=search&rank=18&searchId=a635f91dfb8347cab7a5a290bd35e053&q=%E5%88%AE%E5%85%89%E9%A0%AD%E6%A9%9F
