product_name,product_price,product_url
"脖子前傾調整帶, 1個",$249,https://www.tw.coupang.com/products/%E8%84%96%E5%AD%90%E5%89%8D%E5%82%BE%E8%AA%BF%E6%95%B4%E5%B8%B6-21005429502706?itemId=21008223987745&vendorItemId=21075512034369&sourceType=search&rank=&searchId=1bdac362ebec45f6adafb3167e03551c&q=%E5%89%8D%E5%82%BE%E5%BC%8F
"Dadaliving 晾碗架, 單色",$378,https://www.tw.coupang.com/products/Dadaliving-%E6%99%BE%E7%A2%97%E6%9E%B6-21000009108891?itemId=21000040014347&vendorItemId=21003060434621&sourceType=search&rank=1&searchId=1bdac362ebec45f6adafb3167e03551c&q=%E5%89%8D%E5%82%BE%E5%BC%8F
"金屬傾倒器, 混色, 2件",$129,https://www.tw.coupang.com/products/%E9%87%91%E5%B1%AC%E5%82%BE%E5%80%92%E5%99%A8-21000034854867?itemId=21000129712879&vendorItemId=21003270979313&sourceType=search&rank=2&searchId=1bdac362ebec45f6adafb3167e03551c&q=%E5%89%8D%E5%82%BE%E5%BC%8F
"B-Zap 通風環支援手機平板電腦支架 17 毫米, 1個, 黑色",$116,https://www.tw.coupang.com/products/B-Zap-%E9%80%9A%E9%A2%A8%E7%92%B0%E6%94%AF%E6%8F%B4%E6%89%8B%E6%A9%9F%E5%B9%B3%E6%9D%BF%E9%9B%BB%E8%85%A6%E6%94%AF%E6%9E%B6-17-%E6%AF%AB%E7%B1%B3-21007788473737?itemId=21021065792079&vendorItemId=21088128067721&sourceType=search&rank=3&searchId=1bdac362ebec45f6adafb3167e03551c&q=%E5%89%8D%E5%82%BE%E5%BC%8F
"藍色生活屏架手機支架, 1個, 白色",$315,https://www.tw.coupang.com/products/%E8%97%8D%E8%89%B2%E7%94%9F%E6%B4%BB%E5%B1%8F%E6%9E%B6%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6-21007390793594?itemId=21019107724847&vendorItemId=21086228018136&sourceType=search&rank=4&searchId=1bdac362ebec45f6adafb3167e03551c&q=%E5%89%8D%E5%82%BE%E5%BC%8F
"ABSL 電腦支架專用延伸滑鼠支架, 黑色, 1入",$120,https://www.tw.coupang.com/products/ABSL-%E9%9B%BB%E8%85%A6%E6%94%AF%E6%9E%B6%E5%B0%88%E7%94%A8%E5%BB%B6%E4%BC%B8%E6%BB%91%E9%BC%A0%E6%94%AF%E6%9E%B6-21005531105021?itemId=21008679896637&vendorItemId=21075967035864&sourceType=search&rank=5&searchId=1bdac362ebec45f6adafb3167e03551c&q=%E5%89%8D%E5%82%BE%E5%BC%8F
"傾斜洗碗機臥式基本套裝 1 層, 銀色","$2,008",https://www.tw.coupang.com/products/%E5%82%BE%E6%96%9C%E6%B4%97%E7%A2%97%E6%A9%9F%E8%87%A5%E5%BC%8F%E5%9F%BA%E6%9C%AC%E5%A5%97%E8%A3%9D-1-%E5%B1%A4-21008298270919?itemId=21023936204973&vendorItemId=21085169935625&sourceType=search&rank=6&searchId=1bdac362ebec45f6adafb3167e03551c&q=%E5%89%8D%E5%82%BE%E5%BC%8F
"冷暖隔熱一觸式支架玻璃杯, 乳白色, 1個, 650ml",$696,https://www.tw.coupang.com/products/%E5%86%B7%E6%9A%96%E9%9A%94%E7%86%B1%E4%B8%80%E8%A7%B8%E5%BC%8F%E6%94%AF%E6%9E%B6%E7%8E%BB%E7%92%83%E6%9D%AF-21008051175557?itemId=21022582106017&vendorItemId=21090480837041&sourceType=search&rank=7&searchId=1bdac362ebec45f6adafb3167e03551c&q=%E5%89%8D%E5%82%BE%E5%BC%8F
"Zemiworld 汽車後備箱隔板防滑固定架 3p, 灰色",$263,https://www.tw.coupang.com/products/Zemiworld-%E6%B1%BD%E8%BB%8A%E5%BE%8C%E5%82%99%E7%AE%B1%E9%9A%94%E6%9D%BF%E9%98%B2%E6%BB%91%E5%9B%BA%E5%AE%9A%E6%9E%B6-3p-21005504255847?itemId=21008560101717&vendorItemId=21075847467890&sourceType=search&rank=8&searchId=1bdac362ebec45f6adafb3167e03551c&q=%E5%89%8D%E5%82%BE%E5%BC%8F
"ACCO 清除前報告封面文件, 1個, 黑色的",$189,https://www.tw.coupang.com/products/ACCO-%E6%B8%85%E9%99%A4%E5%89%8D%E5%A0%B1%E5%91%8A%E5%B0%81%E9%9D%A2%E6%96%87%E4%BB%B6-21000087093119?itemId=21000273756877&vendorItemId=21003662228029&sourceType=search&rank=9&searchId=1bdac362ebec45f6adafb3167e03551c&q=%E5%89%8D%E5%82%BE%E5%BC%8F
