product_name,product_price,product_url
"南極磷蝦油膠囊, 1個, 60件",$723,https://www.tw.coupang.com/products/%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%86%A0%E5%9B%8A-21006520084219?itemId=21020280299939&vendorItemId=21087366923395&sourceType=search&rank=&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"Sports Research 南極磷蝦油含蝦紅素軟膠囊500mg, 2個, 120 入","$2,181",https://www.tw.coupang.com/products/Sports-Research-%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9%E5%90%AB%E8%9D%A6%E7%B4%85%E7%B4%A0%E8%BB%9F%E8%86%A0%E5%9B%8A500mg-21006843171719?itemId=21019563031783&vendorItemId=21082207045228&sourceType=search&rank=1&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"NATURE DREAM 磷蝦油膠囊 1000mg, 30顆, 1盒",$481,https://www.tw.coupang.com/products/NATURE-DREAM-%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%86%A0%E5%9B%8A-1000mg-21000225353220?itemId=21000712273475&vendorItemId=21004807107842&sourceType=search&rank=2&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"優質磷蝦油膠囊, 30顆, 4盒","$1,036",https://www.tw.coupang.com/products/%E5%84%AA%E8%B3%AA%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%86%A0%E5%9B%8A-21005448185469?itemId=21008306991443&vendorItemId=21090389632204&sourceType=search&rank=3&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"nz Origin 南極磷蝦油500膠囊, 30顆, 1盒",$324,https://www.tw.coupang.com/products/nz-Origin-%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9500%E8%86%A0%E5%9B%8A-21006302108849?itemId=21013036468680&vendorItemId=21004888248123&sourceType=search&rank=4&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"DR. MERCOLA 女性用磷蝦油軟膠囊, 1罐, 90顆","$1,030",https://www.tw.coupang.com/products/DR.-MERCOLA-%E5%A5%B3%E6%80%A7%E7%94%A8%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%BB%9F%E8%86%A0%E5%9B%8A-21008289101112?itemId=21000004097647&vendorItemId=21003226389328&sourceType=search&rank=5&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"優質磷蝦油膠囊, 30顆, 3盒",$777,https://www.tw.coupang.com/products/%E5%84%AA%E8%B3%AA%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%86%A0%E5%9B%8A-21005448185469?itemId=21007349199527&vendorItemId=21090389631985&sourceType=search&rank=6&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"nz Origin 南極磷蝦油500膠囊, 30顆, 3盒",$904,https://www.tw.coupang.com/products/nz-Origin-%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9500%E8%86%A0%E5%9B%8A-21006302108849?itemId=21020974276220&vendorItemId=21088039247513&sourceType=search&rank=7&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"nz Origin 南極磷蝦油500膠囊, 30顆, 4盒","$1,206",https://www.tw.coupang.com/products/nz-Origin-%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9500%E8%86%A0%E5%9B%8A-21006302108849?itemId=21020974276383&vendorItemId=21088039247667&sourceType=search&rank=8&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"Max DHA 磷蝦油鮪魚油軟膠囊, 1個, 60顆",$579,https://www.tw.coupang.com/products/Max-DHA-%E7%A3%B7%E8%9D%A6%E6%B2%B9%E9%AE%AA%E9%AD%9A%E6%B2%B9%E8%BB%9F%E8%86%A0%E5%9B%8A-21008103931842?itemId=21022932376886&vendorItemId=21089966740489&sourceType=search&rank=9&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"nz Origin 南極磷蝦油500膠囊, 30顆, 2盒",$648,https://www.tw.coupang.com/products/nz-Origin-%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9500%E8%86%A0%E5%9B%8A-21006302108849?itemId=21020974276222&vendorItemId=21088039247503&sourceType=search&rank=10&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"NUTRICORE 營養的科學 磷蝦油膠囊, 30顆, 1盒","$1,190",https://www.tw.coupang.com/products/NUTRICORE-%E7%87%9F%E9%A4%8A%E7%9A%84%E7%A7%91%E5%AD%B8-%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%86%A0%E5%9B%8A-21008231862855?itemId=21001094430317&vendorItemId=21005612973609&sourceType=search&rank=11&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"nz Origin 南極磷蝦油500膠囊, 30顆, 5盒","$1,508",https://www.tw.coupang.com/products/nz-Origin-%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9500%E8%86%A0%E5%9B%8A-21006302108849?itemId=21020974276803&vendorItemId=21088039247999&sourceType=search&rank=12&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"BRAND'S 白蘭氏 深海魚油+蝦紅素, 120顆, 1罐",$551,https://www.tw.coupang.com/products/BRAND'S-%E7%99%BD%E8%98%AD%E6%B0%8F-%E6%B7%B1%E6%B5%B7%E9%AD%9A%E6%B2%B9%2B%E8%9D%A6%E7%B4%85%E7%B4%A0-229759824936961?itemId=229760563118081&vendorItemId=229760563118080&sourceType=search&rank=13&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"nz Origin 南極磷蝦油500膠囊, 30顆, 6盒","$1,809",https://www.tw.coupang.com/products/nz-Origin-%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9500%E8%86%A0%E5%9B%8A-21006302108849?itemId=21020974276874&vendorItemId=21088039248122&sourceType=search&rank=14&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"SR 南極磷脂蝦青素磷蝦油魚油膠囊 1000mg, 1罐, 30顆",$651,https://www.tw.coupang.com/products/SR-%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%84%82%E8%9D%A6%E9%9D%92%E7%B4%A0%E7%A3%B7%E8%9D%A6%E6%B2%B9%E9%AD%9A%E6%B2%B9%E8%86%A0%E5%9B%8A-1000mg-21006843171719?itemId=21007994704151&vendorItemId=21075283550812&sourceType=search&rank=15&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"pss 磷蝦油膠囊, 180顆, 1盒","$1,414",https://www.tw.coupang.com/products/pss-%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%86%A0%E5%9B%8A-21007840176673?itemId=21021341500475&vendorItemId=21088399610109&sourceType=search&rank=16&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"SOURCE NATURALS 海王星磷蝦油膠囊 500mg, 1罐, 120顆","$1,259",https://www.tw.coupang.com/products/SOURCE-NATURALS-%E6%B5%B7%E7%8E%8B%E6%98%9F%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%86%A0%E5%9B%8A-500mg-21000000014811?itemId=21000002140276&vendorItemId=21003085483165&sourceType=search&rank=17&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"pss 磷蝦油膠囊, 360顆, 1盒","$9,439",https://www.tw.coupang.com/products/pss-%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%86%A0%E5%9B%8A-21007773257912?itemId=21020181653267&vendorItemId=21088399468685&sourceType=search&rank=18&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"SR 磷蝦油蝦紅素軟膠囊 1000mg, 1罐, 60顆","$1,102",https://www.tw.coupang.com/products/SR-%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%9D%A6%E7%B4%85%E7%B4%A0%E8%BB%9F%E8%86%A0%E5%9B%8A-1000mg-21008220980692?itemId=21000688523663&vendorItemId=21004765824858&sourceType=search&rank=19&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"AMAZING NUTRITION 磷蝦油膠囊 1000mg, 1罐, 120顆",$528,https://www.tw.coupang.com/products/AMAZING-NUTRITION-%E7%A3%B7%E8%9D%A6%E6%B2%B9%E8%86%A0%E5%9B%8A-1000mg-21008203836962?itemId=21008248722762&vendorItemId=21075536713578&sourceType=search&rank=20&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
"優質磷蝦油56膠囊 30g, 30顆, 1盒",$339,https://www.tw.coupang.com/products/%E5%84%AA%E8%B3%AA%E7%A3%B7%E8%9D%A6%E6%B2%B956%E8%86%A0%E5%9B%8A-30g-21008203841715?itemId=21020833921318&vendorItemId=21089114434547&sourceType=search&rank=21&searchId=33173655df3445e79b3f4796932b3267&q=%E5%8D%97%E6%A5%B5%E7%A3%B7%E8%9D%A6%E6%B2%B9
