product_name,product_price,product_url
"Mr Muscle 威猛先生 深層淨力潔廁凝膠 璀璨花舞, 750ml, 3瓶",$81,https://www.tw.coupang.com/products/Mr-Muscle-%E5%A8%81%E7%8C%9B%E5%85%88%E7%94%9F-%E6%B7%B1%E5%B1%A4%E6%B7%A8%E5%8A%9B%E6%BD%94%E5%BB%81%E5%87%9D%E8%86%A0-%E7%92%80%E7%92%A8%E8%8A%B1%E8%88%9E-261378325561363?itemId=384609430732814&vendorItemId=384609430749189&sourceType=search&rank=&searchId=eeff18ba83fd475f819c4c9ff6640a46&q=%E5%8E%BB%E5%9E%A2%E5%87%9D%E8%86%A0
"Mr Muscle 威猛先生 深層淨力潔廁凝膠 清新海洋, 750ml, 5瓶",$136,https://www.tw.coupang.com/products/Mr-Muscle-%E5%A8%81%E7%8C%9B%E5%85%88%E7%94%9F-%E6%B7%B1%E5%B1%A4%E6%B7%A8%E5%8A%9B%E6%BD%94%E5%BB%81%E5%87%9D%E8%86%A0-%E6%B8%85%E6%96%B0%E6%B5%B7%E6%B4%8B-221763334012938?itemId=276514851504145&vendorItemId=276513802895361&sourceType=search&rank=1&searchId=eeff18ba83fd475f819c4c9ff6640a46&q=%E5%8E%BB%E5%9E%A2%E5%87%9D%E8%86%A0
"Mr Muscle 威猛先生 深層淨力潔廁凝膠 璀璨花舞, 750ml, 8瓶",$211,https://www.tw.coupang.com/products/Mr-Muscle-%E5%A8%81%E7%8C%9B%E5%85%88%E7%94%9F-%E6%B7%B1%E5%B1%A4%E6%B7%A8%E5%8A%9B%E6%BD%94%E5%BB%81%E5%87%9D%E8%86%A0-%E7%92%80%E7%92%A8%E8%8A%B1%E8%88%9E-261378325561363?itemId=271070422614022&vendorItemId=271070422614019&sourceType=search&rank=2&searchId=eeff18ba83fd475f819c4c9ff6640a46&q=%E5%8E%BB%E5%9E%A2%E5%87%9D%E8%86%A0
"Salrimbaekseo 迷迭香身體去角質凝膠, 500ml, 1瓶",$335,https://www.tw.coupang.com/products/Salrimbaekseo-%E8%BF%B7%E8%BF%AD%E9%A6%99%E8%BA%AB%E9%AB%94%E5%8E%BB%E8%A7%92%E8%B3%AA%E5%87%9D%E8%86%A0-21006636039603?itemId=21015150894832&vendorItemId=21082372418747&sourceType=search&rank=3&searchId=eeff18ba83fd475f819c4c9ff6640a46&q=%E5%8E%BB%E5%9E%A2%E5%87%9D%E8%86%A0
"Mr Muscle 威猛先生 深層淨力潔廁凝膠 璀璨花舞, 750ml, 12瓶",$317,https://www.tw.coupang.com/products/Mr-Muscle-%E5%A8%81%E7%8C%9B%E5%85%88%E7%94%9F-%E6%B7%B1%E5%B1%A4%E6%B7%A8%E5%8A%9B%E6%BD%94%E5%BB%81%E5%87%9D%E8%86%A0-%E7%92%80%E7%92%A8%E8%8A%B1%E8%88%9E-261378325561363?itemId=271069369810950&vendorItemId=271070418419732&sourceType=search&rank=4&searchId=eeff18ba83fd475f819c4c9ff6640a46&q=%E5%8E%BB%E5%9E%A2%E5%87%9D%E8%86%A0
"潔霜 S 濃縮超強效浴廁清潔劑 淨白青蘋, 1050g, 2瓶",$91,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%BF%83%E7%B8%AE%E8%B6%85%E5%BC%B7%E6%95%88%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E6%B7%A8%E7%99%BD%E9%9D%92%E8%98%8B-258810815938562?itemId=260984060985345&vendorItemId=260985059262480&sourceType=search&rank=5&searchId=eeff18ba83fd475f819c4c9ff6640a46&q=%E5%8E%BB%E5%9E%A2%E5%87%9D%E8%86%A0
"Mr Muscle 威猛先生 深層淨力潔廁凝膠 清新海洋, 750ml, 6瓶",$163,https://www.tw.coupang.com/products/Mr-Muscle-%E5%A8%81%E7%8C%9B%E5%85%88%E7%94%9F-%E6%B7%B1%E5%B1%A4%E6%B7%A8%E5%8A%9B%E6%BD%94%E5%BB%81%E5%87%9D%E8%86%A0-%E6%B8%85%E6%96%B0%E6%B5%B7%E6%B4%8B-221763334012938?itemId=276513802895368&vendorItemId=276514851504143&sourceType=search&rank=6&searchId=eeff18ba83fd475f819c4c9ff6640a46&q=%E5%8E%BB%E5%9E%A2%E5%87%9D%E8%86%A0
"潔霜 S 濃縮超強效浴廁清潔劑 淨白青蘋, 1050g, 12瓶",$406,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%BF%83%E7%B8%AE%E8%B6%85%E5%BC%B7%E6%95%88%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E6%B7%A8%E7%99%BD%E9%9D%92%E8%98%8B-258810815938562?itemId=286340918771729&vendorItemId=355211579179009&sourceType=search&rank=7&searchId=eeff18ba83fd475f819c4c9ff6640a46&q=%E5%8E%BB%E5%9E%A2%E5%87%9D%E8%86%A0
"潔霜 S 濃縮超強效浴廁清潔劑 淨白青蘋, 1050g, 3瓶",$136,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%BF%83%E7%B8%AE%E8%B6%85%E5%BC%B7%E6%95%88%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E6%B7%A8%E7%99%BD%E9%9D%92%E8%98%8B-258810815938562?itemId=260986007158831&vendorItemId=260986007158815&sourceType=search&rank=8&searchId=eeff18ba83fd475f819c4c9ff6640a46&q=%E5%8E%BB%E5%9E%A2%E5%87%9D%E8%86%A0
"潔霜 S 濃縮超強效浴廁清潔劑 淨白青蘋, 1050g, 4瓶",$162,https://www.tw.coupang.com/products/%E6%BD%94%E9%9C%9C-S-%E6%BF%83%E7%B8%AE%E8%B6%85%E5%BC%B7%E6%95%88%E6%B5%B4%E5%BB%81%E6%B8%85%E6%BD%94%E5%8A%91-%E6%B7%A8%E7%99%BD%E9%9D%92%E8%98%8B-258810815938562?itemId=260985059262496&vendorItemId=260985059262485&sourceType=search&rank=9&searchId=eeff18ba83fd475f819c4c9ff6640a46&q=%E5%8E%BB%E5%9E%A2%E5%87%9D%E8%86%A0
