product_name,product_price,product_url
"PUROSOUNDLABS 基本聽力保護有線耳機, 普羅基礎, 藍色",$724,https://www.tw.coupang.com/products/PUROSOUNDLABS-%E5%9F%BA%E6%9C%AC%E8%81%BD%E5%8A%9B%E4%BF%9D%E8%AD%B7%E6%9C%89%E7%B7%9A%E8%80%B3%E6%A9%9F-21004663842811?itemId=21005825006784&vendorItemId=21073123379307&sourceType=search&rank=&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"Baro BaroTalk 語音翻譯口譯員, PA-50（黑色）","$1,912",https://www.tw.coupang.com/products/Baro-BaroTalk-%E8%AA%9E%E9%9F%B3%E7%BF%BB%E8%AD%AF%E5%8F%A3%E8%AD%AF%E5%93%A1-21001523839949?itemId=21000857455727&vendorItemId=21070226451143&sourceType=search&rank=1&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"steinberg USB音頻接口, UR22C","$6,588",https://www.tw.coupang.com/products/steinberg-USB%E9%9F%B3%E9%A0%BB%E6%8E%A5%E5%8F%A3-21004564367951?itemId=21005565279224&vendorItemId=21072864649200&sourceType=search&rank=2&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"IK Multimedia iRig 多效器, 單品",$633,https://www.tw.coupang.com/products/IK-Multimedia-iRig-%E5%A4%9A%E6%95%88%E5%99%A8-21000003509030?itemId=21000016614898&vendorItemId=21070857262541&sourceType=search&rank=3&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"BOYA 博雅 專業監聽耳機, BY-HP2, 黑色的","$2,016",https://www.tw.coupang.com/products/BOYA-%E5%8D%9A%E9%9B%85-%E5%B0%88%E6%A5%AD%E7%9B%A3%E8%81%BD%E8%80%B3%E6%A9%9F-21007032513304?itemId=21017360509518&vendorItemId=21084530474029&sourceType=search&rank=4&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"JOYTRON AM20 專業 2 通道 USB 音頻混合器 白色, UMB-MIX2","$1,577",https://www.tw.coupang.com/products/JOYTRON-AM20-%E5%B0%88%E6%A5%AD-2-%E9%80%9A%E9%81%93-USB-%E9%9F%B3%E9%A0%BB%E6%B7%B7%E5%90%88%E5%99%A8-%E7%99%BD%E8%89%B2-21005449745073?itemId=21008313053794&vendorItemId=21075600932876&sourceType=search&rank=5&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"ETSHOP 監聽音箱支架, 白色, 單品",$992,https://www.tw.coupang.com/products/ETSHOP-%E7%9B%A3%E8%81%BD%E9%9F%B3%E7%AE%B1%E6%94%AF%E6%9E%B6-21006081896287?itemId=21011278979187&vendorItemId=21078555831915&sourceType=search&rank=6&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"Alctron 監聽音箱低音喇叭支架防塵墊 2p 2 套, EPP07, 黑色的",$392,https://www.tw.coupang.com/products/Alctron-%E7%9B%A3%E8%81%BD%E9%9F%B3%E7%AE%B1%E4%BD%8E%E9%9F%B3%E5%96%87%E5%8F%AD%E6%94%AF%E6%9E%B6%E9%98%B2%E5%A1%B5%E5%A2%8A-2p-2-%E5%A5%97-21002274949732?itemId=21003903361478&vendorItemId=21072325226416&sourceType=search&rank=7&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"SAMJOO 小喇叭麥克風警笛功能, SJM-820SW-R, 混色","$1,185",https://www.tw.coupang.com/products/SAMJOO-%E5%B0%8F%E5%96%87%E5%8F%AD%E9%BA%A5%E5%85%8B%E9%A2%A8%E8%AD%A6%E7%AC%9B%E5%8A%9F%E8%83%BD-21001335856233?itemId=21002361655055&vendorItemId=21070358011599&sourceType=search&rank=8&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"聽著加。 1(教師手冊)(新版), 電子未來",$385,https://www.tw.coupang.com/products/%E8%81%BD%E8%91%97%E5%8A%A0%E3%80%82-1(%E6%95%99%E5%B8%AB%E6%89%8B%E5%86%8A)(%E6%96%B0%E7%89%88)-21000020689757?itemId=21000080907558&vendorItemId=21003313103491&sourceType=search&rank=9&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
elgato Wave 3 麥克風,"$5,784",https://www.tw.coupang.com/products/elgato-Wave-3-%E9%BA%A5%E5%85%8B%E9%A2%A8-21002150425678?itemId=21003651956161&vendorItemId=21073113852901&sourceType=search&rank=10&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"Jet One Cologne 德國科隆小號KTP-280, KTP-280, 混合顏色","$8,880",https://www.tw.coupang.com/products/Jet-One-Cologne-%E5%BE%B7%E5%9C%8B%E7%A7%91%E9%9A%86%E5%B0%8F%E8%99%9FKTP-280-21006887226531?itemId=21016523385787&vendorItemId=21083710401256&sourceType=search&rank=11&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"負載監聽耳機, NTH-100, 單色","$5,168",https://www.tw.coupang.com/products/%E8%B2%A0%E8%BC%89%E7%9B%A3%E8%81%BD%E8%80%B3%E6%A9%9F-21007057452810?itemId=21017488037681&vendorItemId=21084655431200&sourceType=search&rank=12&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"ASUS 華碩 降噪耳機麥克風轉接線, 90YH02L1-B2UA00, 單色","$1,285",https://www.tw.coupang.com/products/ASUS-%E8%8F%AF%E7%A2%A9-%E9%99%8D%E5%99%AA%E8%80%B3%E6%A9%9F%E9%BA%A5%E5%85%8B%E9%A2%A8%E8%BD%89%E6%8E%A5%E7%B7%9A-21005954355846?itemId=21010653891613&vendorItemId=21077934754460&sourceType=search&rank=13&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"audio-technica 鐵三角 旗艦款專業入耳式封閉監聽耳機 ATH-M70x, 混色","$7,961",https://www.tw.coupang.com/products/audio-technica-%E9%90%B5%E4%B8%89%E8%A7%92-%E6%97%97%E8%89%A6%E6%AC%BE%E5%B0%88%E6%A5%AD%E5%85%A5%E8%80%B3%E5%BC%8F%E5%B0%81%E9%96%89%E7%9B%A3%E8%81%BD%E8%80%B3%E6%A9%9F-ATH-M70x-21000301650968?itemId=21000949202734&vendorItemId=21005341646805&sourceType=search&rank=14&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"Cenix 高性能、高靈敏度語音放大錄音機, VR-P2340, 混色","$1,754",https://www.tw.coupang.com/products/Cenix-%E9%AB%98%E6%80%A7%E8%83%BD%E3%80%81%E9%AB%98%E9%9D%88%E6%95%8F%E5%BA%A6%E8%AA%9E%E9%9F%B3%E6%94%BE%E5%A4%A7%E9%8C%84%E9%9F%B3%E6%A9%9F-21001418841088?itemId=21002456370999&vendorItemId=21070449919702&sourceType=search&rank=15&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"JBL 單個監聽音響, LSR305P MkII, 混色","$7,744",https://www.tw.coupang.com/products/JBL-%E5%96%AE%E5%80%8B%E7%9B%A3%E8%81%BD%E9%9F%B3%E9%9F%BF-21000319781949?itemId=21001022968385&vendorItemId=21005463803815&sourceType=search&rank=16&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"Audio-Technica 封閉式可拆卸麥克風高保真遊戲耳機, Clova White, ATH-GL3","$2,862",https://www.tw.coupang.com/products/Audio-Technica-%E5%B0%81%E9%96%89%E5%BC%8F%E5%8F%AF%E6%8B%86%E5%8D%B8%E9%BA%A5%E5%85%8B%E9%A2%A8%E9%AB%98%E4%BF%9D%E7%9C%9F%E9%81%8A%E6%88%B2%E8%80%B3%E6%A9%9F-21007168428649?itemId=21018054352402&vendorItemId=21085208286568&sourceType=search&rank=17&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"UE 降噪耳機, UE900S, 混色","$6,684",https://www.tw.coupang.com/products/UE-%E9%99%8D%E5%99%AA%E8%80%B3%E6%A9%9F-21000318396311?itemId=21001016545767&vendorItemId=21005453150797&sourceType=search&rank=18&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"聽感耳機, 混合顏色, DT600","$7,611",https://www.tw.coupang.com/products/%E8%81%BD%E6%84%9F%E8%80%B3%E6%A9%9F-21007240337052?itemId=21018394905084&vendorItemId=21085537876944&sourceType=search&rank=19&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"AKG 專業封閉式錄音室耳機 K553 MK2, 單色, AKG K553 MKII","$6,214",https://www.tw.coupang.com/products/AKG-%E5%B0%88%E6%A5%AD%E5%B0%81%E9%96%89%E5%BC%8F%E9%8C%84%E9%9F%B3%E5%AE%A4%E8%80%B3%E6%A9%9F-K553-MK2-21000324846206?itemId=21001040061675&vendorItemId=21005497164896&sourceType=search&rank=20&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"Xduoo平衡真空管耳機擴大機, MT-604","$5,500",https://www.tw.coupang.com/products/Xduoo%E5%B9%B3%E8%A1%A1%E7%9C%9F%E7%A9%BA%E7%AE%A1%E8%80%B3%E6%A9%9F%E6%93%B4%E5%A4%A7%E6%A9%9F-21007621026136?itemId=21020205323486&vendorItemId=21087295676241&sourceType=search&rank=21&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"KANALS 專業 5Ch 音頻混音器, BKG-50","$5,950",https://www.tw.coupang.com/products/KANALS-%E5%B0%88%E6%A5%AD-5Ch-%E9%9F%B3%E9%A0%BB%E6%B7%B7%E9%9F%B3%E5%99%A8-21006598401390?itemId=21014916565529&vendorItemId=21082154240588&sourceType=search&rank=22&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"KANALS 專業 3Ch 音頻混音器, BKG-30","$5,581",https://www.tw.coupang.com/products/KANALS-%E5%B0%88%E6%A5%AD-3Ch-%E9%9F%B3%E9%A0%BB%E6%B7%B7%E9%9F%B3%E5%99%A8-21006069710162?itemId=21015327180620&vendorItemId=21082547491615&sourceType=search&rank=23&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"AR audio 4ch 200W 商店 USB 放大器 + AUX 連接線, AR-408","$3,514",https://www.tw.coupang.com/products/AR-audio-4ch-200W-%E5%95%86%E5%BA%97-USB-%E6%94%BE%E5%A4%A7%E5%99%A8-%2B-AUX-%E9%80%A3%E6%8E%A5%E7%B7%9A-21001531515917?itemId=21002626085104&vendorItemId=21070668862585&sourceType=search&rank=24&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
幀真棒,$708,https://www.tw.coupang.com/products/%E5%B9%80%E7%9C%9F%E6%A3%92-21000001939940?itemId=21000008626866&vendorItemId=21003012073699&sourceType=search&rank=25&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"plantronics 繽特力 Vista 音頻處理器放大器, 虛擬機22, 混色","$2,993",https://www.tw.coupang.com/products/plantronics-%E7%B9%BD%E7%89%B9%E5%8A%9B-Vista-%E9%9F%B3%E9%A0%BB%E8%99%95%E7%90%86%E5%99%A8%E6%94%BE%E5%A4%A7%E5%99%A8-21000104397571?itemId=21000316542649&vendorItemId=21003777556804&sourceType=search&rank=26&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
陷害黑幫流行音樂,$748,https://www.tw.coupang.com/products/%E9%99%B7%E5%AE%B3%E9%BB%91%E5%B9%AB%E6%B5%81%E8%A1%8C%E9%9F%B3%E6%A8%82-21000001939968?itemId=21000008626895&vendorItemId=21003012073735&sourceType=search&rank=27&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"森海塞爾有線監聽耳機+6.3mm變性套組, HD26專業版, 黑色","$12,100",https://www.tw.coupang.com/products/%E6%A3%AE%E6%B5%B7%E5%A1%9E%E7%88%BE%E6%9C%89%E7%B7%9A%E7%9B%A3%E8%81%BD%E8%80%B3%E6%A9%9F%2B6.3mm%E8%AE%8A%E6%80%A7%E5%A5%97%E7%B5%84-21007382796369?itemId=21019070473279&vendorItemId=21086193120191&sourceType=search&rank=28&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"RME 高分辨率轉換器 ADI-2 FS, ADI-2FS","$31,218",https://www.tw.coupang.com/products/RME-%E9%AB%98%E5%88%86%E8%BE%A8%E7%8E%87%E8%BD%89%E6%8F%9B%E5%99%A8-ADI-2-FS-21004504926065?itemId=21005412843081&vendorItemId=21072712794406&sourceType=search&rank=29&searchId=9d616ef8973f457d92a5e318d7fabc04&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"IRIVER 耳機 9g, IDP-05i, 黑色的",$332,https://www.tw.coupang.com/products/IRIVER-%E8%80%B3%E6%A9%9F-9g-21000216747279?itemId=21000666569076&vendorItemId=21004722946671&sourceType=search&rank=&searchId=ecdf697c74cc4a62915fb4b6356914a6&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
"sE Electronics DM1 內聯麥克風前置放大器, 單品, 混色","$2,942",https://www.tw.coupang.com/products/sE-Electronics-DM1-%E5%85%A7%E8%81%AF%E9%BA%A5%E5%85%8B%E9%A2%A8%E5%89%8D%E7%BD%AE%E6%94%BE%E5%A4%A7%E5%99%A8-21000148236984?itemId=21000428740918&vendorItemId=21004057061770&sourceType=search&rank=1&searchId=ecdf697c74cc4a62915fb4b6356914a6&q=%E5%8F%AF%E6%8E%A5%E8%81%BD
