product_name,product_price,product_url
"公雞造型微波蒸雞蛋盒 可煮4顆, 白色, 1個",$107,https://www.tw.coupang.com/products/%E5%85%AC%E9%9B%9E%E9%80%A0%E5%9E%8B%E5%BE%AE%E6%B3%A2%E8%92%B8%E9%9B%9E%E8%9B%8B%E7%9B%92-%E5%8F%AF%E7%85%AE4%E9%A1%86-263095649796098?itemId=263094743842826&vendorItemId=263095649796097&sourceType=search&rank=&searchId=10ee04d09ad34ee78c791d2565ffd5a8&q=%E5%8F%AF%E7%85%AE
"Lacena 重力鑄造IH萬用烤盤 電磁爐可用 煎/煮/烤皆可 露營必備 40cm, 1個",$735,https://www.tw.coupang.com/products/Lacena-%E9%87%8D%E5%8A%9B%E9%91%84%E9%80%A0IH%E8%90%AC%E7%94%A8%E7%83%A4%E7%9B%A4-%E9%9B%BB%E7%A3%81%E7%88%90%E5%8F%AF%E7%94%A8-%E7%85%8E%2F%E7%85%AE%2F%E7%83%A4%E7%9A%86%E5%8F%AF-%E9%9C%B2%E7%87%9F%E5%BF%85%E5%82%99-40cm-161267981467650?itemId=161267541032964&vendorItemId=161267981467648&sourceType=search&rank=1&searchId=10ee04d09ad34ee78c791d2565ffd5a8&q=%E5%8F%AF%E7%85%AE
"LocknLock 樂扣樂扣 可蒸可煮PP微波專用保鮮盒 正方形 2.4L, 1個",$270,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%8F%AF%E8%92%B8%E5%8F%AF%E7%85%AEPP%E5%BE%AE%E6%B3%A2%E5%B0%88%E7%94%A8%E4%BF%9D%E9%AE%AE%E7%9B%92-%E6%AD%A3%E6%96%B9%E5%BD%A2-2.4L-234451258802179?itemId=234449643978754&vendorItemId=234450495455232&sourceType=search&rank=2&searchId=10ee04d09ad34ee78c791d2565ffd5a8&q=%E5%8F%AF%E7%85%AE
"LocknLock 樂扣樂扣 可蒸可煮 PP微波專用保鮮盒 握把湯碗 1L C8, 1個",$159,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%8F%AF%E8%92%B8%E5%8F%AF%E7%85%AE-PP%E5%BE%AE%E6%B3%A2%E5%B0%88%E7%94%A8%E4%BF%9D%E9%AE%AE%E7%9B%92-%E6%8F%A1%E6%8A%8A%E6%B9%AF%E7%A2%97-1L-C8-265620008419338?itemId=265621954592769&vendorItemId=265621036056577&sourceType=search&rank=3&searchId=10ee04d09ad34ee78c791d2565ffd5a8&q=%E5%8F%AF%E7%85%AE
"Home Master 可煮米飯微波容器 450 毫升, 灰色, 24個",$599,https://www.tw.coupang.com/products/Home-Master-%E5%8F%AF%E7%85%AE%E7%B1%B3%E9%A3%AF%E5%BE%AE%E6%B3%A2%E5%AE%B9%E5%99%A8-450-%E6%AF%AB%E5%8D%87-21007008924346?itemId=21017474251260&vendorItemId=21084641867984&sourceType=search&rank=4&searchId=10ee04d09ad34ee78c791d2565ffd5a8&q=%E5%8F%AF%E7%85%AE
"sillymann Newtro Collection可煮鉑金矽膠保鮮盒 WSK7226 240ml, 2盒, 單品",$576,https://www.tw.coupang.com/products/sillymann-Newtro-Collection%E5%8F%AF%E7%85%AE%E9%89%91%E9%87%91%E7%9F%BD%E8%86%A0%E4%BF%9D%E9%AE%AE%E7%9B%92-WSK7226-240ml-21006497590269?itemId=21014291214607&vendorItemId=21081536136510&sourceType=search&rank=5&searchId=10ee04d09ad34ee78c791d2565ffd5a8&q=%E5%8F%AF%E7%85%AE
"LocknLock 樂扣樂扣 可蒸可煮 PP微波專用保鮮盒 握把湯碗 1L C8, 2個",$319,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%8F%AF%E8%92%B8%E5%8F%AF%E7%85%AE-PP%E5%BE%AE%E6%B3%A2%E5%B0%88%E7%94%A8%E4%BF%9D%E9%AE%AE%E7%9B%92-%E6%8F%A1%E6%8A%8A%E6%B9%AF%E7%A2%97-1L-C8-265620008419338?itemId=271480503877636&vendorItemId=271480503877632&sourceType=search&rank=6&searchId=10ee04d09ad34ee78c791d2565ffd5a8&q=%E5%8F%AF%E7%85%AE
"sillymann Newtro Collection可煮鉑金矽膠保鮮盒 WSK7227 310ml, 2盒, 單品",$619,https://www.tw.coupang.com/products/sillymann-Newtro-Collection%E5%8F%AF%E7%85%AE%E9%89%91%E9%87%91%E7%9F%BD%E8%86%A0%E4%BF%9D%E9%AE%AE%E7%9B%92-WSK7227-310ml-21006497527484?itemId=21014290657476&vendorItemId=21081535585310&sourceType=search&rank=7&searchId=10ee04d09ad34ee78c791d2565ffd5a8&q=%E5%8F%AF%E7%85%AE
"Home Master 可煮微波爐大米儲存容器 450ml, 深灰色, 24個",$601,https://www.tw.coupang.com/products/Home-Master-%E5%8F%AF%E7%85%AE%E5%BE%AE%E6%B3%A2%E7%88%90%E5%A4%A7%E7%B1%B3%E5%84%B2%E5%AD%98%E5%AE%B9%E5%99%A8-450ml-21007008924346?itemId=21017302938232&vendorItemId=21084473817682&sourceType=search&rank=8&searchId=10ee04d09ad34ee78c791d2565ffd5a8&q=%E5%8F%AF%E7%85%AE
"LocknLock 樂扣樂扣 可蒸可煮 PP微波專用保鮮盒 握把湯碗 1L C8, 3個",$475,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%8F%AF%E8%92%B8%E5%8F%AF%E7%85%AE-PP%E5%BE%AE%E6%B3%A2%E5%B0%88%E7%94%A8%E4%BF%9D%E9%AE%AE%E7%9B%92-%E6%8F%A1%E6%8A%8A%E6%B9%AF%E7%A2%97-1L-C8-265620008419338?itemId=271481539903490&vendorItemId=271482483605504&sourceType=search&rank=9&searchId=10ee04d09ad34ee78c791d2565ffd5a8&q=%E5%8F%AF%E7%85%AE
