product_name,product_price,product_url
JAL BBA JEAN 女款夏季彈性喇叭褲,$290,https://www.tw.coupang.com/products/JAL-BBA-JEAN-%E5%A5%B3%E6%AC%BE%E5%A4%8F%E5%AD%A3%E5%BD%88%E6%80%A7%E5%96%87%E5%8F%AD%E8%A4%B2-21007545934923?itemId=21008193820178&vendorItemId=21075481939193&sourceType=search&rank=&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
GAVIJEAN 女款棉質彈性喇叭褲,$374,https://www.tw.coupang.com/products/GAVIJEAN-%E5%A5%B3%E6%AC%BE%E6%A3%89%E8%B3%AA%E5%BD%88%E6%80%A7%E5%96%87%E5%8F%AD%E8%A4%B2-21001715911222?itemId=21002920650174&vendorItemId=21070909317140&sourceType=search&rank=1&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
JAL BBA JEAN 女款側開岔喇叭褲,$285,https://www.tw.coupang.com/products/JAL-BBA-JEAN-%E5%A5%B3%E6%AC%BE%E5%81%B4%E9%96%8B%E5%B2%94%E5%96%87%E5%8F%AD%E8%A4%B2-21002263828702?itemId=21003880149054&vendorItemId=21071864803060&sourceType=search&rank=2&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
JAL BBA JEAN 女款休閒喇叭褲,$305,https://www.tw.coupang.com/products/JAL-BBA-JEAN-%E5%A5%B3%E6%AC%BE%E4%BC%91%E9%96%92%E5%96%87%E5%8F%AD%E8%A4%B2-21005422792697?itemId=21014059297270&vendorItemId=21081306634299&sourceType=search&rank=3&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
NOKJOK 女款素色瑜伽靴型長褲,$443,https://www.tw.coupang.com/products/NOKJOK-%E5%A5%B3%E6%AC%BE%E7%B4%A0%E8%89%B2%E7%91%9C%E4%BC%BD%E9%9D%B4%E5%9E%8B%E9%95%B7%E8%A4%B2-21005623922986?itemId=21009126570283&vendorItemId=21076412626690&sourceType=search&rank=4&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
CRESSON 女士 SS 喇叭褲牛仔褲 2 件套,"$1,008",https://www.tw.coupang.com/products/CRESSON-%E5%A5%B3%E5%A3%AB-SS-%E5%96%87%E5%8F%AD%E8%A4%B2%E7%89%9B%E4%BB%94%E8%A4%B2-2-%E4%BB%B6%E5%A5%97-21007115450538?itemId=21021787296141&vendorItemId=21088835990537&sourceType=search&rank=5&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
GAVIJEAN 女款高腰雙扣休閒喇叭褲,$476,https://www.tw.coupang.com/products/GAVIJEAN-%E5%A5%B3%E6%AC%BE%E9%AB%98%E8%85%B0%E9%9B%99%E6%89%A3%E4%BC%91%E9%96%92%E5%96%87%E5%8F%AD%E8%A4%B2-21005994554031?itemId=21010833339743&vendorItemId=21074797116140&sourceType=search&rank=6&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
時尚女式基本款微喇喇叭褲,$452,https://www.tw.coupang.com/products/%E6%99%82%E5%B0%9A%E5%A5%B3%E5%BC%8F%E5%9F%BA%E6%9C%AC%E6%AC%BE%E5%BE%AE%E5%96%87%E5%96%87%E5%8F%AD%E8%A4%B2-21007075155928?itemId=21017582807272&vendorItemId=21084749380209&sourceType=search&rank=7&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
CARET 女款牛仔喇叭褲,$400,https://www.tw.coupang.com/products/CARET-%E5%A5%B3%E6%AC%BE%E7%89%9B%E4%BB%94%E5%96%87%E5%8F%AD%E8%A4%B2-151991053418497?itemId=151991032446981&vendorItemId=151990654976001&sourceType=search&rank=8&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
SUBIJEANS 女款常喇叭褲 SP959,$568,https://www.tw.coupang.com/products/SUBIJEANS-%E5%A5%B3%E6%AC%BE%E5%B8%B8%E5%96%87%E5%8F%AD%E8%A4%B2-SP959-21005896849586?itemId=21010385579988&vendorItemId=21077667642287&sourceType=search&rank=9&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
JAL BBA JEAN 女款螺紋喇叭褲,$309,https://www.tw.coupang.com/products/JAL-BBA-JEAN-%E5%A5%B3%E6%AC%BE%E8%9E%BA%E7%B4%8B%E5%96%87%E5%8F%AD%E8%A4%B2-21002104412304?itemId=21003575047495&vendorItemId=21071560879921&sourceType=search&rank=10&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
Deerola 女式微喇喇叭褲 II_P017,$627,https://www.tw.coupang.com/products/Deerola-%E5%A5%B3%E5%BC%8F%E5%BE%AE%E5%96%87%E5%96%87%E5%8F%AD%E8%A4%B2-II_P017-21007136378749?itemId=21017907287259&vendorItemId=21085070008871&sourceType=search&rank=11&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
Vivemo 女款線條喇叭褲,$924,https://www.tw.coupang.com/products/Vivemo-%E5%A5%B3%E6%AC%BE%E7%B7%9A%E6%A2%9D%E5%96%87%E5%8F%AD%E8%A4%B2-21006581304537?itemId=21014811724877&vendorItemId=21082051391423&sourceType=search&rank=12&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
JAL BBA JEAN 女式流蘇半喇叭褲,$331,https://www.tw.coupang.com/products/JAL-BBA-JEAN-%E5%A5%B3%E5%BC%8F%E6%B5%81%E8%98%87%E5%8D%8A%E5%96%87%E5%8F%AD%E8%A4%B2-21007942456772?itemId=21021880676324&vendorItemId=21088928769874&sourceType=search&rank=13&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
LUNAGIRL 女款高腰牛仔喇叭褲,$907,https://www.tw.coupang.com/products/LUNAGIRL-%E5%A5%B3%E6%AC%BE%E9%AB%98%E8%85%B0%E7%89%9B%E4%BB%94%E5%96%87%E5%8F%AD%E8%A4%B2-21006329393190?itemId=21013239716284&vendorItemId=21080497743318&sourceType=search&rank=14&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
LUNAGIRL 女款靴型褲,$700,https://www.tw.coupang.com/products/LUNAGIRL-%E5%A5%B3%E6%AC%BE%E9%9D%B4%E5%9E%8B%E8%A4%B2-21001868685036?itemId=21003176114886&vendorItemId=21071163587724&sourceType=search&rank=15&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
Lina Line 女式運動喇叭褲 CTP 24,$342,https://www.tw.coupang.com/products/Lina-Line-%E5%A5%B3%E5%BC%8F%E9%81%8B%E5%8B%95%E5%96%87%E5%8F%AD%E8%A4%B2-CTP-24-21007382916653?itemId=21019071024618&vendorItemId=21086193653978&sourceType=search&rank=16&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
PAPERMENTS 女款彈力寬鬆喇叭褲,$967,https://www.tw.coupang.com/products/PAPERMENTS-%E5%A5%B3%E6%AC%BE%E5%BD%88%E5%8A%9B%E5%AF%AC%E9%AC%86%E5%96%87%E5%8F%AD%E8%A4%B2-21005262046955?itemId=21007479613450&vendorItemId=21074770478366&sourceType=search&rank=17&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
Awesomearound 女款簡約修身微喇叭褲,$601,https://www.tw.coupang.com/products/Awesomearound-%E5%A5%B3%E6%AC%BE%E7%B0%A1%E7%B4%84%E4%BF%AE%E8%BA%AB%E5%BE%AE%E5%96%87%E5%8F%AD%E8%A4%B2-21006397907884?itemId=21013668897565&vendorItemId=21080920970557&sourceType=search&rank=18&searchId=ff6d44f8113248b3abe4a59ecbd55cee&q=%E5%96%87%E5%8F%AD%E8%A4%B2
