product_name,product_price,product_url
"ZEBRA 斑馬牌 四色+鉛筆芯多功能原子筆 B4SA1, 白色, 1支",$113,https://www.tw.coupang.com/products/ZEBRA-%E6%96%91%E9%A6%AC%E7%89%8C-%E5%9B%9B%E8%89%B2%2B%E9%89%9B%E7%AD%86%E8%8A%AF%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%8E%9F%E5%AD%90%E7%AD%86-B4SA1-247235405135878?itemId=247235405135880&vendorItemId=247234482356225&sourceType=search&rank=&searchId=da8cd0eafded40f9a9cdc0e73db3101e&q=%E5%9B%9B%E6%95%88%E7%AD%86
"Pinkfoot Slim Ball 3色原子筆 0.7mm 2款 各2支組, 白色+黑色, 1組",$178,https://www.tw.coupang.com/products/Pinkfoot-Slim-Ball-3%E8%89%B2%E5%8E%9F%E5%AD%90%E7%AD%86-0.7mm-2%E6%AC%BE-%E5%90%842%E6%94%AF%E7%B5%84-21004568656790?itemId=21005577679394&vendorItemId=21072786177214&sourceType=search&rank=1&searchId=da8cd0eafded40f9a9cdc0e73db3101e&q=%E5%9B%9B%E6%95%88%E7%AD%86
"moong9 Moment 3色原子筆 0.7mm 效果很好, 2個, 玫瑰",$97,https://www.tw.coupang.com/products/moong9-Moment-3%E8%89%B2%E5%8E%9F%E5%AD%90%E7%AD%86-0.7mm-%E6%95%88%E6%9E%9C%E5%BE%88%E5%A5%BD-21007885729077?itemId=21023326867886&vendorItemId=21090358623559&sourceType=search&rank=2&searchId=da8cd0eafded40f9a9cdc0e73db3101e&q=%E5%9B%9B%E6%95%88%E7%AD%86
"Pinkfoot 10色彩芯中性筆組 0.38mm, 象牙白色(筆管), 1組",$288,https://www.tw.coupang.com/products/Pinkfoot-10%E8%89%B2%E5%BD%A9%E8%8A%AF%E4%B8%AD%E6%80%A7%E7%AD%86%E7%B5%84-0.38mm-21006531849282?itemId=21014510592219&vendorItemId=21081753522846&sourceType=search&rank=3&searchId=da8cd0eafded40f9a9cdc0e73db3101e&q=%E5%9B%9B%E6%95%88%E7%AD%86
"雙頭彩色筆, 36色, 1套",$455,https://www.tw.coupang.com/products/%E9%9B%99%E9%A0%AD%E5%BD%A9%E8%89%B2%E7%AD%86-21000177596552?itemId=21000508028935&vendorItemId=21004302656309&sourceType=search&rank=4&searchId=da8cd0eafded40f9a9cdc0e73db3101e&q=%E5%9B%9B%E6%95%88%E7%AD%86
"JAVAPEN 0.4 Nano C 4+1多色原子筆+自動筆, 黑色, 1支",$83,https://www.tw.coupang.com/products/JAVAPEN-0.4-Nano-C-4%2B1%E5%A4%9A%E8%89%B2%E5%8E%9F%E5%AD%90%E7%AD%86%2B%E8%87%AA%E5%8B%95%E7%AD%86-21000005622870?itemId=21000025484371&vendorItemId=21003037682454&sourceType=search&rank=5&searchId=da8cd0eafded40f9a9cdc0e73db3101e&q=%E5%9B%9B%E6%95%88%E7%AD%86
"PARKER 原子筆筆芯0.9~1mm, 1個, 黑色",$207,https://www.tw.coupang.com/products/PARKER-%E5%8E%9F%E5%AD%90%E7%AD%86%E7%AD%86%E8%8A%AF0.9~1mm-21006884016855?itemId=21016505869614&vendorItemId=21088947662683&sourceType=search&rank=6&searchId=da8cd0eafded40f9a9cdc0e73db3101e&q=%E5%9B%9B%E6%95%88%E7%AD%86
"LAMY 緊湊型圓珠筆筆芯 0.8 毫米, 黑色, 1入",$145,https://www.tw.coupang.com/products/LAMY-%E7%B7%8A%E6%B9%8A%E5%9E%8B%E5%9C%93%E7%8F%A0%E7%AD%86%E7%AD%86%E8%8A%AF-0.8-%E6%AF%AB%E7%B1%B3-21001421566871?itemId=21002460150967&vendorItemId=21070453663752&sourceType=search&rank=7&searchId=da8cd0eafded40f9a9cdc0e73db3101e&q=%E5%9B%9B%E6%95%88%E7%AD%86
"JAVAPEN 0.7 Jet4+1 多筆, 亮粉色, 1支",$82,https://www.tw.coupang.com/products/JAVAPEN-0.7-Jet4%2B1-%E5%A4%9A%E7%AD%86-21000005622874?itemId=21000025484376&vendorItemId=21003037682410&sourceType=search&rank=8&searchId=da8cd0eafded40f9a9cdc0e73db3101e&q=%E5%9B%9B%E6%95%88%E7%AD%86
"JETSTREAM PURE MALT 四合一多功能筆 BLACK MSXE5-2005, 黑、紅、藍、綠, 1個",$460,https://www.tw.coupang.com/products/JETSTREAM-PURE-MALT-%E5%9B%9B%E5%90%88%E4%B8%80%E5%A4%9A%E5%8A%9F%E8%83%BD%E7%AD%86-BLACK-MSXE5-2005-21000001547081?itemId=21000006752859&vendorItemId=21003008884773&sourceType=search&rank=9&searchId=da8cd0eafded40f9a9cdc0e73db3101e&q=%E5%9B%9B%E6%95%88%E7%AD%86
