product_name,product_price,product_url
Samsoni 兒童餅乾短袖上下褲套裝,$331,https://www.tw.coupang.com/products/Samsoni-%E5%85%92%E7%AB%A5%E9%A4%85%E4%B9%BE%E7%9F%AD%E8%A2%96%E4%B8%8A%E4%B8%8B%E8%A4%B2%E5%A5%97%E8%A3%9D-21007368901893?itemId=21019003862469&vendorItemId=21086128769017&sourceType=search&rank=&searchId=597fc340a5be4cf4b4f123be2a3cb505&q=%E5%9C%92%E5%88%B6%E6%9C%8D
"Aluppet寵物小雞園制服+帽子套組, 藍色+黃色",$408,https://www.tw.coupang.com/products/Aluppet%E5%AF%B5%E7%89%A9%E5%B0%8F%E9%9B%9E%E5%9C%92%E5%88%B6%E6%9C%8D%2B%E5%B8%BD%E5%AD%90%E5%A5%97%E7%B5%84-21001598118637?itemId=21002730188470&vendorItemId=21070720333432&sourceType=search&rank=1&searchId=597fc340a5be4cf4b4f123be2a3cb505&q=%E5%9C%92%E5%88%B6%E6%9C%8D
仙人掌兒童短袖上衣和下裝套裝,$320,https://www.tw.coupang.com/products/%E4%BB%99%E4%BA%BA%E6%8E%8C%E5%85%92%E7%AB%A5%E7%9F%AD%E8%A2%96%E4%B8%8A%E8%A1%A3%E5%92%8C%E4%B8%8B%E8%A3%9D%E5%A5%97%E8%A3%9D-21007368926501?itemId=21019003980592&vendorItemId=21086128882397&sourceType=search&rank=2&searchId=597fc340a5be4cf4b4f123be2a3cb505&q=%E5%9C%92%E5%88%B6%E6%9C%8D
Samsoni 兒童玫瑰色短袖上下褲套裝,$341,https://www.tw.coupang.com/products/Samsoni-%E5%85%92%E7%AB%A5%E7%8E%AB%E7%91%B0%E8%89%B2%E7%9F%AD%E8%A2%96%E4%B8%8A%E4%B8%8B%E8%A4%B2%E5%A5%97%E8%A3%9D-21007368921644?itemId=21019003957735&vendorItemId=21086128860019&sourceType=search&rank=3&searchId=597fc340a5be4cf4b4f123be2a3cb505&q=%E5%9C%92%E5%88%B6%E6%9C%8D
Samsoni 兒童清新短袖上下褲套裝,$332,https://www.tw.coupang.com/products/Samsoni-%E5%85%92%E7%AB%A5%E6%B8%85%E6%96%B0%E7%9F%AD%E8%A2%96%E4%B8%8A%E4%B8%8B%E8%A4%B2%E5%A5%97%E8%A3%9D-21007368902977?itemId=21019003868613&vendorItemId=21086128775394&sourceType=search&rank=4&searchId=597fc340a5be4cf4b4f123be2a3cb505&q=%E5%9C%92%E5%88%B6%E6%9C%8D
Samsoni 兒童 Yaho 短袖上下褲套裝,$405,https://www.tw.coupang.com/products/Samsoni-%E5%85%92%E7%AB%A5-Yaho-%E7%9F%AD%E8%A2%96%E4%B8%8A%E4%B8%8B%E8%A4%B2%E5%A5%97%E8%A3%9D-21007368916564?itemId=21019003932998&vendorItemId=21086128835347&sourceType=search&rank=5&searchId=597fc340a5be4cf4b4f123be2a3cb505&q=%E5%9C%92%E5%88%B6%E6%9C%8D
Samsoni 兒童款短袖上下褲套裝,$331,https://www.tw.coupang.com/products/Samsoni-%E5%85%92%E7%AB%A5%E6%AC%BE%E7%9F%AD%E8%A2%96%E4%B8%8A%E4%B8%8B%E8%A4%B2%E5%A5%97%E8%A3%9D-21007368288612?itemId=21019000631291&vendorItemId=21086125626322&sourceType=search&rank=6&searchId=597fc340a5be4cf4b4f123be2a3cb505&q=%E5%9C%92%E5%88%B6%E6%9C%8D
Samsoni 兒童 Juicy 短袖上下褲套裝,$344,https://www.tw.coupang.com/products/Samsoni-%E5%85%92%E7%AB%A5-Juicy-%E7%9F%AD%E8%A2%96%E4%B8%8A%E4%B8%8B%E8%A4%B2%E5%A5%97%E8%A3%9D-21007368909965?itemId=21019003899167&vendorItemId=21086128802608&sourceType=search&rank=7&searchId=597fc340a5be4cf4b4f123be2a3cb505&q=%E5%9C%92%E5%88%B6%E6%9C%8D
Samsoni 兒童尖頭短袖上下褲套裝,$332,https://www.tw.coupang.com/products/Samsoni-%E5%85%92%E7%AB%A5%E5%B0%96%E9%A0%AD%E7%9F%AD%E8%A2%96%E4%B8%8A%E4%B8%8B%E8%A4%B2%E5%A5%97%E8%A3%9D-21007368910555?itemId=21019003901196&vendorItemId=21086128804812&sourceType=search&rank=8&searchId=597fc340a5be4cf4b4f123be2a3cb505&q=%E5%9C%92%E5%88%B6%E6%9C%8D
"Forsythia 園制服手和狗寵物女孩, 原色",$466,https://www.tw.coupang.com/products/Forsythia-%E5%9C%92%E5%88%B6%E6%9C%8D%E6%89%8B%E5%92%8C%E7%8B%97%E5%AF%B5%E7%89%A9%E5%A5%B3%E5%AD%A9-21000145295126?itemId=21000457521537&vendorItemId=21004135353704&sourceType=search&rank=9&searchId=597fc340a5be4cf4b4f123be2a3cb505&q=%E5%9C%92%E5%88%B6%E6%9C%8D
