product_name,product_price,product_url
"MAME地磚吸附器JT3475, 2個",$288,https://www.tw.coupang.com/products/MAME%E5%9C%B0%E7%A3%9A%E5%90%B8%E9%99%84%E5%99%A8JT3475-21004798325298?itemId=21006156753023&vendorItemId=21073452966015&sourceType=search&rank=&searchId=f0e5df78139c494cb049051f070fef0d&q=%E5%9C%B0%E7%A3%9A%20%E9%9C%87%E5%8B%95%E5%99%A8
"KM 高強度半圓形地板配線槽 1號, 白色",$56,https://www.tw.coupang.com/products/KM-%E9%AB%98%E5%BC%B7%E5%BA%A6%E5%8D%8A%E5%9C%93%E5%BD%A2%E5%9C%B0%E6%9D%BF%E9%85%8D%E7%B7%9A%E6%A7%BD-1%E8%99%9F-21000169303276?itemId=21000435917310&vendorItemId=21004077106276&sourceType=search&rank=1&searchId=f0e5df78139c494cb049051f070fef0d&q=%E5%9C%B0%E7%A3%9A%20%E9%9C%87%E5%8B%95%E5%99%A8
"I'm Home Living 自我協調haring骨頭馬魯甲板瓷磚, 象牙, 9個",$466,https://www.tw.coupang.com/products/I'm-Home-Living-%E8%87%AA%E6%88%91%E5%8D%94%E8%AA%BFharing%E9%AA%A8%E9%A0%AD%E9%A6%AC%E9%AD%AF%E7%94%B2%E6%9D%BF%E7%93%B7%E7%A3%9A-21006671713454?itemId=21015352163565&vendorItemId=21082572394155&sourceType=search&rank=2&searchId=f0e5df78139c494cb049051f070fef0d&q=%E5%9C%B0%E7%A3%9A%20%E9%9C%87%E5%8B%95%E5%99%A8
"ROSEROSA 大理石紋黏貼式地磚 40*40cm, ECK-303, 10個",$599,https://www.tw.coupang.com/products/ROSEROSA-%E5%A4%A7%E7%90%86%E7%9F%B3%E7%B4%8B%E9%BB%8F%E8%B2%BC%E5%BC%8F%E5%9C%B0%E7%A3%9A-40*40cm-21001294082371?itemId=21002306093579&vendorItemId=21070302963210&sourceType=search&rank=3&searchId=f0e5df78139c494cb049051f070fef0d&q=%E5%9C%B0%E7%A3%9A%20%E9%9C%87%E5%8B%95%E5%99%A8
"KM 高強度半圓形地板配線槽 4號 2入, 白色",$204,https://www.tw.coupang.com/products/KM-%E9%AB%98%E5%BC%B7%E5%BA%A6%E5%8D%8A%E5%9C%93%E5%BD%A2%E5%9C%B0%E6%9D%BF%E9%85%8D%E7%B7%9A%E6%A7%BD-4%E8%99%9F-2%E5%85%A5-21000150973143?itemId=21000435916929&vendorItemId=21004077104635&sourceType=search&rank=4&searchId=f0e5df78139c494cb049051f070fef0d&q=%E5%9C%B0%E7%A3%9A%20%E9%9C%87%E5%8B%95%E5%99%A8
"地坪流利瓷磚線瓷磚灌漿修補劑, 白色, 1組",$225,https://www.tw.coupang.com/products/%E5%9C%B0%E5%9D%AA%E6%B5%81%E5%88%A9%E7%93%B7%E7%A3%9A%E7%B7%9A%E7%93%B7%E7%A3%9A%E7%81%8C%E6%BC%BF%E4%BF%AE%E8%A3%9C%E5%8A%91-21001242024875?itemId=21000000245164&vendorItemId=21003000178314&sourceType=search&rank=5&searchId=f0e5df78139c494cb049051f070fef0d&q=%E5%9C%B0%E7%A3%9A%20%E9%9C%87%E5%8B%95%E5%99%A8
"地板瓷磚塗層劑 100g 白色, 1組",$358,https://www.tw.coupang.com/products/%E5%9C%B0%E6%9D%BF%E7%93%B7%E7%A3%9A%E5%A1%97%E5%B1%A4%E5%8A%91-100g-%E7%99%BD%E8%89%B2-21000055237410?itemId=21000192424663&vendorItemId=21003455581306&sourceType=search&rank=6&searchId=f0e5df78139c494cb049051f070fef0d&q=%E5%9C%B0%E7%A3%9A%20%E9%9C%87%E5%8B%95%E5%99%A8
"Zingabang 地板方形圓形 17 x 13 cm, 1個, 黑色",$154,https://www.tw.coupang.com/products/Zingabang-%E5%9C%B0%E6%9D%BF%E6%96%B9%E5%BD%A2%E5%9C%93%E5%BD%A2-17-x-13-cm-21007727916240?itemId=21020758067182&vendorItemId=21087828290501&sourceType=search&rank=7&searchId=f0e5df78139c494cb049051f070fef0d&q=%E5%9C%B0%E7%A3%9A%20%E9%9C%87%E5%8B%95%E5%99%A8
"Inudeco 陶瓷馬賽克 25mm 5ea, 黑色消光, 5片",$363,https://www.tw.coupang.com/products/Inudeco-%E9%99%B6%E7%93%B7%E9%A6%AC%E8%B3%BD%E5%85%8B-25mm-5ea-21000002336211?itemId=21000010743686&vendorItemId=21003016052242&sourceType=search&rank=8&searchId=f0e5df78139c494cb049051f070fef0d&q=%E5%9C%B0%E7%A3%9A%20%E9%9C%87%E5%8B%95%E5%99%A8
"瓷磚掃地機, 混色, 1個",$274,https://www.tw.coupang.com/products/%E7%93%B7%E7%A3%9A%E6%8E%83%E5%9C%B0%E6%A9%9F-21005816264303?itemId=21010024572553&vendorItemId=21077307530767&sourceType=search&rank=9&searchId=f0e5df78139c494cb049051f070fef0d&q=%E5%9C%B0%E7%A3%9A%20%E9%9C%87%E5%8B%95%E5%99%A8
