product_name,product_price,product_url
"現代風感應式垃圾桶, 霧藍色, 16L, 1個",$321,https://www.tw.coupang.com/products/%E7%8F%BE%E4%BB%A3%E9%A2%A8%E6%84%9F%E6%87%89%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B6-155891991003138?itemId=155892397883397&vendorItemId=155892792131586&sourceType=search&rank=&searchId=f784c12fe4ab4c119cdd4c417a28b29b&q=%E5%9E%83%E5%9C%BE%E7%AD%92
"西格傢飾 現代風感應式垃圾桶, 灰白色",$321,https://www.tw.coupang.com/products/%E8%A5%BF%E6%A0%BC%E5%82%A2%E9%A3%BE-%E7%8F%BE%E4%BB%A3%E9%A2%A8%E6%84%9F%E6%87%89%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B6-155892792131590?itemId=155891991003141&vendorItemId=155892792131588&sourceType=search&rank=1&searchId=f784c12fe4ab4c119cdd4c417a28b29b&q=%E5%9E%83%E5%9C%BE%E7%AD%92
"一鍵式迷你垃圾桶, 粉色, 2個",$164,https://www.tw.coupang.com/products/%E4%B8%80%E9%8D%B5%E5%BC%8F%E8%BF%B7%E4%BD%A0%E5%9E%83%E5%9C%BE%E6%A1%B6-21007041279483?itemId=21003022831893&vendorItemId=21071010975790&sourceType=search&rank=2&searchId=f784c12fe4ab4c119cdd4c417a28b29b&q=%E5%9E%83%E5%9C%BE%E7%AD%92
"Baram Lily 按壓式垃圾桶 20L, 白色",$255,https://www.tw.coupang.com/products/Baram-Lily-%E6%8C%89%E5%A3%93%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B6-20L-158383038513160?itemId=158382614855689&vendorItemId=158382614855680&sourceType=search&rank=3&searchId=f784c12fe4ab4c119cdd4c417a28b29b&q=%E5%9E%83%E5%9C%BE%E7%AD%92
"SHABATH Scandina字樣 圓形開口式垃圾桶, 灰色",$123,https://www.tw.coupang.com/products/SHABATH-Scandina%E5%AD%97%E6%A8%A3-%E5%9C%93%E5%BD%A2%E9%96%8B%E5%8F%A3%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B6-214158322663425?itemId=214156917555200&vendorItemId=214157655785472&sourceType=search&rank=4&searchId=f784c12fe4ab4c119cdd4c417a28b29b&q=%E5%9E%83%E5%9C%BE%E7%AD%92
"GOOD REFILL尿布垃圾袋 16L+20L 10個, 10入",$432,https://www.tw.coupang.com/products/GOOD-REFILL%E5%B0%BF%E5%B8%83%E5%9E%83%E5%9C%BE%E8%A2%8B-16L%2B20L-10%E5%80%8B-21008291759392?itemId=21000485432337&vendorItemId=21070376577848&sourceType=search&rank=5&searchId=f784c12fe4ab4c119cdd4c417a28b29b&q=%E5%9E%83%E5%9C%BE%E7%AD%92
"SHABATH Color Story字樣 圓形開口式垃圾桶, 灰色",$137,https://www.tw.coupang.com/products/SHABATH-Color-Story%E5%AD%97%E6%A8%A3-%E5%9C%93%E5%BD%A2%E9%96%8B%E5%8F%A3%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B6-214156917555201?itemId=214157655785473&vendorItemId=214158322663424&sourceType=search&rank=6&searchId=f784c12fe4ab4c119cdd4c417a28b29b&q=%E5%9E%83%E5%9C%BE%E7%AD%92
"comet 按壓式垃圾桶, 灰色",$292,https://www.tw.coupang.com/products/comet-%E6%8C%89%E5%A3%93%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B6-158383449538571?itemId=158382619050006&vendorItemId=158382619049999&sourceType=search&rank=7&searchId=f784c12fe4ab4c119cdd4c417a28b29b&q=%E5%9E%83%E5%9C%BE%E7%AD%92
"comet 摺疊攜帶式垃圾袋立掛架, 銀色",$137,https://www.tw.coupang.com/products/comet-%E6%91%BA%E7%96%8A%E6%94%9C%E5%B8%B6%E5%BC%8F%E5%9E%83%E5%9C%BE%E8%A2%8B%E7%AB%8B%E6%8E%9B%E6%9E%B6-168956723707904?itemId=168957180870656&vendorItemId=168956241330176&sourceType=search&rank=8&searchId=f784c12fe4ab4c119cdd4c417a28b29b&q=%E5%9E%83%E5%9C%BE%E7%AD%92
"comet Home 彈蓋式垃圾桶 20L, 灰色",$218,https://www.tw.coupang.com/products/comet-Home-%E5%BD%88%E8%93%8B%E5%BC%8F%E5%9E%83%E5%9C%BE%E6%A1%B6-20L-448991867109376?itemId=448991867125761&vendorItemId=448991862947840&sourceType=search&rank=9&searchId=f784c12fe4ab4c119cdd4c417a28b29b&q=%E5%9E%83%E5%9C%BE%E7%AD%92
