product_name,product_price,product_url
"GRANGE 璞草園 樂活多元複方精油, 10ml, 1瓶",$404,https://www.tw.coupang.com/products/GRANGE-%E7%92%9E%E8%8D%89%E5%9C%92-%E6%A8%82%E6%B4%BB%E5%A4%9A%E5%85%83%E8%A4%87%E6%96%B9%E7%B2%BE%E6%B2%B9-149362466340872?itemId=149362827034635&vendorItemId=149362827034628&sourceType=search&rank=&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"同榮 鮪魚, 185g, 6罐",$197,https://www.tw.coupang.com/products/%E5%90%8C%E6%A6%AE-%E9%AE%AA%E9%AD%9A-293975084728329?itemId=293972979171336&vendorItemId=293974090694658&sourceType=search&rank=1&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"GRANGE 璞草園 樂活多元複方精油, 10ml, 2瓶",$904,https://www.tw.coupang.com/products/GRANGE-%E7%92%9E%E8%8D%89%E5%9C%92-%E6%A8%82%E6%B4%BB%E5%A4%9A%E5%85%83%E8%A4%87%E6%96%B9%E7%B2%BE%E6%B2%B9-149362466340872?itemId=417226393845765&vendorItemId=417226393845761&sourceType=search&rank=2&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"GRANGE 璞草園 樂活多元複方精油, 10ml, 3瓶",$916,https://www.tw.coupang.com/products/GRANGE-%E7%92%9E%E8%8D%89%E5%9C%92-%E6%A8%82%E6%B4%BB%E5%A4%9A%E5%85%83%E8%A4%87%E6%96%B9%E7%B2%BE%E6%B2%B9-149362466340872?itemId=319693558595589&vendorItemId=319695966142467&sourceType=search&rank=3&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"GRANGE 璞草園 樂活多元複方精油, 10ml, 6瓶","$2,131",https://www.tw.coupang.com/products/GRANGE-%E7%92%9E%E8%8D%89%E5%9C%92-%E6%A8%82%E6%B4%BB%E5%A4%9A%E5%85%83%E8%A4%87%E6%96%B9%E7%B2%BE%E6%B2%B9-149362466340872?itemId=433141579759632&vendorItemId=433141579743241&sourceType=search&rank=4&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"OLAY 歐蕾 多元修護晚霜 6066, 50g, 1瓶",$250,https://www.tw.coupang.com/products/OLAY-%E6%AD%90%E8%95%BE-%E5%A4%9A%E5%85%83%E4%BF%AE%E8%AD%B7%E6%99%9A%E9%9C%9C-6066-276162282504194?itemId=276163238789123&vendorItemId=276163238789121&sourceType=search&rank=5&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"OLAY 歐蕾 滋潤淡紋優惠組 活膚菁華霜50g*2+多元修護晚霜14g, 1組",$454,https://www.tw.coupang.com/products/OLAY-%E6%AD%90%E8%95%BE-%E6%BB%8B%E6%BD%A4%E6%B7%A1%E7%B4%8B%E5%84%AA%E6%83%A0%E7%B5%84-%E6%B4%BB%E8%86%9A%E8%8F%81%E8%8F%AF%E9%9C%9C50g*2%2B%E5%A4%9A%E5%85%83%E4%BF%AE%E8%AD%B7%E6%99%9A%E9%9C%9C14g-321532542779395?itemId=321532542795779&vendorItemId=321532538601480&sourceType=search&rank=6&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"GRANGE 璞草園 樂活多元複方精油, 10ml, 4瓶","$1,321",https://www.tw.coupang.com/products/GRANGE-%E7%92%9E%E8%8D%89%E5%9C%92-%E6%A8%82%E6%B4%BB%E5%A4%9A%E5%85%83%E8%A4%87%E6%96%B9%E7%B2%BE%E6%B2%B9-149362466340872?itemId=417226393878535&vendorItemId=417226393878533&sourceType=search&rank=7&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"OLAY 歐蕾 多元修護霜 無香料配方, 50g, 1瓶",$272,https://www.tw.coupang.com/products/OLAY-%E6%AD%90%E8%95%BE-%E5%A4%9A%E5%85%83%E4%BF%AE%E8%AD%B7%E9%9C%9C-%E7%84%A1%E9%A6%99%E6%96%99%E9%85%8D%E6%96%B9-164159870173185?itemId=164159438176256&vendorItemId=164159433981952&sourceType=search&rank=8&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"OLAY 歐蕾 多元修護 日晚霜組 日霜50g*3+晚霜14g*4, 1組",$766,https://www.tw.coupang.com/products/OLAY-%E6%AD%90%E8%95%BE-%E5%A4%9A%E5%85%83%E4%BF%AE%E8%AD%B7-%E6%97%A5%E6%99%9A%E9%9C%9C%E7%B5%84-%E6%97%A5%E9%9C%9C50g*3%2B%E6%99%9A%E9%9C%9C14g*4-321532542828552?itemId=321532542812169&vendorItemId=321532542812165&sourceType=search&rank=9&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"GRANGE 璞草園 樂活多元複方精油, 10ml, 5瓶","$1,726",https://www.tw.coupang.com/products/GRANGE-%E7%92%9E%E8%8D%89%E5%9C%92-%E6%A8%82%E6%B4%BB%E5%A4%9A%E5%85%83%E8%A4%87%E6%96%B9%E7%B2%BE%E6%B2%B9-149362466340872?itemId=432805901205519&vendorItemId=432805901205515&sourceType=search&rank=10&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"OLAY 歐蕾 多元修護日霜, 50g, 1瓶",$249,https://www.tw.coupang.com/products/OLAY-%E6%AD%90%E8%95%BE-%E5%A4%9A%E5%85%83%E4%BF%AE%E8%AD%B7%E6%97%A5%E9%9C%9C-157279076712449?itemId=157278674075650&vendorItemId=157278258806784&sourceType=search&rank=11&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"QUAKER 桂格 5+超纖穀飯, 1kg, 2包",$183,https://www.tw.coupang.com/products/QUAKER-%E6%A1%82%E6%A0%BC-5%2B%E8%B6%85%E7%BA%96%E7%A9%80%E9%A3%AF-277627759706120?itemId=277628812509203&vendorItemId=277628812509199&sourceType=search&rank=12&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"QUAKER 桂格 10超纖穀豆飯, 1kg, 2包",$183,https://www.tw.coupang.com/products/QUAKER-%E6%A1%82%E6%A0%BC-10%E8%B6%85%E7%BA%96%E7%A9%80%E8%B1%86%E9%A3%AF-268521653092357?itemId=278678634217473&vendorItemId=278677577220105&sourceType=search&rank=13&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"OLAY 歐蕾 多元修護晚霜 6066, 50g, 2瓶",$501,https://www.tw.coupang.com/products/OLAY-%E6%AD%90%E8%95%BE-%E5%A4%9A%E5%85%83%E4%BF%AE%E8%AD%B7%E6%99%9A%E9%9C%9C-6066-276162282504194?itemId=383157895380993&vendorItemId=383157891186708&sourceType=search&rank=14&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"紅布朗 黃金亞麻籽粉, 350g, 1罐",$178,https://www.tw.coupang.com/products/%E7%B4%85%E5%B8%83%E6%9C%97-%E9%BB%83%E9%87%91%E4%BA%9E%E9%BA%BB%E7%B1%BD%E7%B2%89-153703814250508?itemId=153704195915794&vendorItemId=153704195915778&sourceType=search&rank=15&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"QUAKER 桂格 繽紛麥穀脆 草莓櫻桃, 300g, 1包",$104,https://www.tw.coupang.com/products/QUAKER-%E6%A1%82%E6%A0%BC-%E7%B9%BD%E7%B4%9B%E9%BA%A5%E7%A9%80%E8%84%86-%E8%8D%89%E8%8E%93%E6%AB%BB%E6%A1%83-270392899895299?itemId=270392899895300&vendorItemId=270392899895296&sourceType=search&rank=16&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"OLAY 歐蕾 多元修護日霜, 50g, 2瓶",$498,https://www.tw.coupang.com/products/OLAY-%E6%AD%90%E8%95%BE-%E5%A4%9A%E5%85%83%E4%BF%AE%E8%AD%B7%E6%97%A5%E9%9C%9C-157279076712449?itemId=358970795458562&vendorItemId=358970795458560&sourceType=search&rank=17&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"QUAKER 桂格 5+超纖穀飯, 1kg, 1包",$94,https://www.tw.coupang.com/products/QUAKER-%E6%A1%82%E6%A0%BC-5%2B%E8%B6%85%E7%BA%96%E7%A9%80%E9%A3%AF-277627759706120?itemId=268521653092359&vendorItemId=268521653092354&sourceType=search&rank=18&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
"得意的一天 寶寶肉鬆 香蔬 1歲以上, 200g, 1罐",$136,https://www.tw.coupang.com/products/%E5%BE%97%E6%84%8F%E7%9A%84%E4%B8%80%E5%A4%A9-%E5%AF%B6%E5%AF%B6%E8%82%89%E9%AC%86-%E9%A6%99%E8%94%AC-1%E6%AD%B2%E4%BB%A5%E4%B8%8A-268530977062917?itemId=268531908182022&vendorItemId=268529932648451&sourceType=search&rank=19&searchId=ae3200d2f6bf4f37a4a980dabbc9198b&q=%E5%A4%9A%E5%85%83
