product_name,product_price,product_url
"華元 波的多洋芋片 蚵仔煎口味, 34g, 3包",$33,https://www.tw.coupang.com/products/%E8%8F%AF%E5%85%83-%E6%B3%A2%E7%9A%84%E5%A4%9A%E6%B4%8B%E8%8A%8B%E7%89%87-%E8%9A%B5%E4%BB%94%E7%85%8E%E5%8F%A3%E5%91%B3-169709253115908?itemId=384231926611976&vendorItemId=384231926595589&sourceType=search&rank=&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"華元 波的多洋芋片, 213g, 2包",$121,https://www.tw.coupang.com/products/%E8%8F%AF%E5%85%83-%E6%B3%A2%E7%9A%84%E5%A4%9A%E6%B4%8B%E8%8A%8B%E7%89%87-293922291007492?itemId=396914008719368&vendorItemId=396914008735752&sourceType=search&rank=1&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"華元 波的多 香辣蚵仔煎, 34g, 3包",$37,https://www.tw.coupang.com/products/%E8%8F%AF%E5%85%83-%E6%B3%A2%E7%9A%84%E5%A4%9A-%E9%A6%99%E8%BE%A3%E8%9A%B5%E4%BB%94%E7%85%8E-169710234599427?itemId=384231427473421&vendorItemId=384231427489801&sourceType=search&rank=2&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"SiLverLit 銀輝 波力 LED變形波力手提基地, 1個",$611,https://www.tw.coupang.com/products/SiLverLit-%E9%8A%80%E8%BC%9D-%E6%B3%A2%E5%8A%9B-LED%E8%AE%8A%E5%BD%A2%E6%B3%A2%E5%8A%9B%E6%89%8B%E6%8F%90%E5%9F%BA%E5%9C%B0-204472328339462?itemId=204473016238085&vendorItemId=204473016238081&sourceType=search&rank=3&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"華元 波的多 洋芋片 鹹蛋黃風味, 34g, 10包",$112,https://www.tw.coupang.com/products/%E8%8F%AF%E5%85%83-%E6%B3%A2%E7%9A%84%E5%A4%9A-%E6%B4%8B%E8%8A%8B%E7%89%87-%E9%B9%B9%E8%9B%8B%E9%BB%83%E9%A2%A8%E5%91%B3-169709827768322?itemId=169710289125378&vendorItemId=169709827768320&sourceType=search&rank=4&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"Doritos 多力多滋 玉米片 爆蒜鮮蝦, 48g, 12包",$151,https://www.tw.coupang.com/products/Doritos-%E5%A4%9A%E5%8A%9B%E5%A4%9A%E6%BB%8B-%E7%8E%89%E7%B1%B3%E7%89%87-%E7%88%86%E8%92%9C%E9%AE%AE%E8%9D%A6-256307034570768?itemId=256307906969614&vendorItemId=256307034570766&sourceType=search&rank=5&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"ROI TOYS POLI 波力 合金車, 赫利, 1個",$153,https://www.tw.coupang.com/products/ROI-TOYS-POLI-%E6%B3%A2%E5%8A%9B-%E5%90%88%E9%87%91%E8%BB%8A-247574216802311?itemId=247572463566857&vendorItemId=247573390540802&sourceType=search&rank=6&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"Doritos 多力多滋 玉米片 蒜味牛菲力, 40g, 12包",$151,https://www.tw.coupang.com/products/Doritos-%E5%A4%9A%E5%8A%9B%E5%A4%9A%E6%BB%8B-%E7%8E%89%E7%B1%B3%E7%89%87-%E8%92%9C%E5%91%B3%E7%89%9B%E8%8F%B2%E5%8A%9B-283756749373448?itemId=283757714046997&vendorItemId=283757714046992&sourceType=search&rank=7&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"YODA 優的寶貝 救援小英雄波力收納箱, POLI, 1個",$428,https://www.tw.coupang.com/products/YODA-%E5%84%AA%E7%9A%84%E5%AF%B6%E8%B2%9D-%E6%95%91%E6%8F%B4%E5%B0%8F%E8%8B%B1%E9%9B%84%E6%B3%A2%E5%8A%9B%E6%94%B6%E7%B4%8D%E7%AE%B1-159843599990805?itemId=159843599990806&vendorItemId=159844443062289&sourceType=search&rank=8&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"華元 波的多 好大包 4包入, 136g, 3袋",$151,https://www.tw.coupang.com/products/%E8%8F%AF%E5%85%83-%E6%B3%A2%E7%9A%84%E5%A4%9A-%E5%A5%BD%E5%A4%A7%E5%8C%85-4%E5%8C%85%E5%85%A5-279082818322434?itemId=279083778801675&vendorItemId=279082818322432&sourceType=search&rank=9&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"華元 波的多 洋芋片 焗烤起司, 34g, 10包",$91,https://www.tw.coupang.com/products/%E8%8F%AF%E5%85%83-%E6%B3%A2%E7%9A%84%E5%A4%9A-%E6%B4%8B%E8%8A%8B%E7%89%87-%E7%84%97%E7%83%A4%E8%B5%B7%E5%8F%B8-268593002414082?itemId=268592067100676&vendorItemId=263190868869121&sourceType=search&rank=10&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"SANLUX 台灣三洋 微波爐 23L 12.5kg, EM-23MTA","$1,921",https://www.tw.coupang.com/products/SANLUX-%E5%8F%B0%E7%81%A3%E4%B8%89%E6%B4%8B-%E5%BE%AE%E6%B3%A2%E7%88%90-23L-12.5kg-450911809798148?itemId=450911809765378&vendorItemId=450911809798146&sourceType=search&rank=11&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"ROI TOYS Robocar Poli 波力救援小英雄 合金車系列 36個月以上, 波力款, 1個",$147,https://www.tw.coupang.com/products/ROI-TOYS-Robocar-Poli-%E6%B3%A2%E5%8A%9B%E6%95%91%E6%8F%B4%E5%B0%8F%E8%8B%B1%E9%9B%84-%E5%90%88%E9%87%91%E8%BB%8A%E7%B3%BB%E5%88%97-36%E5%80%8B%E6%9C%88%E4%BB%A5%E4%B8%8A-204472999460874?itemId=204472311562250&vendorItemId=204472311562240&sourceType=search&rank=12&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"SaNNeNg 三能 8吋波浪型打蛋器 259mm, SN4915, 1支",$144,https://www.tw.coupang.com/products/SaNNeNg-%E4%B8%89%E8%83%BD-8%E5%90%8B%E6%B3%A2%E6%B5%AA%E5%9E%8B%E6%89%93%E8%9B%8B%E5%99%A8-259mm-452698985922561?itemId=452698985955331&vendorItemId=452698985922560&sourceType=search&rank=13&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"ROI TOYS POLI 波力合金車系列, Mark, 1個",$184,https://www.tw.coupang.com/products/ROI-TOYS-POLI-%E6%B3%A2%E5%8A%9B%E5%90%88%E9%87%91%E8%BB%8A%E7%B3%BB%E5%88%97-21006403164626?itemId=21013836778294&vendorItemId=21081086932541&sourceType=search&rank=14&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"Doritos 多力多滋 起司口味玉米片, 84g, 3包",$89,https://www.tw.coupang.com/products/Doritos-%E5%A4%9A%E5%8A%9B%E5%A4%9A%E6%BB%8B-%E8%B5%B7%E5%8F%B8%E5%8F%A3%E5%91%B3%E7%8E%89%E7%B1%B3%E7%89%87-21005463613697?itemId=21018146471114&vendorItemId=21085296816892&sourceType=search&rank=15&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"哈利波特魔法棒, 黑色款",$255,https://www.tw.coupang.com/products/%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9%E9%AD%94%E6%B3%95%E6%A3%92-21000304164894?itemId=21000957210749&vendorItemId=21005375327694&sourceType=search&rank=16&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"Doritos 多力多滋 迷你脆, 辣味, 54g, 12包",$184,https://www.tw.coupang.com/products/Doritos-%E5%A4%9A%E5%8A%9B%E5%A4%9A%E6%BB%8B-%E8%BF%B7%E4%BD%A0%E8%84%86-256307080708120?itemId=256307953106944&vendorItemId=256306103402514&sourceType=search&rank=17&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"Gentoy家電微波玩具QF26134, 混色",$414,https://www.tw.coupang.com/products/Gentoy%E5%AE%B6%E9%9B%BB%E5%BE%AE%E6%B3%A2%E7%8E%A9%E5%85%B7QF26134-21005525413363?itemId=21008654868618&vendorItemId=21075942063564&sourceType=search&rank=18&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"Brandb 多功能樂器組, 混色","$1,192",https://www.tw.coupang.com/products/Brandb-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%A8%82%E5%99%A8%E7%B5%84-21000001188729?itemId=21000005140487&vendorItemId=21003000189215&sourceType=search&rank=19&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"哈利波特收藏魔杖 + 盒子 + 照片赫敏角色扮演派對用品, 混色, 1套",$320,https://www.tw.coupang.com/products/%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9%E6%94%B6%E8%97%8F%E9%AD%94%E6%9D%96-%2B-%E7%9B%92%E5%AD%90-%2B-%E7%85%A7%E7%89%87%E8%B5%AB%E6%95%8F%E8%A7%92%E8%89%B2%E6%89%AE%E6%BC%94%E6%B4%BE%E5%B0%8D%E7%94%A8%E5%93%81-21005313999703?itemId=21007708027205&vendorItemId=21074998265892&sourceType=search&rank=20&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
Liam 多用途彈坑盒 X03 Type 1,$331,https://www.tw.coupang.com/products/Liam-%E5%A4%9A%E7%94%A8%E9%80%94%E5%BD%88%E5%9D%91%E7%9B%92-X03-Type-1-21006893465183?itemId=21016555982353&vendorItemId=21083742357241&sourceType=search&rank=21&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"Qposket 哈利波特系列人物哈利波特 Fred Wesley 隨機出貨, 1個",$354,https://www.tw.coupang.com/products/Qposket-%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9%E7%B3%BB%E5%88%97%E4%BA%BA%E7%89%A9%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9-Fred-Wesley-%E9%9A%A8%E6%A9%9F%E5%87%BA%E8%B2%A8-21001459999782?itemId=21002512102794&vendorItemId=21070505136254&sourceType=search&rank=22&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
Liam 多用途彈坑盒 X02 Type 1,$573,https://www.tw.coupang.com/products/Liam-%E5%A4%9A%E7%94%A8%E9%80%94%E5%BD%88%E5%9D%91%E7%9B%92-X02-Type-1-21006893465137?itemId=21016555981959&vendorItemId=21083742357010&sourceType=search&rank=23&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
SPIEGELAU Vinobino 波爾多 + 電動開酒器,"$1,650",https://www.tw.coupang.com/products/SPIEGELAU-Vinobino-%E6%B3%A2%E7%88%BE%E5%A4%9A-%2B-%E9%9B%BB%E5%8B%95%E9%96%8B%E9%85%92%E5%99%A8-21000000143077?itemId=21000000261885&vendorItemId=21003000194444&sourceType=search&rank=24&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"Mihwabujang 哈利·波特系列密封郵票頭, 1個, 13 HL赫奇帕奇",$216,https://www.tw.coupang.com/products/Mihwabujang-%E5%93%88%E5%88%A9%C2%B7%E6%B3%A2%E7%89%B9%E7%B3%BB%E5%88%97%E5%AF%86%E5%B0%81%E9%83%B5%E7%A5%A8%E9%A0%AD-21006538656617?itemId=21014548533840&vendorItemId=21081790898765&sourceType=search&rank=25&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"陶氏 F&G 波士頓人造茄子, 2個, 混合顏色",$364,https://www.tw.coupang.com/products/%E9%99%B6%E6%B0%8F-F%26G-%E6%B3%A2%E5%A3%AB%E9%A0%93%E4%BA%BA%E9%80%A0%E8%8C%84%E5%AD%90-21001662912263?itemId=21002833333929&vendorItemId=21070822750595&sourceType=search&rank=26&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"ROBOCAR POLI 波力變形豪華基地玩具, 混色",$849,https://www.tw.coupang.com/products/ROBOCAR-POLI-%E6%B3%A2%E5%8A%9B%E8%AE%8A%E5%BD%A2%E8%B1%AA%E8%8F%AF%E5%9F%BA%E5%9C%B0%E7%8E%A9%E5%85%B7-21007312668686?itemId=21018737527709&vendorItemId=21089011934194&sourceType=search&rank=27&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"homelead 超聲波器 白色, HL301W",$696,https://www.tw.coupang.com/products/homelead-%E8%B6%85%E8%81%B2%E6%B3%A2%E5%99%A8-%E7%99%BD%E8%89%B2-21001421450356?itemId=21002459967941&vendorItemId=21070453480189&sourceType=search&rank=28&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"Doritos 多力多滋 玉米片分享包 黃金起司, 156g, 2包",$65,https://www.tw.coupang.com/products/Doritos-%E5%A4%9A%E5%8A%9B%E5%A4%9A%E6%BB%8B-%E7%8E%89%E7%B1%B3%E7%89%87%E5%88%86%E4%BA%AB%E5%8C%85-%E9%BB%83%E9%87%91%E8%B5%B7%E5%8F%B8-207704891015222?itemId=384606100471814&vendorItemId=384606100455426&sourceType=search&rank=29&searchId=6f16ebd8d0854d5a82b2aa9066be0a92&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"哈利波特無限盒子玩具 19136, 1個","$3,720",https://www.tw.coupang.com/products/%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9%E7%84%A1%E9%99%90%E7%9B%92%E5%AD%90%E7%8E%A9%E5%85%B7-19136-21002269767622?itemId=21003892257637&vendorItemId=21071876876239&sourceType=search&rank=&searchId=c93ba8cc30f348a8a0630e2037b043e8&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
Liam 多用途彈坑盒 X05 Type 1,$484,https://www.tw.coupang.com/products/Liam-%E5%A4%9A%E7%94%A8%E9%80%94%E5%BD%88%E5%9D%91%E7%9B%92-X05-Type-1-21006893465185?itemId=21016555982359&vendorItemId=21083742357242&sourceType=search&rank=1&searchId=c93ba8cc30f348a8a0630e2037b043e8&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
PARANGNAMU 波點,$310,https://www.tw.coupang.com/products/PARANGNAMU-%E6%B3%A2%E9%BB%9E-21000001516934?itemId=21000006613966&vendorItemId=21003008642348&sourceType=search&rank=2&searchId=c93ba8cc30f348a8a0630e2037b043e8&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
Liam 多用途彈坑盒 X02 Type 2,$561,https://www.tw.coupang.com/products/Liam-%E5%A4%9A%E7%94%A8%E9%80%94%E5%BD%88%E5%9D%91%E7%9B%92-X02-Type-2-21006893465034?itemId=21016555981162&vendorItemId=21083742356451&sourceType=search&rank=3&searchId=c93ba8cc30f348a8a0630e2037b043e8&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"ONE&ONE 波力加油站玩具, 混色",$687,https://www.tw.coupang.com/products/ONE%26ONE-%E6%B3%A2%E5%8A%9B%E5%8A%A0%E6%B2%B9%E7%AB%99%E7%8E%A9%E5%85%B7-21006718406651?itemId=21015619652590&vendorItemId=21082837392956&sourceType=search&rank=4&searchId=c93ba8cc30f348a8a0630e2037b043e8&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"amante 雷米棉質微波爐蓋, 雷米",$281,https://www.tw.coupang.com/products/amante-%E9%9B%B7%E7%B1%B3%E6%A3%89%E8%B3%AA%E5%BE%AE%E6%B3%A2%E7%88%90%E8%93%8B-21006516532724?itemId=21014418012694&vendorItemId=21089118296327&sourceType=search&rank=5&searchId=c93ba8cc30f348a8a0630e2037b043e8&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
Liam 多用途彈坑盒 X01 類型 4,$232,https://www.tw.coupang.com/products/Liam-%E5%A4%9A%E7%94%A8%E9%80%94%E5%BD%88%E5%9D%91%E7%9B%92-X01-%E9%A1%9E%E5%9E%8B-4-21006893465142?itemId=21016555981972&vendorItemId=21083742357014&sourceType=search&rank=6&searchId=c93ba8cc30f348a8a0630e2037b043e8&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"多轉鎖排列箱M, 1個",$421,https://www.tw.coupang.com/products/%E5%A4%9A%E8%BD%89%E9%8E%96%E6%8E%92%E5%88%97%E7%AE%B1M-21004975740535?itemId=21006614956783&vendorItemId=21073908853762&sourceType=search&rank=7&searchId=c93ba8cc30f348a8a0630e2037b043e8&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
"多轉鎖排列箱 L, 1個",$620,https://www.tw.coupang.com/products/%E5%A4%9A%E8%BD%89%E9%8E%96%E6%8E%92%E5%88%97%E7%AE%B1-L-21004975740636?itemId=21006614956924&vendorItemId=21073908853886&sourceType=search&rank=8&searchId=c93ba8cc30f348a8a0630e2037b043e8&q=%E5%A4%9A%E6%B3%A2%E5%9E%8B
