product_name,product_price,product_url
"Lazenda 可移動透明植物架 330 4 輪, 混合顏色",$409,https://www.tw.coupang.com/products/Lazenda-%E5%8F%AF%E7%A7%BB%E5%8B%95%E9%80%8F%E6%98%8E%E6%A4%8D%E7%89%A9%E6%9E%B6-330-4-%E8%BC%AA-21007186751470?itemId=21018136325205&vendorItemId=21085286908586&sourceType=search&rank=&searchId=4bfe505f748d4c1eace834b9e0f411c3&q=%E5%A4%A7%E6%8E%A8%E5%8A%9B
"IDOOGEN A多用途 Acart S30 + 頂部, 黑色, 1組",$408,https://www.tw.coupang.com/products/IDOOGEN-A%E5%A4%9A%E7%94%A8%E9%80%94-Acart-S30-%2B-%E9%A0%82%E9%83%A8-21001487282782?itemId=21002553729520&vendorItemId=21070546274853&sourceType=search&rank=1&searchId=4bfe505f748d4c1eace834b9e0f411c3&q=%E5%A4%A7%E6%8E%A8%E5%8A%9B
"展位市場整理多功能雙層貨架兩層輪子, 1個, 白+灰",$972,https://www.tw.coupang.com/products/%E5%B1%95%E4%BD%8D%E5%B8%82%E5%A0%B4%E6%95%B4%E7%90%86%E5%A4%9A%E5%8A%9F%E8%83%BD%E9%9B%99%E5%B1%A4%E8%B2%A8%E6%9E%B6%E5%85%A9%E5%B1%A4%E8%BC%AA%E5%AD%90-21006235560591?itemId=21012555767584&vendorItemId=21079824074921&sourceType=search&rank=2&searchId=4bfe505f748d4c1eace834b9e0f411c3&q=%E5%A4%A7%E6%8E%A8%E5%8A%9B
"Lazenda 可移動透明植物架 300 3 輪, 混合顏色",$390,https://www.tw.coupang.com/products/Lazenda-%E5%8F%AF%E7%A7%BB%E5%8B%95%E9%80%8F%E6%98%8E%E6%A4%8D%E7%89%A9%E6%9E%B6-300-3-%E8%BC%AA-21007186751206?itemId=21018136324413&vendorItemId=21085286907630&sourceType=search&rank=3&searchId=4bfe505f748d4c1eace834b9e0f411c3&q=%E5%A4%A7%E6%8E%A8%E5%8A%9B
"Lazenda 可移動透明植物架 350 4 輪, 混合顏色",$418,https://www.tw.coupang.com/products/Lazenda-%E5%8F%AF%E7%A7%BB%E5%8B%95%E9%80%8F%E6%98%8E%E6%A4%8D%E7%89%A9%E6%9E%B6-350-4-%E8%BC%AA-21007186752747?itemId=21018136329353&vendorItemId=21085286912937&sourceType=search&rank=4&searchId=4bfe505f748d4c1eace834b9e0f411c3&q=%E5%A4%A7%E6%8E%A8%E5%8A%9B
"Lazenda 可移動透明花盆架 5 輪, 單一顏色","$1,440",https://www.tw.coupang.com/products/Lazenda-%E5%8F%AF%E7%A7%BB%E5%8B%95%E9%80%8F%E6%98%8E%E8%8A%B1%E7%9B%86%E6%9E%B6-5-%E8%BC%AA-21007194546493?itemId=21018172142504&vendorItemId=21085321473301&sourceType=search&rank=5&searchId=4bfe505f748d4c1eace834b9e0f411c3&q=%E5%A4%A7%E6%8E%A8%E5%8A%9B
"KORACK 可移動大輪架 2 層 390 x 900 x 750 cm, 銀","$2,806",https://www.tw.coupang.com/products/KORACK-%E5%8F%AF%E7%A7%BB%E5%8B%95%E5%A4%A7%E8%BC%AA%E6%9E%B6-2-%E5%B1%A4-390-x-900-x-750-cm-21000127855956?itemId=21000376665350&vendorItemId=21003912585775&sourceType=search&rank=6&searchId=4bfe505f748d4c1eace834b9e0f411c3&q=%E5%A4%A7%E6%8E%A8%E5%8A%9B
"大和 Jupiter 旋轉漁線輪 22 7BS, LT2500-XH, 銀色 金色","$1,464",https://www.tw.coupang.com/products/%E5%A4%A7%E5%92%8C-Jupiter-%E6%97%8B%E8%BD%89%E6%BC%81%E7%B7%9A%E8%BC%AA-22-7BS-21007340682353?itemId=21018866246719&vendorItemId=21085995112461&sourceType=search&rank=7&searchId=4bfe505f748d4c1eace834b9e0f411c3&q=%E5%A4%A7%E6%8E%A8%E5%8A%9B
"Korak 韓國移動小輪架 390 x 1200 x 450 厘米 2 步, 銀","$1,801",https://www.tw.coupang.com/products/Korak-%E9%9F%93%E5%9C%8B%E7%A7%BB%E5%8B%95%E5%B0%8F%E8%BC%AA%E6%9E%B6-390-x-1200-x-450-%E5%8E%98%E7%B1%B3-2-%E6%AD%A5-21000130945360?itemId=21000385413670&vendorItemId=21003936764628&sourceType=search&rank=8&searchId=4bfe505f748d4c1eace834b9e0f411c3&q=%E5%A4%A7%E6%8E%A8%E5%8A%9B
"KORACK 層可移動大輪式擱板 350 x 900 x 750 cm, 銀","$2,741",https://www.tw.coupang.com/products/KORACK-%E5%B1%A4%E5%8F%AF%E7%A7%BB%E5%8B%95%E5%A4%A7%E8%BC%AA%E5%BC%8F%E6%93%B1%E6%9D%BF-350-x-900-x-750-cm-21000127856096?itemId=21000376665627&vendorItemId=21003912586403&sourceType=search&rank=9&searchId=4bfe505f748d4c1eace834b9e0f411c3&q=%E5%A4%A7%E6%8E%A8%E5%8A%9B
