product_name,product_price,product_url
"雙耳琺瑯造型隔熱泡麵碗 850ml, 顏色隨機, 2個",$105,https://www.tw.coupang.com/products/%E9%9B%99%E8%80%B3%E7%90%BA%E7%91%AF%E9%80%A0%E5%9E%8B%E9%9A%94%E7%86%B1%E6%B3%A1%E9%BA%B5%E7%A2%97-850ml-167174966558727?itemId=349399003643910&vendorItemId=349399003660289&sourceType=search&rank=&searchId=6bb5e377fa5641b0a6faea37c11c8869&q=%E5%A4%A9%E4%BA%95%E7%A2%97
"吐司先生髮廊印花不鏽鋼雙耳泡麵碗 PO097, 橘色, 1入",$269,https://www.tw.coupang.com/products/%E5%90%90%E5%8F%B8%E5%85%88%E7%94%9F%E9%AB%AE%E5%BB%8A%E5%8D%B0%E8%8A%B1%E4%B8%8D%E9%8F%BD%E9%8B%BC%E9%9B%99%E8%80%B3%E6%B3%A1%E9%BA%B5%E7%A2%97-PO097-21005897930239?itemId=21010390470815&vendorItemId=21077672490637&sourceType=search&rank=1&searchId=6bb5e377fa5641b0a6faea37c11c8869&q=%E5%A4%A9%E4%BA%95%E7%A2%97
"Green Bell 綠貝 綠貝Yum! 316不銹鋼隔熱碗 18.8 x 9.5cm (直徑15.7cm) 1.2L, 紫色, 1個",$125,https://www.tw.coupang.com/products/Green-Bell-%E7%B6%A0%E8%B2%9D-%E7%B6%A0%E8%B2%9DYum!-316%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%9A%94%E7%86%B1%E7%A2%97-18.8-x-9.5cm-(%E7%9B%B4%E5%BE%9115.7cm)-1.2L-450862723825671?itemId=450862723842057&vendorItemId=450862723874826&sourceType=search&rank=2&searchId=6bb5e377fa5641b0a6faea37c11c8869&q=%E5%A4%A9%E4%BA%95%E7%A2%97
"橘之屋 304不鏽鋼提把蒸盤 深, 22*7.2cm, 1個",$133,https://www.tw.coupang.com/products/%E6%A9%98%E4%B9%8B%E5%B1%8B-304%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%8F%90%E6%8A%8A%E8%92%B8%E7%9B%A4-%E6%B7%B1-156241338810371?itemId=156241737252868&vendorItemId=156241737252864&sourceType=search&rank=3&searchId=6bb5e377fa5641b0a6faea37c11c8869&q=%E5%A4%A9%E4%BA%95%E7%A2%97
"Green Bell 綠貝 304不鏽鋼晶緻隔熱碗 17.5cm 17.5 x 8.5cm 240g 970ml, 單一顏色, 1個",$83,https://www.tw.coupang.com/products/Green-Bell-%E7%B6%A0%E8%B2%9D-304%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%99%B6%E7%B7%BB%E9%9A%94%E7%86%B1%E7%A2%97-17.5cm-17.5-x-8.5cm-240g-970ml-450847687278593?itemId=450847687278594&vendorItemId=450847683051527&sourceType=search&rank=4&searchId=6bb5e377fa5641b0a6faea37c11c8869&q=%E5%A4%A9%E4%BA%95%E7%A2%97
"PAULUS 黃銅色米酒碗 1L 2人用, 混色, 1組",$403,https://www.tw.coupang.com/products/PAULUS-%E9%BB%83%E9%8A%85%E8%89%B2%E7%B1%B3%E9%85%92%E7%A2%97-1L-2%E4%BA%BA%E7%94%A8-21001858696245?itemId=21003159494890&vendorItemId=21071147052522&sourceType=search&rank=5&searchId=6bb5e377fa5641b0a6faea37c11c8869&q=%E5%A4%A9%E4%BA%95%E7%A2%97
"ZEBRA THAILAND 304不銹鋼彩色隔熱麵碗 附蓋 15cm 1000cc, 粉紅色, 1組",$182,https://www.tw.coupang.com/products/ZEBRA-THAILAND-304%E4%B8%8D%E9%8A%B9%E9%8B%BC%E5%BD%A9%E8%89%B2%E9%9A%94%E7%86%B1%E9%BA%B5%E7%A2%97-%E9%99%84%E8%93%8B-15cm-1000cc-237347010494466?itemId=237346997911560&vendorItemId=237346125463553&sourceType=search&rank=6&searchId=6bb5e377fa5641b0a6faea37c11c8869&q=%E5%A4%A9%E4%BA%95%E7%A2%97
"Green Bell 綠貝 綠貝Yum! 316不銹鋼隔熱碗 18.8 x 9.5cm (直徑15.7cm) 1.2L, 灰色, 1個",$125,https://www.tw.coupang.com/products/Green-Bell-%E7%B6%A0%E8%B2%9D-%E7%B6%A0%E8%B2%9DYum!-316%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%9A%94%E7%86%B1%E7%A2%97-18.8-x-9.5cm-(%E7%9B%B4%E5%BE%9115.7cm)-1.2L-450862723825671?itemId=450862723825672&vendorItemId=450862723858438&sourceType=search&rank=7&searchId=6bb5e377fa5641b0a6faea37c11c8869&q=%E5%A4%A9%E4%BA%95%E7%A2%97
"PAULUS 黃銅色米酒碗, 黃色, 1組",$236,https://www.tw.coupang.com/products/PAULUS-%E9%BB%83%E9%8A%85%E8%89%B2%E7%B1%B3%E9%85%92%E7%A2%97-21005918183005?itemId=21010482400955&vendorItemId=21077764144394&sourceType=search&rank=8&searchId=6bb5e377fa5641b0a6faea37c11c8869&q=%E5%A4%A9%E4%BA%95%E7%A2%97
"Green Bell 綠貝 綠貝兒童抗菌不鏽鋼碗組, 粉色, 碗 375ml + 湯匙 + 蓋子, 1組",$115,https://www.tw.coupang.com/products/Green-Bell-%E7%B6%A0%E8%B2%9D-%E7%B6%A0%E8%B2%9D%E5%85%92%E7%AB%A5%E6%8A%97%E8%8F%8C%E4%B8%8D%E9%8F%BD%E9%8B%BC%E7%A2%97%E7%B5%84-450816611696642?itemId=450816611647493&vendorItemId=450816611663873&sourceType=search&rank=9&searchId=6bb5e377fa5641b0a6faea37c11c8869&q=%E5%A4%A9%E4%BA%95%E7%A2%97
