product_name,product_price,product_url
"驅塵氏 雙軌密封夾鏈袋, M 19*20.5cm, 29入, 3盒",$84,https://www.tw.coupang.com/products/%E9%A9%85%E5%A1%B5%E6%B0%8F-%E9%9B%99%E8%BB%8C%E5%AF%86%E5%B0%81%E5%A4%BE%E9%8F%88%E8%A2%8B-171872704512002?itemId=410024216084490&vendorItemId=410024216035338&sourceType=search&rank=&searchId=9fa3e27deeae4391963c70d7167f257d&q=%E5%A4%BE%E9%8F%88
"GIBONE 直立滑扣夾鏈保鮮袋4件組 花朵款, 1組",$249,https://www.tw.coupang.com/products/GIBONE-%E7%9B%B4%E7%AB%8B%E6%BB%91%E6%89%A3%E5%A4%BE%E9%8F%88%E4%BF%9D%E9%AE%AE%E8%A2%8B4%E4%BB%B6%E7%B5%84-%E8%8A%B1%E6%9C%B5%E6%AC%BE-169689988710400?itemId=169690450067456&vendorItemId=169689502138368&sourceType=search&rank=1&searchId=9fa3e27deeae4391963c70d7167f257d&q=%E5%A4%BE%E9%8F%88
"楓康 滑軌式夾鏈密封袋 20.5*18.5cm, 中, 14入, 3盒",$73,https://www.tw.coupang.com/products/%E6%A5%93%E5%BA%B7-%E6%BB%91%E8%BB%8C%E5%BC%8F%E5%A4%BE%E9%8F%88%E5%AF%86%E5%B0%81%E8%A2%8B-20.5*18.5cm-277696219152395?itemId=277696219152396&vendorItemId=277694205870086&sourceType=search&rank=2&searchId=9fa3e27deeae4391963c70d7167f257d&q=%E5%A4%BE%E9%8F%88
"楓康 滑軌式夾鏈密封袋, 特大, 3盒",$82,https://www.tw.coupang.com/products/%E6%A5%93%E5%BA%B7-%E6%BB%91%E8%BB%8C%E5%BC%8F%E5%A4%BE%E9%8F%88%E5%AF%86%E5%B0%81%E8%A2%8B-277696219152391?itemId=277695258673159&vendorItemId=277694205870084&sourceType=search&rank=3&searchId=9fa3e27deeae4391963c70d7167f257d&q=%E5%A4%BE%E9%8F%88
"Ziploc 密保諾 密實袋, 中型 17.7*18.8cm, 100個, 1盒",$83,https://www.tw.coupang.com/products/Ziploc-%E5%AF%86%E4%BF%9D%E8%AB%BE-%E5%AF%86%E5%AF%A6%E8%A2%8B-265701516328961?itemId=261384252129285&vendorItemId=220712191082497&sourceType=search&rank=4&searchId=9fa3e27deeae4391963c70d7167f257d&q=%E5%A4%BE%E9%8F%88
"Hero HOUSEHOLD 夾鏈袋組 中型*50入+大型*50入, 中型+大型, 100入, 1盒",$166,https://www.tw.coupang.com/products/Hero-HOUSEHOLD-%E5%A4%BE%E9%8F%88%E8%A2%8B%E7%B5%84-%E4%B8%AD%E5%9E%8B*50%E5%85%A5%2B%E5%A4%A7%E5%9E%8B*50%E5%85%A5-263528711667712?itemId=263530632675332&vendorItemId=263530632675329&sourceType=search&rank=5&searchId=9fa3e27deeae4391963c70d7167f257d&q=%E5%A4%BE%E9%8F%88
"驅塵氏 雙軌密封夾鏈袋, L, 17個, 3盒",$84,https://www.tw.coupang.com/products/%E9%A9%85%E5%A1%B5%E6%B0%8F-%E9%9B%99%E8%BB%8C%E5%AF%86%E5%B0%81%E5%A4%BE%E9%8F%88%E8%A2%8B-171872704512002?itemId=410024224440321&vendorItemId=410024220246028&sourceType=search&rank=6&searchId=9fa3e27deeae4391963c70d7167f257d&q=%E5%A4%BE%E9%8F%88
"SINCERELY Frog 雙層食物夾鏈袋四件組, 1組",$191,https://www.tw.coupang.com/products/SINCERELY-Frog-%E9%9B%99%E5%B1%A4%E9%A3%9F%E7%89%A9%E5%A4%BE%E9%8F%88%E8%A2%8B%E5%9B%9B%E4%BB%B6%E7%B5%84-214177184448514?itemId=214175779340289&vendorItemId=214175779340288&sourceType=search&rank=7&searchId=9fa3e27deeae4391963c70d7167f257d&q=%E5%A4%BE%E9%8F%88
"橘之屋 夾鏈袋, 100個, 1包",$74,https://www.tw.coupang.com/products/%E6%A9%98%E4%B9%8B%E5%B1%8B-%E5%A4%BE%E9%8F%88%E8%A2%8B-182293519892513?itemId=154826281271298&vendorItemId=154826281271296&sourceType=search&rank=8&searchId=9fa3e27deeae4391963c70d7167f257d&q=%E5%A4%BE%E9%8F%88
"Hero HOUSEHOLD 夾鏈袋組 大型*50入+特大型*30入, 80入, 1盒",$167,https://www.tw.coupang.com/products/Hero-HOUSEHOLD-%E5%A4%BE%E9%8F%88%E8%A2%8B%E7%B5%84-%E5%A4%A7%E5%9E%8B*50%E5%85%A5%2B%E7%89%B9%E5%A4%A7%E5%9E%8B*30%E5%85%A5-263530632675330?itemId=263528711667714&vendorItemId=263530632675328&sourceType=search&rank=9&searchId=9fa3e27deeae4391963c70d7167f257d&q=%E5%A4%BE%E9%8F%88
