product_name,product_price,product_url
"NATURE LIVING 衣物專用防塵套, 10個, 1組",$172,https://www.tw.coupang.com/products/NATURE-LIVING-%E8%A1%A3%E7%89%A9%E5%B0%88%E7%94%A8%E9%98%B2%E5%A1%B5%E5%A5%97-245405606428678?itemId=245405606428679&vendorItemId=245406520819718&sourceType=search&rank=&searchId=959c9542db0648969ba40cc00da15e20&q=%E5%A5%97
"ROTOTO bebe 麻雀印花可拆式防溢奶靠枕套 象牙白, 混色",$493,https://www.tw.coupang.com/products/ROTOTO-bebe-%E9%BA%BB%E9%9B%80%E5%8D%B0%E8%8A%B1%E5%8F%AF%E6%8B%86%E5%BC%8F%E9%98%B2%E6%BA%A2%E5%A5%B6%E9%9D%A0%E6%9E%95%E5%A5%97-%E8%B1%A1%E7%89%99%E7%99%BD-21004689865332?itemId=21005894109565&vendorItemId=21073192261662&sourceType=search&rank=1&searchId=959c9542db0648969ba40cc00da15e20&q=%E5%A5%97
shez Home 壓紋素色枕套,$283,https://www.tw.coupang.com/products/shez-Home-%E5%A3%93%E7%B4%8B%E7%B4%A0%E8%89%B2%E6%9E%95%E5%A5%97-258358472851461?itemId=258357487157252&vendorItemId=258359353638916&sourceType=search&rank=2&searchId=959c9542db0648969ba40cc00da15e20&q=%E5%A5%97
"OrganicFactory TPU 兒童安全帶調節套, 深藍色 汽車款, 1個",$109,https://www.tw.coupang.com/products/OrganicFactory-TPU-%E5%85%92%E7%AB%A5%E5%AE%89%E5%85%A8%E5%B8%B6%E8%AA%BF%E7%AF%80%E5%A5%97-247526867288080?itemId=247528620523537&vendorItemId=247526867288068&sourceType=search&rank=3&searchId=959c9542db0648969ba40cc00da15e20&q=%E5%A5%97
La Pomme 涼感枕頭套 2入,$301,https://www.tw.coupang.com/products/La-Pomme-%E6%B6%BC%E6%84%9F%E6%9E%95%E9%A0%AD%E5%A5%97-2%E5%85%A5-21001639377161?itemId=21002795666850&vendorItemId=21070820224428&sourceType=search&rank=4&searchId=959c9542db0648969ba40cc00da15e20&q=%E5%A5%97
"HONEY JAM 長方形皮革面紙套, 深灰色",$84,https://www.tw.coupang.com/products/HONEY-JAM-%E9%95%B7%E6%96%B9%E5%BD%A2%E7%9A%AE%E9%9D%A9%E9%9D%A2%E7%B4%99%E5%A5%97-258468376199172?itemId=258467390504965&vendorItemId=258467390504960&sourceType=search&rank=5&searchId=959c9542db0648969ba40cc00da15e20&q=%E5%A5%97
"DECOTONIK 簡約皮革面紙套 24*12*12cm, 米灰色, 2個",$780,https://www.tw.coupang.com/products/DECOTONIK-%E7%B0%A1%E7%B4%84%E7%9A%AE%E9%9D%A9%E9%9D%A2%E7%B4%99%E5%A5%97-24*12*12cm-259195395866625?itemId=259194506690570&vendorItemId=259193516802050&sourceType=search&rank=6&searchId=959c9542db0648969ba40cc00da15e20&q=%E5%A5%97
"STOLIVING 人造皮革面紙套 24 x 12 x 12.5cm, 薄荷綠, 1個",$71,https://www.tw.coupang.com/products/STOLIVING-%E4%BA%BA%E9%80%A0%E7%9A%AE%E9%9D%A9%E9%9D%A2%E7%B4%99%E5%A5%97-24-x-12-x-12.5cm-263095607853059?itemId=263094710288388&vendorItemId=263094710288384&sourceType=search&rank=7&searchId=959c9542db0648969ba40cc00da15e20&q=%E5%A5%97
"百特兔寶 衣物防水防塵套 短版, 4入, 1包",$104,https://www.tw.coupang.com/products/%E7%99%BE%E7%89%B9%E5%85%94%E5%AF%B6-%E8%A1%A3%E7%89%A9%E9%98%B2%E6%B0%B4%E9%98%B2%E5%A1%B5%E5%A5%97-%E7%9F%AD%E7%89%88-163481428934656?itemId=163481860931584&vendorItemId=163480980111360&sourceType=search&rank=8&searchId=959c9542db0648969ba40cc00da15e20&q=%E5%A5%97
"decotonik 簡約皮革面紙套, 米灰色, 1個",$142,https://www.tw.coupang.com/products/decotonik-%E7%B0%A1%E7%B4%84%E7%9A%AE%E9%9D%A9%E9%9D%A2%E7%B4%99%E5%A5%97-21000053116979?itemId=21000186838428&vendorItemId=21003444949303&sourceType=search&rank=9&searchId=959c9542db0648969ba40cc00da15e20&q=%E5%A5%97
