product_name,product_price,product_url
"himecoto 白雪姬 白雪姬 腋下去角質嫩白皂, 100g, 1盒",$245,https://www.tw.coupang.com/products/himecoto-%E7%99%BD%E9%9B%AA%E5%A7%AC-%E7%99%BD%E9%9B%AA%E5%A7%AC-%E8%85%8B%E4%B8%8B%E5%8E%BB%E8%A7%92%E8%B3%AA%E5%AB%A9%E7%99%BD%E7%9A%82-162089976938505?itemId=162090845175816&vendorItemId=162090845175809&sourceType=search&rank=&searchId=4f4df2f57c974e1eb16d53fd42da6c83&q=%E5%AB%A9%E7%99%BD%E7%9A%82
"Pelican 沛麗康 嫩白去角質美胸皂, 70g, 1盒",$104,https://www.tw.coupang.com/products/Pelican-%E6%B2%9B%E9%BA%97%E5%BA%B7-%E5%AB%A9%E7%99%BD%E5%8E%BB%E8%A7%92%E8%B3%AA%E7%BE%8E%E8%83%B8%E7%9A%82-402602835525641?itemId=402602835509256&vendorItemId=402602835558406&sourceType=search&rank=1&searchId=4f4df2f57c974e1eb16d53fd42da6c83&q=%E5%AB%A9%E7%99%BD%E7%9A%82
"himecoto 白雪姬 白雪姬 腋下去角質嫩白皂, 100g, 2盒",$491,https://www.tw.coupang.com/products/himecoto-%E7%99%BD%E9%9B%AA%E5%A7%AC-%E7%99%BD%E9%9B%AA%E5%A7%AC-%E8%85%8B%E4%B8%8B%E5%8E%BB%E8%A7%92%E8%B3%AA%E5%AB%A9%E7%99%BD%E7%9A%82-162089976938505?itemId=392200009531396&vendorItemId=392200009498624&sourceType=search&rank=2&searchId=4f4df2f57c974e1eb16d53fd42da6c83&q=%E5%AB%A9%E7%99%BD%E7%9A%82
"Pelican 沛麗康 嫩白去角質美胸皂, 70g, 2盒",$208,https://www.tw.coupang.com/products/Pelican-%E6%B2%9B%E9%BA%97%E5%BA%B7-%E5%AB%A9%E7%99%BD%E5%8E%BB%E8%A7%92%E8%B3%AA%E7%BE%8E%E8%83%B8%E7%9A%82-402602835525641?itemId=430251502944260&vendorItemId=430251502960641&sourceType=search&rank=3&searchId=4f4df2f57c974e1eb16d53fd42da6c83&q=%E5%AB%A9%E7%99%BD%E7%9A%82
"himecoto 白雪姬 白雪姬 腋下去角質嫩白皂, 100g, 3盒",$750,https://www.tw.coupang.com/products/himecoto-%E7%99%BD%E9%9B%AA%E5%A7%AC-%E7%99%BD%E9%9B%AA%E5%A7%AC-%E8%85%8B%E4%B8%8B%E5%8E%BB%E8%A7%92%E8%B3%AA%E5%AB%A9%E7%99%BD%E7%9A%82-162089976938505?itemId=392200013709314&vendorItemId=392200013692928&sourceType=search&rank=4&searchId=4f4df2f57c974e1eb16d53fd42da6c83&q=%E5%AB%A9%E7%99%BD%E7%9A%82
"medimix 綠寶石皇室藥草浴 美肌皂 寶貝, 125g, 7個",$112,https://www.tw.coupang.com/products/medimix-%E7%B6%A0%E5%AF%B6%E7%9F%B3%E7%9A%87%E5%AE%A4%E8%97%A5%E8%8D%89%E6%B5%B4-%E7%BE%8E%E8%82%8C%E7%9A%82-%E5%AF%B6%E8%B2%9D-276551966883844?itemId=300468869742598&vendorItemId=300471054991370&sourceType=search&rank=5&searchId=4f4df2f57c974e1eb16d53fd42da6c83&q=%E5%AB%A9%E7%99%BD%E7%9A%82
"amalfi 桑葚藍莓嫩白細膚液體皂, 500ml, 1瓶",$138,https://www.tw.coupang.com/products/amalfi-%E6%A1%91%E8%91%9A%E8%97%8D%E8%8E%93%E5%AB%A9%E7%99%BD%E7%B4%B0%E8%86%9A%E6%B6%B2%E9%AB%94%E7%9A%82-148066535456783?itemId=148066891956240&vendorItemId=148066891956227&sourceType=search&rank=6&searchId=4f4df2f57c974e1eb16d53fd42da6c83&q=%E5%AB%A9%E7%99%BD%E7%9A%82
"Pelican 沛麗康 嫩白去角質美胸皂, 70g, 3盒",$312,https://www.tw.coupang.com/products/Pelican-%E6%B2%9B%E9%BA%97%E5%BA%B7-%E5%AB%A9%E7%99%BD%E5%8E%BB%E8%A7%92%E8%B3%AA%E7%BE%8E%E8%83%B8%E7%9A%82-402602835525641?itemId=430251502927878&vendorItemId=430251502927876&sourceType=search&rank=7&searchId=4f4df2f57c974e1eb16d53fd42da6c83&q=%E5%AB%A9%E7%99%BD%E7%9A%82
"Dove 多芬 滋養柔嫩潔膚皂 4個, 360g, 2盒",$123,https://www.tw.coupang.com/products/Dove-%E5%A4%9A%E8%8A%AC-%E6%BB%8B%E9%A4%8A%E6%9F%94%E5%AB%A9%E6%BD%94%E8%86%9A%E7%9A%82-4%E5%80%8B-280111551037448?itemId=280113568514057&vendorItemId=280111551037442&sourceType=search&rank=8&searchId=4f4df2f57c974e1eb16d53fd42da6c83&q=%E5%AB%A9%E7%99%BD%E7%9A%82
"Johnson's 嬌生 嬰兒粉嫩花香皂 4個, 480g, 2盒",$159,https://www.tw.coupang.com/products/Johnson's-%E5%AC%8C%E7%94%9F-%E5%AC%B0%E5%85%92%E7%B2%89%E5%AB%A9%E8%8A%B1%E9%A6%99%E7%9A%82-4%E5%80%8B-435297447804929?itemId=440035174236172&vendorItemId=440035174203399&sourceType=search&rank=9&searchId=4f4df2f57c974e1eb16d53fd42da6c83&q=%E5%AB%A9%E7%99%BD%E7%9A%82
