product_name,product_price,product_url
"C型OTG性別轉換, 1個, 黑色",$95,https://www.tw.coupang.com/products/C%E5%9E%8BOTG%E6%80%A7%E5%88%A5%E8%BD%89%E6%8F%9B-21007983842762?itemId=21022167336977&vendorItemId=21089213801400&sourceType=search&rank=&searchId=a99d536503194673aca0ddb5cd4912a6&q=%E5%AE%8C%E5%85%A8%E5%90%8D%E5%99%A8
"Fundian USB DCP 轉換性別, FD-EU02B",$141,https://www.tw.coupang.com/products/Fundian-USB-DCP-%E8%BD%89%E6%8F%9B%E6%80%A7%E5%88%A5-21007381097036?itemId=21019062265165&vendorItemId=21086185157531&sourceType=search&rank=1&searchId=a99d536503194673aca0ddb5cd4912a6&q=%E5%AE%8C%E5%85%A8%E5%90%8D%E5%99%A8
"NEXT C型轉換性別, NEXT-1516TC",$102,https://www.tw.coupang.com/products/NEXT-C%E5%9E%8B%E8%BD%89%E6%8F%9B%E6%80%A7%E5%88%A5-21000104380597?itemId=21000316491339&vendorItemId=21003603599570&sourceType=search&rank=2&searchId=a99d536503194673aca0ddb5cd4912a6&q=%E5%AE%8C%E5%85%A8%E5%90%8D%E5%99%A8
"UHD 4K HDMI 2 3x1 開關選擇器, 黑色, 1個",$344,https://www.tw.coupang.com/products/UHD-4K-HDMI-2-3x1-%E9%96%8B%E9%97%9C%E9%81%B8%E6%93%87%E5%99%A8-21007248779913?itemId=21018434339113&vendorItemId=21085575742294&sourceType=search&rank=3&searchId=a99d536503194673aca0ddb5cd4912a6&q=%E5%AE%8C%E5%85%A8%E5%90%8D%E5%99%A8
"Techman C型多功能OTG性別, 白色的, 1個",$238,https://www.tw.coupang.com/products/Techman-C%E5%9E%8B%E5%A4%9A%E5%8A%9F%E8%83%BDOTG%E6%80%A7%E5%88%A5-21000177803635?itemId=21000508805396&vendorItemId=21004304808197&sourceType=search&rank=4&searchId=a99d536503194673aca0ddb5cd4912a6&q=%E5%AE%8C%E5%85%A8%E5%90%8D%E5%99%A8
"ABKO SUITMASTER MH-1 ARGB 內存散熱器 黑色, 1個",$500,https://www.tw.coupang.com/products/ABKO-SUITMASTER-MH-1-ARGB-%E5%85%A7%E5%AD%98%E6%95%A3%E7%86%B1%E5%99%A8-%E9%BB%91%E8%89%B2-21006398695724?itemId=21013673836916&vendorItemId=21080925808248&sourceType=search&rank=5&searchId=a99d536503194673aca0ddb5cd4912a6&q=%E5%AE%8C%E5%85%A8%E5%90%8D%E5%99%A8
"NEXT LINK DP 到 MINIDP 轉換性別, NEXTLINK-2414DPC",$132,https://www.tw.coupang.com/products/NEXT-LINK-DP-%E5%88%B0-MINIDP-%E8%BD%89%E6%8F%9B%E6%80%A7%E5%88%A5-21000080113765?itemId=21000256407957&vendorItemId=21003623644908&sourceType=search&rank=6&searchId=a99d536503194673aca0ddb5cd4912a6&q=%E5%AE%8C%E5%85%A8%E5%90%8D%E5%99%A8
"HICKIES 一鍵式推門塞玫瑰金, 1個",$246,https://www.tw.coupang.com/products/HICKIES-%E4%B8%80%E9%8D%B5%E5%BC%8F%E6%8E%A8%E9%96%80%E5%A1%9E%E7%8E%AB%E7%91%B0%E9%87%91-21005201688872?itemId=21007251243167&vendorItemId=21074542679968&sourceType=search&rank=7&searchId=a99d536503194673aca0ddb5cd4912a6&q=%E5%AE%8C%E5%85%A8%E5%90%8D%E5%99%A8
"BOOMS FISHING 乘法器 F07-WZ, 黑色的",$803,https://www.tw.coupang.com/products/BOOMS-FISHING-%E4%B9%98%E6%B3%95%E5%99%A8-F07-WZ-21001472998523?itemId=21002531855685&vendorItemId=21070524617694&sourceType=search&rank=8&searchId=a99d536503194673aca0ddb5cd4912a6&q=%E5%AE%8C%E5%85%A8%E5%90%8D%E5%99%A8
"GELID 彩色CPU散熱器, 單品",$660,https://www.tw.coupang.com/products/GELID-%E5%BD%A9%E8%89%B2CPU%E6%95%A3%E7%86%B1%E5%99%A8-21005306059014?itemId=21007674374526&vendorItemId=21074964704475&sourceType=search&rank=9&searchId=a99d536503194673aca0ddb5cd4912a6&q=%E5%AE%8C%E5%85%A8%E5%90%8D%E5%99%A8
