product_name,product_price,product_url
"Kinyo 大嘴鳥呼吸氣氛燈, 1個",$241,https://www.tw.coupang.com/products/Kinyo-%E5%A4%A7%E5%98%B4%E9%B3%A5%E5%91%BC%E5%90%B8%E6%B0%A3%E6%B0%9B%E7%87%88-161652116783106?itemId=161651697369090&vendorItemId=161652116783104&sourceType=search&rank=&searchId=92df8862e4b44d3493684d1c1028c83e&q=%E5%B1%B1%E4%B8%98%E7%87%88
"comet 彩色裝飾燈串 40顆, 混合顏色, 1組",$193,https://www.tw.coupang.com/products/comet-%E5%BD%A9%E8%89%B2%E8%A3%9D%E9%A3%BE%E7%87%88%E4%B8%B2-40%E9%A1%86-170016880181249?itemId=170017341538304&vendorItemId=170016880181248&sourceType=search&rank=1&searchId=92df8862e4b44d3493684d1c1028c83e&q=%E5%B1%B1%E4%B8%98%E7%87%88
"visang 360度LED環型燈 彈性可調整款, 1個",$330,https://www.tw.coupang.com/products/visang-360%E5%BA%A6LED%E7%92%B0%E5%9E%8B%E7%87%88-%E5%BD%88%E6%80%A7%E5%8F%AF%E8%AA%BF%E6%95%B4%E6%AC%BE-21004569738051?itemId=21005580529908&vendorItemId=21072879839599&sourceType=search&rank=2&searchId=92df8862e4b44d3493684d1c1028c83e&q=%E5%B1%B1%E4%B8%98%E7%87%88
"蠟筆小新，齊聚一堂，明亮心情燈, 混色",$280,https://www.tw.coupang.com/products/%E8%A0%9F%E7%AD%86%E5%B0%8F%E6%96%B0%EF%BC%8C%E9%BD%8A%E8%81%9A%E4%B8%80%E5%A0%82%EF%BC%8C%E6%98%8E%E4%BA%AE%E5%BF%83%E6%83%85%E7%87%88-21007664729959?itemId=21020429432849&vendorItemId=21087510595016&sourceType=search&rank=3&searchId=92df8862e4b44d3493684d1c1028c83e&q=%E5%B1%B1%E4%B8%98%E7%87%88
"comet 彩色裝飾燈串, 混色, 40顆",$109,https://www.tw.coupang.com/products/comet-%E5%BD%A9%E8%89%B2%E8%A3%9D%E9%A3%BE%E7%87%88%E4%B8%B2-21002195595061?itemId=21003735926865&vendorItemId=21071721115422&sourceType=search&rank=4&searchId=92df8862e4b44d3493684d1c1028c83e&q=%E5%B1%B1%E4%B8%98%E7%87%88
"WONHA 餐桌燈室內吊燈普羅旺斯, 黑色的",$520,https://www.tw.coupang.com/products/WONHA-%E9%A4%90%E6%A1%8C%E7%87%88%E5%AE%A4%E5%85%A7%E5%90%8A%E7%87%88%E6%99%AE%E7%BE%85%E6%97%BA%E6%96%AF-21006928685055?itemId=21016758116486&vendorItemId=21083939587208&sourceType=search&rank=5&searchId=92df8862e4b44d3493684d1c1028c83e&q=%E5%B1%B1%E4%B8%98%E7%87%88
"商業房間 LED 物體吊燈情緒燈, 月亮",$354,https://www.tw.coupang.com/products/%E5%95%86%E6%A5%AD%E6%88%BF%E9%96%93-LED-%E7%89%A9%E9%AB%94%E5%90%8A%E7%87%88%E6%83%85%E7%B7%92%E7%87%88-21007442335633?itemId=21019355550219&vendorItemId=21086987785183&sourceType=search&rank=6&searchId=92df8862e4b44d3493684d1c1028c83e&q=%E5%B1%B1%E4%B8%98%E7%87%88
"comet 遙控式裝飾燈串 50顆, 暖白色",$322,https://www.tw.coupang.com/products/comet-%E9%81%99%E6%8E%A7%E5%BC%8F%E8%A3%9D%E9%A3%BE%E7%87%88%E4%B8%B2-50%E9%A1%86-21002195847366?itemId=21003736365914&vendorItemId=21071721552255&sourceType=search&rank=7&searchId=92df8862e4b44d3493684d1c1028c83e&q=%E5%B1%B1%E4%B8%98%E7%87%88
"Dapumda 3D 心情燈 3D 觸控照明睡眠燈丘比特, 混色",$212,https://www.tw.coupang.com/products/Dapumda-3D-%E5%BF%83%E6%83%85%E7%87%88-3D-%E8%A7%B8%E6%8E%A7%E7%85%A7%E6%98%8E%E7%9D%A1%E7%9C%A0%E7%87%88%E4%B8%98%E6%AF%94%E7%89%B9-21007530107380?itemId=21019769172612&vendorItemId=21086872298653&sourceType=search&rank=8&searchId=92df8862e4b44d3493684d1c1028c83e&q=%E5%B1%B1%E4%B8%98%E7%87%88
"現代鄉村太陽能 LED 派對燈串燈水滴 22m 200LED, 暖色",$724,https://www.tw.coupang.com/products/%E7%8F%BE%E4%BB%A3%E9%84%89%E6%9D%91%E5%A4%AA%E9%99%BD%E8%83%BD-LED-%E6%B4%BE%E5%B0%8D%E7%87%88%E4%B8%B2%E7%87%88%E6%B0%B4%E6%BB%B4-22m-200LED-21006602985725?itemId=21014942283470&vendorItemId=21082166343802&sourceType=search&rank=9&searchId=92df8862e4b44d3493684d1c1028c83e&q=%E5%B1%B1%E4%B8%98%E7%87%88
