product_name,product_price,product_url
"自然時記 一匙鮮 竹鹽蔬果粉 甜菜根, 120g, 1罐",$92,https://www.tw.coupang.com/products/%E8%87%AA%E7%84%B6%E6%99%82%E8%A8%98-%E4%B8%80%E5%8C%99%E9%AE%AE-%E7%AB%B9%E9%B9%BD%E8%94%AC%E6%9E%9C%E7%B2%89-%E7%94%9C%E8%8F%9C%E6%A0%B9-161704780447745?itemId=161705220882439&vendorItemId=161705220882435&sourceType=search&rank=&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
"松記 鹽烤帶皮腰果, 220g, 1罐",$224,https://www.tw.coupang.com/products/%E6%9D%BE%E8%A8%98-%E9%B9%BD%E7%83%A4%E5%B8%B6%E7%9A%AE%E8%85%B0%E6%9E%9C-155800160927754?itemId=155799766679563&vendorItemId=155799359799300&sourceType=search&rank=1&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
"comet 橡皮筋 1kg 70 x 1.3mm, 黃色, 1包",$126,https://www.tw.coupang.com/products/comet-%E6%A9%A1%E7%9A%AE%E7%AD%8B-1kg-70-x-1.3mm-450452705443840?itemId=450452705460226&vendorItemId=450452705460225&sourceType=search&rank=2&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
"萬用切水果切丁取肉神器 150g, 1個",$218,https://www.tw.coupang.com/products/%E8%90%AC%E7%94%A8%E5%88%87%E6%B0%B4%E6%9E%9C%E5%88%87%E4%B8%81%E5%8F%96%E8%82%89%E7%A5%9E%E5%99%A8-150g-167095404806146?itemId=167095878795266&vendorItemId=167095404806145&sourceType=search&rank=3&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
"彗星黃橡皮筋 330g 70 x 1.3 mm, 黃色的, 1個",$93,https://www.tw.coupang.com/products/%E5%BD%97%E6%98%9F%E9%BB%83%E6%A9%A1%E7%9A%AE%E7%AD%8B-330g-70-x-1.3-mm-21007522744821?itemId=21019733933936&vendorItemId=21086837791476&sourceType=search&rank=4&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
"海帶切片, 1包, 500g",$310,https://www.tw.coupang.com/products/%E6%B5%B7%E5%B8%B6%E5%88%87%E7%89%87-21005710286741?itemId=21009518763272&vendorItemId=21076803521987&sourceType=search&rank=5&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
"SHE'S LINE TPU橡皮筋 500入, 黑色+棕色, 1包",$96,https://www.tw.coupang.com/products/SHE'S-LINE-TPU%E6%A9%A1%E7%9A%AE%E7%AD%8B-500%E5%85%A5-21007468329958?itemId=21006983998713&vendorItemId=21074276343502&sourceType=search&rank=6&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
"自在食刻 古法辣肉燥, 240g, 1罐",$144,https://www.tw.coupang.com/products/%E8%87%AA%E5%9C%A8%E9%A3%9F%E5%88%BB-%E5%8F%A4%E6%B3%95%E8%BE%A3%E8%82%89%E7%87%A5-405216713228288?itemId=405216713211904&vendorItemId=405216709001216&sourceType=search&rank=7&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
"ECOM 絞肉機嫩化劑黑色, 1個",$281,https://www.tw.coupang.com/products/ECOM-%E7%B5%9E%E8%82%89%E6%A9%9F%E5%AB%A9%E5%8C%96%E5%8A%91%E9%BB%91%E8%89%B2-21004791266855?itemId=21006139775444&vendorItemId=21073436033024&sourceType=search&rank=8&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
"彗星大容量黃色橡皮筋 1kg 70 x 1.5 mm, 黃色的, 1個",$192,https://www.tw.coupang.com/products/%E5%BD%97%E6%98%9F%E5%A4%A7%E5%AE%B9%E9%87%8F%E9%BB%83%E8%89%B2%E6%A9%A1%E7%9A%AE%E7%AD%8B-1kg-70-x-1.5-mm-21007522744811?itemId=21019733933913&vendorItemId=21086837791428&sourceType=search&rank=9&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
"ECOM 絞肉機嫩化劑 白色, 1個",$281,https://www.tw.coupang.com/products/ECOM-%E7%B5%9E%E8%82%89%E6%A9%9F%E5%AB%A9%E5%8C%96%E5%8A%91-%E7%99%BD%E8%89%B2-21004791266616?itemId=21006139774734&vendorItemId=21073436032890&sourceType=search&rank=10&searchId=8cc07cfb0f7f43a1b9aebae6f0560ea3&q=%E5%B8%B6%E7%9A%AE%E7%B5%9E%E8%82%89
