product_name,product_price,product_url
"ALEAF 健身踏板 2 階段, 混合顏色",$441,https://www.tw.coupang.com/products/ALEAF-%E5%81%A5%E8%BA%AB%E8%B8%8F%E6%9D%BF-2-%E9%9A%8E%E6%AE%B5-21006697971033?itemId=21015503038289&vendorItemId=21082722350718&sourceType=search&rank=&searchId=6107a6c7d64b4876abd3d63438f49b98&q=%E5%BC%B7%E5%8C%96%E8%B8%8F%E6%9D%BF
"PEONIST 家庭訓練彈力踏板繩索, 藍色",$297,https://www.tw.coupang.com/products/PEONIST-%E5%AE%B6%E5%BA%AD%E8%A8%93%E7%B7%B4%E5%BD%88%E5%8A%9B%E8%B8%8F%E6%9D%BF%E7%B9%A9%E7%B4%A2-21006884753897?itemId=21016510165556&vendorItemId=21083697521624&sourceType=search&rank=1&searchId=6107a6c7d64b4876abd3d63438f49b98&q=%E5%BC%B7%E5%8C%96%E8%B8%8F%E6%9D%BF
"Peonist 家庭伸展踏板, 櫻桃粉色",$311,https://www.tw.coupang.com/products/Peonist-%E5%AE%B6%E5%BA%AD%E4%BC%B8%E5%B1%95%E8%B8%8F%E6%9D%BF-21007177729603?itemId=21018096884759&vendorItemId=21085249246269&sourceType=search&rank=2&searchId=6107a6c7d64b4876abd3d63438f49b98&q=%E5%BC%B7%E5%8C%96%E8%B8%8F%E6%9D%BF
"SISEUNDEUSI 瑜伽伸展踏板 4 管, 淺紫色",$159,https://www.tw.coupang.com/products/SISEUNDEUSI-%E7%91%9C%E4%BC%BD%E4%BC%B8%E5%B1%95%E8%B8%8F%E6%9D%BF-4-%E7%AE%A1-21006960004399?itemId=21016940140850&vendorItemId=21084117685286&sourceType=search&rank=3&searchId=6107a6c7d64b4876abd3d63438f49b98&q=%E5%BC%B7%E5%8C%96%E8%B8%8F%E6%9D%BF
"Legend C leg stretch 9速踏板, 5 粉紅色",$512,https://www.tw.coupang.com/products/Legend-C-leg-stretch-9%E9%80%9F%E8%B8%8F%E6%9D%BF-21007194777697?itemId=21018173066653&vendorItemId=21085322347296&sourceType=search&rank=4&searchId=6107a6c7d64b4876abd3d63438f49b98&q=%E5%BC%B7%E5%8C%96%E8%B8%8F%E6%9D%BF
"SISEUNDEUSI 瑜伽伸展踏板 4 管, 淺紫色",$179,https://www.tw.coupang.com/products/SISEUNDEUSI-%E7%91%9C%E4%BC%BD%E4%BC%B8%E5%B1%95%E8%B8%8F%E6%9D%BF-4-%E7%AE%A1-21006960004589?itemId=21016940141572&vendorItemId=21084117686034&sourceType=search&rank=5&searchId=6107a6c7d64b4876abd3d63438f49b98&q=%E5%BC%B7%E5%8C%96%E8%B8%8F%E6%9D%BF
"Momosop 家庭訓練普腹部鍛煉冰壺踏板管, 粉色的",$592,https://www.tw.coupang.com/products/Momosop-%E5%AE%B6%E5%BA%AD%E8%A8%93%E7%B7%B4%E6%99%AE%E8%85%B9%E9%83%A8%E9%8D%9B%E7%85%89%E5%86%B0%E5%A3%BA%E8%B8%8F%E6%9D%BF%E7%AE%A1-21005802675452?itemId=21009956638379&vendorItemId=21077239793255&sourceType=search&rank=6&searchId=6107a6c7d64b4876abd3d63438f49b98&q=%E5%BC%B7%E5%8C%96%E8%B8%8F%E6%9D%BF
"阿里夫赤腳室內自行車踏板組通用型, 黑色, 單品",$295,https://www.tw.coupang.com/products/%E9%98%BF%E9%87%8C%E5%A4%AB%E8%B5%A4%E8%85%B3%E5%AE%A4%E5%85%A7%E8%87%AA%E8%A1%8C%E8%BB%8A%E8%B8%8F%E6%9D%BF%E7%B5%84%E9%80%9A%E7%94%A8%E5%9E%8B-21007384940467?itemId=21019080682549&vendorItemId=21086203064824&sourceType=search&rank=7&searchId=6107a6c7d64b4876abd3d63438f49b98&q=%E5%BC%B7%E5%8C%96%E8%B8%8F%E6%9D%BF
"iWarner 兩步步進框, 冰紫",$471,https://www.tw.coupang.com/products/iWarner-%E5%85%A9%E6%AD%A5%E6%AD%A5%E9%80%B2%E6%A1%86-21000048436670?itemId=21019391398023&vendorItemId=21086469561005&sourceType=search&rank=8&searchId=6107a6c7d64b4876abd3d63438f49b98&q=%E5%BC%B7%E5%8C%96%E8%B8%8F%E6%9D%BF
"Legend C leg stretch 9速踏板, 3紫",$477,https://www.tw.coupang.com/products/Legend-C-leg-stretch-9%E9%80%9F%E8%B8%8F%E6%9D%BF-21007194777697?itemId=21018173066652&vendorItemId=21085322347283&sourceType=search&rank=9&searchId=6107a6c7d64b4876abd3d63438f49b98&q=%E5%BC%B7%E5%8C%96%E8%B8%8F%E6%9D%BF
