product_name,product_price,product_url
"mooniver 波莉的視力恢復 (moon-094), 米色",$446,https://www.tw.coupang.com/products/mooniver-%E6%B3%A2%E8%8E%89%E7%9A%84%E8%A6%96%E5%8A%9B%E6%81%A2%E5%BE%A9-(moon-094)-21000001405376?itemId=21000006091494&vendorItemId=21003007839077&sourceType=search&rank=&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"鍾根堂 Omega-3魚油膠囊, 60顆, 2盒",$523,https://www.tw.coupang.com/products/%E9%8D%BE%E6%A0%B9%E5%A0%82-Omega-3%E9%AD%9A%E6%B2%B9%E8%86%A0%E5%9B%8A-21006586372374?itemId=21019081002442&vendorItemId=21082081965656&sourceType=search&rank=1&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"NutriD-Day 優質葉黃素PLUS12膠囊, 30顆, 6盒",$520,https://www.tw.coupang.com/products/NutriD-Day-%E5%84%AA%E8%B3%AA%E8%91%89%E9%BB%83%E7%B4%A0PLUS12%E8%86%A0%E5%9B%8A-21000000171811?itemId=21018423776357&vendorItemId=21004426911301&sourceType=search&rank=2&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"DAESANG 大象 小球藻錠, 700顆, 2罐","$1,273",https://www.tw.coupang.com/products/DAESANG-%E5%A4%A7%E8%B1%A1-%E5%B0%8F%E7%90%83%E8%97%BB%E9%8C%A0-21001998734941?itemId=21003401777932&vendorItemId=21071388403564&sourceType=search&rank=3&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"naturalplus 超級Omega-3魚油軟膠囊 MAX 1100, 90顆, 1罐",$461,https://www.tw.coupang.com/products/naturalplus-%E8%B6%85%E7%B4%9AOmega-3%E9%AD%9A%E6%B2%B9%E8%BB%9F%E8%86%A0%E5%9B%8A-MAX-1100-21000000389770?itemId=21000001001413&vendorItemId=21003000914965&sourceType=search&rank=4&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"HOLIDAYS 高品質葉黃素膠囊, 90顆, 1罐",$249,https://www.tw.coupang.com/products/HOLIDAYS-%E9%AB%98%E5%93%81%E8%B3%AA%E8%91%89%E9%BB%83%E7%B4%A0%E8%86%A0%E5%9B%8A-21007621518408?itemId=21019528399516&vendorItemId=21004194045751&sourceType=search&rank=5&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"NutriD-Day 優質葉黃素PLUS12膠囊, 30顆, 4盒",$375,https://www.tw.coupang.com/products/NutriD-Day-%E5%84%AA%E8%B3%AA%E8%91%89%E9%BB%83%E7%B4%A0PLUS12%E8%86%A0%E5%9B%8A-21000000171811?itemId=21018423766744&vendorItemId=21003078277343&sourceType=search&rank=6&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"Eyeclear Eyeclear葉黃素玉米黃素膠囊, 30顆, 1盒",$192,https://www.tw.coupang.com/products/Eyeclear-Eyeclear%E8%91%89%E9%BB%83%E7%B4%A0%E7%8E%89%E7%B1%B3%E9%BB%83%E7%B4%A0%E8%86%A0%E5%9B%8A-21008198215947?itemId=21020973447728&vendorItemId=21077582829340&sourceType=search&rank=7&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"AHN GOOK 葉黃素迷你膠囊, 60顆, 1盒",$277,https://www.tw.coupang.com/products/AHN-GOOK-%E8%91%89%E9%BB%83%E7%B4%A0%E8%BF%B7%E4%BD%A0%E8%86%A0%E5%9B%8A-21000005149277?itemId=21000023349629&vendorItemId=21003034191320&sourceType=search&rank=8&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"Pulmuone 圃美多 萬壽菊萃取物保健錠, 15g, 2罐",$612,https://www.tw.coupang.com/products/Pulmuone-%E5%9C%83%E7%BE%8E%E5%A4%9A-%E8%90%AC%E5%A3%BD%E8%8F%8A%E8%90%83%E5%8F%96%E7%89%A9%E4%BF%9D%E5%81%A5%E9%8C%A0-21007699487988?itemId=21020610898132&vendorItemId=21085928632328&sourceType=search&rank=9&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"NutriD-Day 優質葉黃素PLUS12膠囊, 30顆, 10盒",$856,https://www.tw.coupang.com/products/NutriD-Day-%E5%84%AA%E8%B3%AA%E8%91%89%E9%BB%83%E7%B4%A0PLUS12%E8%86%A0%E5%9B%8A-21000000171811?itemId=21012330971353&vendorItemId=21085322201296&sourceType=search&rank=10&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"Eyeclear Eyeclear葉黃素玉米黃素膠囊, 30顆, 3盒",$512,https://www.tw.coupang.com/products/Eyeclear-Eyeclear%E8%91%89%E9%BB%83%E7%B4%A0%E7%8E%89%E7%B1%B3%E9%BB%83%E7%B4%A0%E8%86%A0%E5%9B%8A-21008198215947?itemId=21020973535485&vendorItemId=21077582829254&sourceType=search&rank=11&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"AHN GOOK 葉黃素Plus膠囊, 180顆, 1盒",$772,https://www.tw.coupang.com/products/AHN-GOOK-%E8%91%89%E9%BB%83%E7%B4%A0Plus%E8%86%A0%E5%9B%8A-21008068381430?itemId=21022699973759&vendorItemId=21004284622456&sourceType=search&rank=12&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"HAENA Food 凍乾越橘粉, 100克, 1個",$477,https://www.tw.coupang.com/products/HAENA-Food-%E5%87%8D%E4%B9%BE%E8%B6%8A%E6%A9%98%E7%B2%89-21000069176975?itemId=21000231559025&vendorItemId=21003565252008&sourceType=search&rank=13&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"鍾根堂 葉黃素, 90顆, 1盒",$485,https://www.tw.coupang.com/products/%E9%8D%BE%E6%A0%B9%E5%A0%82-%E8%91%89%E9%BB%83%E7%B4%A0-21006912100882?itemId=21016661541070&vendorItemId=21003340001459&sourceType=search&rank=14&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"CENOVIS 聖諾 Omega-3膠囊, 62顆, 2罐",$764,https://www.tw.coupang.com/products/CENOVIS-%E8%81%96%E8%AB%BE-Omega-3%E8%86%A0%E5%9B%8A-21007826166816?itemId=21021271836276&vendorItemId=21084639400297&sourceType=search&rank=15&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"HOLIDAYS 高品質葉黃素膠囊, 90顆, 3罐",$675,https://www.tw.coupang.com/products/HOLIDAYS-%E9%AB%98%E5%93%81%E8%B3%AA%E8%91%89%E9%BB%83%E7%B4%A0%E8%86%A0%E5%9B%8A-21007621518408?itemId=21018172824629&vendorItemId=21085322115445&sourceType=search&rank=16&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"WELLIFE 小球藻NEW, 1400顆, 1盒","$1,273",https://www.tw.coupang.com/products/WELLIFE-%E5%B0%8F%E7%90%83%E8%97%BBNEW-21007591834488?itemId=21020063484437&vendorItemId=21005532709185&sourceType=search&rank=17&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"TFT Vivacity Gummy Jelly 葉黃素漿果混合口味 4g, 62顆, 1罐",$321,https://www.tw.coupang.com/products/TFT-Vivacity-Gummy-Jelly-%E8%91%89%E9%BB%83%E7%B4%A0%E6%BC%BF%E6%9E%9C%E6%B7%B7%E5%90%88%E5%8F%A3%E5%91%B3-4g-21006473141984?itemId=21017753878310&vendorItemId=21070031644581&sourceType=search&rank=18&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
"naturalplus 葉黃素plus膠囊, 30顆, 6盒",$551,https://www.tw.coupang.com/products/naturalplus-%E8%91%89%E9%BB%83%E7%B4%A0plus%E8%86%A0%E5%9B%8A-21000251080660?itemId=21000792399560&vendorItemId=21005011056811&sourceType=search&rank=19&searchId=fe9ae3bc00ac403296a70b83635784d5&q=%E6%81%A2%E5%BE%A9%E8%A6%96%E5%8A%9B
