product_name,product_price,product_url
like-it 夾縫疊疊洗衣提籃,$524,https://www.tw.coupang.com/products/like-it-%E5%A4%BE%E7%B8%AB%E7%96%8A%E7%96%8A%E6%B4%97%E8%A1%A3%E6%8F%90%E7%B1%83-152305290690567?itemId=152305668161543&vendorItemId=152305668161537&sourceType=search&rank=&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
食物網圈,$57,https://www.tw.coupang.com/products/%E9%A3%9F%E7%89%A9%E7%B6%B2%E5%9C%88-21000001296008?itemId=21000005619679&vendorItemId=21003007118781&sourceType=search&rank=1&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
KOVEA 旅行網袋2,$430,https://www.tw.coupang.com/products/KOVEA-%E6%97%85%E8%A1%8C%E7%B6%B2%E8%A2%8B2-21001218679204?itemId=21002208934273&vendorItemId=21088780317139&sourceType=search&rank=2&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
瀝水架,$573,https://www.tw.coupang.com/products/%E7%80%9D%E6%B0%B4%E6%9E%B6-21001601826775?itemId=21002735989017&vendorItemId=21075658647971&sourceType=search&rank=3&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
五斗櫃,$244,https://www.tw.coupang.com/products/%E4%BA%94%E6%96%97%E6%AB%83-21004711820540?itemId=21005945959920&vendorItemId=21075195127149&sourceType=search&rank=4&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
通用拉伸板,$690,https://www.tw.coupang.com/products/%E9%80%9A%E7%94%A8%E6%8B%89%E4%BC%B8%E6%9D%BF-21000050124288?itemId=21000176656742&vendorItemId=21076170722135&sourceType=search&rank=5&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
ms camping 反光營繩,$332,https://www.tw.coupang.com/products/ms-camping-%E5%8F%8D%E5%85%89%E7%87%9F%E7%B9%A9-21000327088218?itemId=21001046648028&vendorItemId=21075332979210&sourceType=search&rank=6&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
卡車橡膠繩,$124,https://www.tw.coupang.com/products/%E5%8D%A1%E8%BB%8A%E6%A9%A1%E8%86%A0%E7%B9%A9-21001543563828?itemId=21002643115160&vendorItemId=21076017212740&sourceType=search&rank=7&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
護桿 2p,$394,https://www.tw.coupang.com/products/%E8%AD%B7%E6%A1%BF-2p-21004891021779?itemId=21006374558717&vendorItemId=21076149833222&sourceType=search&rank=8&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
防蚊門簾,$239,https://www.tw.coupang.com/products/%E9%98%B2%E8%9A%8A%E9%96%80%E7%B0%BE-21005801123134?itemId=21009949964737&vendorItemId=21077396671381&sourceType=search&rank=9&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
鋼壓縮桿,$355,https://www.tw.coupang.com/products/%E9%8B%BC%E5%A3%93%E7%B8%AE%E6%A1%BF-21000002152933?itemId=21000009776968&vendorItemId=21003014229717&sourceType=search&rank=10&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
滑輪底座 75號,$795,https://www.tw.coupang.com/products/%E6%BB%91%E8%BC%AA%E5%BA%95%E5%BA%A7-75%E8%99%9F-21001518928736?itemId=21002606469819&vendorItemId=21070638504930&sourceType=search&rank=11&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
花邊壁掛,$389,https://www.tw.coupang.com/products/%E8%8A%B1%E9%82%8A%E5%A3%81%E6%8E%9B-21001912153426?itemId=21003246419153&vendorItemId=21075797589065&sourceType=search&rank=12&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
牛腩下蒸籠用片狀食物網,$167,https://www.tw.coupang.com/products/%E7%89%9B%E8%85%A9%E4%B8%8B%E8%92%B8%E7%B1%A0%E7%94%A8%E7%89%87%E7%8B%80%E9%A3%9F%E7%89%A9%E7%B6%B2-21001659222837?itemId=21002826738440&vendorItemId=21070850877040&sourceType=search&rank=13&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
鹿票,$276,https://www.tw.coupang.com/products/%E9%B9%BF%E7%A5%A8-21000001742605?itemId=21000007746988&vendorItemId=21003010505961&sourceType=search&rank=14&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
Artmate 鉛筆盒,$388,https://www.tw.coupang.com/products/Artmate-%E9%89%9B%E7%AD%86%E7%9B%92-21007168652265?itemId=21018055239029&vendorItemId=21085209144230&sourceType=search&rank=15&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
牛腩下蒸籠用片狀食物網,$154,https://www.tw.coupang.com/products/%E7%89%9B%E8%85%A9%E4%B8%8B%E8%92%B8%E7%B1%A0%E7%94%A8%E7%89%87%E7%8B%80%E9%A3%9F%E7%89%A9%E7%B6%B2-21001659222703?itemId=21002826738023&vendorItemId=21070850877026&sourceType=search&rank=16&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
寵物公仔羊貓大碟刷羊毛氈工具,$296,https://www.tw.coupang.com/products/%E5%AF%B5%E7%89%A9%E5%85%AC%E4%BB%94%E7%BE%8A%E8%B2%93%E5%A4%A7%E7%A2%9F%E5%88%B7%E7%BE%8A%E6%AF%9B%E6%B0%88%E5%B7%A5%E5%85%B7-21001794851325?itemId=21003053573819&vendorItemId=21076332953378&sourceType=search&rank=17&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
帆布畫,$546,https://www.tw.coupang.com/products/%E5%B8%86%E5%B8%83%E7%95%AB-21000263149349?itemId=21000824493358&vendorItemId=21005096406989&sourceType=search&rank=18&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
方盒袋,$239,https://www.tw.coupang.com/products/%E6%96%B9%E7%9B%92%E8%A2%8B-21002160226231?itemId=21003669722293&vendorItemId=21071958474263&sourceType=search&rank=19&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
矩形托盤,$188,https://www.tw.coupang.com/products/%E7%9F%A9%E5%BD%A2%E6%89%98%E7%9B%A4-21000001317847?itemId=21000005706238&vendorItemId=21003007245329&sourceType=search&rank=20&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
框架打開,$680,https://www.tw.coupang.com/products/%E6%A1%86%E6%9E%B6%E6%89%93%E9%96%8B-21000001939938?itemId=21000008626863&vendorItemId=21003012073697&sourceType=search&rank=21&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
PETALS 方架,$536,https://www.tw.coupang.com/products/PETALS-%E6%96%B9%E6%9E%B6-21000000099611?itemId=21000000194368&vendorItemId=21003000111144&sourceType=search&rank=22&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
魚叉2邊桌棉桌布,$650,https://www.tw.coupang.com/products/%E9%AD%9A%E5%8F%892%E9%82%8A%E6%A1%8C%E6%A3%89%E6%A1%8C%E5%B8%83-21000001211819?itemId=21000005259393&vendorItemId=21003006565080&sourceType=search&rank=23&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
鋼架 3pcs,$567,https://www.tw.coupang.com/products/%E9%8B%BC%E6%9E%B6-3pcs-21005270218145?itemId=21007509222850&vendorItemId=21076147349088&sourceType=search&rank=24&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
板點貼紙,$247,https://www.tw.coupang.com/products/%E6%9D%BF%E9%BB%9E%E8%B2%BC%E7%B4%99-21000002138686?itemId=21000009699102&vendorItemId=21003014090197&sourceType=search&rank=25&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
開普勒長途3層包,"$1,523",https://www.tw.coupang.com/products/%E9%96%8B%E6%99%AE%E5%8B%92%E9%95%B7%E9%80%943%E5%B1%A4%E5%8C%85-21005716657219?itemId=21009548673356&vendorItemId=21077481091290&sourceType=search&rank=26&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
露營帆布桿收納袋,$260,https://www.tw.coupang.com/products/%E9%9C%B2%E7%87%9F%E5%B8%86%E5%B8%83%E6%A1%BF%E6%94%B6%E7%B4%8D%E8%A2%8B-21006211392357?itemId=21012382747793&vendorItemId=21090388379405&sourceType=search&rank=27&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
"多功能彈性網 35*35cm, 紅色, 1入",$145,https://www.tw.coupang.com/products/%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%BD%88%E6%80%A7%E7%B6%B2-35*35cm-21000151844276?itemId=21000438365029&vendorItemId=21004083882968&sourceType=search&rank=28&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
卡車木樁,$110,https://www.tw.coupang.com/products/%E5%8D%A1%E8%BB%8A%E6%9C%A8%E6%A8%81-21001604639339?itemId=21002740674976&vendorItemId=21076017215051&sourceType=search&rank=29&searchId=82bf719cf2064099b4ce217804d5d919&q=%E6%8B%89%E7%B6%B2
水鏢圍裙,$718,https://www.tw.coupang.com/products/%E6%B0%B4%E9%8F%A2%E5%9C%8D%E8%A3%99-21000002797963?itemId=21000012944195&vendorItemId=21003019793029&sourceType=search&rank=&searchId=ff63ece08f73473cacee84dfff079f41&q=%E6%8B%89%E7%B6%B2
39 斜倚的女人,$195,https://www.tw.coupang.com/products/39-%E6%96%9C%E5%80%9A%E7%9A%84%E5%A5%B3%E4%BA%BA-21005256420345?itemId=21007458801162&vendorItemId=21074749715083&sourceType=search&rank=1&searchId=ff63ece08f73473cacee84dfff079f41&q=%E6%8B%89%E7%B6%B2
童話,$373,https://www.tw.coupang.com/products/%E7%AB%A5%E8%A9%B1-21000001453547?itemId=21000006337915&vendorItemId=21003008239983&sourceType=search&rank=2&searchId=ff63ece08f73473cacee84dfff079f41&q=%E6%8B%89%E7%B6%B2
花園下,$373,https://www.tw.coupang.com/products/%E8%8A%B1%E5%9C%92%E4%B8%8B-21000001453605?itemId=21000006337987&vendorItemId=21003008240051&sourceType=search&rank=3&searchId=ff63ece08f73473cacee84dfff079f41&q=%E6%8B%89%E7%B6%B2
