product_name,product_price,product_url
comet 拳擊訓練反應球,$168,https://www.tw.coupang.com/products/comet-%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E5%8F%8D%E6%87%89%E7%90%83-21006215295856?itemId=21012409642516&vendorItemId=21079679091032&sourceType=search&rank=&searchId=a24a9127bf8f458f9d567ed7c324b66d&q=%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E6%A9%9F
"NOSBIKE 拳擊訓練球組 初學者款+專家款, 黑色(適合專家)+藍色(適合初學者)",$373,https://www.tw.coupang.com/products/NOSBIKE-%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E7%90%83%E7%B5%84-%E5%88%9D%E5%AD%B8%E8%80%85%E6%AC%BE%2B%E5%B0%88%E5%AE%B6%E6%AC%BE-21002068289061?itemId=21003514441793&vendorItemId=21085935935505&sourceType=search&rank=1&searchId=a24a9127bf8f458f9d567ed7c324b66d&q=%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E6%A9%9F
"拳擊反應速度訓練拳擊球, 08單球綠",$234,https://www.tw.coupang.com/products/%E6%8B%B3%E6%93%8A%E5%8F%8D%E6%87%89%E9%80%9F%E5%BA%A6%E8%A8%93%E7%B7%B4%E6%8B%B3%E6%93%8A%E7%90%83-21007316730628?itemId=21018756480806&vendorItemId=21085888377189&sourceType=search&rank=2&searchId=a24a9127bf8f458f9d567ed7c324b66d&q=%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E6%A9%9F
"OON 居家運動拳擊訓練組, 混色",$239,https://www.tw.coupang.com/products/OON-%E5%B1%85%E5%AE%B6%E9%81%8B%E5%8B%95%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E7%B5%84-21005258037124?itemId=21007463740685&vendorItemId=21074754604223&sourceType=search&rank=3&searchId=a24a9127bf8f458f9d567ed7c324b66d&q=%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E6%A9%9F
"拳擊雙葉手靶, 黑色的",$169,https://www.tw.coupang.com/products/%E6%8B%B3%E6%93%8A%E9%9B%99%E8%91%89%E6%89%8B%E9%9D%B6-21005156643778?itemId=21006173334606&vendorItemId=21073469395853&sourceType=search&rank=4&searchId=a24a9127bf8f458f9d567ed7c324b66d&q=%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E6%A9%9F
"Baegot拳擊練習踢球, 紅色 黑色",$210,https://www.tw.coupang.com/products/Baegot%E6%8B%B3%E6%93%8A%E7%B7%B4%E7%BF%92%E8%B8%A2%E7%90%83-21006729303806?itemId=21015674641867&vendorItemId=21082890129971&sourceType=search&rank=5&searchId=a24a9127bf8f458f9d567ed7c324b66d&q=%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E6%A9%9F
"Baramance 拳擊目標訓練設備矩形, 黑藍",$600,https://www.tw.coupang.com/products/Baramance-%E6%8B%B3%E6%93%8A%E7%9B%AE%E6%A8%99%E8%A8%93%E7%B7%B4%E8%A8%AD%E5%82%99%E7%9F%A9%E5%BD%A2-21007340624894?itemId=21018865931763&vendorItemId=21085994807200&sourceType=search&rank=6&searchId=a24a9127bf8f458f9d567ed7c324b66d&q=%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E6%A9%9F
"踢踏球拳擊訓練08 加厚高彈性8字扣頭帶+2種PU球+網球套裝, 紅、黑（PU球）、黃（網球）",$368,https://www.tw.coupang.com/products/%E8%B8%A2%E8%B8%8F%E7%90%83%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B408-%E5%8A%A0%E5%8E%9A%E9%AB%98%E5%BD%88%E6%80%A78%E5%AD%97%E6%89%A3%E9%A0%AD%E5%B8%B6%2B2%E7%A8%AEPU%E7%90%83%2B%E7%B6%B2%E7%90%83%E5%A5%97%E8%A3%9D-21007417165355?itemId=21019232482397&vendorItemId=21086348964105&sourceType=search&rank=7&searchId=a24a9127bf8f458f9d567ed7c324b66d&q=%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E6%A9%9F
"跆拳道拳擊架安全氣囊+打氣筒, 黑色的",$251,https://www.tw.coupang.com/products/%E8%B7%86%E6%8B%B3%E9%81%93%E6%8B%B3%E6%93%8A%E6%9E%B6%E5%AE%89%E5%85%A8%E6%B0%A3%E5%9B%8A%2B%E6%89%93%E6%B0%A3%E7%AD%92-21005684223159?itemId=21009395331206&vendorItemId=21076680351987&sourceType=search&rank=8&searchId=a24a9127bf8f458f9d567ed7c324b66d&q=%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E6%A9%9F
"soonZAM 運動鍛煉手腕腳踝沙袋魔鬼氈配重帶 2條入, 4kg, 藍色+黑色",$273,https://www.tw.coupang.com/products/soonZAM-%E9%81%8B%E5%8B%95%E9%8D%9B%E7%85%89%E6%89%8B%E8%85%95%E8%85%B3%E8%B8%9D%E6%B2%99%E8%A2%8B%E9%AD%94%E9%AC%BC%E6%B0%88%E9%85%8D%E9%87%8D%E5%B8%B6-2%E6%A2%9D%E5%85%A5-21007314854983?itemId=21018747590191&vendorItemId=21085879656213&sourceType=search&rank=9&searchId=a24a9127bf8f458f9d567ed7c324b66d&q=%E6%8B%B3%E6%93%8A%E8%A8%93%E7%B7%B4%E6%A9%9F
