product_name,product_price,product_url
"搖錢樹蟾蜍擺飾, 金子","$1,904",https://www.tw.coupang.com/products/%E6%90%96%E9%8C%A2%E6%A8%B9%E8%9F%BE%E8%9C%8D%E6%93%BA%E9%A3%BE-21006109195107?itemId=21011502711552&vendorItemId=21078777915250&sourceType=search&rank=&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
"ARTJOY 數字油畫DIY組 40*50cm, 金色搖錢樹(金珍珠)",$350,https://www.tw.coupang.com/products/ARTJOY-%E6%95%B8%E5%AD%97%E6%B2%B9%E7%95%ABDIY%E7%B5%84-40*50cm-21000001270908?itemId=21009341884476&vendorItemId=21076627156066&sourceType=search&rank=1&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
"古晉島 更大的財富繁榮 Rich rich 黃金搖錢樹, 金色","$1,185",https://www.tw.coupang.com/products/%E5%8F%A4%E6%99%89%E5%B3%B6-%E6%9B%B4%E5%A4%A7%E7%9A%84%E8%B2%A1%E5%AF%8C%E7%B9%81%E6%A6%AE-Rich-rich-%E9%BB%83%E9%87%91%E6%90%96%E9%8C%A2%E6%A8%B9-21007465050749?itemId=21018178689778&vendorItemId=21085646606211&sourceType=search&rank=2&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
"HEYEO 3D Jewel Cross DIY包, 1套, 65金財財號（BH-251）",$600,https://www.tw.coupang.com/products/HEYEO-3D-Jewel-Cross-DIY%E5%8C%85-21006013192511?itemId=21010914207397&vendorItemId=21082674108798&sourceType=search&rank=3&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
"古晉島金錢崩盤 招財進寶 獲得財富 金框 招財進寶 黃金搖錢樹, 金色",$690,https://www.tw.coupang.com/products/%E5%8F%A4%E6%99%89%E5%B3%B6%E9%87%91%E9%8C%A2%E5%B4%A9%E7%9B%A4-%E6%8B%9B%E8%B2%A1%E9%80%B2%E5%AF%B6-%E7%8D%B2%E5%BE%97%E8%B2%A1%E5%AF%8C-%E9%87%91%E6%A1%86-%E6%8B%9B%E8%B2%A1%E9%80%B2%E5%AF%B6-%E9%BB%83%E9%87%91%E6%90%96%E9%8C%A2%E6%A8%B9-21007465052211?itemId=21018190770748&vendorItemId=21086146960006&sourceType=search&rank=4&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
"金錢樹裝飾品 35E25-125, 單色",$333,https://www.tw.coupang.com/products/%E9%87%91%E9%8C%A2%E6%A8%B9%E8%A3%9D%E9%A3%BE%E5%93%81-35E25-125-21001801437608?itemId=21003065086116&vendorItemId=21071053031342&sourceType=search&rank=5&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
"搖錢樹公牛擺飾, 金子","$2,864",https://www.tw.coupang.com/products/%E6%90%96%E9%8C%A2%E6%A8%B9%E5%85%AC%E7%89%9B%E6%93%BA%E9%A3%BE-21006109195120?itemId=21011502711576&vendorItemId=21078777915319&sourceType=search&rank=6&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
"JH Company 金錢樹擺飾 35E25-127, 混色","$1,644",https://www.tw.coupang.com/products/JH-Company-%E9%87%91%E9%8C%A2%E6%A8%B9%E6%93%BA%E9%A3%BE-35E25-127-21001765717590?itemId=21003006609293&vendorItemId=21070994829624&sourceType=search&rank=7&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
Kuching island 搖錢樹財富滾滾來樹,"$1,185",https://www.tw.coupang.com/products/Kuching-island-%E6%90%96%E9%8C%A2%E6%A8%B9%E8%B2%A1%E5%AF%8C%E6%BB%BE%E6%BB%BE%E4%BE%86%E6%A8%B9-21007372772979?itemId=21018178689714&vendorItemId=21086147098900&sourceType=search&rank=8&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
Kuching island 搖錢樹財富滾滾來樹,"$1,170",https://www.tw.coupang.com/products/Kuching-island-%E6%90%96%E9%8C%A2%E6%A8%B9%E8%B2%A1%E5%AF%8C%E6%BB%BE%E6%BB%BE%E4%BE%86%E6%A8%B9-21007465062869?itemId=21018178689716&vendorItemId=21086147098765&sourceType=search&rank=9&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
"Kuching island 搖錢樹財富滾滾來樹, 金色","$1,195",https://www.tw.coupang.com/products/Kuching-island-%E6%90%96%E9%8C%A2%E6%A8%B9%E8%B2%A1%E5%AF%8C%E6%BB%BE%E6%BB%BE%E4%BE%86%E6%A8%B9-21007198599054?itemId=21018178689713&vendorItemId=21086147098764&sourceType=search&rank=10&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
"金錢樹金屬相框, 金金屬","$1,001",https://www.tw.coupang.com/products/%E9%87%91%E9%8C%A2%E6%A8%B9%E9%87%91%E5%B1%AC%E7%9B%B8%E6%A1%86-21001084319390?itemId=21002037989102&vendorItemId=21070687581247&sourceType=search&rank=11&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
"Kuching island 搖錢樹財富滾滾來樹, 金色","$1,185",https://www.tw.coupang.com/products/Kuching-island-%E6%90%96%E9%8C%A2%E6%A8%B9%E8%B2%A1%E5%AF%8C%E6%BB%BE%E6%BB%BE%E4%BE%86%E6%A8%B9-21008098751688?itemId=21018178689715&vendorItemId=21086147098769&sourceType=search&rank=12&searchId=a7dd73940d104c4982e4142dfc68107b&q=%E6%90%96%E9%8C%A2%E6%A8%B9
