product_name,product_price,product_url
"COCODOR 珂珂朵爾 Reed Diffuser 經典擴香瓶 擴香瓶 + 擴香棒5支, 森林書店, 200ml, 1組",$199,https://www.tw.coupang.com/products/COCODOR-%E7%8F%82%E7%8F%82%E6%9C%B5%E7%88%BE-Reed-Diffuser-%E7%B6%93%E5%85%B8%E6%93%B4%E9%A6%99%E7%93%B6-%E6%93%B4%E9%A6%99%E7%93%B6-%2B-%E6%93%B4%E9%A6%99%E6%A3%925%E6%94%AF-455586940436483?itemId=455586940387329&vendorItemId=455586940403713&sourceType=search&rank=&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"國衛 香茅油精噴霧, 500ml, 1瓶",$88,https://www.tw.coupang.com/products/%E5%9C%8B%E8%A1%9B-%E9%A6%99%E8%8C%85%E6%B2%B9%E7%B2%BE%E5%99%B4%E9%9C%A7-415997936762880?itemId=415997936779264&vendorItemId=415997936746496&sourceType=search&rank=1&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"新光洋菜 嫩精, 440g, 1瓶",$84,https://www.tw.coupang.com/products/%E6%96%B0%E5%85%89%E6%B4%8B%E8%8F%9C-%E5%AB%A9%E7%B2%BE-455580816719873?itemId=455580816719874&vendorItemId=455580812558341&sourceType=search&rank=2&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"EASE 簡易淨 檸檬防蟲精華液, 500ml, 1瓶",$175,https://www.tw.coupang.com/products/EASE-%E7%B0%A1%E6%98%93%E6%B7%A8-%E6%AA%B8%E6%AA%AC%E9%98%B2%E8%9F%B2%E7%B2%BE%E8%8F%AF%E6%B6%B2-455241161965571?itemId=455241161965572&vendorItemId=455241161981955&sourceType=search&rank=3&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"OSMI 歐絲密 沉香艾草香囊 平安納福去瘴, 25g, 1包",$121,https://www.tw.coupang.com/products/OSMI-%E6%AD%90%E7%B5%B2%E5%AF%86-%E6%B2%89%E9%A6%99%E8%89%BE%E8%8D%89%E9%A6%99%E5%9B%8A-%E5%B9%B3%E5%AE%89%E7%B4%8D%E7%A6%8F%E5%8E%BB%E7%98%B4-455579088683008?itemId=455579088666624&vendorItemId=455579084505089&sourceType=search&rank=4&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"unopan 屋諾 雪糕模 UN23012 175 x 88 x 19mm, 2連櫻花, 1組",$101,https://www.tw.coupang.com/products/unopan-%E5%B1%8B%E8%AB%BE-%E9%9B%AA%E7%B3%95%E6%A8%A1-UN23012-175-x-88-x-19mm-452659454656516?itemId=452659454607366&vendorItemId=452659454623748&sourceType=search&rank=5&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"HERAN 禾聯 電子遙控壁掛扇 420 x 480 x 280mm 2.8kg, HLF-14CH52A",$810,https://www.tw.coupang.com/products/HERAN-%E7%A6%BE%E8%81%AF-%E9%9B%BB%E5%AD%90%E9%81%99%E6%8E%A7%E5%A3%81%E6%8E%9B%E6%89%87-420-x-480-x-280mm-2.8kg-450914661941250?itemId=450914661908485&vendorItemId=450914661908481&sourceType=search&rank=6&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"LEGO 10418 艾莎 + 布魯尼的森林歷險 Elsa + Bruni in the Enchanted Forest, 1盒",$610,https://www.tw.coupang.com/products/LEGO-10418-%E8%89%BE%E8%8E%8E-%2B-%E5%B8%83%E9%AD%AF%E5%B0%BC%E7%9A%84%E6%A3%AE%E6%9E%97%E6%AD%B7%E9%9A%AA-Elsa-%2B-Bruni-in-the-Enchanted-Forest-455173222629378?itemId=455173222678534&vendorItemId=455173222662145&sourceType=search&rank=7&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"EASE 簡易淨 檸檬防蟲精華液, 500ml, 2瓶",$350,https://www.tw.coupang.com/products/EASE-%E7%B0%A1%E6%98%93%E6%B7%A8-%E6%AA%B8%E6%AA%AC%E9%98%B2%E8%9F%B2%E7%B2%BE%E8%8F%AF%E6%B6%B2-455241161965571?itemId=465380703141892&vendorItemId=465380703141889&sourceType=search&rank=8&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"國衛 香茅油精噴霧, 500ml, 2瓶",$176,https://www.tw.coupang.com/products/%E5%9C%8B%E8%A1%9B-%E9%A6%99%E8%8C%85%E6%B2%B9%E7%B2%BE%E5%99%B4%E9%9C%A7-415997936762880?itemId=435312333373448&vendorItemId=435312333389832&sourceType=search&rank=9&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"roof garden 淳萃黑蒜滴雞精禮盒 附350ml燜燒罐, 1.2L, 1盒","$2,500",https://www.tw.coupang.com/products/roof-garden-%E6%B7%B3%E8%90%83%E9%BB%91%E8%92%9C%E6%BB%B4%E9%9B%9E%E7%B2%BE%E7%A6%AE%E7%9B%92-%E9%99%84350ml%E7%87%9C%E7%87%92%E7%BD%90-413135961784321?itemId=413135961784322&vendorItemId=413135961800704&sourceType=search&rank=10&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"DURANCE 朵昂思 手工香氛蠟燭, 香檸檬佛手柑, 180g, 1個",$872,https://www.tw.coupang.com/products/DURANCE-%E6%9C%B5%E6%98%82%E6%80%9D-%E6%89%8B%E5%B7%A5%E9%A6%99%E6%B0%9B%E8%A0%9F%E7%87%AD-451248696295426?itemId=451248696311812&vendorItemId=451248696311811&sourceType=search&rank=11&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"韓國 ROIBOOKS 3in1飾品組, 森林精靈, 50g, 1組",$227,https://www.tw.coupang.com/products/%E9%9F%93%E5%9C%8B-ROIBOOKS-3in1%E9%A3%BE%E5%93%81%E7%B5%84-221832254816263?itemId=221831554383881&vendorItemId=221832254816258&sourceType=search&rank=12&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"PARANA 金牌咖啡 經典組合 精品咖啡濾掛包禮盒 附提袋, 10g, 1盒, 30包",$857,https://www.tw.coupang.com/products/PARANA-%E9%87%91%E7%89%8C%E5%92%96%E5%95%A1-%E7%B6%93%E5%85%B8%E7%B5%84%E5%90%88-%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1%E6%BF%BE%E6%8E%9B%E5%8C%85%E7%A6%AE%E7%9B%92-%E9%99%84%E6%8F%90%E8%A2%8B-450891324833792?itemId=450891324817408&vendorItemId=450891320590338&sourceType=search&rank=13&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"itzy ritzy 手抓環安撫娃娃, 彩虹, 1個",$232,https://www.tw.coupang.com/products/itzy-ritzy-%E6%89%8B%E6%8A%93%E7%92%B0%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83-459198919819265?itemId=459198919802882&vendorItemId=459198919819264&sourceType=search&rank=14&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"新光洋菜 嫩精, 440g, 2瓶",$168,https://www.tw.coupang.com/products/%E6%96%B0%E5%85%89%E6%B4%8B%E8%8F%9C-%E5%AB%A9%E7%B2%BE-455580816719873?itemId=465382619987972&vendorItemId=465382619971584&sourceType=search&rank=15&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"KINTO TRAIL TUMBLER 律動保溫瓶, 精緻黑, 580ml, 1個",$672,https://www.tw.coupang.com/products/KINTO-TRAIL-TUMBLER-%E5%BE%8B%E5%8B%95%E4%BF%9D%E6%BA%AB%E7%93%B6-455520297140225?itemId=455520297091074&vendorItemId=455520292929538&sourceType=search&rank=16&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
"FAmILyLIFE 生活 多功能側抽式文具遙控器衛生紙盒, 草莓粉, 1組",$97,https://www.tw.coupang.com/products/FAmILyLIFE-%E7%94%9F%E6%B4%BB-%E5%A4%9A%E5%8A%9F%E8%83%BD%E5%81%B4%E6%8A%BD%E5%BC%8F%E6%96%87%E5%85%B7%E9%81%99%E6%8E%A7%E5%99%A8%E8%A1%9B%E7%94%9F%E7%B4%99%E7%9B%92-455205250334728?itemId=455205250351112&vendorItemId=455205250383876&sourceType=search&rank=17&searchId=c62b98a58dc245ae918bbc19b751edd6&q=%E6%96%87%E6%97%A6%E7%B2%BE%E5%93%81
