product_name,product_price,product_url
"Nuby 智能調乳七段式水溫器 365 x 220 x 290mm 5L 3.15kg, 純淨白, 1個","$3,766",https://www.tw.coupang.com/products/Nuby-%E6%99%BA%E8%83%BD%E8%AA%BF%E4%B9%B3%E4%B8%83%E6%AE%B5%E5%BC%8F%E6%B0%B4%E6%BA%AB%E5%99%A8-365-x-220-x-290mm-5L-3.15kg-220059788066817?itemId=220059788066818&vendorItemId=220060559851520&sourceType=search&rank=&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"Nuby 智能七段定溫調乳器 36.5 x 22 x 29cm 3.15kg 5L, 甜心粉, 1個","$3,688",https://www.tw.coupang.com/products/Nuby-%E6%99%BA%E8%83%BD%E4%B8%83%E6%AE%B5%E5%AE%9A%E6%BA%AB%E8%AA%BF%E4%B9%B3%E5%99%A8-36.5-x-22-x-29cm-3.15kg-5L-220059796455426?itemId=220060572434433&vendorItemId=220059796455424&sourceType=search&rank=1&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"nac nac 多功能溫控調乳器, 曜岩黑, 1組","$2,188",https://www.tw.coupang.com/products/nac-nac-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%BA%AB%E6%8E%A7%E8%AA%BF%E4%B9%B3%E5%99%A8-217168998285322?itemId=217428025884674&vendorItemId=217428025884672&sourceType=search&rank=2&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"nac nac 溫控調乳器玻璃壺, 黑色, 1個",$700,https://www.tw.coupang.com/products/nac-nac-%E6%BA%AB%E6%8E%A7%E8%AA%BF%E4%B9%B3%E5%99%A8%E7%8E%BB%E7%92%83%E5%A3%BA-217848974655491?itemId=217849654116365&vendorItemId=217849654116357&sourceType=search&rank=3&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"Snow Bear 小白熊 恆溫調乳器 230*190*255mm, 1個","$2,194",https://www.tw.coupang.com/products/Snow-Bear-%E5%B0%8F%E7%99%BD%E7%86%8A-%E6%81%86%E6%BA%AB%E8%AA%BF%E4%B9%B3%E5%99%A8-230*190*255mm-151184824320001?itemId=151185197596672&vendorItemId=174679641767938&sourceType=search&rank=4&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"Joyoung 九陽 1.6L 雙層抗菌不鏽鋼溫控壺, W16M-KE3G","$1,330",https://www.tw.coupang.com/products/Joyoung-%E4%B9%9D%E9%99%BD-1.6L-%E9%9B%99%E5%B1%A4%E6%8A%97%E8%8F%8C%E4%B8%8D%E9%8F%BD%E9%8B%BC%E6%BA%AB%E6%8E%A7%E5%A3%BA-452701410279424?itemId=452701410263041&vendorItemId=452701406035970&sourceType=search&rank=5&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"KU.KU Duckbill 酷咕鴨 智能溫控調乳器 600W, KU9029, 1個","$1,201",https://www.tw.coupang.com/products/KU.KU-Duckbill-%E9%85%B7%E5%92%95%E9%B4%A8-%E6%99%BA%E8%83%BD%E6%BA%AB%E6%8E%A7%E8%AA%BF%E4%B9%B3%E5%99%A8-600W-451582713888771?itemId=451582713905156&vendorItemId=451582713872389&sourceType=search&rank=6&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"飛利浦 智慧迷你電保溫電鍋 2-3人 白色, HD3064/95","$1,597",https://www.tw.coupang.com/products/%E9%A3%9B%E5%88%A9%E6%B5%A6-%E6%99%BA%E6%85%A7%E8%BF%B7%E4%BD%A0%E9%9B%BB%E4%BF%9D%E6%BA%AB%E9%9B%BB%E9%8D%8B-2-3%E4%BA%BA-%E7%99%BD%E8%89%B2-21007644030682?itemId=21020320038730&vendorItemId=21087405473536&sourceType=search&rank=7&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"BRUNO 【Coupang進口】 Cool Touch 無線電熱水壺 不銹鋼雙層保溫, BCK-2129",$672,https://www.tw.coupang.com/products/BRUNO-%E3%80%90Coupang%E9%80%B2%E5%8F%A3%E3%80%91-Cool-Touch-%E7%84%A1%E7%B7%9A%E9%9B%BB%E7%86%B1%E6%B0%B4%E5%A3%BA-%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%9B%99%E5%B1%A4%E4%BF%9D%E6%BA%AB-21006859305064?itemId=21016370278725&vendorItemId=21083561803107&sourceType=search&rank=8&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"飛利浦PHILIPS 快速食品加熱器/溫奶器 SCF358/00, 單色, 1入","$1,930",https://www.tw.coupang.com/products/%E9%A3%9B%E5%88%A9%E6%B5%A6PHILIPS-%E5%BF%AB%E9%80%9F%E9%A3%9F%E5%93%81%E5%8A%A0%E7%86%B1%E5%99%A8%2F%E6%BA%AB%E5%A5%B6%E5%99%A8-SCF358%2F00-21007673367005?itemId=21020475850340&vendorItemId=21071343307389&sourceType=search&rank=9&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"Hanil medical 電坐墊溫控器2PIN, 1個, 單品",$238,https://www.tw.coupang.com/products/Hanil-medical-%E9%9B%BB%E5%9D%90%E5%A2%8A%E6%BA%AB%E6%8E%A7%E5%99%A82PIN-21007972307096?itemId=21022086707165&vendorItemId=21089133740025&sourceType=search&rank=10&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"AGAFURA 2代便攜式溫奶器, 1入, 粉色",$808,https://www.tw.coupang.com/products/AGAFURA-2%E4%BB%A3%E4%BE%BF%E6%94%9C%E5%BC%8F%E6%BA%AB%E5%A5%B6%E5%99%A8-21006269247211?itemId=21012811822435&vendorItemId=21080077741950&sourceType=search&rank=11&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"domus Baro Pot 智能溫控即熱式熱水器, DHP-60ZL（松綠）","$1,351",https://www.tw.coupang.com/products/domus-Baro-Pot-%E6%99%BA%E8%83%BD%E6%BA%AB%E6%8E%A7%E5%8D%B3%E7%86%B1%E5%BC%8F%E7%86%B1%E6%B0%B4%E5%99%A8-21007025863226?itemId=21017321683154&vendorItemId=21084492406402&sourceType=search&rank=12&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
"ABKO Oella智能奶粉壺, OI-MP01","$1,161",https://www.tw.coupang.com/products/ABKO-Oella%E6%99%BA%E8%83%BD%E5%A5%B6%E7%B2%89%E5%A3%BA-21006694635061?itemId=21015483618551&vendorItemId=21082703034855&sourceType=search&rank=13&searchId=a15141c914494cb5b344563f3c06a11d&q=%E6%99%BA%E6%85%A7%E6%8E%A7%E6%BA%AB
