product_name,product_price,product_url
"Dr.Morita 森田藥粧 曬後蘆薈凝露, 150ml, 1瓶",$66,https://www.tw.coupang.com/products/Dr.Morita-%E6%A3%AE%E7%94%B0%E8%97%A5%E7%B2%A7-%E6%9B%AC%E5%BE%8C%E8%98%86%E8%96%88%E5%87%9D%E9%9C%B2-277601364983814?itemId=169637304025098&vendorItemId=169638251954179&sourceType=search&rank=&searchId=5af74e3b3a87499586717bbaa4f69083&q=%E6%9B%AC%E5%BE%8C
"TOOFRUIT 兒童曬後修護凝膠, 150ml, 1條",$650,https://www.tw.coupang.com/products/TOOFRUIT-%E5%85%92%E7%AB%A5%E6%9B%AC%E5%BE%8C%E4%BF%AE%E8%AD%B7%E5%87%9D%E8%86%A0-199311283404806?itemId=199311941943301&vendorItemId=199311941943297&sourceType=search&rank=1&searchId=5af74e3b3a87499586717bbaa4f69083&q=%E6%9B%AC%E5%BE%8C
"GREEN FINGER 綠手指 曬後護理凝膠 蘆薈香味, 150ml, 1個",$223,https://www.tw.coupang.com/products/GREEN-FINGER-%E7%B6%A0%E6%89%8B%E6%8C%87-%E6%9B%AC%E5%BE%8C%E8%AD%B7%E7%90%86%E5%87%9D%E8%86%A0-%E8%98%86%E8%96%88%E9%A6%99%E5%91%B3-21000003276663?itemId=21018817643799&vendorItemId=21085433567946&sourceType=search&rank=2&searchId=5af74e3b3a87499586717bbaa4f69083&q=%E6%9B%AC%E5%BE%8C
"auau 曬後修復美白霜, 300g, 1個",$745,https://www.tw.coupang.com/products/auau-%E6%9B%AC%E5%BE%8C%E4%BF%AE%E5%BE%A9%E7%BE%8E%E7%99%BD%E9%9C%9C-21007505508793?itemId=21019655524951&vendorItemId=21086761425718&sourceType=search&rank=3&searchId=5af74e3b3a87499586717bbaa4f69083&q=%E6%9B%AC%E5%BE%8C
"Ujelly 優綺麗 曬後修護涼感面膜, 23ml, 2片",$54,https://www.tw.coupang.com/products/Ujelly-%E5%84%AA%E7%B6%BA%E9%BA%97-%E6%9B%AC%E5%BE%8C%E4%BF%AE%E8%AD%B7%E6%B6%BC%E6%84%9F%E9%9D%A2%E8%86%9C-277692490432515?itemId=390741301903375&vendorItemId=390741301903371&sourceType=search&rank=4&searchId=5af74e3b3a87499586717bbaa4f69083&q=%E6%9B%AC%E5%BE%8C
"HOLIKA HOLIKA 99% 舒緩蘆薈凝膠, 55ml, 2條",$96,https://www.tw.coupang.com/products/HOLIKA-HOLIKA-99%25-%E8%88%92%E7%B7%A9%E8%98%86%E8%96%88%E5%87%9D%E8%86%A0-248231606861828?itemId=428430327775237&vendorItemId=428430327791618&sourceType=search&rank=5&searchId=5af74e3b3a87499586717bbaa4f69083&q=%E6%9B%AC%E5%BE%8C
"TOUCH ME 蘆薈舒緩凝膠, 1L, 1瓶",$159,https://www.tw.coupang.com/products/TOUCH-ME-%E8%98%86%E8%96%88%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0-248232311488516?itemId=242821025988623&vendorItemId=242819318890503&sourceType=search&rank=6&searchId=5af74e3b3a87499586717bbaa4f69083&q=%E6%9B%AC%E5%BE%8C
"AROMATICA 艾瑪植萃 舒緩蘆薈凝膠, 500ml, 1罐",$130,https://www.tw.coupang.com/products/AROMATICA-%E8%89%BE%E7%91%AA%E6%A4%8D%E8%90%83-%E8%88%92%E7%B7%A9%E8%98%86%E8%96%88%E5%87%9D%E8%86%A0-319320437506058?itemId=248230587613196&vendorItemId=248231518781448&sourceType=search&rank=7&searchId=5af74e3b3a87499586717bbaa4f69083&q=%E6%9B%AC%E5%BE%8C
"NARD 蘆薈凝膠, 1L, 1瓶",$170,https://www.tw.coupang.com/products/NARD-%E8%98%86%E8%96%88%E5%87%9D%E8%86%A0-248232349237254?itemId=248230587613194&vendorItemId=248230587613191&sourceType=search&rank=8&searchId=5af74e3b3a87499586717bbaa4f69083&q=%E6%9B%AC%E5%BE%8C
"TONYMOLY 99%蘆薈保濕舒緩凝膠, 250ml, 3條",$216,https://www.tw.coupang.com/products/TONYMOLY-99%25%E8%98%86%E8%96%88%E4%BF%9D%E6%BF%95%E8%88%92%E7%B7%A9%E5%87%9D%E8%86%A0-230530792538118?itemId=230531534913545&vendorItemId=230531534913537&sourceType=search&rank=9&searchId=5af74e3b3a87499586717bbaa4f69083&q=%E6%9B%AC%E5%BE%8C
