product_name,product_price,product_url
"台灣尋味錄 澎湖灣白板條, 80g, 3包",$86,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3%E5%B0%8B%E5%91%B3%E9%8C%84-%E6%BE%8E%E6%B9%96%E7%81%A3%E7%99%BD%E6%9D%BF%E6%A2%9D-167425744011268?itemId=367548516204551&vendorItemId=367548516237314&sourceType=search&rank=&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"新東陽 泰式打拋風味豬, 130g, 3盒",$127,https://www.tw.coupang.com/products/%E6%96%B0%E6%9D%B1%E9%99%BD-%E6%B3%B0%E5%BC%8F%E6%89%93%E6%8B%8B%E9%A2%A8%E5%91%B3%E8%B1%AC-227662106673155?itemId=281263894151183&vendorItemId=277697037041665&sourceType=search&rank=1&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"台灣尋味錄 澎湖灣鐵板燒, 110g, 3包",$90,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3%E5%B0%8B%E5%91%B3%E9%8C%84-%E6%BE%8E%E6%B9%96%E7%81%A3%E9%90%B5%E6%9D%BF%E7%87%92-167425295237124?itemId=367548512010253&vendorItemId=367548512043014&sourceType=search&rank=2&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"台灣尋味錄 澎湖灣紅角, 110g, 3包",$86,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3%E5%B0%8B%E5%91%B3%E9%8C%84-%E6%BE%8E%E6%B9%96%E7%81%A3%E7%B4%85%E8%A7%92-167425744011270?itemId=367548516220933&vendorItemId=367548516237313&sourceType=search&rank=3&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"台灣尋味錄 澎湖灣紅片, 80g, 3包",$88,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3%E5%B0%8B%E5%91%B3%E9%8C%84-%E6%BE%8E%E6%B9%96%E7%81%A3%E7%B4%85%E7%89%87-167424821248001?itemId=367548512059396&vendorItemId=367548512059392&sourceType=search&rank=4&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"金安記 蜜汁豬肉乾, 60g, 2包",$71,https://www.tw.coupang.com/products/%E9%87%91%E5%AE%89%E8%A8%98-%E8%9C%9C%E6%B1%81%E8%B1%AC%E8%82%89%E4%B9%BE-161724351070220?itemId=392560082124803&vendorItemId=392560082108417&sourceType=search&rank=5&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"台糖 安心豚豬肉醬 五香, 160g, 3罐",$79,https://www.tw.coupang.com/products/%E5%8F%B0%E7%B3%96-%E5%AE%89%E5%BF%83%E8%B1%9A%E8%B1%AC%E8%82%89%E9%86%AC-%E4%BA%94%E9%A6%99-270781305044993?itemId=270780252241921&vendorItemId=270780252241920&sourceType=search&rank=6&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"台糖 安心豚豬肉醬 香辣, 160g, 3罐",$84,https://www.tw.coupang.com/products/%E5%8F%B0%E7%B3%96-%E5%AE%89%E5%BF%83%E8%B1%9A%E8%B1%AC%E8%82%89%E9%86%AC-%E9%A6%99%E8%BE%A3-270782248747008?itemId=270780252241922&vendorItemId=270781305044992&sourceType=search&rank=7&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"義美 海苔芝麻純豬肉鬆, 175g, 1罐",$160,https://www.tw.coupang.com/products/%E7%BE%A9%E7%BE%8E-%E6%B5%B7%E8%8B%94%E8%8A%9D%E9%BA%BB%E7%B4%94%E8%B1%AC%E8%82%89%E9%AC%86-260910027358209?itemId=260910920728577&vendorItemId=260909024886784&sourceType=search&rank=8&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"軒記台灣肉乾王 真空系 蒜味岩燒豬肉條, 180g, 1包",$165,https://www.tw.coupang.com/products/%E8%BB%92%E8%A8%98%E5%8F%B0%E7%81%A3%E8%82%89%E4%B9%BE%E7%8E%8B-%E7%9C%9F%E7%A9%BA%E7%B3%BB-%E8%92%9C%E5%91%B3%E5%B2%A9%E7%87%92%E8%B1%AC%E8%82%89%E6%A2%9D-168872757936128?itemId=168873215098881&vendorItemId=168873215098880&sourceType=search&rank=9&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"Fontana 多蜜豬排醬, 280g, 1瓶",$96,https://www.tw.coupang.com/products/Fontana-%E5%A4%9A%E8%9C%9C%E8%B1%AC%E6%8E%92%E9%86%AC-21001980346083?itemId=21003369381012&vendorItemId=21071356101188&sourceType=search&rank=10&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"義美 純豬肉鬆, 175g, 1罐",$165,https://www.tw.coupang.com/products/%E7%BE%A9%E7%BE%8E-%E7%B4%94%E8%B1%AC%E8%82%89%E9%AC%86-260908949389315?itemId=260909951860736&vendorItemId=260908949389314&sourceType=search&rank=11&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"新東陽 蜜汁炙燒豬樂條, 165g, 1包",$175,https://www.tw.coupang.com/products/%E6%96%B0%E6%9D%B1%E9%99%BD-%E8%9C%9C%E6%B1%81%E7%82%99%E7%87%92%E8%B1%AC%E6%A8%82%E6%A2%9D-169693964877828?itemId=169694912806916&vendorItemId=169694912806914&sourceType=search&rank=12&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"台糖 安心豚五香豬肉醬, 160g, 3罐",$75,https://www.tw.coupang.com/products/%E5%8F%B0%E7%B3%96-%E5%AE%89%E5%BF%83%E8%B1%9A%E4%BA%94%E9%A6%99%E8%B1%AC%E8%82%89%E9%86%AC-159523515908110?itemId=201835805638688&vendorItemId=201834526359561&sourceType=search&rank=13&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"新東陽 黑豬肉鬆, 255g, 1罐",$198,https://www.tw.coupang.com/products/%E6%96%B0%E6%9D%B1%E9%99%BD-%E9%BB%91%E8%B1%AC%E8%82%89%E9%AC%86-169693868408832?itemId=169694354980864&vendorItemId=169694816337921&sourceType=search&rank=14&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"台灣尋味錄 澎湖灣 海味岩燒 芝麻捲, 110g, 3包",$90,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3%E5%B0%8B%E5%91%B3%E9%8C%84-%E6%BE%8E%E6%B9%96%E7%81%A3-%E6%B5%B7%E5%91%B3%E5%B2%A9%E7%87%92-%E8%8A%9D%E9%BA%BB%E6%8D%B2-247933261824029?itemId=395803944222743&vendorItemId=395803944239118&sourceType=search&rank=15&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"新東陽 安心履歷豬肉鬆, 270g, 1罐",$219,https://www.tw.coupang.com/products/%E6%96%B0%E6%9D%B1%E9%99%BD-%E5%AE%89%E5%BF%83%E5%B1%A5%E6%AD%B7%E8%B1%AC%E8%82%89%E9%AC%86-169694338203650?itemId=169694799560705&vendorItemId=169694338203648&sourceType=search&rank=16&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"自然時記 生機松子, 120g, 1包",$253,https://www.tw.coupang.com/products/%E8%87%AA%E7%84%B6%E6%99%82%E8%A8%98-%E7%94%9F%E6%A9%9F%E6%9D%BE%E5%AD%90-200010629070855?itemId=161705220882438&vendorItemId=161705640296454&sourceType=search&rank=17&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"台糖 安心豚瓜仔肉醬, 160g, 3罐",$94,https://www.tw.coupang.com/products/%E5%8F%B0%E7%B3%96-%E5%AE%89%E5%BF%83%E8%B1%9A%E7%93%9C%E4%BB%94%E8%82%89%E9%86%AC-277598445748229?itemId=277599406227460&vendorItemId=277598445748226&sourceType=search&rank=18&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"品味食族 嘉禾五香大土豆, 200g, 2包",$175,https://www.tw.coupang.com/products/%E5%93%81%E5%91%B3%E9%A3%9F%E6%97%8F-%E5%98%89%E7%A6%BE%E4%BA%94%E9%A6%99%E5%A4%A7%E5%9C%9F%E8%B1%86-164524678152197?itemId=390364015869965&vendorItemId=390364015837193&sourceType=search&rank=19&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"軒記台灣肉乾王 豬肉角, 200g, 1包",$116,https://www.tw.coupang.com/products/%E8%BB%92%E8%A8%98%E5%8F%B0%E7%81%A3%E8%82%89%E4%B9%BE%E7%8E%8B-%E8%B1%AC%E8%82%89%E8%A7%92-168871407370240?itemId=168871864532993&vendorItemId=168871864532992&sourceType=search&rank=20&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"阿順師 鹹豬肉醃料, 500g, 1包",$196,https://www.tw.coupang.com/products/%E9%98%BF%E9%A0%86%E5%B8%AB-%E9%B9%B9%E8%B1%AC%E8%82%89%E9%86%83%E6%96%99-162044422619136?itemId=162043554381828&vendorItemId=162044418424833&sourceType=search&rank=21&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"軒記台灣肉乾王 黑胡椒豬肉乾, 180g, 1包",$108,https://www.tw.coupang.com/products/%E8%BB%92%E8%A8%98%E5%8F%B0%E7%81%A3%E8%82%89%E4%B9%BE%E7%8E%8B-%E9%BB%91%E8%83%A1%E6%A4%92%E8%B1%AC%E8%82%89%E4%B9%BE-168870870499328?itemId=168871327662080&vendorItemId=168870388121600&sourceType=search&rank=22&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"嘉禾牌 港式五香瓜子, 430g, 2包",$196,https://www.tw.coupang.com/products/%E5%98%89%E7%A6%BE%E7%89%8C-%E6%B8%AF%E5%BC%8F%E4%BA%94%E9%A6%99%E7%93%9C%E5%AD%90-155880884502531?itemId=390744644730884&vendorItemId=390744644763651&sourceType=search&rank=23&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"軒記台灣肉乾王 杏仁脆豬肉乾 蒜味, 100g, 1包",$165,https://www.tw.coupang.com/products/%E8%BB%92%E8%A8%98%E5%8F%B0%E7%81%A3%E8%82%89%E4%B9%BE%E7%8E%8B-%E6%9D%8F%E4%BB%81%E8%84%86%E8%B1%AC%E8%82%89%E4%B9%BE-%E8%92%9C%E5%91%B3-201834459250721?itemId=168870757253121&vendorItemId=168870757253120&sourceType=search&rank=24&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"新東陽 多榖黑豬肉鬆, 255g, 1罐",$212,https://www.tw.coupang.com/products/%E6%96%B0%E6%9D%B1%E9%99%BD-%E5%A4%9A%E6%A6%96%E9%BB%91%E8%B1%AC%E8%82%89%E9%AC%86-169693939712003?itemId=169694426284034&vendorItemId=169693939712002&sourceType=search&rank=25&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"軒記台灣肉乾王 芝麻杏仁脆豬肉乾, 100g, 1包",$165,https://www.tw.coupang.com/products/%E8%BB%92%E8%A8%98%E5%8F%B0%E7%81%A3%E8%82%89%E4%B9%BE%E7%8E%8B-%E8%8A%9D%E9%BA%BB%E6%9D%8F%E4%BB%81%E8%84%86%E8%B1%AC%E8%82%89%E4%B9%BE-168870153273344?itemId=168869670895617&vendorItemId=168870610436096&sourceType=search&rank=26&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"軒記台灣肉乾王 原味杏仁脆豬肉乾, 100g, 4包",$610,https://www.tw.coupang.com/products/%E8%BB%92%E8%A8%98%E5%8F%B0%E7%81%A3%E8%82%89%E4%B9%BE%E7%8E%8B-%E5%8E%9F%E5%91%B3%E6%9D%8F%E4%BB%81%E8%84%86%E8%B1%AC%E8%82%89%E4%B9%BE-168871667417090?itemId=397255429308416&vendorItemId=397255425114114&sourceType=search&rank=27&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
"新東陽 黑胡椒炙燒豬樂條, 165g, 2包",$376,https://www.tw.coupang.com/products/%E6%96%B0%E6%9D%B1%E9%99%BD-%E9%BB%91%E8%83%A1%E6%A4%92%E7%82%99%E7%87%92%E8%B1%AC%E6%A8%82%E6%A2%9D-169695168659456?itemId=384231448477704&vendorItemId=384231448494086&sourceType=search&rank=28&searchId=32790c429fdf470ea7f21eeacfe0364a&q=%E6%9D%8F%E5%AD%90%E8%B1%AC%E6%8E%92
